time,ax,ay,az,aT
0.005000,0.0651,0.3020,-0.6323,0.704
0.006000,0.0683,0.3014,-0.6485,0.718
0.006000,0.0590,0.2829,-0.6251,0.689
0.006000,0.0323,0.2630,-0.5571,0.617
0.006000,0.0263,0.2532,-0.4898,0.552
0.012000,0.0408,0.2677,-0.3895,0.474
0.020000,0.0614,0.2727,-0.2560,0.379
0.021000,0.0691,0.2511,-0.1345,0.293
0.030000,0.0807,0.2173,-0.0536,0.238
0.031000,0.1035,0.1878,-0.0060,0.215
0.033000,0.1331,0.1532,0.0132,0.203
0.038000,0.1334,0.1110,0.0375,0.178
0.051000,0.1283,0.0731,0.0599,0.159
0.052000,0.1249,0.0346,0.0563,0.141
0.054000,0.1425,0.0268,0.0340,0.149
0.077000,0.1503,0.0425,-0.0143,0.157
0.077000,0.1506,0.0436,-0.0671,0.171
0.077000,0.1291,0.0517,-0.0911,0.166
0.078000,0.1097,0.0573,-0.1460,0.191
0.087000,0.0999,0.0702,-0.2008,0.235
0.087000,0.0778,0.0713,-0.2487,0.270
0.088000,0.0508,0.0582,-0.2941,0.304
0.103000,0.0164,0.0571,-0.3275,0.333
0.104000,-0.0037,0.0655,-0.3274,0.334
0.104000,-0.0194,0.0356,-0.4371,0.439
0.119000,0.0325,0.0829,-0.3323,0.344
0.120000,0.0667,0.1258,-0.2614,0.298
0.120000,0.0817,0.1663,-0.1500,0.238
0.124000,0.0541,0.1852,-0.0457,0.198
0.137000,0.0457,0.2372,0.0946,0.259
0.138000,0.0839,0.2840,0.2256,0.372
0.139000,0.0858,0.2561,0.2926,0.398
0.154000,0.0363,0.1371,0.3024,0.334
0.155000,0.0929,0.1092,0.2358,0.276
0.155000,0.1524,0.1274,0.2383,0.310
0.161000,0.0937,0.1223,0.1423,0.210
0.169000,0.0449,0.1351,0.0481,0.150
0.170000,0.0726,0.1589,-0.0160,0.175
0.174000,0.0711,0.1671,-0.1286,0.222
0.194000,-0.0105,0.1618,-0.1941,0.253
0.195000,-0.0294,0.1909,-0.3057,0.362
0.195000,-0.0419,0.2371,-0.3459,0.422
0.195000,-0.0268,0.3479,-0.3147,0.470
0.203000,-0.0156,0.4319,-0.2426,0.496
0.204000,-0.1200,0.4866,-0.2276,0.550
0.220000,-0.1921,0.4996,-0.2287,0.582
0.221000,-0.2463,0.4519,-0.2530,0.573
0.221000,-0.2538,0.3887,-0.2453,0.525
0.224000,-0.2478,0.3028,-0.1746,0.428
0.238000,-0.2254,0.2441,-0.1002,0.347
0.239000,-0.1651,0.1885,0.0183,0.251
0.240000,-0.1046,0.1382,0.1119,0.206
0.254000,-0.0558,0.0714,0.1497,0.175
0.255000,0.0220,-0.0021,0.1698,0.171
0.255000,0.1195,-0.0512,0.1938,0.233
0.270000,0.2107,-0.0780,0.1903,0.294
0.271000,0.3073,-0.0725,0.1520,0.350
0.271000,0.4571,0.0206,-0.1606,0.485
0.274000,0.4703,0.0528,-0.0178,0.474
0.308000,0.4742,-0.0364,0.1284,0.493
0.309000,0.4164,-0.1225,0.1443,0.457
0.309000,0.3636,-0.1357,0.1323,0.410
0.310000,0.3532,-0.0679,0.0777,0.368
0.310000,0.3288,0.0027,-0.0082,0.329
0.310000,0.2654,0.0646,-0.0730,0.283
0.319000,0.2185,0.1041,-0.1769,0.300
0.321000,0.2027,0.1189,-0.2101,0.315
0.321000,0.2113,0.1237,-0.2780,0.370
0.324000,0.2164,0.0904,-0.3618,0.431
0.329000,0.2298,0.0406,-0.4426,0.500
0.335000,0.1797,-0.0472,-0.4676,0.503
0.339000,0.1876,-0.1422,-0.4536,0.511
0.345000,0.2632,-0.2350,-0.4458,0.569
0.350000,0.3650,-0.3071,-0.4198,0.635
0.354000,0.4756,-0.4072,-0.3751,0.730
0.362000,0.5753,-0.5336,-0.3161,0.846
0.365000,0.6946,-0.6532,-0.2662,0.990
0.369000,0.8204,-0.7502,-0.2249,1.134
0.374000,0.8848,-0.7775,-0.2084,1.196
0.405000,0.8388,-0.7669,-0.2116,1.156
0.405000,0.7676,-0.7078,-0.2192,1.067
0.405000,0.7046,-0.5207,-0.3965,0.962
0.406000,0.6047,-0.3961,-0.3471,0.802
0.406000,0.4548,-0.3643,-0.3586,0.684
0.406000,0.3387,-0.3460,-0.3953,0.625
0.415000,0.2792,-0.2981,-0.4116,0.580
0.415000,0.2032,-0.2087,-0.4194,0.511
0.425000,-0.0941,-0.1208,-0.3615,0.393
0.425000,-0.0021,0.0927,-0.3839,0.395
0.437000,-0.0151,0.1807,-0.6493,0.674
0.437000,0.0179,0.1598,-0.8365,0.852
0.439000,0.1334,0.1119,-1.0394,1.054
0.455000,0.3000,0.0452,-1.1869,1.225
0.455000,0.4369,-0.0513,-1.4019,1.469
0.456000,0.4701,-0.1149,-1.3044,1.391
0.469000,0.4554,-0.1699,-1.2341,1.326
0.470000,0.4988,-0.2304,-1.3253,1.435
0.470000,0.6213,-0.2650,-1.4751,1.622
0.474000,0.7636,-0.2518,-1.6362,1.823
0.485000,0.7692,-0.3177,-1.7724,1.958
0.486000,0.7108,-0.4392,-1.9072,2.082
0.489000,0.6201,-0.5238,-2.0877,2.240
0.521000,0.5168,-0.5742,-2.2538,2.382
0.522000,0.5387,-0.5690,-2.4529,2.575
0.523000,0.5111,-0.5238,-2.5738,2.676
0.524000,0.4159,-0.5207,-2.8263,2.904
0.524000,0.3386,-0.7901,-2.8575,2.984
0.526000,0.5769,-1.4327,-2.6196,3.041
0.527000,0.5949,-1.6242,-2.9990,3.462
0.530000,0.3066,-1.6155,-3.3780,3.757
0.535000,-0.1571,-1.4852,-3.3717,3.688
0.540000,-0.6271,-1.3338,-3.1984,3.522
0.548000,-1.1355,-1.1448,-2.8965,3.315
0.550000,-1.6834,-0.9690,-2.6285,3.268
0.555000,-2.0621,-0.8069,-2.3773,3.249
0.561000,-2.0031,-0.6526,-2.2879,3.110
0.565000,-1.6337,-0.6276,-2.4016,2.972
0.570000,-1.1354,-0.7253,-2.6770,2.997
0.575000,-0.5654,-0.7980,-2.9982,3.154
0.587000,0.0224,-0.7530,-3.3312,3.415
0.588000,0.5817,-0.6229,-3.6151,3.714
0.590000,1.0028,-0.5331,-3.9303,4.091
0.596000,1.2052,-0.5133,-4.2327,4.431
0.600000,1.3543,-0.5511,-4.3571,4.596
0.623000,1.4456,-0.6060,-4.2771,4.555
0.625000,1.5000,-0.6898,-4.1030,4.423
0.626000,1.4593,-0.8476,-4.7250,5.017
0.626000,1.1195,-1.0918,-4.2989,4.575
0.627000,0.8999,-1.3387,-5.8037,6.024
0.633000,0.5115,-1.5760,-7.2990,7.485
0.635000,0.1590,-1.7394,-7.8494,8.041
0.640000,-0.0974,-1.9033,-8.0088,8.232
0.646000,-0.1946,-2.0625,-8.0650,8.327
0.650000,-0.1643,-2.2496,-8.0470,8.357
0.655000,-0.0143,-2.4240,-7.9385,8.300
0.661000,0.2769,-2.5164,-7.8305,8.230
0.665000,0.8123,-2.3935,-8.2150,8.595
0.671000,1.1007,-2.4154,-8.3862,8.796
0.675000,0.9549,-2.6660,-8.3684,8.835
0.684000,0.6051,-2.9885,-8.1814,8.731
0.685000,0.2389,-3.2509,-7.8483,8.498
0.696000,-0.0481,-3.4104,-7.4622,8.205
0.698000,-0.2352,-3.4995,-7.0628,7.886
0.700000,-0.3479,-3.5651,-6.6601,7.562
0.705000,-0.3826,-3.6038,-6.2402,7.216
0.727000,-0.3750,-3.6623,-5.8203,6.887
0.728000,-0.3045,-3.7279,-5.4258,6.590
0.728000,-0.2127,-3.8157,-5.0074,6.299
0.729000,-0.1246,-3.9329,-4.6035,6.056
0.730000,-0.1126,-4.0890,-4.2055,5.867
0.735000,-0.2436,-4.2973,-3.7937,5.737
0.740000,-0.5209,-4.5396,-3.5227,5.770
0.745000,-0.8340,-4.7605,-3.4451,5.935
0.751000,-1.1337,-4.9826,-3.4651,6.174
0.756000,-1.3860,-5.2023,-3.4977,6.420
0.761000,-1.6693,-5.4518,-3.6140,6.751
0.765000,-1.9433,-5.6698,-3.8862,7.143
0.770000,-2.0849,-5.7774,-4.3397,7.520
0.775000,-1.9627,-5.7190,-4.9770,7.831
0.780000,-1.6200,-5.5937,-5.6469,8.112
0.785000,-1.1765,-5.5223,-6.2138,8.396
0.792000,-0.6175,-5.4818,-6.5833,8.589
0.801000,-0.0192,-5.4735,-6.5887,8.566
0.802000,0.4482,-5.5955,-5.8685,8.121
0.805000,0.6825,-5.8320,-4.3238,7.292
0.828000,0.6329,-6.0403,-2.5056,6.570
0.829000,0.4847,-6.1438,-1.1689,6.273
0.830000,0.4210,-6.1842,-0.1968,6.202
0.830000,0.4103,-6.1786,0.6642,6.228
0.833000,0.3809,-6.2672,1.2862,6.409
0.836000,0.3836,-6.4997,1.5732,6.698
0.840000,0.2494,-6.8472,1.7152,7.063
0.846000,-0.0827,-7.2137,1.7233,7.417
0.850000,-0.5950,-7.5413,1.5148,7.715
0.855000,-1.1494,-7.7719,1.0675,7.929
0.861000,-1.4657,-7.7854,0.4627,7.936
0.865000,-1.3711,-7.5449,-0.1934,7.671
0.870000,-0.6129,-7.0565,-0.8381,7.132
0.877000,0.8315,-6.4209,-1.4647,6.638
0.880000,2.8011,-5.7767,-1.9915,6.722
0.886000,4.6466,-5.3021,-2.1532,7.372
0.891000,5.9953,-5.0605,-1.8789,8.067
0.896000,6.7966,-4.9614,-1.2703,8.510
0.901000,7.2058,-4.9024,-0.4802,8.729
0.906000,7.3613,-4.8548,0.4268,8.828
0.915000,7.3731,-4.8163,1.3923,8.916
0.917000,7.2985,-4.8644,2.2860,9.064
0.921000,7.1783,-5.0147,2.9753,9.248
0.945000,7.0079,-5.2219,3.4465,9.395
0.947000,6.7924,-5.4915,3.7032,9.487
0.948000,6.5346,-5.8195,3.7914,9.536
0.948000,6.3286,-6.1204,3.7379,9.565
0.949000,6.2584,-6.3349,3.6462,9.623
0.951000,6.3387,-6.4940,3.5968,9.762
0.955000,6.6317,-6.5610,3.5294,9.974
0.961000,7.2880,-6.4817,3.4940,10.360
0.966000,8.2376,-6.2321,3.5309,10.916
0.972000,9.3815,-5.5758,3.7357,11.535
0.977000,10.2791,-5.0988,4.0364,12.164
0.981000,11.0082,-4.7353,4.0879,12.662
0.985000,11.5709,-4.4393,4.0440,13.036
0.990000,11.9215,-4.2091,3.9814,13.255
0.996000,12.0931,-3.9445,3.9423,13.317
1.001000,12.0854,-3.6029,3.9374,13.211
1.005000,11.9202,-3.1616,4.0347,12.976
1.014000,11.6660,-2.6585,4.2724,12.705
