time,ax,ay,az,aT
0.006000,-0.2563,0.3261,-0.6268,0.752
0.006000,-0.2542,0.3557,-0.4423,0.622
0.007000,-0.2464,0.3500,-0.2922,0.518
0.007000,-0.2084,0.2991,-0.1643,0.400
0.007000,-0.1374,0.2149,-0.0677,0.264
0.014000,-0.0591,0.1166,-0.0262,0.133
0.023000,-0.0137,0.0425,-0.0301,0.054
0.024000,-0.0035,0.0118,-0.0722,0.073
0.027000,-0.0044,-0.0014,-0.1263,0.126
0.033000,-0.0258,0.0127,-0.1972,0.199
0.045000,-0.0791,0.0326,-0.2442,0.259
0.045000,-0.1188,0.0706,-0.2579,0.293
0.068000,-0.1327,0.1025,-0.2572,0.307
0.069000,-0.1498,0.0805,-0.2805,0.328
0.069000,-0.1464,0.0762,-0.2990,0.342
0.069000,-0.1420,0.0343,-0.2961,0.330
0.069000,-0.1127,-0.0307,-0.2501,0.276
0.077000,-0.0422,-0.0832,-0.1897,0.211
0.078000,0.0312,-0.0922,-0.1176,0.153
0.089000,0.0810,-0.0603,-0.0550,0.115
0.090000,0.1143,0.0078,0.0554,0.127
0.091000,0.1119,0.0664,0.1536,0.201
0.105000,0.0516,0.0939,0.2110,0.237
0.106000,-0.0023,0.0664,0.2657,0.274
0.107000,-0.0401,0.0287,0.3062,0.310
0.112000,-0.0637,0.0122,0.3014,0.308
0.122000,-0.0777,0.0217,0.2585,0.271
0.123000,-0.1279,0.0619,0.2063,0.250
0.127000,-0.2457,0.0875,0.1157,0.285
0.139000,-0.3892,0.1082,0.0536,0.407
0.140000,-0.4892,0.1477,0.0221,0.511
0.141000,-0.5289,0.2304,-0.0003,0.577
0.147000,-0.5487,0.3302,-0.0378,0.641
0.153000,-0.5529,0.4381,-0.0736,0.709
0.163000,-0.5081,0.5520,-0.1078,0.758
0.163000,-0.4784,0.6340,-0.1309,0.805
0.187000,-0.4901,0.6485,-0.1262,0.823
0.188000,-0.5455,0.5810,-0.0961,0.803
0.188000,-0.5849,0.5127,-0.0692,0.781
0.189000,-0.5772,0.4843,-0.0167,0.754
0.190000,-0.5507,0.4664,0.0879,0.727
0.197000,-0.5292,0.4444,0.1563,0.708
0.197000,-0.5205,0.3938,0.1863,0.679
0.207000,-0.4918,0.3426,0.2306,0.642
0.208000,-0.4628,0.2713,0.2173,0.579
0.223000,-0.4490,0.2035,0.2423,0.549
0.224000,-0.4438,0.1332,0.2601,0.531
0.224000,-0.4284,0.1224,0.3306,0.555
0.227000,-0.3593,0.1253,0.3607,0.524
0.241000,-0.2766,0.1469,0.3075,0.439
0.242000,-0.2229,0.1612,0.2644,0.382
0.242000,-0.1563,0.1517,0.1766,0.280
0.259000,-0.1409,0.0880,0.0224,0.168
0.259000,-0.1651,-0.0342,-0.1790,0.246
0.259000,-0.1250,-0.1528,-0.3563,0.407
0.263000,-0.0347,-0.1604,-0.4596,0.488
0.305000,-0.0037,-0.1666,-0.4026,0.436
0.305000,0.0661,-0.1289,-0.2616,0.299
0.306000,0.1669,-0.0958,-0.1054,0.219
0.306000,0.2356,-0.0814,0.0065,0.249
0.306000,0.2840,-0.1024,0.0699,0.310
0.306000,0.3112,-0.1294,0.0659,0.343
0.307000,0.3314,-0.1522,0.0185,0.365
0.307000,0.3503,-0.1392,-0.0554,0.381
0.316000,0.3596,-0.1135,-0.1177,0.395
0.316000,0.3943,-0.0674,-0.1733,0.436
0.318000,0.4957,0.0140,-0.2559,0.558
0.323000,0.5779,0.1265,-0.3680,0.697
0.327000,0.4830,0.0733,-0.3809,0.619
0.333000,0.3610,-0.0040,-0.4885,0.607
0.337000,0.3166,-0.0904,-0.5810,0.668
0.342000,0.3292,-0.2045,-0.6328,0.742
0.358000,0.3501,-0.3355,-0.6037,0.774
0.359000,0.3693,-0.4541,-0.5732,0.819
0.359000,0.3767,-0.5812,-0.5583,0.890
0.364000,0.3866,-0.7139,-0.5281,0.969
0.368000,0.3926,-0.8372,-0.4662,1.036
0.373000,0.3671,-0.9107,-0.4058,1.062
