SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
4, -0.0002, 0, -0.39546034, -1.00544846, 0.19415778, -5.86768436, -11.44189072, 18.92127037, -9.73399544, -57.76088715, -87.45980835, 100.44544220, -15.47100353, 109.11544037, 0.28335905, -0.51176620, -0.57049108, -0.57649195, 0.12906410, 0.05756480, -0.01937361, 100.32500458, 83.57634735, 32.75000000, 0.00000000
4, 0.0048, 1, -0.40167391, -0.99421936, 0.20082703, -5.60582399, -8.83803177, 20.07996750, -9.73399544, -57.76088715, -87.45980835, 100.43453217, -15.56173801, 109.05144501, 0.28319901, -0.51241881, -0.56979209, -0.57668215, 0.13379036, 0.04671101, -0.02628181, 100.32500458, 83.57634735, 32.75000000, 0.00000000
4, 0.0098, 2, -0.38864318, -0.98485374, 0.18931146, -6.51714277, -5.96705294, 21.65262794, -9.73399544, -57.76088715, -87.45980835, 100.41561890, -15.66281891, 109.00063324, 0.28294808, -0.51302654, -0.56906992, -0.57697803, 0.11910227, 0.03774849, -0.01513051, 100.32500458, 83.57634735, 32.75000000, 0.00000000
2, -0.0001, 0, 0.15724389, -0.94474453, -0.08197881, -5.65408230, -16.77485847, 7.00536871, -69.27798462, 25.57731628, -97.95381165, 79.67531586, -0.48637176, -38.90145111, 0.72493845, -0.60296273, 0.21639317, 0.25312907, -0.16552639, -0.03904969, -0.09713101, 100.30800629, 85.00283051, 0.00000000, 0.00000000
4, 0.0148, 3, -0.37074235, -0.97306061, 0.17862540, -7.12430096, -5.68348074, 23.27620506, -9.47091484, -57.67319489, -87.40134430, 100.39377594, -15.77215576, 108.94976807, 0.28266251, -0.51365930, -0.56829906, -0.57731473, 0.09939526, 0.02638880, -0.00489226, 100.32500458, 83.57634735, 32.75000000, 0.00000000
1, 0.0002, 0, 0.20654525, -0.95458257, 0.52976185, 18.65118790, -99.11934662, 71.26811981, -49.28383636, 8.82782841, -67.72873688, 100.31040192, 3.86345053, -8.60886860, -0.63659763, 0.76680291, -0.03605733, -0.07386960, -0.13933820, -0.02787627, -0.35252729, 100.35100555, 81.39475250, 32.05999756, 0.00000000
2, 0.0049, 1, 0.13987255, -0.95744115, -0.07600482, -3.55933475, -16.51483536, 5.31567717, -69.27798462, 25.57731628, -97.95381165, 79.65820313, -0.52733243, -38.97791672, 0.72493464, -0.60261732, 0.21701601, 0.25342891, -0.14890689, -0.02628425, -0.10344609, 100.30800629, 85.00283051, 0.00000000, 0.00000000
2, 0.0099, 2, 0.12594435, -0.97047931, -0.08401458, -1.28913260, -16.63450623, 3.48208976, -69.27798462, 25.57731628, -97.95381165, 79.65249634, -0.55939817, -39.05660629, 0.72484934, -0.60235947, 0.21761942, 0.25376824, -0.13557738, -0.01321265, -0.09558908, 100.30800629, 85.00283051, 0.00000000, 0.00000000
1, 0.0052, 1, 0.19385080, -1.02885056, 0.48471725, 23.79372406, -95.21578217, 70.10391998, -49.28383636, 8.82782841, -67.72873688, 100.39562225, 3.60359931, -9.14083672, -0.63586348, 0.76704115, -0.04112451, -0.07506269, -0.13108411, 0.04641429, -0.30623108, 100.35100555, 81.39475250, 32.05999756, 0.00000000
1, 0.0102, 2, 0.23623888, -1.07545805, 0.50242513, 22.35012817, -82.47001648, 66.78067017, -49.28383636, 8.82782841, -67.72873688, 100.47989655, 3.34944224, -9.60724926, -0.63517410, 0.76726747, -0.04572052, -0.07592299, -0.17795834, 0.09299615, -0.32237163, 100.35100555, 81.39475250, 32.05999756, 0.00000000
1, 0.0152, 3, 0.29654226, -1.05673420, 0.53309160, 17.20074844, -71.11573029, 67.88802338, -49.63460922, 11.51710033, -67.29026794, 100.54363251, 3.08011317, -10.01896286, -0.63467026, 0.76737058, -0.05002071, -0.07638130, -0.24293377, 0.07418075, -0.35163379, 100.35100555, 81.39475250, 32.05999756, 0.00000000
1, -0.0001, 0, 0.73999023, -0.96569824, 0.36743164, -4.19343901, 6.89172077, 33.93470001, -49.89768982, 0.55539316, -63.75328827, 100.00782776, 27.56928253, 80.29612732, 0.59483886, -0.46997386, -0.59678257, -0.26294878, -0.27649605, 0.09309508, -0.21336548, 100.27300262, 87.94092560, 31.50000000, 0.00000000
1, 0.0049, 1, 0.73303223, -0.94433594, 0.39886475, -0.90343785, -2.41828227, 36.06969833, -49.89768982, 0.55539316, -63.75328827, 99.98085022, 27.39376831, 80.24743652, 0.59450567, -0.47091684, -0.59596908, -0.26385853, -0.27224749, 0.07027603, -0.24492976, 100.27300262, 87.94092560, 31.50000000, 0.00000000
4, 0.0548, 4, -0.24490434, -0.91007537, 0.25301686, -12.65168571, -11.20429516, 24.86455154, -7.98012257, -57.87781143, -86.61209869, 100.08101654, -16.75651932, 108.49742889, 0.28060037, -0.51900715, -0.56074536, -0.58091289, -0.04293348, -0.03278885, -0.08521882, 100.32500458, 83.57634735, 32.75000000, 0.00000000
4, 0.0598, 5, -0.22149514, -0.92539543, 0.29145002, -13.40018368, -10.64208698, 24.12311745, -7.98012257, -57.87781143, -86.61209869, 100.03620911, -16.86599159, 108.42068481, 0.28055254, -0.51970267, -0.55972862, -0.58129460, -0.06818531, -0.01704786, -0.12446020, 100.32500458, 83.57634735, 32.75000000, 0.00000000
4, 0.0648, 6, -0.21849558, -0.92955518, 0.30597708, -14.69013596, -8.83244896, 22.96239662, -7.16164875, -58.11166382, -86.08593750, 99.98205566, -16.97137833, 108.35437775, 0.28051871, -0.52030724, -0.55872679, -0.58173370, -0.07296402, -0.01250685, -0.13993397, 100.32500458, 83.57634735, 32.75000000, 0.00000000
