time,ax,ay,az,aT
0.002000,-0.5523,0.0118,-0.0158,0.553
0.006000,-0.7483,0.1947,0.2145,0.802
0.007000,-0.9523,0.3911,0.4028,1.105
0.012000,-1.1091,0.5506,0.3989,1.301
0.018000,-1.0552,0.6393,0.2627,1.261
0.026000,-0.8090,0.6480,0.1756,1.051
0.027000,-0.6034,0.5765,0.1707,0.852
0.054000,-0.5661,0.4412,0.1638,0.736
0.054000,-0.6734,0.3134,0.0472,0.744
0.055000,-0.8360,0.2508,-0.2127,0.898
0.055000,-0.9373,0.3286,-0.5826,1.152
0.055000,-0.9328,0.4998,-0.9986,1.455
0.063000,-0.8672,0.6722,-1.3363,1.729
0.064000,-0.8260,0.7746,-1.5052,1.884
0.074000,-0.8726,0.7713,-1.5317,1.924
0.074000,-0.9433,0.6885,-1.4132,1.833
0.078000,-1.0024,0.5714,-1.1736,1.646
0.094000,-1.0286,0.4746,-0.9418,1.473
0.094000,-1.0033,0.4190,-0.7942,1.346
0.094000,-0.9272,0.4166,-0.7089,1.239
0.100000,-0.8031,0.4364,-0.6907,1.146
0.110000,-0.6622,0.4712,-0.6844,1.063
0.110000,-0.5733,0.4996,-0.6618,1.008
0.114000,-0.5044,0.5003,-0.6108,0.937
0.127000,-0.4673,0.5087,-0.5051,0.856
0.127000,-0.4327,0.5247,-0.3734,0.776
0.128000,-0.4242,0.5475,-0.2154,0.725
0.135000,-0.4270,0.5936,-0.0717,0.735
0.138000,-0.4359,0.6195,0.0196,0.758
0.144000,-0.4484,0.6490,0.0587,0.791
0.148000,-0.4740,0.6606,0.0551,0.815
0.216000,-0.5054,0.6761,0.0017,0.844
0.216000,-0.5309,0.6692,-0.0849,0.858
0.217000,-0.5600,0.6286,-0.1905,0.863
0.218000,-0.5831,0.5569,-0.2865,0.856
0.219000,-0.5831,0.4951,-0.3636,0.847
0.220000,-0.5288,0.4507,-0.4578,0.832
0.220000,-0.4711,0.3877,-0.4924,0.784
0.221000,-0.4834,0.2706,-0.4415,0.708
0.222000,-0.3829,0.2887,-0.5183,0.706
0.223000,-0.2789,0.3816,-0.6288,0.787
0.223000,-0.4868,0.1471,-0.6819,0.851
0.224000,-0.6774,-0.0811,-0.3894,0.786
0.225000,-0.5532,0.0355,0.1051,0.564
0.226000,-0.1745,0.3296,0.2196,0.433
0.226000,0.1840,0.6131,-0.0556,0.642
0.231000,0.3058,0.6863,-0.4337,0.868
0.235000,0.2378,0.6344,-0.6708,0.953
0.242000,0.0826,0.5318,-0.7579,0.930
0.244000,-0.0733,0.4149,-0.7740,0.881
0.249000,-0.1986,0.3072,-0.7672,0.850
0.259000,-0.2700,0.2591,-0.7993,0.883
0.260000,-0.3253,0.2393,-0.7056,0.813
0.265000,-0.4167,0.2451,-0.5840,0.758
0.269000,-0.5274,0.2378,-0.4583,0.738
0.275000,-0.6102,0.2194,-0.3258,0.726
0.278000,-0.6771,0.1607,-0.1838,0.720
0.360000,-0.7045,0.0612,-0.0873,0.713
0.360000,-0.6829,-0.0454,0.0071,0.684
0.361000,-0.5783,-0.1143,-0.0107,0.590
0.361000,-0.3958,-0.1262,-0.0879,0.425
0.361000,-0.2000,-0.1167,-0.2340,0.329
0.362000,-0.0172,-0.1213,-0.4063,0.424
0.362000,0.1411,-0.1250,-0.5715,0.602
0.362000,0.2464,-0.1374,-0.7225,0.776
0.362000,0.3108,-0.1390,-0.8498,0.915
0.362000,0.3606,-0.1128,-0.9034,0.979
0.363000,0.4268,-0.0496,-0.9215,1.017
0.363000,0.5142,0.0339,-0.9495,1.080
0.363000,0.5629,0.1037,-0.9466,1.106
0.363000,0.5635,0.1481,-1.0038,1.161
0.364000,0.5225,0.1575,-1.0921,1.221
0.364000,0.4464,0.1704,-1.2093,1.300
0.373000,0.4451,0.2278,-1.3673,1.456
0.374000,0.6020,0.3178,-1.6665,1.800
0.374000,0.6462,0.2875,-2.1330,2.247
0.379000,0.2686,-0.0887,-2.7145,2.729
0.386000,-0.0856,-0.4024,-3.0408,3.068
0.388000,-0.3591,-0.6557,-3.0167,3.108
0.394000,-0.5708,-0.8552,-2.9754,3.148
0.399000,-0.5885,-0.8514,-2.9263,3.104
0.412000,-0.4997,-0.7384,-2.8019,2.940
0.413000,-0.3198,-0.6084,-2.5752,2.665
0.414000,-0.0470,-0.4939,-2.3632,2.415
0.419000,0.2036,-0.4220,-2.2059,2.255
0.428000,0.3598,-0.3739,-2.1129,2.176
0.429000,0.4481,-0.4123,-2.2391,2.320
0.505000,0.4431,-0.5168,-2.5488,2.638
0.506000,0.3541,-0.6453,-2.9388,3.030
0.506000,0.3055,-0.7058,-3.3016,3.390
0.507000,0.3188,-0.6902,-3.5843,3.664
0.507000,0.3837,-0.6324,-3.8369,3.908
0.507000,0.5184,-0.5266,-4.0594,4.126
0.507000,0.6505,-0.4423,-4.2848,4.356
0.508000,0.7315,-0.3957,-4.4935,4.570
0.508000,0.7293,-0.3548,-4.6133,4.684
0.508000,0.7057,-0.3227,-4.5507,4.616
0.509000,0.7169,-0.2846,-4.4227,4.489
0.509000,0.7904,-0.2432,-4.3365,4.415
0.509000,0.8871,-0.2251,-4.2511,4.349
0.509000,0.9999,-0.2445,-4.1833,4.308
0.510000,1.0732,-0.2906,-4.1091,4.257
0.510000,1.0870,-0.3812,-4.0147,4.177
0.514000,0.9774,-0.4505,-3.8331,3.981
0.576000,0.6921,-0.4365,-3.5833,3.675
0.576000,0.4683,-0.4809,-3.1854,3.255
0.577000,0.4453,-0.4271,-2.3684,2.447
0.577000,0.6375,-0.2292,-1.3704,1.529
0.577000,1.0251,0.1350,-0.3886,1.105
0.577000,1.4517,0.5126,0.4687,1.609
0.577000,1.7827,0.8175,1.2088,2.304
0.577000,1.9936,1.0075,1.8194,2.881
