time,ax,ay,az,aT
0.004000,0.1273,0.2996,0.0942,0.339
0.004000,0.1283,0.2109,0.1872,0.310
0.005000,0.1176,0.1099,0.2682,0.313
0.005000,0.1027,0.0275,0.3542,0.370
0.013000,0.0602,-0.0460,0.4021,0.409
0.015000,-0.0026,-0.1058,0.4288,0.442
0.021000,-0.0741,-0.1208,0.4462,0.468
0.023000,-0.1306,-0.1294,0.4687,0.503
0.029000,-0.1767,-0.1195,0.4818,0.527
0.039000,-0.2051,-0.1128,0.4689,0.524
0.040000,-0.2345,-0.1019,0.4468,0.515
0.046000,-0.2628,-0.1010,0.4081,0.496
0.065000,-0.2782,-0.1006,0.3625,0.468
0.066000,-0.2880,-0.1005,0.3219,0.444
0.066000,-0.2566,-0.0985,0.2768,0.390
0.066000,-0.2081,-0.0942,0.2102,0.310
0.075000,-0.1663,-0.0734,0.1367,0.227
0.075000,-0.1436,-0.0742,0.0704,0.176
0.080000,-0.1232,-0.0727,-0.0005,0.143
0.091000,-0.1319,-0.0830,-0.0355,0.160
0.092000,-0.1626,-0.0958,-0.0418,0.193
0.094000,-0.1960,-0.1159,-0.0672,0.237
0.108000,-0.2202,-0.1290,-0.0781,0.267
0.109000,-0.2400,-0.1397,-0.1081,0.298
0.109000,-0.2506,-0.1696,-0.1286,0.329
0.127000,-0.2688,-0.1874,-0.1395,0.356
0.130000,-0.2896,-0.2121,-0.1290,0.381
0.130000,-0.3247,-0.2316,-0.0779,0.406
0.131000,-0.3788,-0.2416,0.0114,0.449
0.135000,-0.4279,-0.2372,0.0767,0.495
0.140000,-0.4696,-0.2284,0.1157,0.535
0.144000,-0.4921,-0.2173,0.1403,0.556
0.160000,-0.4882,-0.1992,0.1507,0.548
0.161000,-0.4604,-0.1766,0.1372,0.512
0.161000,-0.4208,-0.1423,0.1071,0.457
0.167000,-0.3768,-0.1177,0.0674,0.400
0.170000,-0.3307,-0.0886,0.0207,0.343
0.174000,-0.2824,-0.0548,-0.0235,0.289
0.179000,-0.2155,-0.0137,-0.0629,0.225
0.198000,-0.1561,0.0202,-0.0712,0.173
0.199000,-0.0971,0.0707,-0.0628,0.136
0.200000,-0.0505,0.1163,-0.0472,0.135
0.200000,-0.0256,0.1378,-0.0004,0.140
0.209000,-0.0126,0.1543,0.0535,0.164
0.210000,0.0102,0.1706,0.1051,0.201
0.230000,0.0237,0.1555,0.1256,0.201
0.231000,0.0400,0.1378,0.1199,0.187
0.231000,0.0276,0.0914,0.0880,0.130
0.232000,0.0130,0.0474,0.0465,0.068
0.242000,-0.0134,-0.0109,0.0099,0.020
0.242000,-0.0422,-0.0307,-0.0315,0.061
0.244000,-0.0711,-0.0551,-0.0634,0.110
0.258000,-0.0930,-0.0771,-0.0832,0.147
0.259000,-0.1105,-0.0943,-0.0982,0.175
0.259000,-0.1329,-0.1089,-0.1061,0.202
0.276000,-0.1436,-0.1140,-0.1115,0.215
0.277000,-0.1476,-0.1263,-0.0978,0.217
0.277000,-0.1446,-0.1338,-0.1009,0.221
0.280000,-0.1514,-0.1318,-0.0848,0.218
0.305000,-0.1752,-0.1298,-0.0687,0.229
0.306000,-0.1774,-0.1183,-0.0478,0.219
0.306000,-0.1746,-0.0855,-0.0436,0.199
0.306000,-0.1718,-0.0456,-0.0393,0.182
0.313000,-0.1975,-0.0513,-0.0350,0.207
0.314000,-0.2423,-0.1049,-0.0546,0.270
0.315000,-0.2489,-0.1441,-0.0885,0.301
0.325000,-0.2389,-0.1522,-0.1151,0.306
0.326000,-0.2028,-0.1435,-0.1226,0.277
0.330000,-0.1835,-0.1181,-0.1229,0.250
0.341000,-0.1641,-0.1022,-0.1399,0.239
0.342000,-0.1423,-0.0719,-0.1569,0.224
0.344000,-0.1272,-0.0583,-0.1716,0.221
0.358000,-0.1288,-0.0492,-0.1695,0.219
0.359000,-0.1205,-0.0520,-0.1938,0.234
0.360000,-0.0861,-0.0330,-0.2421,0.259
0.375000,-0.0950,-0.0138,-0.2784,0.294
0.376000,-0.0752,0.0035,-0.2909,0.300
0.377000,-0.0766,0.0093,-0.3012,0.311
0.381000,-0.0943,0.0323,-0.3140,0.329
0.407000,-0.0948,0.0654,-0.3102,0.331
0.407000,-0.0999,0.0895,-0.2852,0.315
0.408000,-0.1093,0.0950,-0.2292,0.271
0.408000,-0.1183,0.0865,-0.1568,0.215
0.408000,-0.0953,0.0760,-0.0917,0.153
0.416000,-0.0687,0.0819,-0.0408,0.114
0.417000,-0.0389,0.0904,-0.0071,0.099
0.425000,-0.0227,0.0729,0.0025,0.076
0.426000,-0.0106,0.0677,-0.0213,0.072
0.432000,-0.0049,0.0700,-0.0474,0.085
0.435000,0.0132,0.0773,-0.0473,0.092
0.440000,0.0433,0.0872,-0.0236,0.100
0.445000,0.0807,0.0972,0.0189,0.128
0.451000,0.1085,0.1095,0.0540,0.163
0.458000,0.1352,0.0986,0.1013,0.196
0.460000,0.1694,0.0947,0.1414,0.240
0.475000,0.1681,0.0859,0.1601,0.248
0.476000,0.1624,0.0744,0.1764,0.251
0.476000,0.1592,0.0457,0.1761,0.242
0.479000,0.1539,0.0169,0.1735,0.233
0.485000,0.1488,0.0021,0.1663,0.223
0.491000,0.1248,-0.0131,0.1449,0.192
0.495000,0.1033,-0.0261,0.1188,0.160
0.503000,0.0748,-0.0491,0.0976,0.132
0.505000,0.0391,-0.0555,0.0718,0.099
0.511000,0.0083,-0.0574,0.0365,0.069
0.515000,-0.0202,-0.0570,-0.0083,0.061
0.520000,-0.0535,-0.0541,-0.0578,0.095
0.524000,-0.0749,-0.0607,-0.1000,0.139
0.531000,-0.0916,-0.0624,-0.1232,0.166
0.535000,-0.1013,-0.0497,-0.1081,0.156
0.540000,-0.0989,-0.0225,-0.0667,0.121
0.544000,-0.0748,0.0141,-0.0302,0.082
0.550000,-0.0429,0.0411,-0.0294,0.066
0.555000,-0.0181,0.0608,-0.0643,0.090
0.560000,0.0044,0.0687,-0.1251,0.143
0.580000,0.0102,0.0745,-0.1998,0.213
0.582000,-0.0031,0.0880,-0.2764,0.290
0.582000,-0.0140,0.0664,-0.3337,0.340
0.582000,-0.0299,0.0646,-0.3646,0.371
0.585000,-0.0437,0.0542,-0.3622,0.369
0.591000,-0.0601,0.0326,-0.3127,0.320
0.595000,-0.0717,0.0260,-0.2423,0.254
0.601000,-0.0762,0.0055,-0.1727,0.189
0.605000,-0.0902,-0.0027,-0.0942,0.130
0.611000,-0.0922,-0.0156,-0.0093,0.094
0.625000,-0.0892,-0.0283,0.0440,0.103
0.626000,-0.1005,-0.0363,0.1278,0.167
0.628000,-0.1090,-0.0492,0.1754,0.212
0.635000,-0.0936,-0.0672,0.1848,0.218
0.636000,-0.0451,-0.0593,0.2061,0.219
0.640000,-0.0373,-0.0615,0.2179,0.229
0.645000,-0.0720,-0.0879,0.2084,0.237
0.651000,-0.1134,-0.1241,0.1398,0.219
0.655000,-0.1190,-0.1652,0.0245,0.205
0.660000,-0.1037,-0.1799,-0.0780,0.222
0.666000,-0.0795,-0.1543,-0.1368,0.221
0.671000,-0.0771,-0.1360,-0.1690,0.230
0.675000,-0.1009,-0.1084,-0.1725,0.227
0.682000,-0.1315,-0.0930,-0.1854,0.246
0.685000,-0.1691,-0.1085,-0.2029,0.286
0.691000,-0.1779,-0.1333,-0.2298,0.320
0.695000,-0.1617,-0.1469,-0.2776,0.353
0.714000,-0.1431,-0.1506,-0.3206,0.382
0.715000,-0.1292,-0.1443,-0.3565,0.406
0.715000,-0.1635,-0.1470,-0.4069,0.463
0.717000,-0.1527,-0.1349,-0.4359,0.481
0.720000,-0.1563,-0.1173,-0.4628,0.502
0.726000,-0.1789,-0.0873,-0.4802,0.520
0.734000,-0.1992,-0.0639,-0.4667,0.511
0.736000,-0.1955,-0.0422,-0.4176,0.463
0.741000,-0.1821,-0.0297,-0.3639,0.408
0.762000,-0.1589,-0.0454,-0.3392,0.377
0.765000,-0.1762,-0.0678,-0.3003,0.355
0.767000,-0.1740,-0.0826,-0.2544,0.319
0.768000,-0.1821,-0.1082,-0.2167,0.303
0.770000,-0.2043,-0.1285,-0.1912,0.308
0.771000,-0.2205,-0.1540,-0.1674,0.317
0.776000,-0.2198,-0.1768,-0.1532,0.321
0.781000,-0.1950,-0.1729,-0.1320,0.292
0.785000,-0.1629,-0.1686,-0.1205,0.264
