time,ax,ay,az,aT
0.003000,-0.0541,0.2330,-1.0442,1.071
0.004000,-0.0086,0.2218,-0.8197,0.849
0.004000,-0.0108,0.2162,-0.5740,0.613
0.004000,-0.0291,0.2112,-0.3741,0.431
0.016000,-0.0132,0.2160,-0.2151,0.305
0.017000,0.0150,0.1971,-0.0779,0.212
0.018000,0.0096,0.1447,0.0641,0.159
0.036000,-0.0030,0.0849,0.2058,0.223
0.036000,-0.0224,0.0105,0.3308,0.332
0.036000,-0.0436,-0.0717,0.4342,0.442
0.044000,-0.0779,-0.1403,0.4994,0.525
0.045000,-0.1085,-0.1905,0.5313,0.575
0.058000,-0.1258,-0.2127,0.5250,0.580
0.059000,-0.1445,-0.1999,0.4759,0.536
0.059000,-0.1507,-0.1855,0.4175,0.481
0.074000,-0.1517,-0.1406,0.3114,0.374
0.075000,-0.1478,-0.1034,0.2031,0.272
0.075000,-0.1271,-0.0690,0.0902,0.170
0.079000,-0.1065,-0.0346,-0.0081,0.112
0.092000,-0.0835,0.0045,-0.0849,0.119
0.093000,-0.0465,0.0294,-0.1568,0.166
0.094000,-0.0169,0.0401,-0.1952,0.200
0.118000,0.0245,0.0487,-0.2311,0.237
0.118000,0.0513,0.0674,-0.2408,0.255
0.119000,0.0732,0.0960,-0.2195,0.251
0.119000,0.0810,0.1105,-0.2006,0.243
0.119000,0.0840,0.1184,-0.1770,0.229
0.123000,0.0872,0.1241,-0.1559,0.217
0.128000,0.0978,0.1276,-0.1228,0.202
0.135000,0.1085,0.1483,-0.0898,0.205
0.139000,0.1124,0.1525,-0.0545,0.197
0.143000,0.1142,0.1615,-0.0240,0.199
0.149000,0.1187,0.1636,-0.0103,0.202
0.154000,0.1213,0.1609,-0.0180,0.202
0.159000,0.1170,0.1560,-0.0425,0.200
0.167000,0.0915,0.1443,-0.0790,0.188
0.169000,0.0730,0.1330,-0.0915,0.177
0.174000,0.0690,0.1124,-0.0801,0.154
0.178000,0.0649,0.1016,-0.0664,0.138
0.184000,0.0463,0.0863,-0.0288,0.102
0.189000,0.0132,0.0975,0.0326,0.104
0.193000,-0.0009,0.1086,0.1155,0.159
0.206000,-0.0056,0.1123,0.2007,0.230
0.207000,0.0039,0.0991,0.2691,0.287
0.209000,0.0086,0.0926,0.3088,0.322
0.215000,0.0157,0.0834,0.3245,0.335
0.220000,0.0154,0.0691,0.3259,0.334
0.224000,0.0268,0.0760,0.3011,0.312
0.229000,0.0187,0.0659,0.2691,0.278
0.235000,0.0024,0.0603,0.2467,0.254
0.239000,-0.0217,0.0592,0.2721,0.279
0.244000,-0.0322,0.0601,0.3453,0.352
0.250000,-0.0244,0.0580,0.4137,0.418
0.254000,-0.0121,0.0502,0.4676,0.470
0.259000,-0.0075,0.0393,0.4929,0.495
0.266000,-0.0031,0.0396,0.5350,0.537
0.269000,0.0110,0.0390,0.5724,0.574
0.274000,0.0131,0.0518,0.5955,0.598
0.291000,0.0106,0.0636,0.5756,0.579
0.292000,0.0012,0.0649,0.5200,0.524
0.292000,-0.0008,0.0558,0.4503,0.454
0.294000,0.0045,0.0579,0.3855,0.390
0.298000,-0.0018,0.0762,0.2969,0.307
0.304000,-0.0008,0.0965,0.1871,0.210
0.309000,0.0171,0.0853,0.0463,0.099
0.324000,0.0205,0.0813,-0.1110,0.139
0.325000,0.0141,0.0799,-0.2371,0.251
0.325000,-0.0115,0.0717,-0.3081,0.317
0.329000,-0.0584,0.0523,-0.3528,0.361
0.335000,-0.1098,0.0477,-0.3473,0.367
0.342000,-0.1662,0.0172,-0.3824,0.417
