SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
4, -0.0000, 0, -0.31948462, -1.04289329, 0.20178699, -50.72355270, 36.68892670, 16.04342079, -66.41333008, -16.04793930, -29.93276787, 89.98611450, -15.67960072, 57.66677475, 0.56721896, -0.66010058, -0.25327918, -0.42235008, 0.04957911, 0.08000794, -0.20073417, 100.03400421, 108.02389526, 33.66999817, 0.00000000
3, 0.0000, 0, 0.23174223, -1.02946079, 0.25533003, 19.58445358, -16.01703644, -42.04937744, -49.07921600, -4.67699480, -58.69628525, 102.59151459, 17.01994705, -99.72354126, 0.31036687, -0.56826401, 0.53037834, 0.54721767, 0.06004227, 0.09590288, -0.04717088, 100.10300446, 102.22183228, 33.16999817, 0.00000000
2, 0.0000, 0, -0.02324901, -1.17626226, -0.04774353, 33.61805344, 33.48691940, 11.15881062, -21.13417053, 35.60362244, -58.49166870, 82.75716400, 0.56709272, -91.79234314, 0.51986474, -0.46271282, 0.47208291, 0.54108721, 0.03329635, 0.18438385, -0.07904673, 100.02200317, 109.03336334, 0.00000000, 0.00000000
1, -0.0000, 0, -0.16854846, -0.97671926, 0.21941844, 1.16862690, 24.35485458, -13.57409096, 2.95235300, 17.68488693, -133.49897766, 97.70680237, 0.58302325, -46.28781509, -0.60351998, 0.69373196, -0.29288948, -0.26213640, 0.17823711, -0.01458230, -0.08752669, 100.07000732, 104.99607849, 33.39999771, 0.00000000
5, -0.0000, 0, 0.19108669, -0.93912083, 0.28102171, 11.67430782, 16.80801201, 7.48377466, -19.05875397, 20.78339577, -120.28646088, 107.52667236, 3.16651511, -162.41291809, -0.06830966, 0.13939945, -0.79430008, -0.58735776, -0.13558462, -0.01306850, 0.01940258, 99.98500824, 112.14580536, 32.75999832, 0.00000000
2, 0.0050, 1, -0.02136177, -1.17631519, -0.04804984, 30.33225632, 33.03146744, 10.99709225, -21.13417053, 35.60362244, -58.49166870, 82.91046143, 0.53313661, -91.62160492, 0.52019131, -0.46395320, 0.47227076, 0.53954488, 0.03081535, 0.18408579, -0.07600987, 100.02200317, 109.03336334, 0.00000000, 0.00000000
3, 0.0350, 1, 0.35206512, -0.76440924, 0.38404113, 6.22904968, 6.76083946, -38.66583252, -48.43613052, -4.06313944, -58.19935608, 103.12519836, 18.44910622, -99.45549774, 0.30085340, -0.57581973, 0.52548623, 0.54934788, -0.03645739, -0.15980582, -0.16905898, 100.10300446, 102.22183228, 33.16999817, 0.00000000
3, 0.0400, 2, 0.40623221, -0.74043542, 0.42459494, 4.52658033, 7.23218679, -35.77561188, -48.20227814, -5.61239386, -57.52703857, 103.17326355, 18.61507034, -99.37545013, 0.30004761, -0.57687205, 0.52460027, 0.54953140, -0.08771013, -0.18258116, -0.20876294, 100.10300446, 102.22183228, 33.16999817, 0.00000000
4, 0.0050, 1, -0.32550746, -1.03977036, 0.20895961, -50.48772049, 37.81337738, 19.13001251, -66.50102234, -15.60947037, -30.13738632, 89.68035889, -15.77469444, 57.86349106, 0.56790036, -0.65836287, -0.25273266, -0.42446890, 0.05407034, 0.07732392, -0.21304688, 100.03400421, 108.02389526, 33.66999817, 0.00000000
4, 0.0100, 2, -0.32541010, -1.02530479, 0.20225726, -49.84820175, 37.13444901, 22.87298203, -66.50102234, -15.60947037, -30.13738632, 89.37819672, -15.88752937, 58.05746078, 0.56849676, -0.65668935, -0.25207150, -0.42665035, 0.05215386, 0.06340844, -0.21143796, 100.03400421, 108.02389526, 33.66999817, 0.00000000
