time,ax,ay,az,aT
0.031000,-0.3326,0.1590,-1.9831,2.017
0.032000,-0.3915,0.1399,-1.6332,1.685
0.032000,-0.4926,0.0869,-1.2747,1.369
0.032000,-0.6227,0.0421,-0.8688,1.070
0.032000,-0.7307,0.0281,-0.4798,0.875
0.032000,-0.7715,0.0370,-0.1841,0.794
0.032000,-0.6744,0.0777,0.0260,0.679
0.032000,-0.5209,0.1333,0.1409,0.556
0.038000,-0.3587,0.2038,0.1728,0.447
0.047000,-0.2489,0.2465,0.1311,0.374
0.047000,-0.1624,0.2595,0.0371,0.308
0.051000,-0.0936,0.2530,-0.0660,0.278
0.057000,-0.0710,0.2586,-0.1427,0.304
0.061000,-0.0727,0.2622,-0.2026,0.339
0.065000,-0.1365,0.2327,-0.2697,0.381
0.069000,-0.1979,0.1796,-0.2937,0.397
0.096000,-0.2235,0.1387,-0.3105,0.407
0.096000,-0.2203,0.1388,-0.3298,0.420
0.096000,-0.2237,0.1585,-0.3491,0.444
0.096000,-0.3173,0.1403,-0.3662,0.504
0.096000,-0.4654,0.0866,-0.3500,0.589
0.107000,-0.5414,0.0573,-0.2382,0.594
0.107000,-0.5265,0.0975,-0.1003,0.545
0.114000,-0.4877,0.1731,0.0400,0.519
0.116000,-0.3936,0.2457,0.1658,0.493
0.120000,-0.3104,0.2886,0.1838,0.462
0.125000,-0.3235,0.2711,0.1204,0.439
0.130000,-0.3448,0.2174,0.0307,0.409
0.135000,-0.3869,0.1662,-0.0590,0.425
0.141000,-0.4525,0.1345,-0.1056,0.484
0.145000,-0.5299,0.0957,-0.1044,0.548
0.150000,-0.6284,0.0426,-0.0673,0.633
0.165000,-0.7035,0.0064,-0.0135,0.704
0.166000,-0.7179,0.0084,0.0166,0.718
0.166000,-0.6312,0.0556,0.0278,0.634
0.170000,-0.4840,0.0928,0.0200,0.493
0.176000,-0.3453,0.1488,-0.0329,0.377
0.181000,-0.2723,0.1686,-0.1454,0.352
0.186000,-0.2626,0.1361,-0.2744,0.403
0.206000,-0.2773,0.1042,-0.3602,0.466
0.206000,-0.2921,0.0900,-0.4246,0.523
0.207000,-0.2899,0.1151,-0.4844,0.576
0.207000,-0.2727,0.1148,-0.5132,0.592
0.213000,-0.2738,0.1109,-0.4491,0.538
0.215000,-0.3100,0.1170,-0.2776,0.432
0.220000,-0.3577,0.1136,-0.0849,0.385
0.227000,-0.3721,0.1097,0.1054,0.402
0.230000,-0.3489,0.1435,0.2573,0.457
0.235000,-0.2933,0.2217,0.3424,0.502
0.244000,-0.2150,0.2891,0.3728,0.518
0.245000,-0.1448,0.2928,0.3461,0.476
0.250000,-0.0965,0.2858,0.2648,0.401
0.263000,-0.0789,0.3044,0.1788,0.362
0.264000,-0.0911,0.2989,0.1071,0.330
0.268000,-0.0894,0.2914,0.0424,0.308
0.281000,-0.1238,0.2840,-0.0249,0.311
0.281000,-0.2375,0.2432,-0.0996,0.354
0.281000,-0.3717,0.1834,-0.1768,0.451
0.285000,-0.4750,0.1428,-0.2466,0.554
0.290000,-0.4883,0.1262,-0.3353,0.606
0.295000,-0.4433,0.1313,-0.4596,0.652
0.300000,-0.4217,0.1438,-0.5548,0.712
0.318000,-0.4143,0.1352,-0.6235,0.761
