SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.07969639, -1.00048184, 0.14650951, -8.81060886, -0.12546872, 6.07844353, -30.45892906, 8.47705364, -109.23706055, 95.34437561, -2.54839039, 80.44100952, 0.50342023, -0.57403636, -0.46583998, -0.44726232, -0.12410571, 0.00560724, -0.05432907, 100.32100677, 83.91182709, 31.44999886, 0.00000000
4, -0.0000, 0, 0.05445314, -0.95943356, 0.21787426, 4.60647535, 8.98772335, 0.37056202, -34.96053696, -35.69131851, -14.96638393, 103.34232330, 0.08949090, 12.22004223, 0.61671627, -0.77995610, -0.08397830, -0.06540090, -0.05284096, -0.01359770, 0.01279376, 100.32000732, 83.99569702, 31.67999840, 0.00000000
5, -0.0000, 0, 0.01639672, -0.99788457, 0.15695432, -3.76517701, 6.09617090, 2.91315103, -49.48845291, 0.99386144, -99.53230286, 98.89436340, -6.99604797, -19.43462181, -0.64745188, 0.74081469, -0.16710576, -0.06383853, -0.13811484, 0.01727015, -0.00339618, 100.25000763, 89.87149811, 30.55999947, 0.00000000
4, 0.0050, 1, 0.05284042, -0.96393526, 0.21311641, 4.93069887, 8.40717793, 0.03890558, -35.28208160, -35.95439911, -15.05407715, 103.36703491, 0.07959139, 12.26089764, 0.61651748, -0.78006488, -0.08421727, -0.06566999, -0.05141032, -0.00899813, 0.01796523, 100.32000732, 83.99569702, 31.67999840, 0.00000000
4, 0.0100, 2, 0.05221139, -0.96587306, 0.20796624, 5.00657749, 7.82550955, -0.25253871, -35.28208160, -35.95439911, -15.05407715, 103.38671875, 0.08359005, 12.30048847, 0.61636364, -0.78013921, -0.08451959, -0.06584126, -0.05082356, -0.00697026, 0.02349396, 100.32000732, 83.99569702, 31.67999840, 0.00000000
1, 0.0100, 1, 0.03874042, -1.00525236, 0.13257849, -9.76686001, -4.27301931, 8.76088047, -30.54662323, 8.50628471, -109.35398865, 95.25339508, -2.62433791, 80.39521790, 0.50373101, -0.57410216, -0.46490717, -0.44779801, -0.08438376, 0.01031101, -0.04207712, 100.32100677, 83.91182709, 31.44999886, 0.00000000
1, 0.0200, 2, 0.00552062, -1.00577307, 0.12708907, -10.72107315, -4.40779400, 10.41726780, -30.95586014, 8.09704781, -109.38321686, 95.14893341, -2.72445059, 80.34196472, 0.50403607, -0.57422721, -0.46377224, -0.44847104, -0.05270272, 0.01075472, -0.03839530, 100.32100677, 83.91182709, 31.44999886, 0.00000000
1, 0.0300, 3, -0.00726650, -1.01418376, 0.12866558, -11.17318821, -3.56446910, 11.40705872, -30.80970383, 8.44782257, -108.94475555, 95.03968811, -2.83525062, 80.29642487, 0.50428981, -0.57433820, -0.46260631, -0.44924712, -0.04178655, 0.01908511, -0.04188157, 100.32100677, 83.91182709, 31.44999886, 0.00000000
2, 0.0000, 0, -0.06331573, -0.94639087, -0.27902561, -1.33607674, 2.63386345, 1.61213231, -21.66033363, 20.72493362, -93.10143280, 71.61461639, -0.66715723, -175.17257690, -0.03755776, 0.01992226, -0.58473086, -0.81011260, 0.05168672, -0.00251171, -0.03632904, 100.27100372, 88.10873413, 0.00000000, 0.00000000
2, 0.0050, 1, -0.05937177, -0.94851846, -0.28211787, -1.47975516, 2.84259081, 1.47547925, -21.45571518, 18.91259766, -93.13066101, 71.60704041, -0.66967410, -175.15675354, -0.03768373, 0.01998267, -0.58467519, -0.81014550, 0.04769500, -0.00034195, -0.03336208, 100.27100372, 88.10873413, 0.00000000, 0.00000000
5, 0.0300, 1, 0.02733447, -1.00356925, 0.15304510, -5.86403608, 0.06079398, 1.28894401, -49.19614029, 0.78924292, -99.70768738, 98.72852325, -7.06835508, -19.35170937, -0.64862508, 0.73989969, -0.16687725, -0.06313571, -0.15036207, 0.02267865, -0.00232066, 100.25000763, 89.87149811, 30.55999947, 0.00000000
5, 0.0350, 2, 0.02806433, -1.00425625, 0.16092072, -6.06135798, -1.22718406, 1.07015312, -49.19614029, 0.78924292, -99.70768738, 98.70233917, -7.01698923, -19.34398842, -0.64875895, 0.73983228, -0.16652916, -0.06346774, -0.15069458, 0.02324445, -0.01066269, 100.25000763, 89.87149811, 30.55999947, 0.00000000
5, 0.0400, 3, 0.02867184, -1.00606596, 0.16283815, -6.33143902, -2.41172552, 0.82111657, -49.37152863, 0.52616191, -100.00000000, 98.67223358, -7.01922512, -19.35662460, -0.64894807, 0.73964041, -0.16660641, -0.06356835, -0.15087084, 0.02492741, -0.01305665, 100.25000763, 89.87149811, 30.55999947, 0.00000000
