SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
3, 0.0001, 0, 0.32860234, -0.94891518, 0.23846176, 9.54614544, -9.40494156, -9.44459534, -10.99093819, -33.58666992, -96.57994843, 101.24678040, 16.19027710, -82.45417786, 0.40065411, -0.63445419, 0.43717021, 0.49580899, -0.05000503, 0.00692165, -0.05129439, 100.38100433, 78.87828827, 31.62999916, 0.00000000
2, 0.0000, 0, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0050, 1, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 2, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0001, 0, -0.03194076, -0.96799290, 0.17693292, 15.68174839, 20.23704529, -0.87406468, -15.84332085, -46.94533539, -67.31949615, 101.12548065, 2.14937973, 178.50686646, 0.02276000, 0.00185155, -0.77227426, -0.63487875, 0.06951226, -0.01258978, 0.01554020, 100.31500244, 84.41569519, 31.09000015, 0.00000000
2, 0.0150, 3, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, -0.0001, 0, -0.11663818, -1.13909912, 0.07940674, -12.24070740, 38.17845154, -89.83573151, -56.62086868, 2.48465347, -65.27330780, 58.35843277, -25.33937645, -137.70046997, -0.40707991, -0.00697185, -0.51272392, -0.75587803, -0.31323850, 0.37037396, -0.55297136, 100.26900482, 88.27654266, 29.22999954, 0.00000000
3, 0.0051, 1, 0.32807097, -0.95020115, 0.24305172, 8.83109856, -9.43584919, -9.29743385, -10.99093819, -33.58666992, -96.57994843, 101.28010559, 16.24509048, -82.49291229, 0.40002838, -0.63458163, 0.43726870, 0.49606419, -0.04855397, 0.00858113, -0.05537698, 100.38100433, 78.87828827, 31.62999916, 0.00000000
3, 0.0101, 2, 0.32453886, -0.95310909, 0.24665742, 8.64979935, -10.46768570, -9.34259129, -10.99093819, -33.58666992, -96.57994843, 101.31671143, 16.30454445, -82.53549194, 0.39934433, -0.63471884, 0.43738073, 0.49634087, -0.04406139, 0.01187599, -0.05847486, 100.38100433, 78.87828827, 31.62999916, 0.00000000
3, 0.0151, 3, 0.29921353, -0.95273751, 0.23450951, 8.36024475, -11.84252739, -9.42558193, -10.64016342, -33.76205826, -96.95995331, 101.34421539, 16.36239052, -82.58634949, 0.39868253, -0.63478774, 0.43750697, 0.49667341, -0.01774444, 0.01189139, -0.04587340, 100.38100433, 78.87828827, 31.62999916, 0.00000000
1, 0.0299, 1, -0.24597168, -1.01556396, 0.06732178, -10.17570686, 28.06344604, -81.15573120, -55.65623856, 1.92926037, -64.77638245, 58.22112656, -22.64922905, -138.26992798, -0.39438659, 0.00958895, -0.50684720, -0.76646799, -0.14079115, 0.23161376, -0.55294871, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.0349, 2, -0.26336670, -0.99566650, 0.08489990, -8.84570599, 26.52344704, -79.82572937, -55.07161713, 2.19234133, -64.65945435, 58.21715927, -22.24009895, -138.37541199, -0.39230457, 0.01208903, -0.50605816, -0.76802099, -0.11676188, 0.20942506, -0.57205856, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.0399, 3, -0.25878906, -0.97467041, 0.10247803, -7.83070612, 24.35344505, -78.98572540, -55.07161713, 2.19234133, -64.65945435, 58.22030640, -21.84025574, -138.48812866, -0.39019701, 0.01451507, -0.50533390, -0.76952809, -0.11483925, 0.18616641, -0.59100676, 100.26900482, 88.27654266, 29.22999954, 0.00000000
4, 0.0901, 1, 0.11019563, -0.97666001, 0.31572679, 7.22278070, 3.88611674, 2.42912722, -14.73253441, -48.14381790, -68.54721069, 102.03829956, 1.57124639, -179.80393982, 0.00958205, 0.00995547, -0.77726710, -0.62901902, -0.08271541, -0.00101230, -0.10739625, 100.31500244, 84.41569519, 31.09000015, 0.00000000
4, 0.0951, 2, 0.11372644, -0.97383517, 0.32290435, 7.18568754, -0.27461928, 1.58616400, -14.90792179, -47.88073730, -69.19029236, 102.07414246, 1.56377816, -179.80694580, 0.00955095, 0.00989114, -0.77746487, -0.62877607, -0.08641353, -0.00370991, -0.11395515, 100.31500244, 84.41569519, 31.09000015, 0.00000000
3, 0.0201, 4, 0.26528028, -0.95330095, 0.22256088, 8.21654606, -12.18670559, -9.39313221, -10.64016342, -33.76205826, -96.95995331, 101.37044525, 16.42043686, -82.63897705, 0.39801863, -0.63484573, 0.43763673, 0.49701735, 0.01715973, 0.01282278, -0.03354175, 100.38100433, 78.87828827, 31.62999916, 0.00000000
