time,ax,ay,az,aT
0.005000,-0.1218,0.0019,-0.4875,0.502
0.006000,-0.1726,-0.0067,-0.3782,0.416
0.006000,-0.2281,-0.0108,-0.2830,0.364
0.006000,-0.2501,-0.0103,-0.2329,0.342
0.007000,-0.2604,-0.0125,-0.2229,0.343
0.020000,-0.2493,-0.0413,-0.2244,0.338
0.021000,-0.2600,-0.0702,-0.2158,0.345
0.023000,-0.2734,-0.0851,-0.1853,0.341
0.058000,-0.2946,-0.0811,-0.1686,0.349
0.059000,-0.3187,-0.0749,-0.1851,0.376
0.059000,-0.3099,-0.0617,-0.2301,0.391
0.059000,-0.2778,-0.0460,-0.2752,0.394
0.059000,-0.2292,-0.0374,-0.2918,0.373
0.060000,-0.1639,-0.0358,-0.2822,0.328
0.060000,-0.0988,-0.0079,-0.2681,0.286
0.068000,-0.0550,0.0034,-0.2710,0.277
0.068000,-0.0206,-0.0066,-0.2981,0.299
0.078000,0.0116,-0.0045,-0.3374,0.338
0.079000,0.0177,-0.0118,-0.3652,0.366
0.083000,0.0071,-0.0020,-0.3983,0.398
0.092000,-0.0060,-0.0038,-0.4104,0.410
0.093000,-0.0239,-0.0005,-0.3848,0.386
0.097000,-0.0658,0.0005,-0.3284,0.335
0.100000,-0.0912,0.0088,-0.2604,0.276
0.112000,-0.1071,0.0244,-0.1926,0.222
0.113000,-0.1137,0.0374,-0.1463,0.189
0.116000,-0.1372,0.0696,-0.1095,0.189
0.171000,-0.1800,0.0704,-0.1107,0.223
0.172000,-0.1894,0.0615,-0.1380,0.242
0.172000,-0.1822,0.0527,-0.1820,0.263
0.172000,-0.2133,0.0487,-0.2117,0.304
0.173000,-0.2205,0.0471,-0.2198,0.315
0.173000,-0.2134,0.0456,-0.2303,0.317
0.173000,-0.2063,0.0440,-0.2480,0.326
0.173000,-0.2254,0.0352,-0.2154,0.314
0.173000,-0.2611,0.0216,-0.1825,0.319
0.174000,-0.2441,0.0269,-0.1877,0.309
0.174000,-0.2221,0.0465,-0.2190,0.315
0.177000,-0.2096,0.0708,-0.2526,0.336
0.182000,-0.1898,0.0903,-0.3100,0.375
0.189000,-0.2010,0.0907,-0.3460,0.410
0.191000,-0.2193,0.0672,-0.3795,0.443
0.197000,-0.1970,0.0343,-0.4370,0.481
0.205000,-0.1497,0.0346,-0.4934,0.517
0.208000,-0.1645,0.0161,-0.5377,0.563
0.211000,-0.1317,0.0097,-0.5676,0.583
0.217000,-0.0422,0.0439,-0.6449,0.648
0.228000,-0.0244,0.0448,-0.7314,0.733
0.230000,0.0312,0.0388,-0.7156,0.717
0.231000,0.1032,0.0518,-0.6618,0.672
0.239000,0.1085,0.0742,-0.6347,0.648
0.241000,0.0973,0.1321,-0.6624,0.682
0.246000,0.1006,0.1991,-0.7163,0.750
0.251000,0.1228,0.2278,-0.7200,0.765
0.287000,0.1402,0.2255,-0.6957,0.745
0.287000,0.1718,0.2187,-0.6979,0.751
0.288000,0.2035,0.2192,-0.7336,0.792
0.288000,0.2473,0.2508,-0.7860,0.861
0.288000,0.2200,0.2825,-0.8124,0.888
0.288000,0.2235,0.3262,-0.8048,0.897
0.288000,0.2660,0.3584,-0.7620,0.883
0.294000,0.2928,0.3765,-0.6937,0.842
0.296000,0.2845,0.3974,-0.6832,0.840
0.301000,0.3271,0.4114,-0.6588,0.843
0.314000,0.2987,0.3561,-0.5988,0.758
0.314000,0.3882,0.3130,-0.6369,0.809
0.316000,0.4930,0.2773,-0.6968,0.897
0.331000,0.5676,0.2348,-0.7641,0.980
0.331000,0.5977,0.1759,-0.8150,1.026
0.331000,0.6143,0.1054,-0.8304,1.038
0.385000,0.3019,-0.0100,-0.8557,0.907
0.386000,-1.5643,-0.4214,-1.0469,1.929
0.387000,-1.7324,-0.4277,-1.3013,2.208
0.387000,-1.9765,-0.4211,-1.3732,2.443
0.387000,-1.9787,-0.5114,-1.6863,2.650
0.387000,-2.0166,-0.5094,-1.8628,2.792
0.388000,-1.7335,-0.5948,-1.8428,2.599
0.388000,-1.3245,-0.7152,-1.7905,2.339
0.389000,-1.2238,-0.8513,-1.6989,2.260
0.389000,-1.1940,-0.9436,-1.5749,2.190
0.390000,-0.9118,-0.9517,-1.4850,1.986
0.394000,-0.5153,-0.9331,-1.3955,1.756
0.396000,-0.2457,-0.9214,-1.3229,1.631
0.402000,-0.1599,-0.9456,-1.2406,1.568
0.415000,-0.1789,-0.9770,-1.1818,1.544
0.416000,-0.2359,-1.0203,-1.1899,1.585
0.416000,-0.3047,-1.0682,-1.2481,1.671
0.427000,-0.4500,-1.1206,-1.3301,1.797
0.428000,-0.6511,-1.1703,-1.4672,1.986
0.431000,-0.8147,-1.2196,-1.6522,2.209
0.443000,-0.9343,-1.2679,-1.8597,2.437
0.444000,-0.9761,-1.2862,-2.0327,2.596
0.446000,-0.9110,-1.2789,-2.1573,2.668
0.452000,-0.8181,-1.3058,-2.2361,2.716
0.513000,-0.7209,-1.3457,-2.2947,2.756
0.514000,-0.6319,-1.3863,-2.3408,2.793
0.514000,-0.5585,-1.4372,-2.3861,2.841
0.515000,-0.4965,-1.5104,-2.4355,2.909
0.517000,-0.4985,-1.5626,-2.4722,2.967
0.517000,-0.5743,-1.5961,-2.5206,3.038
0.517000,-0.6824,-1.6131,-2.6091,3.142
0.518000,-0.8232,-1.5987,-2.7218,3.262
0.518000,-0.9773,-1.6003,-2.8040,3.373
0.519000,-1.1134,-1.6178,-2.8464,3.458
0.519000,-1.2173,-1.6340,-2.8443,3.499
0.519000,-1.2823,-1.6963,-2.8222,3.534
0.520000,-1.3087,-1.9126,-2.8247,3.654
0.524000,-1.2571,-1.8926,-2.7706,3.583
0.527000,-1.2091,-1.8062,-2.7316,3.491
0.532000,-1.1075,-1.7086,-2.5733,3.281
0.538000,-0.9144,-1.6187,-2.3485,2.995
0.542000,-0.7109,-1.5687,-2.1584,2.761
0.547000,-0.5117,-1.4962,-1.9191,2.487
0.565000,-0.3260,-1.4136,-1.6039,2.163
0.565000,-0.1628,-1.3306,-1.2864,1.858
0.566000,-0.0293,-1.2454,-1.0211,1.611
0.566000,0.0812,-1.1699,-0.7957,1.417
0.573000,0.1958,-1.1295,-0.6134,1.300
0.576000,0.2859,-1.1313,-0.4692,1.258
0.582000,0.2995,-1.1899,-0.4562,1.309
0.614000,0.3210,-1.2692,-0.5985,1.439
0.615000,0.4075,-1.3179,-0.8727,1.632
0.615000,0.5127,-1.4104,-1.2715,1.967
0.616000,0.6764,-1.3993,-1.6477,2.265
0.616000,0.8487,-1.3031,-1.9298,2.478
0.616000,0.9640,-1.2511,-2.1088,2.635
0.617000,0.9368,-1.2670,-2.2230,2.725
0.624000,0.8641,-1.3309,-2.2367,2.742
0.628000,0.8425,-1.4299,-2.2375,2.786
0.632000,0.8807,-1.5199,-2.2544,2.858
0.636000,0.9509,-1.6269,-2.4426,3.085
0.642000,0.9838,-1.6333,-2.3658,3.039
0.647000,0.8976,-1.5703,-1.9387,2.651
0.662000,0.6790,-1.4712,-1.4725,2.189
0.663000,0.3601,-1.4012,-0.8629,1.685
0.663000,0.6598,-1.6861,-0.3986,1.854
0.667000,1.2668,-2.0235,-0.0274,2.387
0.672000,1.6563,-2.0577,-0.2115,2.650
0.677000,1.6952,-1.9369,0.6524,2.655
0.683000,1.4131,-1.8338,1.2567,2.634
0.720000,1.1022,-1.7035,1.5578,2.558
0.720000,0.7192,-1.5380,1.7793,2.459
0.721000,0.3750,-1.3303,2.0621,2.482
0.721000,0.1027,-1.0710,2.3698,2.603
0.721000,-0.0920,-0.8293,2.4077,2.548
0.721000,-0.3285,-0.6163,2.4145,2.514
0.722000,-0.5412,-0.4621,2.3668,2.471
0.722000,-0.5741,-0.4407,2.1336,2.253
0.727000,-0.4705,-0.4703,1.8534,1.969
0.731000,-0.2705,-0.5266,1.5515,1.661
0.738000,-0.0271,-0.5535,1.2323,1.351
0.742000,0.2135,-0.5351,0.9592,1.119
0.750000,0.4620,-0.4544,0.7421,0.985
0.753000,0.6947,-0.3568,0.6042,0.987
0.757000,0.9264,-0.2717,0.6239,1.149
0.763000,1.0549,-0.1965,0.7381,1.302
0.768000,1.1092,-0.1431,0.8422,1.400
0.785000,1.0774,-0.1093,0.9309,1.428
0.785000,0.9476,-0.1057,0.9515,1.347
0.785000,0.7532,-0.1014,0.8797,1.163
0.787000,0.5013,-0.1110,0.6868,0.858
0.793000,0.1963,-0.1047,0.3989,0.457
0.798000,-0.1586,-0.1161,0.0321,0.199
0.804000,-0.5561,-0.1436,-0.3951,0.697
0.808000,-0.9860,-0.2050,-0.8239,1.301
0.812000,-1.4237,-0.2799,-1.2478,1.914
0.817000,-1.7861,-0.4078,-1.6858,2.490
0.853000,-1.8938,-0.5760,-1.9999,2.814
0.854000,-1.7947,-0.8257,-2.1453,2.916
0.854000,-1.5718,-1.1018,-2.2505,2.958
0.855000,-1.3103,-1.3423,-2.3523,3.009
0.856000,-1.0783,-1.5211,-2.4214,3.056
0.857000,-0.9208,-1.6191,-2.4628,3.088
0.857000,-0.8905,-1.6416,-2.4931,3.115
0.858000,-0.9607,-1.6288,-2.5196,3.150
0.863000,-1.1053,-1.6189,-2.5494,3.216
0.868000,-1.3054,-1.6427,-2.5822,3.327
0.872000,-1.5209,-1.6902,-2.6295,3.476
0.879000,-1.7041,-1.7803,-2.7032,3.658
0.883000,-1.8463,-1.8961,-2.8217,3.869
0.896000,-1.9120,-2.0465,-2.9897,4.097
0.901000,-1.9376,-2.2118,-3.1901,4.339
0.902000,-1.9739,-2.4010,-3.4083,4.613
0.902000,-2.0213,-2.5580,-3.6463,4.891
0.935000,-2.0350,-2.6696,-3.8584,5.114
0.936000,-2.0300,-2.7311,-4.0203,5.267
0.936000,-2.0132,-2.6888,-4.1490,5.338
0.937000,-2.0162,-2.5498,-4.2131,5.321
0.937000,-1.9248,-2.5032,-4.2025,5.257
0.937000,-1.6488,-2.4454,-4.1218,5.068
0.938000,-1.2899,-2.3970,-4.0443,4.875
0.943000,-0.9401,-2.3655,-3.9046,4.661
0.948000,-0.5594,-2.3009,-3.6833,4.379
