time,ax,ay,az,aT
0.005000,-0.5009,-0.7154,-1.4411,1.685
0.006000,-0.5674,-0.6868,-1.1832,1.481
0.007000,-0.5267,-0.6295,-1.0044,1.297
0.007000,-0.4264,-0.5843,-0.8663,1.129
0.007000,-0.3138,-0.5295,-0.7544,0.974
0.009000,-0.2053,-0.4652,-0.6997,0.865
0.018000,-0.1151,-0.3984,-0.6857,0.801
0.020000,-0.0978,-0.3556,-0.6956,0.787
0.025000,-0.1489,-0.3413,-0.6889,0.783
0.081000,-0.2372,-0.3389,-0.6632,0.782
0.081000,-0.3486,-0.3437,-0.6305,0.798
0.081000,-0.4499,-0.3555,-0.6098,0.837
0.082000,-0.5341,-0.3792,-0.5794,0.874
0.082000,-0.5727,-0.3981,-0.5536,0.890
0.082000,-0.6016,-0.4003,-0.5563,0.912
0.082000,-0.6115,-0.4000,-0.5709,0.927
0.082000,-0.6381,-0.4021,-0.5997,0.964
0.083000,-0.6816,-0.4138,-0.6334,1.018
0.083000,-0.7159,-0.4182,-0.6793,1.072
0.083000,-0.7506,-0.4226,-0.7280,1.128
0.093000,-0.7785,-0.4246,-0.7702,1.174
0.094000,-0.8092,-0.4048,-0.7939,1.204
0.094000,-0.8354,-0.3563,-0.7757,1.194
0.104000,-0.8572,-0.3006,-0.7225,1.161
0.104000,-0.8361,-0.2352,-0.6657,1.094
0.110000,-0.7768,-0.1792,-0.6100,1.004
0.125000,-0.7485,-0.1375,-0.5674,0.949
0.125000,-0.7607,-0.1219,-0.5832,0.966
0.126000,-0.6938,-0.0965,-0.5619,0.898
0.132000,-0.6313,-0.1068,-0.4672,0.793
0.135000,-0.5874,-0.1647,-0.4186,0.740
0.141000,-0.5190,-0.2081,-0.4012,0.688
0.145000,-0.4430,-0.2489,-0.4196,0.659
0.199000,-0.3474,-0.2823,-0.4262,0.618
0.200000,-0.2176,-0.3084,-0.5163,0.640
0.200000,-0.0824,-0.2985,-0.6352,0.707
0.201000,0.0202,-0.2715,-0.7235,0.773
0.201000,0.0474,-0.2418,-0.7817,0.820
0.201000,0.0613,-0.2190,-0.7667,0.800
0.201000,0.0760,-0.1839,-0.7263,0.753
0.202000,0.0769,-0.1414,-0.6575,0.677
0.202000,0.0830,-0.1156,-0.5673,0.585
0.202000,0.0966,-0.0922,-0.5250,0.542
0.203000,0.1417,-0.0638,-0.5472,0.569
0.210000,0.1680,-0.0401,-0.5907,0.615
0.211000,0.1971,0.0243,-0.6317,0.662
0.222000,0.2529,0.1175,-0.6820,0.737
0.223000,0.3356,0.2179,-0.6844,0.793
0.226000,0.4215,0.2945,-0.6152,0.802
0.241000,0.4700,0.3878,-0.5889,0.847
0.242000,0.4645,0.4838,-0.6133,0.909
0.242000,0.4047,0.5369,-0.6426,0.930
0.291000,-1.8160,0.0712,-0.9144,2.034
0.292000,-1.8066,0.1316,-1.0370,2.087
0.292000,-2.3583,0.3329,-0.9193,2.553
0.292000,-1.8969,0.3567,-0.7306,2.064
0.292000,-1.7139,0.1817,-0.5608,1.812
0.293000,-1.4041,-0.0534,-0.3198,1.441
0.293000,-0.9019,-0.1957,-0.1860,0.941
0.293000,-0.3137,-0.2739,-0.2546,0.488
