SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, -0.0000, 0, 0.05999964, -0.90507627, 0.15204734, 0.36381781, 6.76211786, 9.85750961, -62.37942123, 23.26804924, -87.54750061, 91.67801666, -0.38054174, 159.06478882, 0.12422888, -0.13260880, -0.70502180, -0.68551183, -0.06642213, -0.09447430, -0.12276435, 99.94600677, 115.42807770, 0.00000000, 0.00000000
2, 0.0050, 1, 0.05851439, -0.89796472, 0.14091194, -0.58923703, 5.79102755, 9.73411369, -62.37942123, 23.26804924, -87.54750061, 91.67488098, -0.43003801, 159.09231567, 0.12376297, -0.13273181, -0.70497912, -0.68561608, -0.06580516, -0.10158116, -0.11167163, 99.94600677, 115.42807770, 0.00000000, 0.00000000
1, 0.0000, 0, -0.24846593, -0.95043218, 0.01688502, 23.46236801, 6.76653957, -102.12718201, -61.41479111, 11.28325081, -79.85968781, 102.34368134, -4.53576088, 0.00191225, -0.62649548, 0.77841997, -0.02479792, 0.03083794, 0.16721928, -0.02334699, 0.19357197, 99.98600769, 112.06170654, 32.77000046, 0.00000000
4, -0.0000, 0, -0.34043688, -0.87323809, 0.19216904, -1.20479810, 10.75865650, 3.98980761, -17.39257431, -55.86085892, -100.64308929, 101.49290466, -12.81199074, 122.09423828, 0.22879875, -0.43429124, -0.63916653, -0.59203762, 0.11881879, -0.08232812, 0.00219852, 99.96100616, 114.16564178, 32.43999863, 0.00000000
5, 0.0000, 0, 0.47008002, -0.71435124, 0.15680113, -0.91413546, 3.26212692, 22.11776161, -39.69599533, -2.04618526, -65.82870483, 98.23313141, 31.12923241, 164.85591125, 0.28418168, 0.07812043, -0.74510896, -0.59828979, 0.04730928, -0.13257682, -0.03424084, 99.90400696, 118.96384430, 32.06999969, 0.00000000
3, 0.0000, 0, 0.17672753, -0.92357427, 0.30502456, 14.04406548, 10.62856293, -49.97696686, -15.20023346, -45.71762466, -104.53083801, 106.39702606, 10.94574165, -17.57608604, 0.57764596, -0.79643714, 0.06531253, 0.16657582, 0.01217970, -0.01859432, -0.02820098, 100.02400208, 108.86521149, 32.43000031, 0.00000000
1, 0.0050, 1, -0.23611785, -0.95633888, 0.02754015, 21.36936188, 4.31442308, -97.91767120, -61.41479111, 11.28325081, -79.85968781, 102.43986511, -4.06174326, 0.12768103, -0.62590837, 0.77909034, -0.02132790, 0.02832329, 0.16316792, -0.01771949, 0.18474790, 99.98600769, 112.06170654, 32.77000046, 0.00000000
1, 0.0100, 2, -0.22609715, -0.97217143, 0.03302522, 18.32517242, 1.30993772, -92.79787445, -61.23940277, 10.46477604, -80.00584412, 102.52323151, -3.60974264, 0.23391338, -0.62540376, 0.77966285, -0.01811747, 0.02584369, 0.16112074, -0.00210594, 0.18086830, 99.98600769, 112.06170654, 32.77000046, 0.00000000
1, 0.0150, 3, -0.22219457, -0.98085415, 0.03678892, 15.82174301, -2.56646800, -88.89749908, -61.23940277, 10.46477604, -80.00584412, 102.59626007, -3.17276955, 0.31752658, -0.62496650, 0.78015572, -0.01514828, 0.02333677, 0.16487440, 0.00639746, 0.17848197, 99.98600769, 112.06170654, 32.77000046, 0.00000000
2, 0.0100, 2, 0.05275813, -0.89519143, 0.12803361, -1.46986377, 4.43839121, 9.67491055, -62.20403290, 22.47880745, -87.16749573, 91.66736603, -0.47903848, 159.11309814, 0.12334552, -0.13288869, -0.70490307, -0.68573922, -0.06090695, -0.10435073, -0.09889853, 99.94600677, 115.42807770, 0.00000000, 0.00000000
2, 0.0150, 3, 0.04739328, -0.89452308, 0.11860495, -2.24323130, 2.70455027, 9.64530468, -62.20403290, 22.47880745, -87.16749573, 91.65604401, -0.52763629, 159.12521362, 0.12298672, -0.13309233, -0.70479453, -0.68587571, -0.05639043, -0.10501720, -0.08965097, 99.94600677, 115.42807770, 0.00000000, 0.00000000
4, 0.0050, 1, -0.33251458, -0.87387216, 0.18130995, -1.38627529, 11.23662472, 4.28162622, -17.39257431, -55.86085892, -100.64308929, 101.47440338, -12.84415627, 122.14633942, 0.22840098, -0.43410644, -0.63916165, -0.59233189, 0.11035201, -0.08163533, 0.01272419, 99.96100616, 114.16564178, 32.43999863, 0.00000000
4, 0.0100, 2, -0.33565253, -0.87657452, 0.18279645, -1.72786856, 9.54216385, 4.50231314, -15.08330917, -55.33469772, -100.73078156, 101.45610809, -12.87570000, 122.18970490, 0.22805122, -0.43396810, -0.63912678, -0.59260565, 0.11294968, -0.07887400, 0.01090859, 99.96100616, 114.16564178, 32.43999863, 0.00000000
4, 0.0150, 3, -0.32602593, -0.86824888, 0.18883213, -2.25582314, 9.02421284, 4.46929359, -15.08330917, -55.33469772, -100.73078156, 101.43571472, -12.90654945, 122.23052216, 0.22772668, -0.43383685, -0.63907355, -0.59288383, 0.10279547, -0.08714801, 0.00451951, 99.96100616, 114.16564178, 32.43999863, 0.00000000
3, 0.0050, 1, 0.22862995, -0.95229524, 0.31681347, 14.06744957, 7.41166830, -51.13368607, -14.11867905, -45.24992752, -105.20315552, 106.48844910, 11.18046570, -17.46612930, 0.57680500, -0.79698902, 0.06345081, 0.16756649, -0.03574682, 0.01131561, -0.03869061, 100.02400208, 108.86521149, 32.43000031, 0.00000000
3, 0.0100, 2, 0.21709953, -0.95059139, 0.27874529, 13.01435566, 3.20862222, -52.46520233, -14.11867905, -45.24992752, -105.20315552, 106.57151794, 11.42738438, -17.37433052, 0.57597613, -0.79748309, 0.06164052, 0.16873884, -0.02004470, 0.01082292, 0.00054571, 100.02400208, 108.86521149, 32.43000031, 0.00000000
3, 0.0150, 3, 0.19610046, -0.93254709, 0.26576567, 12.54038239, 0.95484972, -53.29061890, -14.11867905, -45.24992752, -105.20315552, 106.64996338, 11.68052769, -17.29209137, 0.57515466, -0.79794228, 0.05985876, 0.17000635, 0.00525980, -0.00599539, 0.01457445, 100.02400208, 108.86521149, 32.43000031, 0.00000000
2, 0.0200, 4, 0.04139939, -0.89918101, 0.10500643, -2.80306244, 0.90098095, 9.71999454, -62.08710861, 23.38497543, -87.13825989, 91.64200592, -0.57634717, 159.12831116, 0.12268438, -0.13334924, -0.70465899, -0.68601924, -0.05124566, -0.10035817, -0.07629365, 99.94600677, 115.42807770, 0.00000000, 0.00000000
4, 0.0200, 4, -0.30645490, -0.86122239, 0.17942685, -2.57493114, 9.02569008, 4.33657789, -13.18327999, -57.20549393, -100.78924561, 101.41368103, -12.93674088, 122.27152252, 0.22741151, -0.43369859, -0.63901448, -0.59316951, 0.08270773, -0.09413100, 0.01354265, 99.96100616, 114.16564178, 32.43999863, 0.00000000
4, 0.0250, 5, -0.30348575, -0.85004288, 0.18573795, -2.06485701, 7.33815336, 4.22500896, -13.18327999, -57.20549393, -100.78924561, 101.39604950, -12.96470451, 122.30413055, 0.22713661, -0.43360600, -0.63895386, -0.59340781, 0.07925145, -0.10526587, 0.00688608, 99.96100616, 114.16564178, 32.43999863, 0.00000000
