time,ax,ay,az,aT
0.005000,0.3599,0.3576,-1.8351,1.904
0.005000,0.2170,0.4224,-1.5449,1.616
0.006000,0.1958,0.4395,-1.1668,1.262
0.007000,0.2357,0.4248,-0.7486,0.892
0.016000,0.2937,0.4059,-0.4306,0.661
0.017000,0.2955,0.4057,-0.2570,0.564
0.024000,0.2819,0.4496,-0.1912,0.564
0.026000,0.2722,0.4426,-0.2137,0.562
0.034000,0.2427,0.3847,-0.3668,0.584
0.037000,0.2484,0.3173,-0.5309,0.667
0.042000,0.1913,0.2527,-0.6610,0.733
0.047000,0.1288,0.2128,-0.7288,0.770
0.052000,0.0775,0.1808,-0.7393,0.765
0.056000,0.0536,0.2167,-0.6693,0.706
0.061000,0.0433,0.2937,-0.5524,0.627
0.066000,0.0441,0.3876,-0.4959,0.631
0.078000,0.0303,0.5293,-0.3779,0.651
0.079000,0.0236,0.6755,-0.2536,0.722
0.081000,0.0578,0.8524,-0.0917,0.859
0.086000,0.1565,1.0312,0.1884,1.060
0.091000,0.3517,1.1376,0.4365,1.268
0.096000,0.6406,1.2695,0.6860,1.579
0.101000,0.9015,1.3959,0.9276,1.903
0.107000,1.1112,1.5046,1.2280,2.238
0.112000,1.2628,1.5622,1.4775,2.494
0.120000,1.2633,1.5066,1.4643,2.452
0.122000,1.2011,1.3049,1.2254,2.156
0.126000,1.3439,1.0108,0.9190,1.916
0.133000,1.0246,0.8849,0.9362,1.646
0.136000,0.6746,0.9793,0.7439,1.403
0.151000,0.7693,0.9099,0.1454,1.200
0.153000,0.8088,0.7352,-0.1836,1.108
0.153000,0.7615,0.5628,-0.0206,0.947
0.157000,0.6621,0.3853,0.1720,0.785
0.161000,0.4164,0.1502,0.5707,0.722
0.168000,0.0803,-0.0326,1.0890,1.092
0.182000,-0.2203,-0.1183,1.6768,1.695
0.183000,-0.4157,-0.2080,2.2624,2.310
0.184000,-0.4530,-0.3481,2.7774,2.836
0.186000,-0.3974,-0.4942,3.0389,3.104
0.192000,-0.1984,-0.6061,2.8528,2.923
0.196000,-0.0058,-0.6675,2.3950,2.486
0.200000,0.4471,-0.5927,1.8669,2.009
0.207000,1.0125,-0.3300,1.3330,1.706
0.213000,1.4582,0.0302,0.7859,1.657
0.216000,1.6310,0.3719,0.2420,1.690
0.220000,1.5265,0.6363,-0.2321,1.670
0.225000,1.5403,0.5453,-0.5155,1.713
0.230000,1.9042,0.0100,-0.4687,1.961
0.235000,1.0404,0.2673,-0.3698,1.136
0.251000,-0.0224,0.4961,-0.3452,0.605
0.252000,-0.5675,0.6391,-0.6303,1.062
0.252000,-0.5894,0.7897,-0.9281,1.354
0.257000,-0.4295,0.9098,-1.2457,1.601
0.260000,-0.3290,0.7591,-1.4122,1.637
0.265000,-0.3932,0.4579,-1.4829,1.601
0.270000,-0.3558,0.2410,-1.6348,1.690
0.276000,-0.3049,0.0813,-1.6461,1.676
0.280000,-0.3134,0.0403,-1.5367,1.569
0.285000,-0.3860,0.0129,-1.2764,1.334
