time,gFx,gFy,gFz,TgF
0.002000,-0.1694,0.3981,0.6949,0.819
0.003000,-0.1609,0.4052,0.6988,0.824
0.003000,-0.1489,0.4059,0.7105,0.832
0.003000,-0.1335,0.4069,0.7325,0.848
0.017000,-0.1184,0.4086,0.7596,0.871
0.017000,-0.1059,0.4111,0.7831,0.891
0.018000,-0.0944,0.4120,0.8009,0.906
0.018000,-0.0849,0.4125,0.8180,0.920
0.036000,-0.0798,0.4130,0.8341,0.934
0.036000,-0.0795,0.4125,0.8478,0.946
0.036000,-0.0798,0.4084,0.8666,0.961
0.037000,-0.0749,0.4003,0.8869,0.976
0.037000,-0.0668,0.3935,0.9013,0.986
0.045000,-0.0622,0.3879,0.9118,0.993
0.046000,-0.0610,0.3820,0.9218,1.000
0.059000,-0.0646,0.3729,0.9301,1.004
0.059000,-0.0700,0.3639,0.9348,1.006
0.059000,-0.0756,0.3544,0.9389,1.006
0.061000,-0.0827,0.3453,0.9436,1.008
0.072000,-0.0937,0.3356,0.9519,1.014
0.072000,-0.1027,0.3322,0.9590,1.020
0.074000,-0.1120,0.3302,0.9616,1.023
0.078000,-0.1186,0.3287,0.9604,1.022
0.082000,-0.1238,0.3270,0.9580,1.020
0.091000,-0.1277,0.3285,0.9592,1.022
0.092000,-0.1313,0.3302,0.9590,1.023
0.093000,-0.1347,0.3334,0.9553,1.021
0.097000,-0.1379,0.3375,0.9499,1.017
0.108000,-0.1391,0.3424,0.9445,1.014
0.108000,-0.1377,0.3473,0.9370,1.009
0.109000,-0.1343,0.3507,0.9284,1.001
0.113000,-0.1306,0.3541,0.9201,0.995
0.117000,-0.1255,0.3593,0.9133,0.989
0.125000,-0.1176,0.3639,0.9023,0.980
0.125000,-0.1111,0.3686,0.8920,0.972
0.129000,-0.1081,0.3729,0.8815,0.963
0.143000,-0.1069,0.3776,0.8727,0.957
0.143000,-0.1052,0.3832,0.8634,0.950
0.143000,-0.1052,0.3876,0.8564,0.946
0.145000,-0.1049,0.3901,0.8512,0.942
0.152000,-0.1042,0.3918,0.8483,0.940
0.153000,-0.1030,0.3927,0.8461,0.938
0.157000,-0.1025,0.3925,0.8449,0.937
0.161000,-0.1037,0.3942,0.8476,0.940
0.167000,-0.1049,0.3944,0.8537,0.946
0.169000,-0.1064,0.3947,0.8612,0.953
0.173000,-0.1101,0.3952,0.8713,0.963
0.176000,-0.1120,0.3962,0.8813,0.973
0.181000,-0.1125,0.3991,0.8923,0.984
0.185000,-0.1106,0.4008,0.9023,0.993
0.189000,-0.1069,0.4020,0.9108,1.001
0.193000,-0.1025,0.4045,0.9152,1.006
0.196000,-0.0988,0.4059,0.9152,1.006
0.207000,-0.0979,0.4042,0.9108,1.001
0.208000,-0.1001,0.3996,0.9020,0.992
0.210000,-0.1057,0.3940,0.8893,0.978
0.213000,-0.1137,0.3844,0.8722,0.960
0.217000,-0.1203,0.3693,0.8520,0.936
0.221000,-0.1228,0.3493,0.8309,0.910
0.225000,-0.1203,0.3292,0.8212,0.893
0.229000,-0.1306,0.3221,0.8170,0.888
0.242000,-0.1472,0.3219,0.8185,0.892
0.243000,-0.1670,0.3199,0.8197,0.896
0.243000,-0.1875,0.3168,0.8192,0.898
0.247000,-0.2046,0.3060,0.8236,0.902
0.249000,-0.2171,0.2899,0.8329,0.908
0.253000,-0.2181,0.2794,0.8458,0.917
0.262000,-0.2117,0.2743,0.8637,0.931
0.263000,-0.2014,0.2735,0.8864,0.949
0.266000,-0.1924,0.2740,0.9116,0.971
0.270000,-0.1846,0.2730,0.9353,0.992
0.274000,-0.1780,0.2718,0.9533,1.007
0.277000,-0.1731,0.2711,0.9656,1.018
0.281000,-0.1675,0.2706,0.9707,1.022
0.288000,-0.1626,0.2699,0.9717,1.021
0.288000,-0.1584,0.2696,0.9712,1.020
0.293000,-0.1548,0.2706,0.9692,1.018
