time,ax,ay,az,aT
0.004000,0.0587,-0.2892,-0.1740,0.343
0.004000,0.0821,-0.2693,-0.3026,0.413
0.005000,0.0542,-0.2468,-0.3526,0.434
0.005000,-0.0517,-0.2051,-0.3218,0.385
0.005000,-0.1689,-0.1469,-0.2415,0.329
0.010000,-0.1919,-0.1418,-0.1213,0.268
0.011000,-0.1946,-0.1735,-0.0207,0.262
0.020000,-0.1767,-0.1654,0.0126,0.242
0.021000,-0.1855,-0.1244,0.0099,0.224
0.032000,-0.1992,-0.0932,0.0096,0.220
0.032000,-0.1934,-0.0385,0.0884,0.216
0.035000,-0.1941,-0.0319,0.1077,0.224
0.040000,-0.1913,0.0156,0.1297,0.232
0.065000,-0.2355,0.0297,0.1257,0.269
0.066000,-0.2882,0.0440,0.1507,0.328
0.066000,-0.2685,0.0153,0.1329,0.300
0.066000,-0.2148,-0.0517,0.0652,0.230
0.066000,-0.0959,-0.0850,-0.0620,0.142
0.075000,-0.1922,-0.1254,-0.1029,0.251
0.075000,-0.2690,-0.1847,-0.1007,0.342
0.085000,-0.2622,-0.2944,-0.1893,0.437
0.085000,-0.1768,-0.3564,-0.2588,0.475
0.090000,-0.1542,-0.4065,-0.3308,0.546
0.103000,-0.1848,-0.3990,-0.4125,0.603
0.104000,-0.2258,-0.4344,-0.4824,0.687
0.105000,-0.2413,-0.4384,-0.4475,0.671
0.119000,-0.2386,-0.4422,-0.3987,0.641
0.120000,-0.2366,-0.4124,-0.3526,0.592
0.120000,-0.2518,-0.3514,-0.2996,0.526
0.136000,-0.2576,-0.3261,-0.2419,0.481
0.137000,-0.2564,-0.3271,-0.1390,0.438
0.137000,-0.3364,-0.3497,-0.0912,0.494
0.141000,-0.4306,-0.3772,0.0810,0.578
0.153000,-0.4432,-0.3833,0.1120,0.597
0.153000,-0.3617,-0.3755,0.0716,0.526
0.156000,-0.3058,-0.3749,0.0100,0.484
0.160000,-0.3571,-0.3337,0.0013,0.489
0.165000,-0.3888,-0.3162,-0.0598,0.505
0.170000,-0.3967,-0.3152,-0.0660,0.511
0.175000,-0.3834,-0.2878,-0.0389,0.481
0.191000,-0.4301,-0.3537,-0.0333,0.558
0.192000,-0.5177,-0.3837,-0.0303,0.645
0.192000,-0.5457,-0.3996,-0.0680,0.680
0.196000,-0.5045,-0.4274,-0.1153,0.671
0.200000,-0.4130,-0.4580,-0.2007,0.649
0.205000,-0.2956,-0.4598,-0.2789,0.614
0.209000,-0.2765,-0.4878,-0.3690,0.671
0.214000,-0.4605,-0.5347,-0.3322,0.780
0.219000,-0.4506,-0.6220,-0.3434,0.841
0.225000,-0.3834,-0.5850,-0.3664,0.790
0.230000,-0.3904,-0.5816,-0.3512,0.784
0.234000,-0.4387,-0.6046,-0.4271,0.860
0.239000,-0.4251,-0.6324,-0.5030,0.913
0.245000,-0.3572,-0.6214,-0.4859,0.866
0.249000,-0.4522,-0.6341,-0.3469,0.853
0.254000,-0.4707,-0.6132,-0.3302,0.841
0.268000,-0.4245,-0.6067,-0.3062,0.801
0.269000,-0.3951,-0.6191,-0.2369,0.772
0.269000,-0.4161,-0.6556,-0.1629,0.793
0.275000,-0.4416,-0.6586,-0.1247,0.803
0.280000,-0.4646,-0.6403,-0.1248,0.801
0.284000,-0.4227,-0.5816,-0.1128,0.728
0.289000,-0.4620,-0.5665,-0.1317,0.743
0.295000,-0.4917,-0.5540,-0.2128,0.771
0.299000,-0.4856,-0.5367,-0.3631,0.810
0.304000,-0.4487,-0.5192,-0.4489,0.820
0.311000,-0.4948,-0.5788,-0.4335,0.876
0.314000,-0.4908,-0.5998,-0.4254,0.884
0.320000,-0.3607,-0.6491,-0.4293,0.858
0.323000,-0.3358,-0.6649,-0.5160,0.906
0.331000,-0.3038,-0.6472,-0.6185,0.945
0.334000,-0.2333,-0.6719,-0.6202,0.944
0.339000,-0.3275,-0.7464,-0.5931,1.008
0.356000,-0.3523,-0.7967,-0.5900,1.052
0.359000,-0.3199,-0.8302,-0.5773,1.061
0.359000,-0.2899,-0.8544,-0.5408,1.052
0.360000,-0.2741,-0.8211,-0.5233,1.012
0.383000,-0.0960,-0.7879,-0.6232,1.009
0.384000,0.0570,-0.7427,-0.7304,1.043
0.384000,-0.2432,-0.7546,-0.6371,1.017
0.384000,-0.3716,-0.7234,-0.6780,1.059
0.387000,-0.1686,-0.6801,-0.7121,0.999
0.389000,-0.0149,-0.6942,-0.6701,0.965
0.394000,0.0783,-0.7225,-0.8580,1.124
0.398000,0.1157,-0.7838,-0.9382,1.228
0.404000,0.1468,-0.8037,-0.8659,1.191
0.411000,0.1952,-0.7970,-0.7729,1.127
0.414000,-0.2870,-1.0368,-0.6542,1.259
0.418000,-1.8945,-2.0624,-0.4844,2.842
0.423000,-1.5779,-1.5383,0.1144,2.207
0.429000,-1.0840,-1.0092,-0.1435,1.488
0.433000,-0.7153,-1.1343,-1.0016,1.674
0.438000,-0.8116,-1.5851,-2.1033,2.756
0.445000,-0.5700,-1.3902,-2.2025,2.666
0.448000,-0.5624,-1.8345,-1.3026,2.319
0.454000,-0.7016,-2.2116,-0.9348,2.501
0.461000,-0.6026,-2.0013,-1.4164,2.525
0.464000,-0.3561,-1.7711,-1.2802,2.214
0.470000,-0.1659,-1.6723,-1.3281,2.142
0.474000,-0.0350,-1.7047,-1.4955,2.268
0.489000,0.0827,-1.7578,-1.5979,2.377
0.492000,0.1420,-1.8547,-1.7958,2.586
0.493000,0.1245,-1.8847,-2.0698,2.802
0.493000,0.1118,-1.8545,-2.2810,2.942
0.535000,0.0431,-1.8478,-2.4848,3.097
0.536000,0.0052,-1.7873,-2.5306,3.098
0.537000,-0.0936,-1.6833,-2.5525,3.059
0.537000,-0.2361,-1.5717,-2.5481,3.003
0.538000,-0.3146,-1.5197,-2.4481,2.899
0.539000,-0.3590,-1.4467,-2.3889,2.816
0.539000,-0.5397,-1.4800,-2.4661,2.926
0.540000,-0.5588,-1.6672,-2.6202,3.156
0.540000,-0.8396,-1.5945,-2.5285,3.105
0.545000,-1.1354,-1.5252,-2.5112,3.150
0.547000,-1.1469,-1.4859,-2.7952,3.367
0.552000,-1.0589,-1.4112,-2.9401,3.429
0.557000,-0.8863,-1.2863,-2.8435,3.244
0.563000,-0.7065,-1.2782,-2.7687,3.130
0.568000,-0.5995,-1.3336,-2.6558,3.032
0.573000,-0.6384,-1.3975,-2.5767,3.000
0.589000,-0.6413,-1.4743,-2.4495,2.930
0.590000,-0.6061,-1.5686,-2.4179,2.945
0.590000,-0.5053,-1.5795,-2.3643,2.888
0.592000,-0.3641,-1.5493,-2.2959,2.794
0.598000,-0.1254,-1.4349,-2.1483,2.586
0.602000,-0.0058,-1.2623,-2.0339,2.394
0.606000,0.0818,-1.0317,-1.8688,2.136
0.626000,0.1318,-0.7814,-1.4380,1.642
0.627000,0.2415,-0.5456,-1.0023,1.166
0.627000,0.2474,-0.3680,-0.7339,0.857
0.627000,0.1997,-0.2494,-0.3837,0.499
0.632000,0.1156,-0.1667,0.0075,0.203
0.636000,0.0105,-0.1659,0.3418,0.380
0.641000,0.0266,-0.1257,0.6409,0.654
0.646000,0.3085,-0.0485,0.8473,0.903
0.652000,0.3329,0.0180,1.2312,1.276
0.656000,0.4957,0.1361,1.6252,1.705
0.661000,0.8821,0.3703,2.1008,2.308
0.666000,1.1844,0.7325,2.6651,3.007
0.671000,1.4164,1.0782,3.1170,3.590
0.688000,1.6309,1.2656,3.4975,4.061
0.690000,1.9056,1.3470,3.9524,4.590
0.692000,2.1148,1.4127,4.2283,4.934
0.693000,2.2421,1.4649,4.4113,5.161
0.696000,2.3286,1.5013,4.5709,5.345
0.701000,2.3956,1.5046,4.5087,5.323
0.705000,2.4479,1.4902,4.2917,5.161
0.721000,2.3982,1.4512,3.9822,4.870
0.723000,2.3681,1.4338,3.5205,4.479
0.723000,2.3215,1.4129,3.0477,4.083
0.732000,2.1662,1.4515,2.7478,3.788
0.733000,2.0289,1.5168,2.5320,3.582
0.737000,1.8731,1.5658,2.3069,3.359
0.742000,1.7270,1.5895,2.1037,3.152
0.747000,1.6024,1.5999,1.8576,2.929
0.752000,1.4387,1.6161,1.6215,2.704
0.757000,1.3341,1.6453,1.4503,2.567
0.760000,1.2737,1.6778,1.2316,2.440
0.766000,1.1928,1.7040,1.0349,2.323
0.770000,0.9937,1.7239,0.8361,2.158
0.792000,0.7147,1.7017,0.5157,1.916
0.793000,0.3662,1.6044,0.2508,1.665
0.793000,0.0412,1.5638,0.0076,1.564
0.793000,-0.1595,1.5445,-0.2116,1.567
0.795000,-0.3050,1.5922,-0.3448,1.657
0.801000,-0.4075,1.6446,-0.4422,1.751
0.805000,-0.4186,1.7138,-0.4634,1.824
0.811000,-0.3498,1.8136,-0.4085,1.892
0.819000,-0.1849,1.8195,-0.3230,1.857
0.820000,-0.0071,1.8362,-0.2689,1.856
0.825000,0.2884,1.9756,-0.2246,2.009
0.835000,0.4702,1.9959,-0.2333,2.064
0.836000,0.5984,2.0332,-0.2995,2.140
0.840000,0.7685,2.0900,-0.3084,2.248
0.845000,0.9474,2.1066,-0.3392,2.335
0.850000,1.1278,2.1405,-0.2484,2.432
0.855000,1.3001,2.2321,-0.1890,2.590
0.860000,1.3595,2.3049,-0.0823,2.677
0.865000,1.3583,2.2987,0.0288,2.670
0.870000,1.2399,2.2612,0.0367,2.579
0.875000,1.0735,2.2091,-0.0562,2.457
0.883000,0.9187,2.1283,-0.1636,2.324
0.885000,0.7586,2.0622,-0.3477,2.225
0.889000,0.6576,2.0421,-0.4626,2.195
0.913000,0.5582,2.0016,-0.6449,2.176
0.915000,0.5032,1.9245,-0.8251,2.154
0.915000,0.5620,1.8350,-0.9317,2.133
0.916000,0.6819,1.7669,-1.0197,2.151
0.916000,0.8434,1.7729,-1.0175,2.211
0.920000,0.9838,1.7595,-0.9106,2.212
0.925000,1.0984,1.8031,-0.7638,2.245
0.930000,1.1419,1.8792,-0.5818,2.275
0.934000,1.1406,1.9371,-0.3644,2.277
0.939000,1.1422,1.9884,-0.1524,2.298
0.945000,1.1055,2.0110,0.0547,2.295
0.949000,1.0128,1.9946,0.3503,2.264
0.954000,0.8275,1.9771,0.5625,2.216
0.961000,0.6858,1.9723,0.9020,2.275
0.964000,0.6303,2.0610,1.2803,2.507
0.970000,0.5891,2.1830,1.6425,2.795
0.974000,0.4348,2.2587,1.8261,2.937
0.980000,0.2454,2.2641,1.9967,3.029
0.983000,-0.0443,2.1251,2.1354,3.013
0.989000,-0.3414,1.9136,2.0678,2.838
1.000000,-0.6789,1.6278,1.8585,2.562
1.001000,-0.8825,1.3951,1.5699,2.278
1.004000,-0.9376,1.3053,1.1660,1.986
1.028000,-0.8476,1.2656,0.7258,1.687
1.029000,-0.6451,1.2505,0.4165,1.467
1.030000,-0.4667,1.2295,0.1638,1.325
1.030000,-0.3504,1.2028,-0.0706,1.255
1.030000,-0.3546,1.1256,-0.1795,1.194
1.033000,-0.3229,1.0388,-0.4528,1.178
1.039000,-0.2700,1.0141,-0.4474,1.141
1.044000,-0.1946,1.0439,-0.3388,1.115
1.048000,-0.2035,1.0871,-0.2633,1.137
1.053000,-0.2781,1.1311,-0.1081,1.170
1.058000,-0.3867,1.1536,0.0429,1.217
1.064000,-0.5714,1.1398,0.0054,1.275
1.068000,-0.7730,1.0918,-0.1410,1.345
1.073000,-0.9550,0.9997,-0.1454,1.390
1.079000,-1.2046,0.9330,-0.1843,1.535
1.083000,-1.4803,0.8151,-0.2198,1.704
1.088000,-1.7095,0.7253,-0.2117,1.869
1.100000,-1.8541,0.6873,-0.2243,1.990
1.100000,-1.8724,0.6534,-0.2918,2.004
1.107000,-1.7626,0.5999,-0.4115,1.907
1.108000,-1.7155,0.5820,-0.6124,1.912
1.129000,-1.6345,0.6576,-0.8616,1.961
1.131000,-1.5252,0.7026,-1.0367,1.973
1.131000,-1.3489,0.7482,-1.1333,1.914
1.132000,-1.1998,0.7443,-1.2374,1.877
1.133000,-1.1639,0.7026,-1.3824,1.939
1.138000,-1.1360,0.6279,-1.4080,1.915
1.144000,-1.0882,0.6348,-1.4121,1.892
1.148000,-1.0750,0.6207,-1.3829,1.858
1.153000,-1.0200,0.6189,-1.3660,1.814
1.159000,-0.8941,0.6582,-1.3089,1.716
1.163000,-0.7592,0.7025,-1.2597,1.630
1.168000,-0.6470,0.7850,-1.1797,1.558
1.172000,-0.6046,0.7977,-1.1101,1.495
1.179000,-0.5485,0.8052,-1.0721,1.449
1.182000,-0.4997,0.7571,-1.0278,1.371
1.187000,-0.4263,0.7443,-1.0731,1.374
1.195000,-0.2884,0.7286,-1.1241,1.370
1.197000,-0.2174,0.7009,-1.2264,1.429
1.203000,-0.2022,0.7069,-1.3078,1.500
1.207000,-0.2097,0.7110,-1.3227,1.516
1.214000,-0.2668,0.7248,-1.3164,1.526
1.217000,-0.2575,0.6789,-1.1828,1.388
1.222000,-0.0837,0.5967,-1.1517,1.300
1.236000,0.0467,0.4967,-1.1440,1.248
1.237000,0.0807,0.5005,-1.1043,1.215
1.238000,0.0673,0.4959,-1.1697,1.272
1.269000,0.0619,0.4589,-1.2995,1.380
1.270000,0.1346,0.4428,-1.4799,1.551
1.271000,0.1922,0.4524,-1.6177,1.691
1.271000,0.3132,0.4283,-1.7345,1.814
1.272000,0.3909,0.3922,-1.7446,1.830
1.273000,0.3437,0.3468,-1.6841,1.753
1.273000,0.3228,0.2946,-1.6848,1.741
1.279000,0.3280,0.2284,-1.6558,1.703
1.282000,0.2889,0.2705,-1.5701,1.619
1.287000,0.2246,0.3294,-1.3633,1.420
1.294000,0.2471,0.3958,-1.1117,1.206
1.298000,0.3754,0.4381,-0.8128,0.997
1.301000,0.4630,0.4679,-0.3996,0.770
1.306000,0.5791,0.5948,0.0973,0.836
1.311000,0.6643,0.7607,0.4957,1.125
1.316000,0.7567,0.9390,0.7722,1.432
1.321000,0.7296,1.0505,1.0272,1.640
1.331000,0.6937,1.1500,1.2606,1.842
1.332000,0.7211,1.1728,1.4461,1.997
1.336000,0.8001,1.1908,1.5856,2.138
1.341000,0.8974,1.0678,1.6362,2.150
1.361000,0.8698,0.9819,1.5640,2.041
1.363000,0.8156,0.8571,1.5699,1.966
1.363000,0.7395,0.7726,1.5961,1.921
1.364000,0.7022,0.6265,1.4746,1.749
1.366000,0.6516,0.4552,1.3102,1.532
1.371000,0.6587,0.2623,1.2131,1.405
1.377000,0.7522,0.0508,1.1877,1.407
1.384000,0.9319,-0.1739,1.1621,1.500
1.386000,1.2577,-0.3345,1.1359,1.727
1.391000,1.7240,-0.3708,1.1858,2.125
1.397000,2.2227,-0.2232,1.2715,2.570
1.402000,2.6859,0.0030,1.4506,3.053
1.406000,3.0611,0.1423,1.8284,3.568
1.411000,3.4270,0.1368,2.2928,4.126
1.415000,3.7500,0.1269,2.8607,4.718
1.421000,4.1385,0.0690,3.4695,5.401
1.433000,4.4942,0.0527,4.0648,6.060
1.437000,4.6429,0.0770,4.6348,6.561
1.438000,4.5793,-0.0392,5.1205,6.870
1.440000,4.4349,-0.2397,5.4367,7.020
1.466000,4.1839,-0.4249,5.5716,6.981
1.467000,3.9994,-0.5207,5.5130,6.831
1.468000,3.9174,-0.5178,5.1439,6.486
1.468000,3.8422,-0.4616,4.6271,6.032
1.469000,3.7498,-0.4754,3.9675,5.480
1.470000,3.6950,-0.5229,3.2824,4.970
1.478000,3.5884,-0.5553,2.5913,4.461
1.481000,3.2739,-0.7369,2.0498,3.932
1.485000,2.8939,-0.8827,1.5888,3.417
1.490000,2.4598,-0.9588,1.1464,2.878
1.496000,2.0836,-1.0033,0.7298,2.425
1.500000,1.6906,-1.0587,0.4706,2.049
1.505000,1.2095,-1.0843,0.2512,1.644
1.510000,0.7501,-1.1474,0.0860,1.374
1.515000,0.3718,-1.2882,-0.0847,1.343
1.520000,-0.0228,-1.3774,-0.2063,1.393
1.527000,-0.4545,-1.3891,-0.2387,1.481
1.530000,-0.7644,-1.3113,-0.3283,1.553
1.535000,-1.0476,-1.2785,-0.3773,1.695
1.539000,-1.2347,-1.2785,-0.4360,1.830
1.554000,-1.3610,-1.2850,-0.5047,1.939
1.555000,-1.4599,-1.2979,-0.7008,2.075
1.556000,-1.6056,-1.2714,-0.8090,2.202
1.581000,-1.7575,-1.1814,-0.8316,2.275
1.582000,-1.8587,-1.1047,-0.8355,2.318
1.582000,-1.8304,-1.0917,-0.8373,2.290
1.583000,-1.8026,-1.0637,-0.7291,2.216
1.583000,-1.8868,-1.0042,-0.5818,2.215
1.584000,-1.9663,-0.9398,-0.4789,2.231
1.589000,-2.0511,-0.8253,-0.4367,2.254
1.594000,-2.1273,-0.7588,-0.3977,2.293
1.599000,-2.2526,-0.7718,-0.3161,2.402
1.604000,-2.3887,-0.7850,-0.3306,2.536
1.614000,-2.4879,-0.8342,-0.4508,2.662
1.615000,-2.4786,-0.7730,-0.6120,2.668
1.619000,-2.3995,-0.7447,-0.7567,2.624
1.624000,-2.3321,-0.7300,-0.9280,2.614
1.628000,-2.2088,-0.7645,-1.1357,2.599
1.633000,-1.9769,-0.7712,-1.3727,2.527
1.638000,-1.5669,-0.7096,-1.4908,2.276
1.653000,-1.0748,-0.6036,-1.5667,1.994
1.654000,-0.6200,-0.5613,-1.6051,1.810
1.655000,-0.2787,-0.5710,-1.5702,1.694
1.687000,-0.0628,-0.4893,-1.4715,1.552
1.688000,0.1082,-0.4367,-1.3575,1.430
1.689000,0.0844,-0.3030,-1.2140,1.254
1.689000,0.1085,-0.1888,-1.1541,1.174
1.689000,0.1026,-0.1559,-1.1640,1.179
1.690000,-0.0272,-0.1199,-1.2626,1.269
1.690000,-0.1636,-0.1497,-1.4355,1.453
1.697000,-0.4237,-0.2092,-1.5152,1.587
1.699000,-0.7533,-0.1735,-1.4585,1.651
1.703000,-1.0611,-0.1172,-1.3517,1.722
1.711000,-1.1683,-0.1051,-1.2902,1.744
1.714000,-1.0869,-0.0348,-1.2619,1.666
