time,ax,ay,az,aT
6.978000,0.0989,1.7781,1.6430,2.423
6.979000,-0.0903,1.6705,1.3595,2.156
6.980000,-0.1545,1.6238,1.1999,2.025
6.980000,-0.1418,1.5258,1.1617,1.923
6.980000,-0.0451,1.4482,1.2352,1.904
6.981000,0.0592,1.3383,1.2387,1.825
6.981000,0.2072,1.2508,1.2896,1.808
6.981000,0.2720,1.1281,1.3498,1.780
6.982000,0.2748,0.9695,1.3603,1.693
6.985000,0.2707,0.7891,1.4432,1.667
6.992000,0.2333,0.6057,1.5249,1.657
6.995000,0.1888,0.3928,1.5625,1.622
7.001000,0.0963,0.1859,1.5538,1.568
7.005000,0.0248,-0.0251,1.4756,1.476
7.011000,-0.0805,-0.2567,1.4308,1.456
7.016000,-0.1936,-0.4569,1.4172,1.502
7.021000,-0.3340,-0.6423,1.4276,1.601
7.027000,-0.3962,-0.8684,1.4360,1.724
7.031000,-0.4739,-1.0760,1.3570,1.796
7.035000,-0.6289,-1.2794,1.1737,1.847
7.078000,-0.6923,-1.4407,0.9487,1.859
7.079000,-0.7576,-1.6148,0.6654,1.904
7.080000,-0.8998,-1.7183,0.3693,1.974
7.080000,-0.9948,-1.8493,0.0770,2.101
7.080000,-1.0790,-1.8496,-0.1229,2.145
7.081000,-1.0715,-1.8512,-0.1853,2.147
7.081000,-1.0154,-1.8470,-0.2440,2.122
7.081000,-0.9517,-1.8351,-0.1984,2.077
7.082000,-0.8304,-1.8446,-0.1870,2.031
7.085000,-0.6729,-1.8470,-0.2836,1.986
7.092000,-0.5633,-1.9219,-0.4115,2.045
7.095000,-0.4655,-1.9469,-0.6016,2.090
7.100000,-0.4346,-1.9198,-0.9257,2.175
7.105000,-0.4567,-1.9550,-1.2548,2.368
7.110000,-0.4386,-1.9495,-1.5174,2.509
7.115000,-0.4020,-1.9219,-1.7400,2.624
7.119000,-0.4019,-1.9129,-1.8632,2.700
7.125000,-0.3541,-1.8935,-1.9970,2.775
7.130000,-0.3114,-1.8947,-2.1297,2.868
7.135000,-0.2620,-1.8782,-2.2062,2.909
7.140000,-0.1769,-1.8031,-2.3010,2.929
7.146000,-0.1232,-1.8080,-2.4260,3.028
7.150000,-0.0505,-1.7683,-2.4473,3.020
7.155000,0.0779,-1.7457,-2.4660,3.022
7.160000,0.1881,-1.6733,-2.4461,2.970
7.168000,0.2761,-1.6846,-2.3855,2.933
7.169000,0.3400,-1.6623,-2.3417,2.892
7.220000,0.4302,-1.6639,-2.2190,2.807
7.222000,0.4610,-1.7084,-2.1491,2.784
7.223000,0.4994,-1.7145,-2.0672,2.732
7.223000,0.5000,-1.7158,-1.9495,2.645
7.224000,0.4993,-1.7483,-1.8246,2.576
7.224000,0.4802,-1.7977,-1.6996,2.520
7.225000,0.5006,-1.7995,-1.6534,2.495
7.225000,0.4962,-1.8135,-1.6716,2.516
7.225000,0.4118,-1.8518,-1.7252,2.564
7.226000,0.3859,-1.8758,-1.8624,2.671
7.226000,0.3206,-1.8663,-1.9419,2.712
7.229000,0.2445,-1.8135,-2.0143,2.721
7.234000,0.1859,-1.7582,-2.1203,2.761
7.238000,0.0611,-1.6955,-2.1593,2.746
7.244000,0.0086,-1.6492,-2.2200,2.766
7.250000,0.0113,-1.5549,-2.3096,2.784
7.254000,0.0401,-1.4221,-2.4087,2.798
7.260000,0.0375,-1.2652,-2.5487,2.846
7.263000,-0.0016,-1.1295,-2.6554,2.886
7.269000,-0.0485,-0.9548,-2.7411,2.903
7.317000,-0.0556,-0.8655,-2.7890,2.921
7.318000,-0.0491,-0.7704,-2.7254,2.833
7.318000,-0.0842,-0.6982,-2.6388,2.731
7.318000,-0.0439,-0.6343,-2.5605,2.638
7.319000,0.0337,-0.6506,-2.4736,2.558
7.319000,0.0597,-0.6680,-2.3758,2.469
7.319000,0.0342,-0.6123,-2.2385,2.321
7.320000,0.0218,-0.5456,-1.9925,2.066
7.320000,0.0585,-0.4844,-1.6382,1.709
7.320000,0.1280,-0.4120,-1.2712,1.342
7.323000,0.2284,-0.3523,-0.7291,0.841
7.328000,0.3923,-0.3533,-0.0311,0.529
7.333000,0.4838,-0.4107,0.5288,0.826
7.338000,0.5635,-0.4462,1.0231,1.250
7.343000,0.6056,-0.4411,1.3804,1.571
7.348000,0.5027,-0.4390,1.6467,1.777
7.353000,0.2144,-0.4473,1.8223,1.889
7.360000,-0.0492,-0.4351,1.7592,1.813
7.363000,-0.3101,-0.3328,1.5508,1.616
7.367000,-0.5142,-0.2312,1.4004,1.510
7.372000,-0.6406,-0.1302,1.2433,1.405
7.409000,-0.7618,0.0421,1.0627,1.308
7.410000,-0.8805,0.2284,0.9136,1.289
7.410000,-1.0715,0.3594,0.7671,1.366
7.410000,-1.2327,0.5118,0.7835,1.548
7.411000,-1.3457,0.7094,0.8671,1.751
7.411000,-1.3275,0.9493,0.8602,1.845
7.411000,-1.2499,1.1766,0.8681,1.924
7.412000,-1.1538,1.3436,0.8357,1.958
7.417000,-0.9700,1.5152,0.8276,1.980
7.422000,-0.8087,1.6532,0.9295,2.062
7.428000,-0.7021,1.9110,1.0623,2.296
7.434000,-0.5996,2.2025,1.1444,2.553
7.438000,-0.4550,2.4920,1.1255,2.772
7.444000,-0.2629,2.7272,1.0222,2.924
7.447000,0.0362,2.9086,0.8006,3.017
7.452000,0.3825,2.9510,0.4294,3.007
7.459000,0.6991,2.9201,0.0299,3.003
