time,ax,ay,az,aT
13.911000,-0.6262,-0.4451,-1.5983,1.773
13.913000,-0.5005,-0.3234,-1.4486,1.566
13.918000,-0.3024,-0.2387,-1.1854,1.246
13.922000,-0.0796,-0.1692,-0.7277,0.751
13.965000,0.1207,-0.1008,-0.0542,0.166
13.966000,0.2540,-0.1060,0.6993,0.751
13.966000,0.4264,-0.0725,1.4299,1.494
13.966000,0.4862,-0.0948,2.2176,2.272
13.967000,0.4081,-0.1520,2.8236,2.857
13.967000,0.2950,-0.2088,3.1578,3.178
13.967000,0.0608,-0.2609,3.2665,3.277
13.967000,-0.2469,-0.2153,3.0688,3.086
13.968000,-0.6578,-0.0648,2.6321,2.714
13.973000,-1.0580,0.1408,2.0949,2.351
13.978000,-1.3673,0.4163,1.5717,2.124
13.984000,-1.5773,0.6737,0.9831,1.977
13.987000,-1.7275,0.8803,0.5344,2.011
13.992000,-1.6800,1.0699,0.0243,1.992
13.998000,-1.6054,1.2553,-0.4115,2.079
14.002000,-1.4948,1.4274,-0.6779,2.175
14.012000,-1.3264,1.6992,-0.8568,2.320
14.014000,-1.0599,2.0446,-1.0418,2.528
14.017000,-0.8003,2.2918,-1.1450,2.684
14.021000,-0.4400,2.5132,-1.0234,2.749
14.066000,0.0310,2.7309,-0.6943,2.818
14.067000,0.5995,2.8325,-0.1629,2.900
14.067000,1.1083,2.9260,0.4508,3.161
14.067000,1.5594,2.9942,1.1158,3.556
14.068000,1.9561,2.9894,1.8848,4.039
14.068000,2.2788,2.8466,2.7219,4.550
14.068000,2.5096,2.5915,3.5009,5.027
14.070000,2.7138,2.3224,4.0878,5.428
14.070000,2.7968,2.0932,4.5794,5.760
14.071000,2.7804,1.9541,5.0450,6.083
14.077000,2.6890,1.9018,5.4759,6.390
14.082000,2.4799,1.7533,5.8178,6.563
14.087000,2.1771,1.6186,5.9873,6.573
14.092000,1.8447,1.4108,5.9281,6.367
14.097000,1.4177,1.1635,5.6689,5.958
14.102000,0.9022,0.9340,5.1913,5.351
14.108000,0.4212,0.6818,4.6246,4.693
14.111000,0.0402,0.4980,4.0836,4.114
14.117000,-0.3259,0.3971,3.5898,3.626
14.121000,-0.5728,0.2622,3.2099,3.271
14.126000,-0.7283,0.2195,2.7719,2.874
14.131000,-0.7622,0.2021,2.3931,2.520
14.136000,-0.7879,0.1622,2.1212,2.269
14.144000,-0.7581,0.1403,1.9059,2.056
14.155000,-0.6775,0.1002,1.7785,1.906
14.156000,-0.5631,0.0705,1.7459,1.836
14.158000,-0.3689,-0.0038,1.7220,1.761
14.228000,-0.1904,-0.0561,1.6878,1.699
14.228000,0.0160,-0.1129,1.6531,1.657
14.229000,0.1741,-0.1290,1.5676,1.583
14.229000,0.3179,-0.1524,1.4651,1.507
14.231000,0.4720,-0.1688,1.3503,1.440
14.231000,0.6129,-0.1326,1.1896,1.345
14.232000,0.7795,-0.1180,1.0165,1.286
14.232000,0.9366,-0.1366,0.7087,1.182
14.232000,1.1060,-0.1453,0.4219,1.193
14.233000,1.2161,-0.1605,0.1152,1.232
14.233000,1.2221,-0.2130,-0.2285,1.261
14.233000,1.2107,-0.2281,-0.6046,1.372
14.233000,1.1460,-0.2367,-0.9465,1.505
14.234000,1.0808,-0.2841,-1.3306,1.738
14.234000,1.0054,-0.3507,-1.6761,1.986
14.235000,0.8840,-0.3957,-1.9638,2.190
14.243000,0.8334,-0.4550,-2.1436,2.345
14.246000,0.7915,-0.4878,-2.3951,2.569
14.250000,0.7290,-0.4821,-2.6991,2.837
14.256000,0.6458,-0.4927,-2.8476,2.961
14.261000,0.6065,-0.4862,-3.0512,3.149
