time,ax,ay,az,aT
127.414000,0.3819,-1.3884,-2.4862,2.873
127.415000,0.3750,-1.3871,-2.4817,2.868
127.415000,0.3696,-1.3848,-2.4784,2.863
127.415000,0.3657,-1.3815,-2.4760,2.859
127.416000,0.3632,-1.3775,-2.4745,2.855
127.416000,0.3618,-1.3728,-2.4738,2.852
127.416000,0.3615,-1.3674,-2.4739,2.850
127.417000,0.3625,-1.3614,-2.4746,2.848
127.417000,0.3645,-1.3550,-2.4759,2.846
127.417000,0.3675,-1.3484,-2.4775,2.844
127.417000,0.3712,-1.3419,-2.4791,2.843
127.418000,0.3754,-1.3355,-2.4806,2.842
127.418000,0.3796,-1.3297,-2.4817,2.841
127.418000,0.3836,-1.3245,-2.4823,2.840
127.418000,0.3869,-1.3198,-2.4823,2.838
127.418000,0.3898,-1.3155,-2.4820,2.836
127.419000,0.3923,-1.3118,-2.4811,2.834
127.419000,0.3949,-1.3088,-2.4796,2.831
127.419000,0.3974,-1.3066,-2.4774,2.829
127.422000,0.3996,-1.3051,-2.4746,2.826
127.422000,0.4005,-1.3042,-2.4711,2.823
127.423000,0.4000,-1.3038,-2.4670,2.819
127.423000,0.3977,-1.3037,-2.4624,2.814
127.423000,0.3937,-1.3033,-2.4577,2.810
127.423000,0.3883,-1.3024,-2.4532,2.805
127.424000,0.3822,-1.3009,-2.4492,2.799
127.424000,0.3759,-1.2989,-2.4456,2.795
127.424000,0.3698,-1.2963,-2.4424,2.790
127.424000,0.3641,-1.2932,-2.4398,2.785
127.425000,0.3591,-1.2895,-2.4378,2.781
127.425000,0.3553,0.9674,1.3439,1.694
127.425000,0.5494,1.0489,1.3656,1.807
127.425000,0.6973,1.1457,1.2976,1.866
127.426000,0.7921,1.2175,1.2880,1.941
127.426000,0.7907,1.3050,1.3319,2.025
127.426000,0.6908,1.3677,1.4243,2.092
127.426000,0.5862,1.4582,1.5460,2.205
127.426000,0.4524,1.5069,1.6662,2.292
127.427000,0.3014,1.5711,1.7109,2.342
127.427000,0.1440,1.5738,1.6402,2.278
127.427000,-0.0368,1.5129,1.5449,2.163
127.427000,-0.2062,1.4169,1.5139,2.084
127.427000,-0.2736,1.3245,1.6019,2.096
127.428000,-0.2679,1.2783,1.8114,2.233
127.428000,-0.2372,1.2374,1.8866,2.269
127.428000,-0.1862,1.2689,1.9998,2.376
127.428000,-0.0743,1.4010,2.1655,2.580
127.429000,0.0964,1.5024,2.2830,2.735
127.429000,0.2806,1.4916,2.2926,2.750
127.429000,0.5434,1.3956,2.3352,2.774
127.429000,0.8777,1.2577,2.4774,2.914
127.430000,1.1741,1.1647,2.7521,3.211
127.430000,1.4262,0.9871,3.1017,3.554
127.431000,1.7113,0.7607,3.5050,3.974
127.431000,1.9723,0.6282,4.0363,4.536
127.431000,2.1113,0.4434,4.5740,5.057
127.431000,2.1815,0.2173,5.0134,5.472
127.432000,2.0802,-0.0659,5.3964,5.784
127.432000,1.8391,-0.3969,5.6993,6.002
127.432000,1.5364,-0.6929,5.7438,5.986
127.433000,1.1524,-0.9257,5.6357,5.826
127.433000,0.7324,-1.1553,5.3802,5.551
127.433000,0.1800,-1.4247,4.9032,5.109
127.433000,-0.2691,-1.7097,4.3869,4.716
