time,ax,ay,az,aT
16.839000,0.5527,0.7490,-4.8254,4.914
16.840000,0.5334,0.7118,-4.7090,4.792
16.840000,0.5477,0.6666,-4.5734,4.654
16.841000,0.4950,0.6660,-4.3755,4.454
16.841000,0.4548,0.6861,-4.1706,4.251
16.841000,0.4603,0.6981,-3.8534,3.943
16.842000,0.5164,0.7285,-3.5747,3.685
16.842000,0.5634,0.7720,-3.2221,3.361
16.842000,0.6195,0.8212,-2.9128,3.089
16.843000,0.6444,0.8160,-2.6251,2.824
16.843000,0.6664,0.8088,-2.3327,2.557
16.843000,0.6829,0.7900,-2.0906,2.337
16.843000,0.6488,0.7858,-1.8198,2.086
16.844000,0.6551,0.7557,-1.5492,1.844
16.844000,0.7043,0.7544,-1.2907,1.653
16.845000,0.7724,0.7632,-1.0945,1.542
16.850000,0.8065,0.7844,-0.7812,1.370
16.856000,0.8213,0.8397,-0.4990,1.276
16.860000,0.8360,0.8522,-0.2459,1.219
16.865000,0.8145,0.8290,-0.0262,1.162
16.870000,0.8214,0.7700,0.2004,1.144
16.876000,0.8114,0.7493,0.4748,1.202
16.879000,0.8685,0.7670,0.6364,1.322
16.884000,0.9105,0.8420,0.7431,1.446
16.890000,0.9611,0.9167,0.8763,1.591
16.895000,1.0613,1.0320,1.0431,1.811
16.904000,1.1269,1.1108,1.2339,2.006
16.905000,1.2203,1.2083,1.5155,2.290
16.961000,1.2597,1.2500,1.6727,2.439
16.962000,1.3574,1.2879,1.8755,2.649
16.963000,1.4582,1.2671,2.1715,2.906
16.963000,1.5358,1.2539,2.3525,3.077
16.963000,1.6405,1.1937,2.4092,3.150
16.963000,1.7768,1.1171,2.4157,3.200
16.964000,1.8705,1.0342,2.3531,3.179
16.964000,1.9958,0.9524,2.3004,3.191
16.964000,2.1006,0.9155,2.2027,3.178
16.964000,2.2474,0.8952,2.1029,3.205
16.965000,2.3953,0.8849,2.0875,3.298
16.965000,2.5470,0.8754,2.1729,3.460
16.970000,2.6641,0.9217,2.3472,3.668
16.978000,2.7903,1.0240,2.4786,3.870
16.979000,2.8250,1.1485,2.6077,4.012
16.984000,2.7275,1.2690,2.7300,4.062
16.993000,2.6655,1.2942,2.9481,4.180
16.995000,2.5958,1.3628,3.2260,4.359
16.999000,2.4707,1.4599,3.4846,4.514
17.004000,2.3235,1.6278,3.6378,4.613
17.055000,2.1396,1.8112,3.6905,4.634
17.056000,1.9238,1.9351,3.7025,4.599
17.057000,1.7476,1.9947,3.7671,4.607
17.057000,1.5562,1.9372,3.7623,4.509
17.057000,1.4669,1.7938,3.8123,4.461
17.058000,1.3594,1.6842,3.7452,4.326
17.058000,1.3867,1.5846,3.5803,4.154
17.058000,1.5552,1.4474,3.3348,3.954
17.059000,1.7378,1.3521,3.0734,3.781
17.059000,1.8800,1.2467,2.7127,3.528
17.059000,2.0654,1.1293,2.3676,3.339
17.064000,2.2061,1.0295,2.0643,3.192
17.069000,2.3312,0.9816,1.8508,3.134
17.075000,2.4771,1.0052,1.6743,3.154
17.078000,2.6758,1.1676,1.4985,3.282
17.083000,2.8648,1.3753,1.4455,3.491
17.091000,3.1045,1.6999,1.4958,3.842
17.094000,3.3355,2.0805,1.5890,4.240
17.097000,3.4406,2.4088,1.7848,4.563
17.102000,3.4563,2.6478,2.1303,4.847
17.162000,3.4044,2.8802,2.5940,5.159
17.163000,3.2307,3.0928,2.9839,5.376
17.163000,2.9496,3.2369,3.2138,5.432
17.163000,2.5272,3.3359,3.2409,5.293
17.164000,2.0658,3.3893,3.1827,5.088
17.164000,1.5957,3.3513,3.1378,4.860
17.164000,1.0910,3.2100,3.0892,4.587
17.165000,0.6046,3.0016,2.9699,4.266
17.165000,0.2340,2.7069,2.8496,3.937
17.165000,-0.0856,2.4726,2.6018,3.590
17.166000,-0.3409,2.2557,2.3468,3.273
17.166000,-0.4821,2.0519,2.0536,2.943
17.169000,-0.5551,1.8262,1.7875,2.615
17.174000,-0.6442,1.6215,1.4696,2.281
17.178000,-0.7516,1.4337,1.1311,1.975
17.183000,-0.8606,1.1707,0.8442,1.680
17.188000,-0.8637,0.9519,0.6065,1.421
17.192000,-0.8203,0.7760,0.3700,1.188
17.197000,-0.7692,0.6044,0.1110,0.985
17.202000,-0.6764,0.4834,-0.0390,0.832
17.208000,-0.5634,0.3323,-0.1998,0.684
17.212000,-0.4420,0.2341,-0.2517,0.560
17.218000,-0.3618,0.1653,-0.3675,0.542
17.278000,-0.2775,0.0946,-0.4153,0.508
17.279000,-0.1547,0.0488,-0.5105,0.536
17.280000,-0.0819,0.0585,-0.6293,0.637
17.280000,-0.0253,0.0638,-0.7429,0.746
17.280000,-0.0537,0.1058,-0.8230,0.832
17.280000,-0.1196,0.1314,-0.9459,0.962
17.281000,-0.1651,0.2027,-1.0019,1.035
17.281000,-0.2164,0.2555,-1.0509,1.103
17.281000,-0.2544,0.2671,-1.1073,1.167
17.282000,-0.3050,0.2717,-1.1903,1.258
17.282000,-0.2997,0.3163,-1.2352,1.310
17.282000,-0.3009,0.3480,-1.3518,1.428
17.282000,-0.4017,0.3503,-1.4970,1.589
17.293000,-0.5193,0.2964,-1.6225,1.729
17.294000,-0.6105,0.2012,-1.7858,1.898
17.297000,-0.6277,0.1192,-1.8909,1.996
17.302000,-0.6573,0.0746,-1.9666,2.075
17.308000,-0.6947,-0.0658,-2.0869,2.200
17.311000,-0.7000,-0.1831,-2.1915,2.308
17.317000,-0.6731,-0.2721,-2.3402,2.450
17.323000,-0.7457,-0.3610,-2.4899,2.624
17.326000,-0.7602,-0.4549,-2.6403,2.785
