time,ax,ay,az,aT
22.441000,0.7808,0.6407,1.9918,2.233
22.442000,0.9606,0.7709,2.1910,2.513
22.447000,1.1047,0.8848,2.3921,2.779
22.452000,1.1707,0.9852,2.4806,2.914
22.514000,1.2419,0.9738,2.5305,2.982
22.515000,1.3897,0.9320,2.6255,3.113
22.516000,1.6544,0.9730,2.6362,3.261
22.516000,1.9881,1.0702,2.6848,3.508
22.516000,2.2141,1.2222,2.6588,3.669
22.516000,2.2534,1.3790,2.5487,3.671
22.517000,2.1710,1.4903,2.4933,3.626
22.517000,2.1091,1.5404,2.4761,3.599
22.518000,2.0511,1.5525,2.5162,3.598
22.518000,2.0524,1.5509,2.5587,3.628
22.518000,1.9723,1.5783,2.5463,3.587
22.519000,1.8498,1.6150,2.4697,3.483
22.519000,1.7358,1.6899,2.5348,3.506
22.527000,1.5191,1.7451,2.5599,3.451
22.530000,1.2246,1.7299,2.3828,3.189
22.531000,0.9145,1.6919,2.2762,2.980
22.538000,0.6317,1.6065,2.1468,2.755
22.543000,0.4821,1.5189,1.9206,2.496
22.547000,0.3965,1.4359,1.6838,2.248
22.552000,0.4797,1.3642,1.3957,2.010
22.559000,0.5878,1.2946,1.0182,1.749
22.561000,0.7722,1.1313,0.6609,1.521
22.567000,0.9968,0.9659,0.3453,1.430
22.642000,1.1909,0.8130,-0.0867,1.445
22.642000,1.3223,0.6968,-0.5182,1.582
22.643000,1.4476,0.5653,-0.8872,1.790
22.643000,1.5996,0.4545,-1.2180,2.061
22.644000,1.7254,0.3407,-1.4485,2.278
22.645000,1.8606,0.2434,-1.6219,2.480
22.645000,1.8660,0.1218,-1.8270,2.614
22.645000,1.7941,-0.0237,-2.0447,2.720
22.645000,1.5584,-0.2221,-2.2273,2.727
22.646000,1.3197,-0.3941,-2.3628,2.735
22.646000,1.0425,-0.5519,-2.4584,2.727
22.646000,0.7419,-0.6498,-2.5688,2.752
22.647000,0.5431,-0.7235,-2.7176,2.864
22.647000,0.4275,-0.7724,-2.8307,2.965
22.647000,0.4025,-0.7289,-2.9292,3.045
22.648000,0.4375,-0.6616,-2.9915,3.095
22.652000,0.4752,-0.5509,-2.9960,3.083
22.656000,0.4827,-0.4706,-2.9140,2.991
22.661000,0.4672,-0.3798,-2.6760,2.743
22.666000,0.3861,-0.3295,-2.4782,2.530
22.674000,0.3233,-0.2263,-2.2442,2.279
22.675000,0.2737,-0.1789,-1.9213,1.949
22.680000,0.2180,-0.1231,-1.6366,1.656
22.685000,0.1416,-0.0671,-1.3614,1.370
22.744000,0.0252,-0.0334,-1.0887,1.089
22.746000,-0.1244,-0.0415,-0.9238,0.933
22.746000,-0.3265,-0.1139,-0.8238,0.893
22.747000,-0.5986,-0.1836,-0.7410,0.970
22.749000,-0.9263,-0.3161,-0.6851,1.195
22.749000,-1.2591,-0.4447,-0.7087,1.512
22.751000,-1.5299,-0.5407,-0.8165,1.816
22.752000,-1.7343,-0.6089,-0.9104,2.051
22.755000,-1.8415,-0.6540,-1.0717,2.229
22.756000,-1.8298,-0.6925,-1.2048,2.298
22.756000,-1.8449,-0.6858,-1.3381,2.380
22.757000,-1.8315,-0.6360,-1.3879,2.384
22.757000,-1.7294,-0.6241,-1.4712,2.355
22.757000,-1.5696,-0.5657,-1.5569,2.282
22.762000,-1.2683,-0.4774,-1.5897,2.089
22.765000,-0.9929,-0.3971,-1.6272,1.947
22.770000,-0.6765,-0.3603,-1.5759,1.752
22.775000,-0.4575,-0.2735,-1.6057,1.692
22.780000,-0.3072,-0.2419,-1.6113,1.658
22.784000,-0.2090,-0.2678,-1.6167,1.652
22.848000,-0.1323,-0.2935,-1.6219,1.654
22.849000,-0.0988,-0.3600,-1.5770,1.621
22.849000,-0.2016,-0.4217,-1.6182,1.684
22.849000,-0.3379,-0.4690,-1.7240,1.818
22.850000,-0.4265,-0.5522,-1.8034,1.934
22.850000,-0.5153,-0.5778,-1.8900,2.042
22.850000,-0.5273,-0.6604,-1.8568,2.040
22.851000,-0.4677,-0.6013,-1.8069,1.961
22.851000,-0.3292,-0.4961,-1.6661,1.769
22.851000,-0.1621,-0.4544,-1.5301,1.604
22.851000,-0.0364,-0.3904,-1.3680,1.423
22.852000,-0.0242,-0.4091,-1.1393,1.211
22.852000,-0.1350,-0.4819,-0.8968,1.027
22.859000,-0.2889,-0.5757,-0.5757,0.864
22.860000,-0.4785,-0.6289,-0.3387,0.860
22.865000,-0.6536,-0.7231,-0.1834,0.992
22.871000,-0.7975,-0.8152,-0.1168,1.146
22.875000,-0.8433,-0.7973,0.0596,1.162
22.880000,-0.7723,-0.6575,0.2907,1.055
22.884000,-0.7210,-0.3792,0.4376,0.925
22.892000,-0.7109,-0.2598,0.5483,0.935
22.894000,-0.7886,-0.2880,0.7369,1.117
22.899000,-0.7813,-0.2783,1.2857,1.530
22.903000,-0.6697,-0.3239,1.3820,1.569
22.970000,-0.5300,-0.4241,1.2370,1.411
22.971000,-0.2431,-0.4082,1.2289,1.318
22.971000,-0.0083,-0.3021,1.2233,1.260
22.971000,0.1020,-0.1799,1.2322,1.249
22.972000,0.1646,-0.1059,1.2601,1.275
22.972000,0.1630,-0.1281,1.3050,1.321
22.972000,0.2195,-0.1720,1.3786,1.407
22.972000,0.2354,-0.2521,1.4761,1.516
22.973000,0.1606,-0.3592,1.4994,1.550
22.973000,0.0474,-0.5335,1.4603,1.555
22.973000,-0.1183,-0.7456,1.3663,1.561
22.973000,-0.3242,-0.8996,1.3132,1.624
22.974000,-0.3594,-1.0642,1.2247,1.662
22.974000,-0.2458,-1.0859,1.2347,1.663
22.979000,-0.0436,-0.9953,1.2929,1.632
22.984000,0.2611,-0.8755,1.3274,1.611
22.988000,0.5317,-0.7500,1.3024,1.594
22.993000,0.5983,-0.6116,1.5623,1.781
22.999000,0.6477,-0.5348,1.9990,2.168
23.004000,0.6346,-0.4652,2.2704,2.403
23.008000,0.5514,-0.3802,2.6872,2.769
23.012000,0.3982,-0.2665,3.0938,3.131
23.018000,0.1680,-0.1899,3.3655,3.375
23.088000,-0.1153,-0.1536,3.5001,3.505
23.089000,-0.4323,-0.1370,3.5958,3.624
23.090000,-0.7081,-0.2218,3.6981,3.772
23.090000,-0.8831,-0.3491,3.7496,3.868
23.090000,-0.9598,-0.4667,3.7622,3.911
23.091000,-0.9139,-0.4744,3.6930,3.834
23.091000,-0.7529,-0.5107,3.6163,3.729
23.091000,-0.6873,-0.5751,3.3434,3.461
23.091000,-0.4925,-0.5547,3.0393,3.128
23.092000,-0.1448,-0.5754,2.7999,2.862
23.092000,0.1834,-0.5957,2.6421,2.715
23.092000,0.5639,-0.6154,2.4939,2.630
23.093000,0.9675,-0.7410,2.3267,2.626
23.093000,1.2838,-0.8790,2.1881,2.685
23.093000,1.5219,-0.9707,1.9323,2.644
23.098000,1.6960,-1.0353,1.6693,2.595
23.103000,1.7972,-1.0910,1.4209,2.538
23.108000,1.8641,-1.0773,1.2182,2.474
23.113000,1.8645,-1.0373,1.0210,2.365
23.117000,1.8135,-0.9728,0.8344,2.221
23.124000,1.6401,-0.9382,0.6204,1.989
23.127000,1.4519,-0.9695,0.5294,1.824
23.132000,1.2489,-1.0000,0.4921,1.674
23.136000,1.0362,-0.9990,0.3911,1.492
23.202000,0.8594,-1.0148,0.2626,1.355
23.203000,0.7732,-0.9880,0.2331,1.276
23.203000,0.7035,-0.9409,0.2523,1.202
23.203000,0.6836,-0.9049,0.2029,1.152
23.204000,0.6606,-0.8903,0.0944,1.113
23.204000,0.6985,-0.8660,-0.0326,1.113
23.204000,0.7799,-0.8036,-0.2023,1.138
23.204000,0.8931,-0.7412,-0.3379,1.209
23.205000,1.0545,-0.6931,-0.5258,1.367
23.205000,1.2014,-0.6546,-0.7157,1.544
23.205000,1.2830,-0.6708,-0.8529,1.680
23.205000,1.3537,-0.7177,-0.8851,1.769
23.206000,1.3568,-0.7258,-0.9485,1.808
23.208000,1.3681,-0.7553,-1.0433,1.879
23.212000,1.2636,-0.6986,-1.1456,1.843
23.217000,1.2083,-0.6685,-1.1955,1.827
23.222000,1.1807,-0.6412,-1.1717,1.783
23.226000,1.1881,-0.5593,-1.1314,1.733
23.231000,1.2428,-0.4494,-1.0437,1.684
23.236000,1.2132,-0.3858,-0.9730,1.602
23.242000,1.1450,-0.3349,-1.0486,1.588
23.246000,1.0239,-0.3136,-1.0596,1.506
23.251000,0.8007,-0.3605,-0.8744,1.239
23.317000,0.6977,-0.4138,-0.9285,1.233
23.318000,0.8125,-0.4374,-1.0615,1.407
23.319000,0.8312,-0.4864,-1.1252,1.481
23.319000,0.8498,-0.4986,-1.1388,1.506
23.320000,0.8211,-0.4168,-1.0805,1.420
23.321000,0.9005,-0.3920,-1.2924,1.623
23.321000,1.0629,-0.5052,-1.4541,1.871
23.321000,1.2462,-0.5892,-1.4007,1.965
23.322000,1.3835,-0.6146,-1.4336,2.085
23.322000,1.5368,-0.5166,-1.6150,2.288
23.323000,1.5999,-0.4000,-1.8541,2.481
23.323000,1.6561,-0.3647,-2.0172,2.635
23.324000,1.7197,-0.4106,-2.1379,2.774
23.324000,1.7618,-0.4559,-2.2736,2.912
23.327000,1.7751,-0.4961,-2.2834,2.934
23.330000,1.7236,-0.5504,-2.3587,2.973
23.336000,1.6191,-0.6592,-2.3800,2.953
23.340000,1.4736,-0.7865,-2.4312,2.950
23.346000,1.2371,-0.9085,-2.5383,2.966
23.351000,1.0921,-0.9748,-2.5576,2.947
23.425000,1.0009,-0.8799,-2.4984,2.832
23.426000,1.0269,-0.7860,-2.4057,2.731
23.426000,1.0229,-0.6069,-2.4536,2.727
23.427000,0.9584,-0.4757,-2.4959,2.716
23.427000,0.8885,-0.3802,-2.4967,2.677
23.427000,0.9403,-0.2675,-2.4033,2.595
23.428000,0.9637,-0.1618,-2.1796,2.389
23.428000,0.9830,-0.0872,-1.9286,2.166
23.428000,0.9527,0.0013,-1.7244,1.970
23.429000,0.9089,0.0554,-1.5861,1.829
23.429000,0.7559,0.0458,-1.5137,1.693
23.429000,0.6462,-0.0113,-1.4522,1.590
23.429000,0.5681,-0.0780,-1.3348,1.453
23.430000,0.5262,-0.0637,-1.2092,1.320
23.430000,0.4817,-0.0618,-1.1403,1.239
23.430000,0.4005,-0.0581,-1.1713,1.239
23.435000,0.2788,-0.1244,-1.2093,1.247
23.439000,0.0903,-0.2297,-1.2162,1.241
