SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 42.9799, 4488, -0.12152100, -0.97015381, 0.33660889, -0.40140676, -3.17515755, 2.65125060, -24.61268616, 2.68927217, -58.14089203, 115.25504303, 5.21759558, -71.60296631, -0.41131490, 0.69854593, -0.47378641, -0.34406415, 0.21248086, 0.06949143, 0.08828358, 100.33000183, 83.15702057, 31.27999878, 0.00000000
1, 42.9850, 4489, -0.12493896, -0.96966553, 0.32849121, -0.47140676, -3.35015774, 2.96625066, -24.61268616, 2.68927217, -58.14089203, 115.25072479, 5.21133184, -71.62452698, -0.41130453, 0.69842589, -0.47392985, -0.34412277, 0.21579683, 0.06896479, 0.09634174, 100.33000183, 83.15702057, 31.27999878, 0.00000000
1, 42.9900, 4490, -0.12872314, -0.96820068, 0.32122803, -0.19140667, -3.59515786, 3.07125068, -24.61268616, 2.68927217, -58.14089203, 115.24768066, 5.20510626, -71.64743805, -0.41128215, 0.69830489, -0.47408512, -0.34418118, 0.21947162, 0.06746538, 0.10355501, 100.33000183, 83.15702057, 31.27999878, 0.00000000
1, 42.9949, 4491, -0.13220215, -0.97033691, 0.31634521, -0.12140663, -3.77015805, 3.07125068, -24.70038033, 3.09850907, -58.57936096, 115.24491882, 5.19925737, -71.67114258, -0.41125399, 0.69818252, -0.47424453, -0.34424347, 0.22284894, 0.06957282, 0.10839841, 100.33000183, 83.15702057, 31.27999878, 0.00000000
1, 43.0000, 4492, -0.13262939, -0.97131348, 0.31347656, -0.26140672, -3.84015775, 3.21125078, -24.70038033, 3.09850907, -58.57936096, 115.24142456, 5.19292355, -71.69546509, -0.41123068, 0.69805366, -0.47440735, -0.34430826, 0.22316626, 0.07051517, 0.11121811, 100.33000183, 83.15702057, 31.27999878, 0.00000000
1, 42.9950, 4669, -0.02441982, -0.98738444, -0.00007581, -0.73793161, -0.32311979, 3.31138492, -24.49576187, 3.30312777, -71.17801666, 89.70040131, -1.77815497, 70.78408813, 0.57153714, -0.58123213, -0.39944431, -0.41947457, -0.00654154, -0.01212386, -0.00681474, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 43.0050, 4493, -0.13287354, -0.97650146, 0.31011963, -0.15640664, -3.94515800, 3.28125095, -24.40806770, 3.39082146, -58.02396774, 115.23838043, 5.18648958, -71.72040558, -0.41120309, 0.69792354, -0.47457573, -0.34437278, 0.22329862, 0.07567087, 0.11453034, 100.33000183, 83.15702057, 31.27999878, 0.00000000
1, 43.0000, 4670, -0.01904381, -0.98912334, 0.00126919, -0.66565508, -0.42607883, 3.27295876, -24.49576187, 3.30312777, -71.17801666, 89.69716644, -1.79454207, 70.78206635, 0.57150120, -0.58128047, -0.39933863, -0.41955698, -0.01220837, -0.01037787, -0.00820717, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 43.0100, 4494, -0.13262939, -0.98071289, 0.30718994, -0.36640674, -3.73515821, 3.42125106, -24.40806770, 3.39082146, -58.02396774, 115.23434448, 5.17898273, -71.74469757, -0.41118830, 0.69779003, -0.47474143, -0.34443274, 0.22292928, 0.07984403, 0.11740528, 100.33000183, 83.15702057, 31.27999878, 0.00000000
1, 43.0050, 4671, -0.01591218, -0.99072492, 0.00347476, -0.37822315, -0.69867957, 3.12259388, -24.46652985, 3.30312777, -71.00263214, 89.69540405, -1.81017876, 70.77868652, 0.57146555, -0.58133829, -0.39923534, -0.41962385, -0.01562154, -0.00877098, -0.01044600, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 43.0149, 4495, -0.12933350, -0.98437500, 0.30487061, -0.54140681, -3.66515803, 3.31625104, -24.40806770, 3.39082146, -58.02396774, 115.22949982, 5.17179537, -71.76842499, -0.41117871, 0.69765657, -0.47490001, -0.34449604, 0.21950833, 0.08346161, 0.11965686, 100.33000183, 83.15702057, 31.27999878, 0.00000000
1, 43.0100, 4672, -0.01560311, -0.99409699, 0.00723398, -0.48480785, -0.73193628, 3.01800108, -24.46652985, 3.91698337, -71.00263214, 89.69313812, -1.82530141, 70.77513123, 0.57143497, -0.58139235, -0.39913183, -0.41968897, -0.01620677, -0.00539649, -0.01424501, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 43.0200, 4496, -0.12530518, -0.98406982, 0.30328369, -0.68140686, -3.14015746, 3.14125109, -24.52499199, 3.65390229, -58.46243668, 115.22419739, 5.16428089, -71.78941345, -0.41118157, 0.69753206, -0.47504172, -0.34454939, 0.21535051, 0.08310730, 0.12116726, 100.33000183, 83.15702057, 31.27999878, 0.00000000
1, 43.0150, 4673, -0.01394131, -0.99549150, 0.00780834, -0.62193221, -1.21468818, 2.76287484, -24.46652985, 3.91698337, -71.00263214, 89.69024658, -1.83915865, 70.76914215, 0.57142109, -0.58144730, -0.39902022, -0.41973794, -0.01811659, -0.00399474, -0.01486517, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 43.0250, 4497, -0.11950684, -0.98504639, 0.30322266, -0.75140685, -2.51015759, 2.89625072, -24.52499199, 3.65390229, -58.46243668, 115.21885681, 5.15652657, -71.80701447, -0.41119593, 0.69742072, -0.47516355, -0.34458938, 0.20942037, 0.08403423, 0.12115064, 100.33000183, 83.15702057, 31.27999878, 0.00000000
1, 43.0200, 4674, -0.01329979, -0.99734926, 0.00947033, -0.62088758, -1.34891915, 2.54934907, -24.05729294, 1.63694823, -71.52879333, 89.68739319, -1.85196674, 70.76248932, 0.57141328, -0.58150107, -0.39891067, -0.41977823, -0.01899018, -0.00213231, -0.01657997, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 43.1250, 4498, -0.08514404, -0.97430420, 0.31219482, -1.31140697, 2.94984436, -1.40875065, -24.49576187, 2.83542824, -58.60859299, 115.11279297, 5.07804537, -71.71511078, -0.41246933, 0.69722635, -0.47459790, -0.34424025, 0.17365511, 0.07239286, 0.11056009, 100.33000183, 83.15702057, 31.27999878, 0.00000000
