SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 17.0201, 967, -0.03856323, -0.98873937, 0.14810397, 0.23511630, -0.94033056, -0.69742286, -30.63431740, 6.46009922, -107.60011292, 98.71870422, -2.01558685, -74.81569672, -0.52538604, 0.59569383, -0.46999305, -0.38499996, 0.00296413, 0.00066167, 0.00165219, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.0301, 968, -0.03617745, -0.98809528, 0.15257369, 0.32732049, -1.21759260, -0.72273135, -30.19584846, 7.42472935, -108.18473816, 98.72653961, -2.00705075, -74.82688904, -0.52527404, 0.59571409, -0.47003961, -0.38506454, 0.00071767, 0.00001618, -0.00273670, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.0401, 969, -0.03687364, -0.98643541, 0.15151544, 0.18308078, -1.04564929, -0.68174469, -30.40046692, 6.75241137, -107.74626923, 98.72866821, -1.99872792, -74.83619690, -0.52519888, 0.59571517, -0.47005820, -0.38514277, 0.00156172, -0.00163102, -0.00157227, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.0501, 970, -0.03703319, -0.98606050, 0.15103740, 0.21743993, -0.94132304, -0.66216928, -30.40046692, 6.75241137, -107.74626923, 98.73111725, -1.99076748, -74.84451294, -0.52512681, 0.59572053, -0.47007433, -0.38521320, 0.00186398, -0.00200372, -0.00105295, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.0901, 971, -0.03540406, -0.98714852, 0.14657602, 0.02205610, -0.91326046, -0.44870010, -30.69277954, 7.33703566, -107.89242554, 98.73079681, -1.96751773, -74.87409973, -0.52493721, 0.59568006, -0.47012371, -0.38547367, 0.00066565, -0.00092249, 0.00341495, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.1001, 972, -0.03440593, -0.98611593, 0.14826369, 0.07655209, -1.00064158, -0.41642442, -30.69277954, 7.33703566, -107.89242554, 98.73187256, -1.96189117, -74.88336182, -0.52487826, 0.59566694, -0.47015047, -0.38554159, -0.00023811, -0.00195867, 0.00174768, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.1101, 973, -0.03690799, -0.98644805, 0.15078633, 0.09621770, -1.15712297, -0.42040458, -30.63431740, 7.57088566, -107.74626923, 98.73318481, -1.95598996, -74.89417267, -0.52481174, 0.59564954, -0.47018489, -0.38561708, 0.00235783, -0.00162997, -0.00075413, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.1201, 974, -0.04231015, -0.98504293, 0.14940445, 0.11151628, -0.43609032, -0.06795153, -30.25431061, 8.15550995, -107.62934875, 98.73443604, -1.95465696, -74.89837646, -0.52478582, 0.59564275, -0.47020507, -0.38563833, 0.00782779, -0.00303260, 0.00063259, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.1301, 975, -0.04190091, -0.98621869, 0.14919756, 0.15595870, -0.04189708, -0.05829944, -30.51739311, 7.57088566, -107.86319733, 98.73382568, -1.97220564, -74.89700317, -0.52486295, 0.59558338, -0.47027382, -0.38554126, 0.00734230, -0.00185141, 0.00085453, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.1401, 976, -0.03913134, -0.98609984, 0.15049684, 0.24355561, 0.03226566, -0.21538165, -31.13124847, 7.04472351, -107.62934875, 98.73622894, -1.97011626, -74.89636230, -0.52484435, 0.59560442, -0.47026926, -0.38553953, 0.00436093, -0.00196416, -0.00043108, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.1501, 977, -0.04079208, -0.98588753, 0.14734772, 0.33193880, 0.06870029, -0.25069049, -31.13124847, 7.04472351, -107.62934875, 98.73952484, -1.96773612, -74.89530945, -0.52482134, 0.59563220, -0.47026432, -0.38553387, 0.00606941, -0.00216476, 0.00276533, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.1601, 978, -0.03804915, -0.98690498, 0.14665031, 0.31415814, 0.08427820, -0.17998846, -31.10201645, 6.89856768, -107.19087982, 98.74260712, -1.96607041, -74.89419556, -0.52480245, 0.59565687, -0.47026154, -0.38552493, 0.00336184, -0.00113877, 0.00352462, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.1701, 979, -0.03442365, -0.98697269, 0.14848977, 0.13440679, 0.22401527, -0.26200005, -30.51739311, 4.41391420, -107.22010803, 98.74385834, -1.96381688, -74.89157104, -0.52479589, 0.59568131, -0.47024208, -0.38551980, -0.00023260, -0.00107011, 0.00172734, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.1801, 980, -0.03677574, -0.98630857, 0.14766024, 0.04361559, 0.37986326, -0.25712961, -30.75124168, 7.89242887, -107.68781281, 98.73862457, -1.97930288, -74.88557434, -0.52490449, 0.59562713, -0.47026208, -0.38543147, 0.00208066, -0.00173328, 0.00254021, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.1901, 981, -0.03779086, -0.98699403, 0.14913829, -0.04398270, 0.27422801, -0.24100626, -30.60508537, 7.42472935, -107.07395172, 98.73808289, -1.97734511, -74.88249207, -0.52490991, 0.59564418, -0.47023553, -0.38542998, 0.00290170, -0.00105517, 0.00098344, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.2001, 982, -0.03623226, -0.98753548, 0.14957802, -0.00737313, 0.18752266, -0.24353893, -30.60508537, 7.42472935, -107.07395172, 98.73793030, -1.97520602, -74.88027191, -0.52490973, 0.59566021, -0.47021395, -0.38543180, 0.00137506, -0.00051693, 0.00053766, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.2101, 983, -0.03653587, -0.98497176, 0.15023725, 0.04277888, 0.46521714, -0.18498014, -30.48816109, 7.54165459, -107.60011292, 98.73817444, -1.97407866, -74.87538910, -0.52492040, 0.59568536, -0.47018439, -0.38541439, 0.00170484, -0.00308141, -0.00010965, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.2201, 984, -0.03767543, -0.98480308, 0.14784488, 0.02655525, 0.41627058, -0.13527930, -30.22508049, 7.22011089, -107.68781281, 98.73829651, -1.97336423, -74.87106323, -0.52493149, 0.59570616, -0.47015914, -0.38539791, 0.00286746, -0.00324764, 0.00227423, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.2301, 985, -0.03888818, -0.98534107, 0.14695740, -0.01006709, 0.57685280, -0.11537674, -30.86816597, 6.98626137, -108.00935364, 98.73210144, -1.98389912, -74.86383057, -0.52502966, 0.59567010, -0.47014752, -0.38533419, 0.00403841, -0.00271006, 0.00313576, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.2401, 986, -0.03868262, -0.98589480, 0.14977045, 0.06179088, 0.50870252, -0.15296808, -30.89739799, 6.13855600, -107.77550507, 98.73252106, -1.98315609, -74.85858154, -0.52504218, 0.59569621, -0.47011828, -0.38531232, 0.00369791, -0.00216887, 0.00024199, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.2501, 987, -0.04142781, -0.98662078, 0.14599887, 0.13181715, 0.59677505, -0.16928631, -30.89739799, 6.13855600, -107.77550507, 98.73362732, -1.98236859, -74.85242462, -0.52505398, 0.59572935, -0.47008657, -0.38528377, 0.00646289, -0.00143441, 0.00402300, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.2601, 988, -0.04044567, -0.98647058, 0.14280944, 0.36491197, 0.44177672, -0.15842190, -30.48816109, 7.16164875, -107.83396912, 98.73711395, -1.98146415, -74.84781647, -0.52504784, 0.59576744, -0.47007030, -0.38525319, 0.00550581, -0.00157358, 0.00725670, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.2701, 989, -0.03871527, -0.98806930, 0.14429072, 0.31078145, 0.47902977, -0.27952760, -30.75124168, 5.64162540, -107.36626434, 98.74003601, -1.97940743, -74.84266663, -0.52504182, 0.59580922, -0.47004420, -0.38522851, 0.00379809, 0.00003042, 0.00583367, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.2801, 990, -0.03724977, -0.98679328, 0.14862414, 0.49100339, 0.28833058, -0.25131494, -30.72201157, 7.39549828, -107.16164398, 98.74373627, -1.98168826, -74.83901215, -0.52504385, 0.59583312, -0.47004777, -0.38518444, 0.00233820, -0.00124287, 0.00157315, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.2901, 991, -0.03815709, -0.98699057, 0.14883584, 0.50810415, 0.34111917, -0.26780048, -30.66354752, 6.51856184, -107.30780029, 98.74867249, -1.97954404, -74.83522797, -0.52502245, 0.59587884, -0.47003517, -0.38515827, 0.00322573, -0.00103441, 0.00142974, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.3001, 992, -0.04166495, -0.98509562, 0.15058582, 0.56087130, 0.36191791, -0.39065915, -30.66354752, 6.51856184, -107.30780029, 98.75412750, -1.97620702, -74.83105469, -0.52499497, 0.59593278, -0.47001699, -0.38513458, 0.00677863, -0.00291989, -0.00023509, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.3101, 993, -0.03976545, -0.98666728, 0.14981948, 0.55605543, 0.74648333, -0.45153591, -30.51739311, 7.22011089, -107.01548767, 98.75941467, -1.97284985, -74.82299042, -0.52498132, 0.59600192, -0.46997789, -0.38509381, 0.00494258, -0.00133543, 0.00062284, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.3201, 994, -0.03541101, -0.98609579, 0.15315747, 0.35965270, 0.95355546, -0.43040794, -30.45892906, 7.80473518, -106.98625946, 98.76264191, -1.97002554, -74.81291199, -0.52498722, 0.59606808, -0.46992379, -0.38504940, 0.00063052, -0.00190224, -0.00262660, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.3301, 995, -0.03347616, -0.98558009, 0.15279683, 0.38762552, 0.53547382, -0.38212657, -29.84507370, 4.32622051, -107.86319733, 98.77141571, -1.96535981, -74.80764771, -0.52494091, 0.59614635, -0.46990508, -0.38501412, -0.00124153, -0.00240727, -0.00218046, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.3401, 996, -0.03480650, -0.98506200, 0.14971343, 0.20709136, 0.79162037, -0.23351437, -30.37123680, 7.48319197, -107.51242065, 98.77318573, -1.96424246, -74.79943848, -0.52495480, 0.59619200, -0.46986341, -0.38497525, 0.00014852, -0.00290542, 0.00100847, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.3601, 997, -0.03241391, -0.98645699, 0.15061948, 0.25928584, 0.92716026, -0.05568719, -30.34200478, 7.30780458, -107.24934387, 98.77884674, -1.96501470, -74.78199768, -0.52498698, 0.59628677, -0.46979511, -0.38486800, -0.00224737, -0.00149748, 0.00019932, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.3701, 998, -0.02949803, -0.98767436, 0.15316747, 0.11745339, 0.89108461, -0.05474155, -30.51739311, 6.92779875, -107.10318756, 98.77970886, -1.96580708, -74.77310181, -0.52501553, 0.59632444, -0.46975523, -0.38481948, -0.00518504, -0.00028000, -0.00231868, 100.31100464, 84.75119781, 33.45000076, 0.00000000
1, 17.3801, 999, -0.03054115, -0.98666477, 0.15367687, 0.12315995, 0.45222095, 0.09246009, -30.13738632, 7.13241720, -107.89242554, 98.79502106, -1.95684087, -74.77082062, -0.52490813, 0.59643561, -0.46975490, -0.38479400, -0.00411962, -0.00127955, -0.00275361, 100.31100464, 84.75119781, 33.45000076, 0.00000000
