time,ax,ay,az,aT
16.868000,2.2405,-0.6139,0.4677,2.370
16.869000,2.1515,-0.5297,0.4728,2.266
16.869000,1.9974,-0.4807,0.4872,2.111
16.869000,1.8523,-0.4285,0.5157,1.970
16.870000,1.7475,-0.4331,0.5488,1.882
16.870000,1.6713,-0.3703,0.6053,1.816
16.870000,1.6717,-0.3192,0.6136,1.809
16.870000,1.6076,-0.2344,0.5737,1.723
16.871000,1.5889,-0.1971,0.4904,1.675
16.871000,1.5628,-0.1425,0.3734,1.613
16.871000,1.5363,-0.0802,0.2945,1.566
16.871000,1.5830,-0.0364,0.2466,1.603
16.872000,1.6360,0.0009,0.1649,1.644
16.875000,1.6783,0.0580,0.0664,1.681
16.878000,1.7482,0.0559,-0.0275,1.749
16.883000,1.6590,0.0495,-0.1358,1.665
16.893000,1.6596,-0.0134,-0.1391,1.665
16.897000,1.6888,-0.0561,-0.2430,1.707
16.898000,1.6884,-0.0499,-0.5573,1.779
16.905000,1.5980,-0.0950,-0.7374,1.763
16.909000,1.5495,-0.1551,-0.7954,1.749
16.914000,1.5244,-0.1652,-0.9011,1.778
16.919000,1.4465,-0.1729,-0.9397,1.734
16.923000,1.3925,-0.1760,-0.9782,1.711
16.978000,1.3360,-0.1242,-0.9593,1.649
16.980000,1.2872,-0.0893,-0.9690,1.614
16.982000,1.2054,-0.0764,-0.9263,1.522
16.983000,1.0453,-0.1025,-0.9602,1.423
16.984000,0.8668,-0.1698,-1.0230,1.352
16.985000,0.6746,-0.1971,-1.1001,1.305
16.986000,0.4257,-0.2250,-1.1868,1.281
16.987000,0.2064,-0.2870,-1.2783,1.326
16.987000,0.0332,-0.3230,-1.3100,1.350
16.988000,-0.1128,-0.3448,-1.3871,1.434
16.989000,-0.2179,-0.3789,-1.4307,1.496
16.990000,-0.3346,-0.4060,-1.4838,1.574
16.993000,-0.3890,-0.4213,-1.5608,1.663
16.999000,-0.4244,-0.4559,-1.6759,1.788
16.999000,-0.4480,-0.4402,-1.7095,1.821
17.002000,-0.3835,-0.4938,-1.7836,1.890
17.008000,-0.3359,-0.4849,-1.8719,1.963
17.012000,-0.2626,-0.4899,-1.9288,2.007
17.018000,-0.1015,-0.4584,-1.8898,1.947
17.022000,0.0131,-0.4337,-1.8890,1.938
17.034000,0.1911,-0.4086,-1.8161,1.871
17.038000,0.3440,-0.3353,-1.6954,1.762
17.039000,0.4670,-0.2934,-1.5748,1.669
17.042000,0.6250,-0.2591,-1.4709,1.619
17.109000,0.7821,-0.2396,-1.4437,1.659
17.110000,0.8331,-0.2448,-1.4618,1.700
17.110000,0.8692,-0.1884,-1.5039,1.747
17.111000,0.9191,-0.1708,-1.5602,1.819
17.111000,1.0214,-0.1774,-1.6044,1.910
17.111000,1.1216,-0.1121,-1.6151,1.970
17.112000,1.2482,-0.0900,-1.6257,2.052
17.112000,1.3468,-0.1013,-1.6316,2.118
17.112000,1.4148,-0.1081,-1.5753,2.120
17.113000,1.4763,-0.1223,-1.6028,2.182
17.113000,1.5500,-0.1725,-1.5538,2.202
17.113000,1.6165,-0.2375,-1.4643,2.194
17.114000,1.6378,-0.4032,-1.3652,2.170
17.114000,1.6331,-0.6980,-1.1803,2.132
17.117000,1.5950,-1.0788,-0.9405,2.143
17.122000,1.5979,-1.4326,-0.7990,2.290
17.126000,1.5988,-1.7524,-0.6506,2.460
17.131000,1.6091,-2.0757,-0.4926,2.672
17.136000,1.6051,-2.4643,-0.3513,2.962
17.140000,1.4911,-2.8077,-0.1861,3.185
17.146000,1.3776,-3.1483,-0.0830,3.437
17.151000,1.3294,-3.3972,0.0225,3.648
17.156000,1.2560,-3.5443,0.0780,3.761
17.210000,1.1649,-3.5512,0.1312,3.740
17.211000,1.0538,-3.4633,0.1678,3.624
17.211000,0.8726,-3.3693,0.2309,3.488
17.211000,0.6958,-3.2458,0.3107,3.334
17.212000,0.5281,-3.1128,0.3833,3.180
17.212000,0.3956,-2.9253,0.4176,2.981
17.212000,0.3575,-2.6124,0.4471,2.674
17.212000,0.3581,-2.2925,0.4311,2.360
17.213000,0.4378,-1.9782,0.4868,2.084
17.213000,0.5535,-1.7514,0.4778,1.898
17.213000,0.7022,-1.5910,0.3227,1.769
17.217000,0.7994,-1.5451,0.2061,1.752
17.220000,0.9452,-1.6088,0.1063,1.869
17.225000,1.1199,-1.7030,-0.0291,2.038
17.231000,1.2925,-1.8273,-0.1404,2.243
17.235000,1.5205,-2.0362,-0.2084,2.550
17.240000,1.7684,-2.2548,-0.3215,2.884
17.248000,2.0029,-2.4771,-0.3410,3.204
17.250000,2.2514,-2.6545,-0.3818,3.502
17.255000,2.5045,-2.8343,-0.3099,3.795
17.305000,2.8063,-2.9014,-0.2738,4.046
17.306000,3.0119,-2.9587,-0.1325,4.224
17.306000,3.1123,-3.0276,-0.0153,4.342
17.306000,3.2017,-2.9911,0.0035,4.381
17.307000,3.2709,-2.8729,0.0938,4.354
17.307000,3.2794,-2.6545,0.1742,4.223
17.307000,3.2944,-2.4053,0.2280,4.085
17.307000,3.2362,-2.1668,0.2217,3.901
17.307000,3.0729,-1.9662,0.2655,3.658
17.307000,2.8497,-1.7631,0.2899,3.364
17.310000,2.6181,-1.6184,0.3836,3.102
17.317000,2.4292,-1.4754,0.4316,2.875
17.320000,2.2106,-1.3321,0.4006,2.612
17.325000,2.0135,-1.1817,0.3722,2.364
17.329000,1.8750,-1.0340,0.2962,2.162
17.335000,1.8180,-0.9327,0.2204,2.055
17.341000,1.7874,-0.8655,0.1833,1.994
17.346000,1.7897,-0.9142,0.1631,2.016
17.351000,1.8753,-0.9063,0.1097,2.086
17.354000,2.0250,-0.9498,0.0254,2.237
17.404000,2.1963,-0.9774,-0.1088,2.406
17.405000,2.3774,-1.0533,-0.2786,2.615
17.405000,2.3976,-1.1554,-0.4911,2.706
17.405000,2.3697,-1.2661,-0.7461,2.788
17.406000,2.3095,-1.3657,-0.9553,2.848
17.406000,2.2444,-1.4581,-1.1545,2.915
17.406000,2.2034,-1.5573,-1.2720,2.983
17.407000,2.2353,-1.6245,-1.3391,3.071
17.407000,2.2687,-1.6692,-1.3752,3.134
17.407000,2.2706,-1.7131,-1.3802,3.162
17.410000,2.2503,-1.7491,-1.3446,3.151
17.415000,2.1887,-1.7775,-1.3667,3.133
17.423000,2.0927,-1.8940,-1.3411,3.125
17.424000,1.9886,-1.9458,-1.3731,3.103
17.429000,1.8690,-1.9303,-1.4339,3.046
17.434000,1.7866,-1.9506,-1.4684,3.025
17.439000,1.6548,-1.9660,-1.5221,2.987
17.446000,1.4875,-1.9143,-1.5686,2.888
17.449000,1.3107,-1.8795,-1.6174,2.805
17.453000,1.0933,-1.8901,-1.7090,2.773
17.458000,0.8709,-1.8626,-1.8388,2.758
17.533000,0.6772,-1.8137,-1.9180,2.725
17.534000,0.5548,-1.7361,-2.0114,2.714
17.534000,0.4439,-1.6272,-2.0949,2.689
17.534000,0.3778,-1.5087,-2.1206,2.630
17.535000,0.3373,-1.3922,-2.0863,2.531
17.535000,0.3421,-1.2801,-1.9945,2.395
17.535000,0.3181,-1.1630,-1.8644,2.220
17.536000,0.3157,-1.0486,-1.7608,2.074
17.536000,0.2415,-0.9658,-1.6454,1.923
17.536000,0.1964,-0.9316,-1.5158,1.790
17.536000,0.2139,-0.9030,-1.3723,1.657
17.537000,0.1678,-0.8756,-1.2436,1.530
17.537000,0.0845,-0.8157,-1.1967,1.451
17.537000,0.0313,-0.7737,-1.1575,1.393
17.537000,-0.0303,-0.7592,-1.1138,1.348
17.539000,-0.1239,-0.7745,-1.1114,1.360
17.543000,-0.2396,-0.8148,-1.1310,1.414
17.548000,-0.3582,-0.8226,-1.1702,1.475
17.554000,-0.5133,-0.8792,-1.2169,1.587
17.559000,-0.6594,-0.9124,-1.3669,1.771
17.567000,-0.8040,-0.9246,-1.4692,1.913
17.567000,-0.9422,-0.9563,-1.5909,2.082
17.573000,-1.1124,-0.9810,-1.7223,2.273
17.629000,-1.2477,-1.0055,-1.8059,2.414
17.630000,-1.3675,-1.0205,-1.8753,2.535
17.630000,-1.4479,-1.0593,-1.9782,2.671
17.631000,-1.4467,-1.0600,-2.0907,2.755
17.631000,-1.4839,-1.0367,-2.2053,2.853
17.631000,-1.5003,-0.9941,-2.2981,2.919
17.631000,-1.4985,-0.9925,-2.3570,2.964
17.632000,-1.4981,-0.9549,-2.4107,2.995
17.632000,-1.4420,-0.9200,-2.4497,2.988
17.633000,-1.4068,-0.8589,-2.5336,3.023
17.633000,-1.3186,-0.8435,-2.6337,3.064
17.633000,-1.2254,-0.8140,-2.7595,3.127
17.637000,-1.1318,-0.7989,-2.8608,3.179
17.643000,-0.9608,-0.7719,-2.9066,3.157
17.647000,-0.7764,-0.7616,-2.9497,3.144
17.652000,-0.5925,-0.7103,-3.0883,3.224
17.657000,-0.4545,-0.6493,-3.2123,3.309
17.663000,-0.3092,-0.6069,-3.2787,3.349
17.667000,-0.2191,-0.5974,-3.3998,3.459
17.675000,-0.1335,-0.6012,-3.4945,3.548
17.680000,-0.0711,-0.6590,-3.5652,3.626
17.682000,0.0087,-0.6582,-3.6358,3.695
17.687000,0.0987,-0.6058,-3.6609,3.712
17.693000,0.2158,-0.5639,-3.6573,3.707
17.749000,0.2953,-0.5202,-3.6776,3.726
17.750000,0.3970,-0.4653,-3.6430,3.694
17.751000,0.4589,-0.3729,-3.5893,3.638
17.751000,0.5214,-0.3196,-3.5069,3.560
17.751000,0.5416,-0.2267,-3.3483,3.399
17.752000,0.5292,-0.1707,-3.1588,3.207
17.752000,0.5680,-0.0753,-2.9433,2.999
17.753000,0.5792,0.0426,-2.6972,2.759
17.753000,0.5463,0.1895,-2.4756,2.542
17.753000,0.4736,0.2765,-2.2569,2.323
17.754000,0.3708,0.3060,-2.0458,2.102
17.754000,0.2925,0.3134,-1.8496,1.899
17.758000,0.2344,0.3392,-1.6969,1.746
17.763000,0.1580,0.4073,-1.5088,1.571
17.767000,0.1396,0.4722,-1.3594,1.446
17.772000,0.1193,0.5409,-1.2199,1.340
17.776000,0.1039,0.5967,-0.9492,1.126
17.782000,0.0767,0.6469,-0.6575,0.926
17.791000,0.0927,0.6122,-0.4189,0.748
17.793000,0.0871,0.5785,-0.1591,0.606
17.834000,0.0713,0.5482,0.1003,0.562
17.835000,0.0072,0.4952,0.2757,0.567
17.835000,-0.0764,0.3668,0.4916,0.618
17.835000,-0.1577,0.2182,0.7286,0.777
17.835000,-0.1531,0.0739,0.9319,0.947
17.836000,-0.2226,-0.1044,1.1133,1.140
17.836000,-0.2679,-0.2613,1.2944,1.347
17.836000,-0.3295,-0.4467,1.4346,1.538
