time,ax,ay,az,aT
20.878000,-1.2855,-1.1467,1.7617,2.464
20.879000,-1.3511,-1.2008,1.3425,2.252
20.880000,-1.3868,-1.2429,1.0289,2.128
20.881000,-1.3669,-1.2591,0.6416,1.966
20.881000,-1.2677,-1.2347,0.1972,1.781
20.881000,-1.0755,-1.1672,-0.1322,1.593
20.882000,-0.8740,-1.1380,-0.3777,1.484
20.883000,-0.6461,-1.0707,-0.7143,1.440
20.883000,-0.4395,-1.0246,-1.1825,1.625
20.883000,-0.2443,-0.9443,-1.4958,1.786
20.884000,0.0377,-0.8965,-1.7165,1.937
20.884000,0.3305,-0.7685,-1.8763,2.054
20.884000,0.5539,-0.6917,-1.9921,2.180
20.885000,0.7161,-0.6512,-2.0021,2.224
20.885000,0.9019,-0.5799,-1.9570,2.232
20.885000,1.0688,-0.5712,-1.8925,2.247
20.889000,1.1321,-0.5583,-1.7610,2.167
20.894000,1.0731,-0.5939,-1.7703,2.154
20.899000,1.0695,-0.6614,-1.9920,2.356
20.905000,0.9560,-0.7747,-2.3856,2.684
20.910000,0.7228,-0.8330,-2.6855,2.903
20.914000,0.5249,-0.8551,-3.0355,3.197
20.922000,0.3810,-0.8242,-3.4764,3.593
20.983000,0.3116,-0.7492,-3.7955,3.881
20.984000,0.3396,-0.6656,-3.9908,4.060
20.984000,0.4147,-0.5901,-3.9359,4.001
20.984000,0.4872,-0.5009,-3.8154,3.879
20.985000,0.5072,-0.4484,-3.6460,3.708
20.985000,0.4893,-0.4640,-3.4013,3.468
20.985000,0.3712,-0.5506,-3.2339,3.301
20.985000,0.1915,-0.5719,-3.1844,3.241
20.986000,0.0187,-0.5836,-3.0679,3.123
20.986000,-0.2072,-0.5568,-2.9851,3.044
20.986000,-0.3935,-0.5782,-2.9092,2.992
20.986000,-0.5289,-0.5448,-2.8427,2.942
20.987000,-0.5828,-0.5617,-2.7784,2.894
20.990000,-0.5263,-0.5472,-2.5731,2.683
20.997000,-0.4074,-0.4773,-2.2916,2.376
20.999000,-0.2254,-0.4073,-1.9961,2.050
21.003000,0.0038,-0.2965,-1.6604,1.687
21.009000,0.2683,-0.1572,-1.3275,1.363
21.015000,0.5212,-0.0303,-0.8991,1.040
21.019000,0.7175,0.0477,-0.5424,0.901
21.026000,0.8192,0.1460,-0.3195,0.891
21.029000,0.8819,0.1615,-0.1917,0.917
21.034000,0.9152,0.2115,-0.1111,0.946
21.038000,0.9621,0.2481,-0.0060,0.994
21.112000,1.0064,0.2618,0.0686,1.042
21.113000,1.0266,0.2625,0.0766,1.062
21.113000,0.9153,0.2596,0.0134,0.952
21.113000,0.7396,0.2440,0.0105,0.779
21.114000,0.5206,0.1749,-0.0088,0.549
21.114000,0.2724,0.1050,-0.0755,0.302
21.114000,0.0157,0.0414,-0.1129,0.121
21.114000,-0.1858,0.0773,-0.1374,0.244
21.114000,-0.3852,0.1238,-0.2351,0.468
21.115000,-0.5280,0.1404,-0.3174,0.632
21.115000,-0.6456,0.1870,-0.4034,0.784
21.115000,-0.6721,0.1993,-0.4838,0.852
21.115000,-0.5718,0.2780,-0.4917,0.804
21.116000,-0.4905,0.3583,-0.4272,0.743
21.116000,-0.3614,0.4525,-0.3933,0.700
21.119000,-0.1658,0.6134,-0.1916,0.664
21.124000,0.0774,0.7784,0.1251,0.792
21.128000,0.3138,0.8972,0.4876,1.068
21.133000,0.4935,0.9720,0.8838,1.403
21.138000,0.6436,0.9764,1.2063,1.680
21.143000,0.6830,0.8913,1.2685,1.694
21.154000,0.7385,0.8653,1.1115,1.590
21.154000,0.8464,0.9350,1.2894,1.804
21.223000,0.8882,0.9235,1.6655,2.101
21.224000,0.9581,1.0052,2.0219,2.453
21.224000,0.9280,1.0889,2.3849,2.781
21.225000,0.8871,1.1358,2.6139,2.985
21.225000,0.8308,1.1936,2.7330,3.096
21.225000,0.7011,1.1853,2.6758,3.009
21.225000,0.5289,1.1568,2.3516,2.674
21.226000,0.3805,1.1728,1.8512,2.224
21.226000,0.2236,1.1958,1.3302,1.803
21.226000,0.0934,1.2864,0.9744,1.616
21.226000,0.0274,1.4112,0.7357,1.592
21.227000,-0.0874,1.5348,0.6448,1.667
21.227000,-0.1725,1.6500,0.6512,1.782
21.227000,-0.2112,1.7254,0.7479,1.892
21.228000,-0.1964,1.8259,0.8485,2.023
21.233000,-0.1514,1.9079,0.9056,2.117
21.238000,-0.0997,1.9096,0.9451,2.133
21.241000,-0.0435,1.9125,0.8185,2.081
21.247000,-0.0157,1.9001,0.6600,2.012
21.251000,-0.0452,1.8968,0.5024,1.963
21.259000,-0.1220,1.8695,0.4078,1.917
21.264000,-0.2727,1.8162,0.4378,1.888
21.267000,-0.4137,1.6986,0.7216,1.891
21.272000,-0.5018,1.5861,1.0221,1.952
21.344000,-0.5511,1.4449,1.3083,2.026
21.345000,-0.6192,1.3250,1.5950,2.164
21.345000,-0.6845,1.1733,1.8657,2.308
21.345000,-0.7138,1.1161,2.1590,2.533
21.345000,-0.7530,1.0763,2.3512,2.693
21.346000,-0.8764,1.0555,2.3257,2.700
21.346000,-0.9504,1.0180,2.1951,2.600
21.346000,-0.9856,0.9735,2.2419,2.635
21.346000,-0.9605,0.8980,2.3365,2.681
