time,ax,ay,az,aT
27.821000,0.6966,0.9311,2.6941,2.934
27.822000,0.8426,0.9686,3.2826,3.525
27.822000,1.0199,0.9804,3.7160,3.976
27.823000,1.1551,1.0039,4.1864,4.457
27.823000,1.2141,1.0056,4.3611,4.637
27.824000,1.2167,0.9037,4.2385,4.501
27.824000,1.0781,0.9092,3.8020,4.055
27.824000,0.8406,0.9747,3.1260,3.381
27.825000,0.4817,1.0964,2.3654,2.651
27.825000,0.1488,1.3130,1.6158,2.087
27.825000,-0.2000,1.4850,1.0363,1.822
27.825000,-0.4913,1.5819,0.6336,1.773
27.826000,-0.7469,1.6615,0.6461,1.933
27.826000,-0.8643,1.6763,0.6452,1.993
27.827000,-0.9346,1.6906,0.5259,2.002
27.834000,-0.9299,1.7164,0.4773,2.010
27.837000,-0.9269,1.7892,0.4444,2.063
27.841000,-0.8730,1.9115,0.4679,2.153
27.847000,-0.7345,2.0068,0.4422,2.182
27.851000,-0.5422,2.0559,0.4870,2.181
27.856000,-0.3982,2.0974,0.5494,2.204
27.863000,-0.2877,2.1170,0.5361,2.203
27.866000,-0.2172,2.0789,0.5401,2.159
27.872000,-0.1792,1.9879,0.4562,2.047
27.928000,-0.1926,1.9066,0.3681,1.951
27.929000,-0.2768,1.8540,0.2567,1.892
27.929000,-0.4079,1.7108,0.1288,1.764
27.930000,-0.4978,1.5371,-0.0251,1.616
27.930000,-0.6144,1.4024,-0.2073,1.545
27.930000,-0.7938,1.2593,-0.3251,1.524
27.930000,-0.9483,1.0627,-0.2877,1.453
27.931000,-1.0353,0.9298,-0.1000,1.395
27.931000,-1.0597,0.8294,0.2641,1.371
27.931000,-0.9426,0.6558,0.7833,1.390
27.931000,-0.7580,0.5376,1.3933,1.675
27.931000,-0.5916,0.4068,1.9514,2.079
27.937000,-0.4452,0.2964,2.4962,2.553
27.942000,-0.3420,0.1743,2.9662,2.991
27.947000,-0.2143,0.0588,3.3001,3.308
27.951000,-0.1496,-0.1052,3.5146,3.519
27.957000,-0.0852,-0.3179,3.5360,3.551
