time,ax,ay,az,aT
30.189000,-1.0740,3.0535,3.1197,4.496
30.191000,-0.7621,3.2097,3.3645,4.712
30.191000,-0.4573,3.3157,3.6783,4.973
30.192000,-0.1492,3.3930,3.9128,5.181
30.192000,0.1054,3.4224,4.1183,5.356
30.193000,0.3313,3.3516,4.3855,5.530
30.193000,0.5300,3.2333,4.7048,5.733
30.194000,0.7794,3.0123,5.1670,6.032
30.196000,1.0569,2.7573,5.5809,6.314
30.200000,1.2801,2.5254,5.9110,6.554
30.206000,1.1991,2.2294,6.0478,6.556
30.210000,0.9339,1.8787,5.9537,6.313
30.215000,0.5178,1.4967,5.5192,5.742
30.221000,-0.0922,1.2148,4.9173,5.066
30.225000,-0.6942,1.0045,4.1098,4.287
30.230000,-1.3301,0.7727,3.0875,3.449
30.235000,-1.9302,0.5540,2.1036,2.908
30.245000,-2.3892,0.4063,1.3275,2.763
30.246000,-2.7586,0.3298,0.6633,2.856
30.250000,-3.0792,0.2936,0.0342,3.093
30.292000,-3.2654,0.2999,-0.4691,3.313
30.293000,-3.3596,0.3372,-0.7993,3.470
30.294000,-3.3703,0.4056,-0.8850,3.508
30.295000,-3.3597,0.4686,-0.7906,3.483
30.296000,-3.2656,0.5548,-0.5787,3.363
30.296000,-3.1524,0.5706,-0.2301,3.212
30.296000,-2.9548,0.5343,0.1959,3.009
30.297000,-2.7034,0.4770,0.5152,2.793
30.297000,-2.4045,0.4342,0.7926,2.569
30.300000,-2.1025,0.3534,0.9350,2.328
30.307000,-1.8271,0.2903,0.8633,2.042
30.309000,-1.4961,0.2259,0.6255,1.637
30.315000,-1.1755,0.1782,0.2806,1.222
30.319000,-0.8769,0.0835,0.0054,0.881
30.326000,-0.5804,0.0194,-0.1247,0.594
30.329000,-0.2087,-0.0466,-0.1439,0.258
30.335000,0.1020,-0.1505,0.0312,0.184
30.339000,0.4177,-0.3161,0.3383,0.624
30.345000,0.6813,-0.5033,0.6100,1.044
30.348000,0.8336,-0.7030,0.9018,1.415
30.359000,0.8798,-0.9662,1.1520,1.742
30.360000,0.8775,-1.3058,1.4403,2.133
30.364000,0.8479,-1.6151,1.6310,2.447
30.369000,0.7523,-1.9954,1.5720,2.649
30.413000,0.6432,-2.3254,1.2665,2.725
30.414000,0.5099,-2.6003,0.8630,2.787
30.415000,0.3641,-2.8372,0.2352,2.870
30.415000,0.2026,-3.0140,-0.4520,3.054
30.415000,0.0939,-3.1302,-0.9573,3.275
30.416000,0.0643,-3.2768,-1.5201,3.613
30.416000,0.1198,-3.3694,-2.0570,3.949
30.416000,0.2356,-3.4728,-2.4412,4.252
30.417000,0.3681,-3.5532,-2.7233,4.492
30.418000,0.4219,-3.6584,-2.8126,4.634
30.423000,0.4426,-3.6810,-3.1180,4.844
30.428000,0.3970,-3.7086,-3.4511,5.081
30.433000,0.2420,-3.8126,-3.6710,5.298
30.439000,0.1550,-3.9379,-3.7971,5.473
30.443000,0.0261,-4.0123,-3.8608,5.568
30.447000,-0.0462,-4.0786,-3.9056,5.647
30.454000,-0.1168,-4.1631,-3.9627,5.749
30.459000,-0.1375,-4.1745,-4.0538,5.821
30.464000,-0.2256,-4.2038,-4.0881,5.868
30.468000,-0.2783,-4.2392,-4.1923,5.969
30.474000,-0.2832,-4.2680,-4.3191,6.079
30.478000,-0.2762,-4.2493,-4.2918,6.046
30.483000,-0.2546,-4.1974,-4.2305,5.965
30.524000,-0.2254,-4.1580,-4.1587,5.885
30.526000,-0.2410,-4.1140,-4.1343,5.837
30.527000,-0.3734,-4.0826,-4.1068,5.803
30.528000,-0.5202,-4.0730,-4.0117,5.740
30.528000,-0.5814,-4.0015,-3.9234,5.634
30.529000,-0.7055,-3.9551,-3.7550,5.499
30.529000,-0.8119,-3.8549,-3.6357,5.361
30.530000,-0.8553,-3.7276,-3.5557,5.222
30.530000,-0.8602,-3.6090,-3.5365,5.126
30.532000,-0.8820,-3.4179,-3.4511,4.937
30.539000,-0.9086,-3.2214,-3.3736,4.752
30.543000,-0.8447,-3.0602,-3.2444,4.539
30.548000,-0.7997,-2.8764,-3.0399,4.261
30.552000,-0.7427,-2.6274,-2.8651,3.958
30.558000,-0.7117,-2.4110,-2.6534,3.655
30.562000,-0.6919,-2.1983,-2.4837,3.388
30.567000,-0.6110,-1.9030,-2.3731,3.103
30.581000,-0.5383,-1.6541,-2.1878,2.795
30.584000,-0.4974,-1.5012,-1.9930,2.544
30.584000,-0.2848,-1.1883,-1.9131,2.270
30.623000,-0.0148,-0.7677,-1.6400,1.811
30.624000,0.1293,-0.5674,-1.3628,1.482
30.625000,0.2199,-0.4028,-1.2034,1.288
30.625000,0.4118,-0.2760,-1.0306,1.144
30.625000,0.5741,-0.1439,-0.7057,0.921
30.625000,0.7883,0.0416,-0.4467,0.907
30.625000,0.9422,0.2680,-0.1741,0.995
30.626000,1.0313,0.4492,0.2339,1.149
30.628000,1.1609,0.6545,0.7175,1.514
30.632000,1.2546,0.8258,1.1817,1.911
30.637000,1.1978,0.8286,1.5794,2.148
30.642000,0.9424,0.8090,1.9464,2.309
30.646000,0.6987,0.8261,2.2789,2.523
30.652000,0.4542,0.8007,2.4360,2.604
30.656000,0.1530,0.7521,2.4945,2.610
30.662000,-0.0001,0.6921,2.4787,2.573
30.666000,-0.0089,0.6955,2.2972,2.400
30.672000,0.1811,0.8288,2.1443,2.306
30.677000,0.4260,0.9684,1.9931,2.256
30.681000,0.6779,1.1412,1.9480,2.357
30.688000,1.0854,1.3330,2.0997,2.714
30.692000,1.5467,1.5252,2.3424,3.195
30.698000,2.0225,1.7247,2.7286,3.809
30.702000,2.5162,1.8746,3.3297,4.575
30.712000,2.9167,1.8667,3.7105,5.075
30.713000,3.2128,1.8345,4.1063,5.527
30.716000,3.3818,1.7256,4.4546,5.853
30.723000,3.3959,1.5928,4.8226,6.110
30.753000,3.4186,1.3303,4.9570,6.167
30.754000,3.3684,1.0441,5.0995,6.200
30.754000,3.2333,0.7141,5.3704,6.309
30.755000,2.9230,0.4673,5.7169,6.438
30.755000,2.5329,0.1440,5.9561,6.474
30.756000,2.0036,-0.2056,6.0048,6.334
30.756000,1.4128,-0.5514,5.8592,6.052
30.762000,0.7803,-0.9016,5.5537,5.680
30.766000,0.2320,-1.1649,5.0837,5.221
30.774000,-0.2411,-1.3801,4.4877,4.701
30.777000,-0.5596,-1.5548,3.8331,4.174
30.780000,-0.7168,-1.6042,3.2077,3.657
30.786000,-0.8177,-1.5409,2.6594,3.180
30.791000,-0.8050,-1.4410,2.2905,2.823
30.795000,-0.6179,-1.3511,2.1037,2.575
30.800000,-0.2928,-1.2304,1.9455,2.320
30.808000,0.0215,-1.0511,1.7733,2.062
30.811000,0.3486,-0.8951,1.5466,1.821
30.815000,0.7052,-0.7793,1.1723,1.574
