time,ax,ay,az,aT
60.357000,-0.1740,0.0675,-0.1495,0.239
60.363000,-0.1986,0.0295,-0.2549,0.324
60.367000,-0.1735,0.0634,-0.2932,0.347
60.373000,-0.2016,0.1047,-0.1954,0.300
60.377000,-0.1439,0.1151,-0.1170,0.218
60.382000,-0.0888,0.1113,0.0091,0.143
60.389000,-0.0410,0.1049,0.0730,0.134
60.392000,-0.0389,0.0626,0.0340,0.081
60.397000,-0.0201,0.0798,0.0312,0.088
60.402000,0.0246,0.1294,0.0757,0.152
60.406000,0.0594,0.1476,0.1200,0.199
60.411000,0.0441,0.1489,0.1688,0.229
60.416000,0.0505,0.1311,0.2125,0.255
60.422000,0.0263,0.1013,0.2678,0.288
60.426000,-0.0215,0.0649,0.2893,0.297
60.431000,-0.0476,0.0186,0.3015,0.306
60.437000,-0.0999,-0.0185,0.2996,0.316
60.443000,-0.0899,-0.0079,0.3027,0.316
60.446000,-0.0797,0.0047,0.2247,0.238
60.452000,-0.1410,0.0002,0.1710,0.222
60.456000,-0.1758,0.0146,0.0816,0.194
60.461000,-0.1581,0.0194,-0.0483,0.166
60.467000,-0.1958,0.0096,-0.1564,0.251
60.473000,-0.1979,-0.0097,-0.2690,0.334
60.477000,-0.1764,0.0023,-0.3195,0.365
60.482000,-0.1769,0.0646,-0.3939,0.437
60.487000,-0.1228,0.0745,-0.4731,0.494
60.491000,-0.0620,0.0728,-0.4736,0.483
60.496000,0.0150,0.1456,-0.4338,0.458
60.500000,0.0466,0.1686,-0.3489,0.390
60.505000,0.1404,0.2037,-0.2356,0.342
60.511000,0.1723,0.1792,-0.1585,0.295
60.516000,0.1376,0.1788,-0.1294,0.260
60.520000,0.0915,0.1546,-0.1483,0.233
60.525000,0.0267,0.1041,-0.1481,0.183
60.530000,-0.0066,0.0586,-0.1838,0.193
60.535000,-0.0134,0.0468,-0.1694,0.176
60.540000,0.0108,0.0543,-0.1958,0.203
60.545000,-0.0177,0.0620,-0.1601,0.173
60.552000,-0.0295,0.0266,-0.0456,0.060
60.555000,-0.0533,-0.0040,0.0377,0.065
60.566000,-0.0412,-0.0013,0.1092,0.117
60.566000,-0.0555,-0.0348,0.0517,0.083
60.570000,-0.0651,-0.0111,0.0040,0.066
60.575000,-0.0702,-0.0139,-0.0292,0.077
60.580000,0.0033,0.0001,0.0286,0.029
60.587000,0.0815,0.0764,0.1722,0.205
60.592000,0.1432,0.0928,0.2966,0.342
60.597000,0.1697,0.0969,0.3420,0.394
60.600000,0.1157,0.0720,0.3374,0.364
60.605000,0.0217,0.0302,0.2708,0.273
60.612000,-0.0810,0.0241,0.1589,0.180
60.615000,-0.1380,-0.0181,0.0592,0.151
60.622000,-0.1636,-0.0145,-0.0548,0.173
60.635000,-0.1793,0.0108,-0.1689,0.247
60.635000,-0.1973,-0.0280,-0.2402,0.312
60.635000,-0.2033,-0.0353,-0.2447,0.320
60.640000,-0.1735,-0.0399,-0.2709,0.324
60.644000,-0.1728,-0.0107,-0.2352,0.292
60.649000,-0.1915,-0.0343,-0.2376,0.307
60.655000,-0.2082,-0.0411,-0.2304,0.313
60.659000,-0.0987,-0.0002,-0.3236,0.338
60.665000,-0.0569,-0.0095,-0.3331,0.338
60.671000,-0.0346,0.0076,-0.2803,0.283
60.681000,-0.0028,-0.0014,-0.2350,0.235
60.681000,0.0218,-0.0009,-0.1681,0.170
60.684000,0.0873,0.0091,-0.1420,0.167
60.691000,0.1453,0.1574,-0.2112,0.301
60.696000,0.0688,0.2594,-0.1532,0.309
60.700000,-0.0572,0.0219,-0.2698,0.277
60.704000,-0.0439,-0.2457,-0.3702,0.446
60.709000,0.0218,-0.1679,-0.2963,0.341
60.714000,0.0113,-0.0230,-0.3543,0.355
60.719000,-0.0256,0.1288,-0.4002,0.421
60.724000,-0.0105,0.2330,-0.3005,0.380
60.729000,-0.0652,0.1818,-0.2033,0.280
60.733000,-0.0651,0.0469,-0.1398,0.161
60.739000,-0.0580,-0.0304,-0.0261,0.070
60.744000,-0.0437,-0.0672,0.0686,0.106
60.748000,-0.0435,-0.0511,0.0908,0.113
60.754000,-0.0815,0.0146,0.0726,0.110
60.758000,-0.1101,0.0413,0.0643,0.134
60.763000,-0.1461,0.0700,0.1322,0.209
60.768000,-0.1179,0.0651,0.1879,0.231
60.773000,-0.1024,0.0197,0.1972,0.223
60.779000,-0.0890,-0.0137,0.2328,0.250
60.783000,-0.1328,-0.0304,0.2110,0.251
60.788000,-0.1786,-0.0496,0.1702,0.252
60.795000,-0.1836,-0.0330,0.1558,0.243
60.799000,-0.1648,-0.0043,0.1078,0.197
60.803000,-0.1028,0.0410,0.1532,0.189
60.809000,-0.0336,0.0670,0.1772,0.192
60.813000,-0.0048,0.0571,0.1197,0.133
60.819000,0.0075,0.0376,0.0313,0.049
60.823000,-0.0282,0.0276,0.0315,0.051
60.829000,-0.0686,0.0319,0.0247,0.080
60.834000,-0.0278,0.0432,0.0514,0.073
60.841000,0.0032,0.0543,0.0591,0.080
60.843000,0.0148,0.0554,0.0336,0.067
60.849000,0.0380,0.0868,-0.0652,0.115
60.853000,0.0276,0.0868,-0.1181,0.149
60.858000,0.0268,0.0678,-0.2061,0.219
60.863000,0.0117,0.0799,-0.2483,0.261
60.868000,0.0324,0.1087,-0.2712,0.294
60.872000,0.0838,0.0948,-0.3179,0.342
60.877000,0.0707,0.1122,-0.3811,0.404
60.883000,0.0603,0.1253,-0.3445,0.371
60.889000,0.0501,0.1456,-0.3250,0.360
60.894000,0.0906,0.1313,-0.2961,0.336
60.898000,0.1121,0.1269,-0.2650,0.314
60.903000,0.1218,0.1417,-0.2246,0.292
60.909000,0.0980,0.1423,-0.2033,0.267
60.913000,0.0998,0.1300,-0.1642,0.232
60.919000,0.1229,0.1367,-0.1539,0.240
60.924000,0.1338,0.1149,-0.0866,0.196
60.929000,0.1244,0.1057,-0.1013,0.192
60.932000,0.1198,0.0820,-0.1038,0.178
60.940000,0.0954,0.0578,-0.1483,0.186
60.945000,0.0712,0.0529,-0.1521,0.176
60.947000,0.0235,0.0814,-0.1558,0.177
60.957000,0.0332,0.0835,-0.1620,0.185
60.959000,-0.0094,0.0834,-0.1849,0.203
60.967000,-0.0324,0.0907,-0.1698,0.195
60.968000,-0.0245,0.0387,-0.1786,0.184
60.976000,-0.0167,0.0539,-0.1117,0.125
60.978000,0.0291,0.0241,-0.0477,0.061
60.987000,0.0510,0.0730,0.0155,0.090
60.989000,0.0376,0.0978,0.0283,0.108
60.993000,0.0056,0.0084,0.0148,0.018
60.998000,-0.0139,0.0027,0.0064,0.016
61.007000,-0.0474,0.0159,0.0290,0.058
61.009000,-0.0855,-0.0091,-0.0316,0.092
61.012000,-0.0810,0.0110,-0.0987,0.128
61.020000,-0.1053,-0.0002,-0.1531,0.186
61.023000,-0.1275,-0.0112,-0.1691,0.212
61.027000,-0.1570,-0.0364,-0.1897,0.249
61.032000,-0.1818,-0.0615,-0.1626,0.251
61.038000,-0.1855,-0.0531,-0.1617,0.252
61.044000,-0.1351,-0.0473,-0.1751,0.226
61.046000,-0.1257,-0.0414,-0.1694,0.215
61.052000,-0.1165,0.0169,-0.1211,0.169
61.062000,-0.0764,0.0155,-0.0806,0.112
61.064000,-0.0197,0.0072,0.0164,0.027
61.069000,0.0440,0.0348,0.0912,0.107
61.073000,0.1007,0.0694,0.1723,0.211
61.077000,0.1455,0.0989,0.3026,0.350
61.086000,0.1263,0.1301,0.3157,0.364
61.087000,0.1053,0.0729,0.3005,0.327
61.097000,0.0419,0.0775,0.2145,0.232
61.099000,0.0099,0.0628,0.1152,0.132
61.102000,-0.0625,0.0528,0.0406,0.091
61.108000,-0.0846,0.0571,0.0070,0.102
61.116000,-0.0593,0.0330,0.0020,0.068
61.117000,-0.0558,0.0376,0.0470,0.082
61.122000,-0.0121,0.0304,0.0773,0.084
61.128000,-0.0023,0.0635,0.1454,0.159
61.132000,-0.0115,0.0653,0.1276,0.144
61.141000,0.0054,0.0670,0.0815,0.106
61.143000,-0.0137,0.0755,0.0527,0.093
61.151000,0.0077,0.0458,-0.0423,0.063
61.152000,0.0360,0.0661,-0.1079,0.132
61.160000,0.0451,0.1028,-0.1753,0.208
61.162000,0.0755,0.1298,-0.2493,0.291
61.169000,0.0842,0.1306,-0.2706,0.312
61.170000,0.0739,0.1220,-0.2705,0.306
61.176000,0.0946,0.1659,-0.2918,0.349
61.182000,0.0586,0.1337,-0.2443,0.285
61.188000,0.0324,0.1375,-0.2495,0.287
61.191000,0.0066,0.1225,-0.2406,0.270
61.197000,-0.0071,0.1031,-0.1750,0.203
61.205000,-0.0655,0.0485,-0.1790,0.197
61.207000,-0.0782,0.0467,-0.2044,0.224
61.213000,-0.0743,0.0474,-0.2344,0.250
61.217000,-0.0733,0.0364,-0.2002,0.216
61.221000,-0.0755,0.0374,-0.1710,0.191
61.226000,-0.0380,0.0694,-0.0495,0.093
61.233000,-0.0011,0.1082,0.0852,0.138
61.235000,0.0637,0.1226,0.1597,0.211
61.241000,0.0853,0.1105,0.2267,0.266
61.246000,0.0923,0.1076,0.2626,0.298
61.251000,0.0852,0.0947,0.2582,0.288
61.256000,0.0639,0.0650,0.2825,0.297
61.261000,0.0290,0.0591,0.2545,0.263
61.265000,-0.0027,0.0318,0.2364,0.239
61.271000,-0.0432,-0.0073,0.2208,0.225
61.276000,-0.0427,-0.0059,0.1176,0.125
61.281000,-0.0611,-0.0140,0.0296,0.069
61.285000,-0.0700,-0.0270,-0.0267,0.080
61.291000,-0.0553,0.0217,-0.1489,0.160
61.295000,-0.0625,0.0629,-0.2416,0.257
61.300000,0.0059,0.0517,-0.2719,0.277
61.306000,0.0827,0.0693,-0.2024,0.229
61.310000,0.1232,0.0870,-0.0837,0.172
61.316000,0.1516,0.1116,0.0435,0.193
61.321000,0.1303,0.0883,0.1270,0.202
61.325000,0.0597,0.0651,0.1149,0.145
61.332000,-0.0076,0.0584,0.0224,0.063
61.335000,-0.0579,0.0114,-0.0408,0.072
61.340000,-0.1007,-0.0279,-0.0442,0.114
61.345000,-0.0982,-0.0145,-0.1095,0.148
61.350000,-0.0317,-0.0129,-0.1388,0.143
61.355000,0.0557,0.0271,-0.1348,0.148
61.360000,0.0926,0.0386,-0.0528,0.113
61.366000,0.0891,0.0574,0.0757,0.130
61.370000,0.1431,0.0668,0.1366,0.209
61.375000,0.1471,0.0427,0.2207,0.269
