time,ax,ay,az,aT
5.619000,1.7153,-2.7385,2.1080,3.858
5.621000,1.7363,-2.8024,2.3410,4.043
5.621000,1.7716,-2.8431,2.5715,4.223
5.622000,1.7611,-2.9083,2.7900,4.398
5.622000,1.7555,-2.9099,2.9583,4.506
5.623000,1.7811,-2.9528,3.2389,4.731
5.625000,1.7902,-3.0376,3.5193,4.982
5.625000,1.8375,-3.1329,3.7948,5.253
5.630000,1.8075,-3.2417,3.9699,5.435
5.634000,1.6565,-3.4528,4.1743,5.665
5.640000,1.3994,-3.6415,4.3598,5.850
5.645000,1.1299,-3.7917,4.3351,5.869
5.650000,0.8625,-3.8723,4.4351,5.951
5.656000,0.6820,-3.9812,4.3890,5.965
5.660000,0.5093,-4.0540,4.1995,5.859
5.665000,0.4089,-4.0638,3.9385,5.674
5.669000,0.3568,-3.9505,3.6134,5.366
5.674000,0.3261,-3.7405,3.2986,4.998
5.680000,0.2564,-3.5142,3.0208,4.641
5.684000,0.1811,-3.2479,2.7824,4.281
5.697000,0.0787,-2.9845,2.6002,3.959
5.699000,0.0088,-2.6982,2.4765,3.662
5.700000,-0.0307,-2.3396,2.3009,3.282
5.706000,-0.0304,-1.9042,2.1167,2.847
5.744000,-0.0359,-1.4843,1.9906,2.483
5.746000,-0.0592,-1.1399,1.7670,2.104
5.747000,-0.1553,-0.8791,1.5296,1.771
5.747000,-0.2647,-0.6259,1.2402,1.414
5.747000,-0.3660,-0.4520,0.9370,1.103
5.748000,-0.4757,-0.2648,0.6869,0.876
5.748000,-0.5912,-0.2007,0.4178,0.751
5.748000,-0.7028,-0.1997,0.0939,0.737
5.749000,-0.8265,-0.2856,-0.1536,0.888
5.757000,-0.9401,-0.3932,-0.4420,1.111
5.758000,-0.9764,-0.4838,-0.7524,1.324
5.764000,-1.0357,-0.5879,-1.1013,1.622
5.769000,-1.1014,-0.7360,-1.4215,1.943
5.774000,-1.1252,-0.8509,-1.6774,2.192
5.779000,-1.1407,-0.8937,-1.9023,2.391
5.784000,-1.2115,-0.9262,-2.0606,2.563
5.796000,-1.2966,-0.9358,-2.2146,2.732
5.798000,-1.3405,-0.8743,-2.2521,2.763
5.799000,-1.3884,-0.7679,-2.2593,2.761
5.803000,-1.4450,-0.6356,-2.1311,2.652
5.826000,-1.5706,-0.4895,-1.9247,2.532
5.826000,-1.7437,-0.3157,-1.7049,2.459
5.827000,-1.8927,-0.1696,-1.3760,2.346
5.828000,-2.0279,-0.0278,-1.0074,2.264
5.828000,-2.1201,0.1498,-0.6113,2.212
5.834000,-2.1814,0.2597,-0.2716,2.213
5.838000,-2.2625,0.3800,-0.0074,2.294
5.842000,-2.2782,0.5295,0.2272,2.350
