time,ax,ay,az,aT
11.217000,1.4598,-0.0510,-2.6176,2.998
11.222000,1.4719,-0.0476,-2.5733,2.965
11.227000,1.5013,0.0261,-2.5506,2.960
11.232000,1.5696,0.0744,-2.4348,2.898
11.246000,1.6151,0.2074,-2.2954,2.814
11.249000,1.6258,0.3107,-2.1659,2.726
11.249000,1.6211,0.3910,-2.1253,2.701
11.261000,1.5960,0.4224,-2.0539,2.635
11.262000,1.5408,0.4451,-1.9611,2.533
11.262000,1.4695,0.4325,-1.8612,2.411
11.297000,1.3774,0.4234,-1.6849,2.217
11.299000,1.2669,0.4122,-1.5161,2.018
11.299000,1.2428,0.4564,-1.3282,1.875
11.300000,1.2690,0.5226,-1.2359,1.847
11.301000,1.2322,0.5601,-1.1578,1.781
11.301000,1.1825,0.6290,-0.9764,1.658
11.302000,1.1655,0.6644,-0.7350,1.530
11.307000,1.1526,0.6493,-0.4720,1.405
11.308000,1.1680,0.6365,-0.1661,1.341
11.311000,1.1830,0.6013,0.0656,1.329
11.318000,1.2333,0.5322,0.2088,1.359
11.321000,1.2948,0.4720,0.3760,1.428
11.326000,1.3459,0.4204,0.5027,1.497
11.332000,1.3844,0.3711,0.7061,1.598
11.337000,1.4102,0.3356,0.8640,1.688
11.344000,1.4306,0.2883,1.0388,1.791
11.347000,1.4986,0.2267,1.2184,1.945
11.353000,1.5425,0.1841,1.4171,2.103
11.398000,1.6201,0.1590,1.5081,2.219
11.400000,1.6664,0.0716,1.6709,2.361
11.400000,1.7364,-0.0032,1.8026,2.503
11.401000,1.8039,-0.0415,1.9321,2.644
11.402000,1.9141,-0.0054,2.1645,2.889
11.408000,2.0123,0.0338,2.4518,3.172
11.409000,2.0843,0.0587,2.7294,3.435
11.410000,2.1637,0.0813,3.0712,3.758
11.411000,2.2409,0.0338,3.4245,4.093
11.411000,2.1941,-0.0072,3.7295,4.327
11.412000,2.2290,0.0160,4.0245,4.601
11.413000,2.2812,-0.0001,4.3740,4.933
11.416000,2.3246,-0.0034,4.6365,5.187
11.423000,2.3639,-0.0870,4.8959,5.437
11.426000,2.4351,-0.1055,5.0516,5.609
11.430000,2.5308,-0.1857,5.2067,5.792
11.435000,2.6195,-0.2369,5.3301,5.944
11.440000,2.7106,-0.3243,5.3716,6.026
11.445000,2.8656,-0.4979,5.3530,6.092
11.450000,3.0273,-0.6600,5.2670,6.111
11.456000,3.0782,-0.8558,5.2214,6.121
11.460000,3.1161,-1.0158,5.0490,6.020
11.465000,3.1527,-1.2017,4.7788,5.850
11.470000,3.1519,-1.3577,4.5259,5.680
11.496000,3.1499,-1.5024,4.2233,5.479
11.497000,3.2374,-1.5157,4.0554,5.406
11.497000,3.2832,-1.4667,3.8666,5.280
11.498000,3.3089,-1.4535,3.6593,5.143
11.498000,3.3501,-1.4041,3.5842,5.103
11.500000,3.2831,-1.2950,3.4401,4.929
11.506000,3.1581,-1.1504,3.3227,4.726
11.510000,2.9992,-1.0088,3.1602,4.472
11.515000,2.8544,-0.8373,2.9811,4.211
11.521000,2.6397,-0.6411,2.8238,3.918
11.524000,2.2688,-0.6165,2.6117,3.514
11.530000,1.7372,-0.7304,2.4620,3.100
11.536000,1.1408,-0.8946,2.2836,2.705
11.540000,0.5686,-1.1378,2.0262,2.392
11.545000,0.0801,-1.3598,1.6730,2.157
11.550000,-0.3460,-1.5702,1.3151,2.077
11.558000,-0.7211,-1.7662,0.8064,2.071
11.559000,-0.9577,-1.9284,0.2671,2.170
11.564000,-1.0679,-2.0922,-0.1976,2.357
11.569000,-1.1163,-2.3382,-0.6497,2.671
11.603000,-1.1991,-2.5555,-1.0888,3.026
11.605000,-1.3041,-2.6907,-1.5222,3.355
11.606000,-1.3697,-2.7677,-1.9089,3.630
11.606000,-1.4717,-2.7473,-2.2107,3.821
11.606000,-1.5394,-2.6599,-2.5094,3.968
11.607000,-1.6036,-2.4548,-2.8458,4.086
11.607000,-1.6155,-2.1890,-3.0358,4.077
11.609000,-1.6016,-1.8622,-3.1060,3.960
11.614000,-1.5665,-1.5823,-3.0780,3.799
11.619000,-1.5287,-1.2896,-2.8688,3.497
11.624000,-1.4187,-0.9967,-2.4522,3.003
11.629000,-1.2959,-0.7024,-1.9248,2.424
11.635000,-1.2562,-0.4512,-1.3944,1.930
11.639000,-1.2254,-0.2730,-0.8804,1.533
11.645000,-1.2850,-0.1405,-0.3879,1.350
11.649000,-1.3873,-0.0356,-0.0460,1.389
