time,ax,ay,az,aT
12.520000,-0.1957,-2.6988,-3.4620,4.394
12.527000,-0.0511,-2.7770,-3.4504,4.429
12.530000,0.1617,-2.7989,-3.5001,4.484
12.534000,0.4020,-2.7430,-3.6254,4.564
12.540000,0.5668,-2.6668,-3.7520,4.638
12.585000,0.6416,-2.6537,-3.9185,4.776
12.586000,0.7223,-2.6312,-4.0439,4.878
12.587000,0.8015,-2.6109,-4.1790,4.992
12.587000,0.8736,-2.5804,-4.1948,5.002
12.588000,0.9167,-2.5567,-4.0865,4.907
12.588000,0.9737,-2.4898,-3.8590,4.695
12.588000,1.0135,-2.3800,-3.6054,4.437
12.589000,1.1015,-2.2374,-3.4114,4.226
12.589000,1.1043,-1.9808,-3.3631,4.056
12.589000,1.0202,-1.7417,-3.3696,3.928
12.596000,0.8022,-1.5317,-3.3758,3.793
12.600000,0.5458,-1.3648,-3.3702,3.677
12.604000,0.4039,-1.1422,-3.3126,3.527
12.610000,0.3566,-0.9644,-3.2462,3.405
12.614000,0.2426,-0.7618,-3.1592,3.259
12.619000,0.0879,-0.4770,-2.8915,2.932
12.624000,-0.0356,-0.2081,-2.6057,2.614
12.629000,-0.2547,-0.0579,-2.3093,2.324
12.634000,-0.5912,0.0284,-1.9686,2.056
12.639000,-0.9235,0.1369,-1.6335,1.881
12.648000,-1.1016,0.3126,-1.3639,1.781
12.650000,-1.2218,0.4835,-1.0445,1.679
12.654000,-1.2438,0.6637,-0.6802,1.565
12.705000,-1.1411,0.8624,-0.4260,1.492
12.706000,-0.9760,0.9791,-0.3250,1.420
12.706000,-0.7462,1.0212,-0.1904,1.279
12.707000,-0.4088,1.0797,-0.0655,1.156
12.707000,0.0051,1.1832,0.0548,1.185
12.708000,0.3473,1.3268,0.1847,1.384
12.708000,0.5303,1.4292,0.3363,1.561
12.709000,0.4522,1.5259,0.5074,1.670
12.709000,0.4154,1.6720,0.6238,1.832
12.710000,0.2985,1.8292,0.7479,1.999
12.710000,0.0642,2.0094,0.8174,2.170
12.713000,-0.1936,2.1504,0.8204,2.310
12.718000,-0.3960,2.2454,0.7305,2.394
12.723000,-0.5719,2.3285,0.6335,2.480
12.729000,-0.7097,2.3861,0.4428,2.528
12.733000,-0.7453,2.4618,0.4186,2.606
12.738000,-0.7319,2.5438,0.4267,2.681
12.745000,-0.7179,2.6303,0.4690,2.767
12.748000,-0.7587,2.6737,0.6721,2.859
12.753000,-0.8835,2.6505,0.9063,2.937
12.788000,-0.9925,2.5723,1.2913,3.045
12.789000,-1.0313,2.5753,1.6217,3.213
12.789000,-1.1659,2.5371,1.9383,3.399
12.790000,-1.2416,2.5459,2.3249,3.664
12.790000,-1.1961,2.5869,2.8370,4.021
12.790000,-1.0417,2.5855,3.3168,4.333
12.791000,-0.8762,2.6507,3.9923,4.872
12.793000,-0.8523,2.6693,4.5316,5.328
12.797000,-0.8100,2.6761,4.8757,5.620
12.802000,-0.6627,2.6343,4.9371,5.635
12.807000,-0.4169,2.6086,4.7975,5.477
12.812000,-0.1498,2.6707,4.4954,5.231
12.818000,0.0278,2.7283,4.1497,4.966
12.822000,0.1750,2.7059,3.7480,4.626
12.827000,0.3069,2.6572,3.4545,4.369
12.834000,0.4050,2.5734,3.2134,4.137
12.837000,0.4812,2.4888,3.0075,3.933
12.842000,0.6160,2.3560,3.0588,3.910
12.847000,0.6389,2.1726,3.3359,4.032
12.853000,0.6949,1.9549,3.6332,4.184
12.864000,0.7803,1.7626,3.8743,4.327
12.865000,0.7824,1.5377,4.1697,4.513
12.868000,0.8102,1.2991,4.4836,4.738
12.872000,0.9464,1.0387,4.7736,4.976
12.923000,0.9777,0.7510,5.0666,5.214
12.925000,1.0357,0.5285,5.3656,5.490
12.925000,1.1276,0.3247,5.4916,5.616
12.926000,1.1988,0.1466,5.4956,5.627
12.926000,1.2451,-0.0594,5.4020,5.544
12.926000,1.2648,-0.2790,5.1777,5.337
12.927000,1.2090,-0.4429,4.8945,5.061
12.927000,1.1071,-0.5606,4.5357,4.702
12.927000,1.0512,-0.6151,4.1395,4.315
12.928000,0.9509,-0.7141,3.6798,3.867
12.928000,0.8014,-0.8210,3.1249,3.329
12.932000,0.6869,-0.8712,2.5206,2.754
12.936000,0.5755,-0.9716,1.7325,2.068
12.943000,0.4184,-1.0875,0.9036,1.475
12.947000,0.1796,-1.1037,0.1578,1.129
12.952000,0.0161,-1.1456,-0.5632,1.277
12.957000,-0.1612,-1.1315,-1.2192,1.671
12.961000,-0.3052,-1.1635,-1.8062,2.170
12.966000,-0.4287,-1.2311,-2.2746,2.622
12.972000,-0.5608,-1.2652,-2.6245,2.967
12.980000,-0.6279,-1.2677,-2.9737,3.293
12.983000,-0.5823,-1.2913,-3.2504,3.546
12.986000,-0.5295,-1.2903,-3.4382,3.710
13.031000,-0.5147,-1.3719,-3.6954,3.975
13.032000,-0.5186,-1.4765,-3.9764,4.273
13.033000,-0.5127,-1.5296,-4.2001,4.499
13.033000,-0.4850,-1.5480,-4.3593,4.651
13.034000,-0.4805,-1.6441,-4.4496,4.768
13.034000,-0.4752,-1.7123,-4.4041,4.749
13.035000,-0.3922,-1.8152,-4.2730,4.659
13.036000,-0.3464,-1.9391,-4.3188,4.747
13.036000,-0.3618,-2.0360,-4.2665,4.741
13.036000,-0.3472,-2.1517,-4.0631,4.611
13.041000,-0.2760,-2.2797,-3.8687,4.499
13.046000,-0.1820,-2.3892,-3.8216,4.511
13.051000,-0.1443,-2.4495,-3.6798,4.423
13.056000,-0.0737,-2.5662,-3.4048,4.264
13.061000,-0.0035,-2.6175,-3.2932,4.207
13.066000,-0.0269,-2.6663,-3.1219,4.106
13.070000,0.0617,-2.6672,-3.0033,4.017
13.079000,0.1961,-2.6898,-2.9014,3.961
13.080000,0.2876,-2.7299,-2.7295,3.871
13.085000,0.2719,-2.7783,-2.6286,3.834
13.125000,0.2016,-2.8498,-2.5648,3.839
13.126000,0.2680,-2.8178,-2.4805,3.764
13.126000,0.2992,-2.8048,-2.3851,3.694
13.126000,0.2763,-2.8181,-2.2282,3.603
13.127000,0.3243,-2.7885,-2.0625,3.483
13.127000,0.2956,-2.7066,-1.9140,3.328
13.127000,0.2480,-2.6278,-1.7757,3.181
13.128000,0.2025,-2.6191,-1.7643,3.164
13.130000,0.2258,-2.5921,-1.8081,3.168
13.135000,0.2264,-2.5153,-1.9502,3.191
13.141000,0.2209,-2.4121,-2.2316,3.293
13.145000,0.2662,-2.2700,-2.5761,3.444
13.150000,0.2682,-2.1744,-2.8620,3.604
13.155000,0.2358,-2.0387,-3.0683,3.691
13.160000,0.2096,-1.8984,-3.3199,3.830
13.166000,0.2204,-1.7238,-3.4976,3.906
13.171000,0.2277,-1.5362,-3.6187,3.938
13.175000,0.1978,-1.3570,-3.6379,3.888
13.181000,0.2458,-1.2025,-3.5125,3.721
13.185000,0.3478,-1.0107,-3.3215,3.489
13.190000,0.4784,-0.8056,-3.0195,3.162
13.195000,0.4631,-0.6541,-2.8626,2.973
13.200000,0.4358,-0.4845,-2.6114,2.692
13.205000,0.4735,-0.3113,-2.3233,2.391
13.218000,0.5044,-0.1131,-2.1154,2.178
13.219000,0.5642,0.0859,-1.7579,1.848
13.221000,0.5258,0.2878,-1.4230,1.544
13.290000,0.4753,0.4876,-1.1629,1.348
13.291000,0.5228,0.7210,-0.8556,1.235
13.292000,0.5416,0.8707,-0.4748,1.130
13.292000,0.5029,0.9893,-0.0588,1.111
13.292000,0.5218,1.1672,0.2614,1.305
13.293000,0.5788,1.3705,0.5219,1.577
13.293000,0.6837,1.5749,0.7805,1.886
13.294000,0.8056,1.7496,1.0895,2.213
13.295000,0.9042,1.8823,1.3989,2.513
13.295000,0.9347,1.9996,1.5245,2.683
13.295000,0.9090,2.1229,1.5741,2.795
13.296000,0.8300,2.2336,1.5165,2.824
13.296000,0.6808,2.4114,1.4754,2.908
13.296000,0.4802,2.5656,1.5823,3.052
13.297000,0.2875,2.7205,1.6741,3.207
13.302000,0.1095,2.8164,1.7530,3.319
13.304000,0.0103,2.9016,1.8501,3.441
13.309000,-0.0871,2.9311,2.0175,3.559
13.314000,-0.1995,2.8860,2.1808,3.623
13.320000,-0.2105,2.8885,2.2898,3.692
13.324000,-0.2088,2.9053,2.5763,3.889
13.330000,-0.1683,2.8691,2.9136,4.093
13.333000,-0.2280,2.7750,3.1656,4.216
13.338000,-0.2563,2.7113,3.4903,4.427
13.380000,-0.2799,2.6678,3.8354,4.680
13.381000,-0.3106,2.6204,4.1987,4.959
13.381000,-0.2211,2.6115,4.5353,5.238
13.381000,-0.1183,2.5568,4.8836,5.514
13.382000,-0.0399,2.5660,5.1271,5.733
13.382000,0.0602,2.4922,5.3618,5.913
13.383000,0.1421,2.4670,5.5855,6.108
13.384000,0.1780,2.4680,5.8323,6.335
13.384000,0.2140,2.3511,6.0020,6.450
13.389000,0.1360,2.2166,5.9801,6.379
13.393000,-0.0720,2.0787,5.8865,6.243
13.398000,-0.3115,1.9324,5.6832,6.011
13.404000,-0.5467,1.8525,5.3843,5.720
13.410000,-0.9307,1.7434,4.9681,5.347
13.413000,-1.3377,1.6537,4.5493,5.022
13.419000,-1.6922,1.5507,4.0651,4.668
13.423000,-2.0508,1.3725,3.5202,4.299
13.464000,-2.2596,1.2156,3.0145,3.959
13.465000,-2.3245,1.1219,2.5712,3.643
13.465000,-2.3274,1.0177,2.1012,3.297
13.466000,-2.2261,0.8251,1.6828,2.910
13.466000,-2.0451,0.5806,1.4278,2.561
13.467000,-1.8418,0.3563,1.2499,2.254
13.468000,-1.6376,0.1858,1.2397,2.062
13.469000,-1.3316,0.0328,1.4689,1.983
13.469000,-1.0498,-0.0916,1.9211,2.191
13.475000,-0.8920,-0.2745,2.4246,2.598
13.481000,-0.7395,-0.4308,2.9084,3.032
13.482000,-0.6682,-0.5952,3.2584,3.379
13.487000,-0.6012,-0.7809,3.4996,3.636
13.494000,-0.5094,-0.9285,3.5153,3.671
13.498000,-0.3422,-1.0863,3.4757,3.658
13.502000,-0.2789,-1.1898,3.3285,3.546
13.513000,-0.2997,-1.2894,3.1336,3.402
13.514000,-0.3493,-1.3901,2.8098,3.154
13.517000,-0.4372,-1.4529,2.2829,2.741
13.523000,-0.6331,-1.5567,1.7848,2.451
13.566000,-0.9083,-1.6312,1.3246,2.289
13.567000,-1.1769,-1.6447,0.9759,2.246
13.568000,-1.4099,-1.5829,0.6023,2.204
13.568000,-1.5437,-1.5481,0.0791,2.188
13.569000,-1.6482,-1.5377,-0.4790,2.304
13.569000,-1.6907,-1.5841,-1.0319,2.536
13.569000,-1.7006,-1.6361,-1.5922,2.847
13.570000,-1.6230,-1.6937,-2.0907,3.142
13.570000,-1.5832,-1.7989,-2.5306,3.485
13.572000,-1.5432,-1.8558,-2.8977,3.771
13.577000,-1.3933,-1.8668,-3.2018,3.960
13.583000,-1.2941,-1.8173,-3.4122,4.077
13.587000,-1.2354,-1.8746,-3.5601,4.209
13.592000,-1.1191,-1.9527,-3.6384,4.278
13.598000,-1.0264,-2.0661,-3.5584,4.241
13.602000,-0.9018,-2.1649,-3.4971,4.211
13.607000,-0.6401,-2.2211,-3.4324,4.138
13.612000,-0.4135,-2.2592,-3.2682,3.995
13.616000,-0.1994,-2.3251,-3.0667,3.854
13.634000,-0.0808,-2.3451,-2.9229,3.748
13.636000,0.0410,-2.3749,-2.8604,3.718
13.637000,0.0966,-2.4316,-2.7210,3.651
13.684000,0.2179,-2.4438,-2.6146,3.585
13.685000,0.3265,-2.4740,-2.5575,3.573
13.685000,0.3959,-2.4846,-2.6043,3.621
13.685000,0.4425,-2.4828,-2.6879,3.686
13.686000,0.5165,-2.4445,-2.8179,3.766
13.686000,0.4934,-2.4369,-2.9991,3.896
13.686000,0.4713,-2.4404,-3.1765,4.033
