time,ax,ay,az,aT
18.779000,-0.3024,-2.0490,-2.4066,3.175
18.783000,-0.3858,-1.9874,-2.4000,3.140
18.788000,-0.5023,-1.9554,-2.4741,3.193
18.794000,-0.6256,-1.9004,-2.5331,3.228
18.799000,-0.6911,-1.8030,-2.5773,3.220
18.803000,-0.5938,-1.6868,-2.4970,3.071
18.880000,-0.4431,-1.5808,-2.3901,2.900
18.882000,-0.2982,-1.3320,-2.5508,2.893
18.883000,-0.0008,-1.1259,-2.8001,3.018
18.883000,0.2056,-1.0843,-3.0020,3.198
18.884000,0.2710,-1.0724,-3.2286,3.413
18.884000,0.5330,-0.8262,-3.2034,3.351
18.885000,0.8167,-0.6043,-3.0318,3.198
18.885000,0.8563,-0.5120,-2.6663,2.847
18.886000,0.7480,-0.5112,-2.3362,2.506
18.886000,0.6620,-0.4199,-2.0225,2.169
18.887000,0.5358,-0.3246,-1.5289,1.652
18.887000,0.4267,-0.2305,-0.8984,1.021
18.887000,0.3993,-0.1384,-0.3361,0.540
18.888000,0.3329,-0.0513,0.1275,0.360
18.888000,0.2892,0.0517,0.5960,0.664
18.888000,0.3760,0.1631,0.8494,0.943
18.889000,0.5362,0.3022,1.0243,1.195
18.893000,0.6718,0.4759,1.1568,1.420
18.897000,0.7352,0.5479,1.3116,1.600
18.904000,0.7579,0.6236,1.4646,1.763
18.908000,0.7072,0.7345,1.6420,1.933
18.914000,0.6796,0.8951,1.8816,2.192
18.917000,0.6845,1.0573,2.0761,2.428
18.921000,0.6310,1.1996,2.2328,2.612
18.980000,0.5931,1.3458,2.2990,2.729
18.980000,0.5777,1.4460,2.1886,2.686
18.981000,0.6041,1.5799,2.0183,2.633
18.981000,0.5692,1.6953,1.8882,2.601
18.982000,0.5420,1.7737,1.8051,2.588
18.982000,0.4931,1.8896,1.7731,2.638
18.982000,0.2811,1.9548,1.7537,2.641
18.982000,0.0896,1.9552,1.7657,2.636
18.983000,-0.1230,1.9436,1.8713,2.701
18.983000,-0.3212,1.9200,2.0462,2.824
18.983000,-0.3450,1.8915,2.4244,3.094
18.983000,-0.2636,1.8815,2.7911,3.376
18.987000,-0.1278,1.9085,3.1346,3.672
18.991000,0.0703,1.9240,3.4867,3.983
18.996000,0.2412,1.8631,3.7451,4.190
19.002000,0.3718,1.7994,3.8935,4.305
19.006000,0.4602,1.7711,3.8966,4.305
19.011000,0.3441,1.7561,3.9007,4.292
19.016000,0.2155,1.7803,3.9156,4.307
19.021000,0.0219,1.7601,3.8242,4.210
19.089000,-0.2651,1.7361,3.7748,4.163
19.089000,-0.4254,1.7202,3.6408,4.049
19.090000,-0.5502,1.6957,3.3887,3.829
