time,ax,ay,az,aT
25.040000,0.0036,-2.0694,-4.7468,5.178
25.041000,0.0646,-1.9897,-5.0123,5.393
25.041000,0.1095,-2.0112,-5.3510,5.718
25.042000,0.1952,-1.9414,-5.5482,5.881
25.042000,0.3975,-1.7780,-5.7261,6.009
25.042000,0.5536,-1.6420,-5.8853,6.135
25.043000,0.5431,-1.5422,-5.9018,6.124
25.043000,0.5790,-1.4140,-5.7760,5.975
25.043000,0.7041,-1.2210,-5.5250,5.702
25.044000,0.7004,-0.9998,-5.1750,5.317
25.044000,0.7163,-0.7477,-4.8196,4.930
25.045000,0.6493,-0.5988,-4.4898,4.576
25.045000,0.3516,-0.4431,-4.1592,4.197
25.045000,0.0673,-0.2593,-3.6650,3.675
25.046000,-0.2734,-0.0381,-3.2705,3.282
25.052000,-0.5753,0.2368,-2.8461,2.913
25.057000,-0.8771,0.4481,-2.2316,2.439
25.061000,-1.1743,0.6381,-1.6207,2.101
25.065000,-1.3620,0.8996,-1.1635,2.005
25.070000,-1.4556,1.1125,-0.6805,1.954
25.078000,-1.3716,1.3747,-0.3150,1.967
25.082000,-1.1891,1.5208,0.0960,1.933
25.085000,-1.0586,1.5724,0.4424,1.946
25.090000,-0.9587,1.6799,0.7891,2.089
25.145000,-0.9109,1.8405,1.0071,2.287
25.146000,-0.9007,1.9537,1.1756,2.452
25.146000,-1.0329,2.0743,1.4645,2.741
25.146000,-1.1747,2.2261,1.6874,3.030
25.147000,-1.2582,2.3684,1.6315,3.139
25.147000,-1.2974,2.4971,1.6077,3.241
25.147000,-1.4783,2.5022,1.4773,3.260
25.147000,-1.5957,2.5590,1.3789,3.316
25.148000,-1.5253,2.7177,1.3194,3.384
25.148000,-1.3673,2.8167,1.2241,3.362
25.148000,-1.2152,2.8327,1.1621,3.294
25.151000,-1.0571,2.8332,1.1307,3.228
25.156000,-0.8866,2.8354,1.1437,3.183
25.159000,-0.7617,2.7872,1.2033,3.130
25.165000,-0.7451,2.7555,1.3979,3.178
25.169000,-0.7745,2.6904,1.7557,3.305
25.177000,-0.8431,2.6538,2.0568,3.462
25.179000,-0.9418,2.6025,2.3060,3.602
25.184000,-1.0422,2.5121,2.6518,3.799
25.189000,-1.1018,2.4179,3.0851,4.072
25.256000,-1.1618,2.2691,3.4481,4.288
25.258000,-1.2034,2.0938,3.8371,4.534
25.259000,-0.9894,2.1305,4.3600,4.953
25.261000,-0.6629,2.1198,4.7255,5.221
25.261000,-0.2337,1.9919,5.0561,5.439
25.263000,0.1418,1.8513,5.2592,5.577
25.264000,0.4854,1.7451,5.1442,5.454
25.266000,0.9222,1.7213,4.8763,5.253
25.267000,1.3387,1.7208,4.5750,5.068
25.268000,1.6262,1.7033,4.1659,4.785
25.270000,1.9270,1.7061,3.5792,4.408
25.271000,2.0405,1.7133,3.0319,4.036
25.273000,2.0748,1.7286,2.5424,3.709
25.274000,2.0397,1.7149,2.1314,3.412
25.275000,1.9944,1.6059,1.8293,3.147
25.276000,1.8782,1.3358,1.6952,2.861
25.276000,1.8101,1.1339,1.6572,2.703
25.279000,1.7931,0.9381,1.7966,2.706
25.283000,1.7783,0.7333,2.1085,2.854
25.289000,1.8007,0.5398,2.3976,3.047
25.295000,1.7518,0.4163,2.4850,3.069
25.299000,1.7509,0.1753,2.3143,2.907
25.304000,1.5702,-0.3408,2.1512,2.685
25.308000,1.2389,-0.6633,2.0628,2.496
25.373000,0.9519,-0.7739,1.7337,2.124
25.375000,0.7788,-0.7776,1.2143,1.639
25.375000,0.5523,-0.9108,1.0114,1.469
25.376000,0.2743,-1.1301,0.7420,1.380
25.376000,0.1487,-1.1576,0.3533,1.219
25.377000,0.1519,-1.1795,-0.0210,1.189
25.377000,0.1192,-1.1998,-0.2474,1.231
25.378000,0.1464,-1.2326,-0.3839,1.299
25.378000,0.2546,-1.2944,-0.4186,1.384
25.378000,0.4143,-1.3324,-0.4354,1.462
25.379000,0.5548,-1.3517,-0.4487,1.529
25.379000,0.7419,-1.4195,-0.4153,1.655
25.379000,0.9703,-1.5479,-0.3951,1.869
25.380000,1.1529,-1.6769,-0.3498,2.065
25.384000,1.3352,-1.7949,-0.4204,2.276
25.388000,1.5215,-1.8757,-0.5348,2.474
25.394000,1.6421,-1.9343,-0.6067,2.609
25.397000,1.6853,-1.9947,-0.7053,2.705
25.402000,1.6347,-2.0281,-0.9287,2.766
25.407000,1.5821,-2.1016,-1.1690,2.879
25.412000,1.4396,-2.1336,-1.3355,2.900
25.417000,1.2055,-2.1650,-1.5715,2.934
25.422000,1.0096,-2.1480,-1.6545,2.893
25.427000,0.7664,-2.1783,-1.6802,2.856
25.481000,0.4139,-2.2013,-1.8734,2.920
25.482000,0.2940,-2.1692,-2.0304,2.986
25.482000,0.2751,-2.1729,-2.0796,3.020
25.482000,0.3124,-2.1552,-2.0879,3.017
25.482000,0.2668,-2.1736,-2.2730,3.156
25.482000,0.2340,-2.1634,-2.4911,3.308
25.483000,0.2565,-2.1771,-2.6707,3.455
25.483000,0.2930,-2.2290,-2.8047,3.595
25.483000,0.3285,-2.2445,-2.9985,3.760
25.483000,0.3747,-2.1975,-3.1278,3.841
25.484000,0.4839,-2.1552,-3.2021,3.890
25.487000,0.4911,-2.1796,-3.2262,3.924
25.491000,0.5634,-2.1773,-3.1573,3.876
25.498000,0.7487,-2.2251,-2.9714,3.787
25.501000,0.9441,-2.2273,-2.7977,3.699
25.508000,1.0620,-2.2327,-2.5616,3.560
25.512000,1.0051,-2.2179,-2.3632,3.393
25.516000,0.7332,-2.1305,-2.2501,3.184
25.522000,0.4602,-1.9971,-2.1742,2.988
25.585000,0.3536,-1.8271,-2.1476,2.842
25.586000,0.3517,-1.7451,-2.2324,2.855
25.586000,0.2037,-1.7364,-2.2826,2.875
25.586000,-0.0742,-1.7149,-2.2529,2.832
25.587000,-0.1541,-1.6205,-2.1292,2.680
25.587000,-0.0293,-1.4819,-1.9642,2.461
25.587000,0.1088,-1.3447,-1.8370,2.279
25.588000,0.2211,-1.2712,-1.6062,2.060
25.588000,0.4053,-1.2308,-1.3698,1.886
25.588000,0.5844,-1.1399,-1.1898,1.748
25.588000,0.7061,-1.0512,-1.1569,1.715
25.589000,0.8515,-0.9693,-1.2521,1.798
25.589000,0.8532,-0.8935,-1.2890,1.785
25.591000,0.8499,-0.7949,-1.3659,1.794
25.596000,0.8288,-0.7306,-1.4254,1.803
25.600000,0.7252,-0.6098,-1.3458,1.646
25.605000,0.5992,-0.4872,-1.3328,1.540
25.610000,0.4799,-0.4055,-1.3700,1.507
25.618000,0.4056,-0.3332,-1.3331,1.433
25.625000,0.4674,-0.1792,-1.2344,1.332
25.626000,0.5885,-0.0513,-1.0978,1.247
25.654000,0.6162,0.0865,-0.8731,1.072
25.655000,0.6633,0.1906,-0.6247,0.931
25.655000,0.7684,0.2872,-0.3621,0.897
25.655000,0.8004,0.4241,-0.1331,0.916
25.656000,0.8098,0.4958,0.0577,0.951
25.656000,0.8019,0.5452,0.2942,1.013
25.664000,0.8129,0.7371,0.5548,1.230
25.665000,0.8447,0.8751,0.7825,1.446
25.671000,0.8826,0.9878,0.7644,1.529
25.677000,0.8447,1.0876,0.6251,1.512
25.680000,0.7208,1.1604,0.4862,1.450
25.685000,0.6275,1.2285,0.2376,1.400
25.690000,0.5523,1.3112,-0.0230,1.423
25.695000,0.5188,1.4503,-0.2386,1.559
25.700000,0.5462,1.5051,-0.5150,1.682
25.704000,0.5101,1.5482,-0.7523,1.795
25.710000,0.5015,1.6064,-0.9149,1.915
25.718000,0.3608,1.6584,-0.9433,1.942
25.719000,0.1341,1.6808,-0.7639,1.851
25.774000,-0.1438,1.7454,-0.4607,1.811
25.775000,-0.3597,1.7879,-0.0819,1.826
25.775000,-0.5322,1.8081,0.3893,1.925
25.776000,-0.6250,1.8512,0.9124,2.156
25.776000,-0.6836,1.8546,1.4181,2.433
25.776000,-0.4838,1.9256,1.9214,2.763
25.776000,-0.4956,1.8461,2.3433,3.024
25.777000,-0.6574,1.6513,2.9646,3.457
25.777000,-0.6224,1.5561,3.4551,3.840
25.777000,-0.5592,1.5335,3.8850,4.214
25.778000,-0.5717,1.4964,4.2261,4.519
25.780000,-0.5860,1.4779,4.4740,4.748
25.784000,-0.6939,1.3294,4.5979,4.836
25.790000,-0.8089,1.1965,4.8111,5.023
25.794000,-0.8946,1.1653,4.8480,5.066
25.801000,-0.9793,1.1782,4.8093,5.047
25.804000,-1.1007,1.1278,4.7451,5.000
25.811000,-1.1866,1.1123,4.7056,4.979
25.815000,-1.2485,1.0862,4.5879,4.877
25.819000,-1.2139,1.0619,4.4398,4.724
25.892000,-1.0564,1.0131,4.3329,4.573
25.893000,-0.9577,0.9113,4.2026,4.406
25.894000,-0.8841,0.8382,4.0535,4.233
25.894000,-0.8236,0.7578,3.8617,4.021
25.894000,-0.7650,0.6801,3.6748,3.815
25.895000,-0.7571,0.6121,3.5838,3.714
25.895000,-0.7931,0.6138,3.5479,3.687
25.895000,-0.8687,0.5675,3.5694,3.717
25.896000,-0.9745,0.5185,3.6320,3.796
25.896000,-0.9984,0.3996,3.6230,3.779
25.897000,-0.9645,0.2582,3.6602,3.794
25.897000,-0.9016,0.1229,3.6861,3.797
25.897000,-0.7708,0.0362,3.6485,3.729
25.897000,-0.6343,-0.0121,3.5598,3.616
25.898000,-0.5538,-0.1036,3.4224,3.468
25.898000,-0.5456,-0.2122,3.1769,3.230
25.905000,-0.5062,-0.3809,2.9477,3.015
25.909000,-0.5189,-0.4447,2.6271,2.715
25.913000,-0.5068,-0.4727,2.1650,2.273
25.920000,-0.4961,-0.5557,1.6834,1.841
25.930000,-0.5608,-0.6262,1.1341,1.412
25.931000,-0.5713,-0.6549,0.6150,1.065
25.933000,-0.6138,-0.6558,0.0756,0.901
25.938000,-0.6715,-0.6331,-0.4606,1.031
26.016000,-0.6678,-0.6366,-1.0512,1.399
26.017000,-0.6606,-0.7017,-1.6222,1.887
26.017000,-0.6576,-0.7605,-2.2052,2.424
26.017000,-0.6635,-0.7887,-2.6117,2.808
26.017000,-0.6759,-0.8073,-3.0693,3.245
26.018000,-0.6830,-0.8612,-3.4778,3.647
26.018000,-0.7352,-0.9215,-3.7011,3.884
26.018000,-0.8755,-0.9498,-3.8806,4.090
26.019000,-1.0394,-1.0557,-3.9974,4.263
26.019000,-1.0617,-1.0840,-3.9702,4.250
26.019000,-0.9933,-1.0607,-3.9332,4.193
26.019000,-0.9136,-1.1036,-3.7904,4.052
