SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 64.4399, 6857, -0.07934570, -0.98248291, 0.31518555, -0.33632886, 0.24117149, -0.09187511, -24.52499199, 10.23092651, -62.37942123, 111.39564514, 8.65031910, -70.80832672, -0.42194697, 0.69602877, -0.44257411, -0.37634164, 0.22974953, 0.06199251, 0.04547475, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.4450, 6858, -0.08026123, -0.98339844, 0.31445313, -0.26632884, 0.20617151, -0.02187509, -24.52499199, 10.23092651, -62.37942123, 111.39447021, 8.65004444, -70.80731201, -0.42195863, 0.69602764, -0.44256523, -0.37634087, 0.23066226, 0.06290007, 0.04618835, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.4500, 6859, -0.08087158, -0.98370361, 0.31408691, -0.12632874, -0.17882864, -0.02187509, -23.94036865, 9.50014591, -63.02250671, 111.39370728, 8.65047646, -70.80812073, -0.42195866, 0.69602281, -0.44256577, -0.37634915, 0.23127979, 0.06320125, 0.04654133, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.4549, 6860, -0.08050537, -0.98388672, 0.31262207, -0.12632874, -0.17882860, 0.04812492, -23.94036865, 9.50014591, -63.02250671, 111.39292908, 8.65057659, -70.80904388, -0.42195988, 0.69601661, -0.44256848, -0.37635618, 0.23091511, 0.06337885, 0.04799151, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.4600, 6861, -0.08166504, -0.98486328, 0.31268311, -0.16132878, -0.21382864, 0.08312491, -23.56036186, 11.22478771, -62.43788147, 111.39195251, 8.65057850, -70.81021118, -0.42196205, 0.69600856, -0.44257230, -0.37636426, 0.23207229, 0.06434894, 0.04791524, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.4650, 6862, -0.08343506, -0.98413086, 0.31091309, -0.09132874, -0.21382862, 0.04812492, -23.56036186, 11.22478771, -62.43788147, 111.39134216, 8.65074444, -70.81130219, -0.42196143, 0.69600242, -0.44257617, -0.37637156, 0.23384428, 0.06361228, 0.04967346, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.4699, 6863, -0.08386230, -0.98352051, 0.31182861, 0.04867129, -0.28382868, 0.04812492, -23.56036186, 11.22478771, -62.43788147, 111.39137268, 8.65103626, -70.81272125, -0.42195526, 0.69599777, -0.44258368, -0.37637836, 0.23427750, 0.06300314, 0.04875842, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.4750, 6864, -0.08618164, -0.98376465, 0.31219482, 0.11867134, -0.10882861, 0.15312499, -24.32037354, 11.51710033, -62.73019409, 111.39184570, 8.65052414, -70.81352234, -0.42195204, 0.69599521, -0.44259226, -0.37637654, 0.23659158, 0.06324865, 0.04839800, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.4799, 6865, -0.08612061, -0.98376465, 0.31079102, 0.08367130, -0.00382859, 0.18812501, -24.32037354, 11.51710033, -62.73019409, 111.39221191, 8.64965916, -70.81388855, -0.42195246, 0.69599307, -0.44259942, -0.37637159, 0.23651695, 0.06324905, 0.04980853, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.4850, 6866, -0.08807373, -0.98431396, 0.31072998, 0.08367130, -0.03882853, 0.15312499, -23.85267448, 11.13709450, -62.78865814, 111.39256287, 8.64901924, -70.81435394, -0.42195165, 0.69599098, -0.44260615, -0.37636834, 0.23845658, 0.06379882, 0.04987626, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.4700, 6965, -0.02751358, -0.99639964, 0.01166213, -0.24135472, 0.54138744, -0.30935162, -24.08652496, 11.51710033, -71.32417297, 90.67489624, -1.65313864, 68.52693939, 0.57510489, -0.59347314, -0.39201581, -0.40418774, -0.00137505, -0.00313510, -0.00158607, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 64.4750, 6966, -0.02690021, -0.99659026, 0.01226379, -0.24135475, 0.54138744, -0.30935162, -24.05729294, 11.60479355, -71.00263214, 90.67835999, -1.64760268, 68.52884674, 0.57509989, -0.59346527, -0.39206627, -0.40415731, -0.00192829, -0.00294678, -0.00216603, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 64.4800, 6967, -0.02657742, -0.99428952, 0.01030366, -0.31530768, 0.75210935, -0.40854415, -24.05729294, 11.60479355, -71.00263214, 90.67666626, -1.64559722, 68.53263092, 0.57510251, -0.59343702, -0.39209014, -0.40417194, -0.00217910, -0.00524634, -0.00018756, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 64.4850, 6968, -0.02665537, -0.99295521, 0.01039109, -0.31562138, 0.78608412, -0.37267813, -23.96959877, 9.58784008, -70.97339630, 90.67498779, -1.64379132, 68.53657532, 0.57510376, -0.59340900, -0.39211392, -0.40418833, -0.00206652, -0.00658197, -0.00030244, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 64.4900, 6969, -0.02665987, -0.99374127, 0.00776345, -0.28183702, 0.95794272, -0.26385534, -23.96959877, 9.58784008, -70.97339630, 90.67343140, -1.64251888, 68.54137421, 0.57509941, -0.59338045, -0.39213979, -0.40421128, -0.00203183, -0.00579263, 0.00229535, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 64.5200, 6867, -0.08532715, -0.98413086, 0.31036377, -0.02460918, 0.52773374, 0.19468762, -24.14498711, 10.90324497, -63.11020279, 111.39776611, 8.63955021, -70.80209351, -0.42200261, 0.69603485, -0.44258964, -0.37624964, 0.23555107, 0.06362535, 0.05033317, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.5249, 6868, -0.08367920, -0.98291016, 0.31085205, 0.04539083, 0.77273381, 0.08968756, -24.20344925, 11.02016926, -62.78865814, 111.39852142, 8.63772011, -70.79861450, -0.42201763, 0.69604665, -0.44257888, -0.37622362, 0.23387294, 0.06240465, 0.04985762, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.4950, 6970, -0.02386438, -0.99400604, 0.00738451, -0.31844735, 1.02891159, -0.33180210, -23.96959877, 9.58784008, -70.97339630, 90.67167664, -1.64091659, 68.54654694, 0.57509595, -0.59334856, -0.39216858, -0.40423506, -0.00479984, -0.00552846, 0.00265047, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 64.5000, 6971, -0.02255557, -0.99642825, 0.00757522, -0.42387810, 0.95500779, -0.19201282, -24.29114342, 8.06781673, -70.82723999, 90.66942596, -1.64000928, 68.55132294, 0.57509398, -0.59331787, -0.39219004, -0.40426216, -0.00609038, -0.00310757, 0.00242416, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 64.5050, 6972, -0.02349758, -0.99759471, 0.01010656, -0.38747790, 0.88570678, -0.19412801, -24.29114342, 8.06781673, -70.82723999, 90.66735840, -1.63908195, 68.55576324, 0.57509232, -0.59328908, -0.39221045, -0.40428683, -0.00513865, -0.00194583, -0.00015053, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 64.5300, 6869, -0.08380127, -0.98162842, 0.31140137, -0.30460927, 0.87773389, 0.05468758, -24.20344925, 11.02016926, -62.78865814, 111.39760590, 8.63586712, -70.79457855, -0.42204469, 0.69605440, -0.44255936, -0.37620184, 0.23396489, 0.06111617, 0.04930351, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.5350, 6870, -0.08111572, -0.98272705, 0.31170654, -0.16460924, 0.87773383, 0.05468752, -24.34960556, 11.31248188, -62.11634064, 111.39738464, 8.63401127, -70.79055023, -0.42206755, 0.69606465, -0.44254214, -0.37617737, 0.23124647, 0.06220755, 0.04899354, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.5399, 6871, -0.08007813, -0.98236084, 0.31036377, -0.16460919, 0.87773383, 0.08968756, -24.34960556, 11.31248188, -62.11634064, 111.39715576, 8.63198948, -70.78659821, -0.42209101, 0.69607431, -0.44252607, -0.37615231, 0.23017544, 0.06183571, 0.05033591, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.5100, 6973, -0.02173926, -0.99635732, 0.01243362, -0.34961289, 0.67883873, -0.26964515, -24.08652496, 11.40017509, -71.49955750, 90.66551208, -1.63778198, 68.55916595, 0.57509452, -0.59326380, -0.39222825, -0.40430361, -0.00688310, -0.00318810, -0.00250200, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 64.5150, 6974, -0.02137813, -0.99605274, 0.01255995, -0.38130224, 0.36440834, -0.24168421, -24.08652496, 11.40017509, -71.49955750, 90.66354370, -1.63659108, 68.56100464, 0.57510245, -0.59324366, -0.39223695, -0.40431353, -0.00722265, -0.00349398, -0.00266151, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 64.5350, 6975, -0.02705843, -0.99720800, 0.01504641, -0.37816113, 0.11907841, -0.17746733, -24.02806091, 10.26015759, -71.20724487, 90.66793060, -1.62552702, 68.56483459, 0.57510573, -0.59321511, -0.39232883, -0.40426153, -0.00135393, -0.00234765, -0.00508928, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 64.5400, 6976, -0.02717739, -0.99808145, 0.01345010, -0.37920722, 0.22183678, -0.10490035, -24.02806091, 10.26015759, -71.20724487, 90.66600800, -1.62501240, 68.56594849, 0.57511365, -0.59319991, -0.39233044, -0.40427113, -0.00122192, -0.00147206, -0.00352504, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 64.5450, 6872, -0.07989502, -0.98217773, 0.31085205, -0.26960930, 0.80773383, 0.19468768, -24.34960556, 11.31248188, -62.11634064, 111.39630890, 8.62960815, -70.78314972, -0.42211804, 0.69607878, -0.44251269, -0.37612939, 0.22995156, 0.06164224, 0.04983835, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.5499, 6873, -0.07965088, -0.98126221, 0.30993652, -0.40960929, 0.94773382, 0.05468758, -24.23267937, 10.11400127, -62.32095718, 111.39492035, 8.62761879, -70.77878571, -0.42214969, 0.69608569, -0.44249016, -0.37610748, 0.22966996, 0.06071299, 0.05073425, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.5550, 6874, -0.07891846, -0.98150635, 0.30981445, -0.37460929, 0.87773383, -0.01531244, -24.23267937, 10.11400127, -62.32095718, 111.39366150, 8.62608719, -70.77462769, -0.42217785, 0.69609350, -0.44246742, -0.37608838, 0.22890998, 0.06094498, 0.05083665, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.5450, 6977, -0.02573504, -0.99748611, 0.01212071, -0.52480948, 0.46756810, -0.23739855, -24.02806091, 10.26015759, -71.20724487, 90.66331482, -1.62385619, 68.56829071, 0.57512343, -0.59317446, -0.39233899, -0.40428624, -0.00264219, -0.00206618, -0.00223640, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 64.5500, 6978, -0.02387141, -0.99549150, 0.01336899, -0.45368391, 0.46820146, -0.23828880, -24.08652496, 11.16632557, -71.03186035, 90.66097260, -1.62268972, 68.57064819, 0.57513136, -0.59315068, -0.39234886, -0.40430009, -0.00448714, -0.00406409, -0.00351897, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 64.5550, 6979, -0.02179570, -0.99539888, 0.01542936, -0.45431128, 0.53615099, -0.16655689, -24.08652496, 11.16632557, -71.03186035, 90.65863800, -1.62190199, 68.57332611, 0.57513684, -0.59312713, -0.39235857, -0.40431759, -0.00655249, -0.00416103, -0.00561637, 100.41500854, 76.02655792, 32.09000015, 0.00000000
1, 64.5600, 6875, -0.07806396, -0.98260498, 0.30798340, -0.12960921, 0.73773384, 0.05468752, -23.91113663, 10.93247604, -61.99941635, 111.39352417, 8.62448788, -70.77125549, -0.42219687, 0.69610214, -0.44245332, -0.37606740, 0.22802876, 0.06203681, 0.05266161, 100.32900238, 83.24089050, 31.25000000, 0.00000000
1, 64.5649, 6876, -0.08020020, -0.98101807, 0.30841064, -0.19960929, 0.80773383, 0.08968762, -23.91113663, 10.93247604, -61.99941635, 111.39307404, 8.62259197, -70.76761627, -0.42222002, 0.69610995, -0.44243789, -0.37604505, 0.23013085, 0.06044334, 0.05223166, 100.32900238, 83.24089050, 31.25000000, 0.00000000
