time,ax,ay,az,aT
0.007000,-0.1338,0.4171,0.1906,0.478
0.007000,-0.1273,0.1892,0.5202,0.568
0.008000,-0.2430,-0.0134,0.7189,0.759
0.012000,-0.2390,-0.2193,0.7725,0.838
0.015000,-0.2212,-0.3616,0.7267,0.841
0.022000,-0.2407,-0.4358,0.6579,0.825
0.024000,-0.2939,-0.4523,0.5348,0.760
0.030000,-0.3704,-0.4641,0.2952,0.663
0.038000,-0.4313,-0.4096,-0.0422,0.596
0.040000,-0.5359,-0.3079,-0.3537,0.712
0.046000,-0.6277,-0.2240,-0.5630,0.872
0.050000,-0.7079,-0.1872,-0.6632,0.988
0.057000,-0.8256,-0.1670,-0.7025,1.097
0.060000,-0.9311,-0.1856,-0.7023,1.181
0.065000,-0.9818,-0.2434,-0.7009,1.231
0.080000,-0.9919,-0.3356,-0.7245,1.273
0.081000,-0.9493,-0.3901,-0.7060,1.246
0.081000,-0.9321,-0.3922,-0.6049,1.178
0.085000,-0.8837,-0.3919,-0.3990,1.046
0.090000,-0.8022,-0.3911,-0.1790,0.910
0.098000,-0.6924,-0.4153,-0.0543,0.809
0.099000,-0.5578,-0.4445,-0.0557,0.715
0.124000,-0.1701,-0.4134,-0.1402,0.468
0.125000,0.0237,-0.3067,-0.2314,0.385
0.125000,0.2233,-0.1455,-0.3102,0.409
0.125000,0.3835,0.0278,-0.3673,0.532
0.126000,0.5120,0.1775,-0.3693,0.656
0.133000,0.6422,0.3157,-0.3451,0.794
0.146000,0.7784,0.4684,-0.3425,0.971
0.147000,0.9367,0.6138,-0.3640,1.178
0.147000,1.0855,0.7160,-0.3954,1.359
0.150000,1.1573,0.7605,-0.4175,1.446
0.166000,1.1161,0.7255,-0.4185,1.395
0.167000,0.9566,0.6251,-0.3791,1.204
0.167000,0.7237,0.4731,-0.3041,0.917
0.181000,0.4338,0.2856,-0.2126,0.561
0.181000,0.1342,0.0982,-0.1235,0.207
0.182000,-0.1561,-0.1017,-0.0105,0.187
0.185000,-0.1577,-0.2762,0.1408,0.348
0.215000,-0.4259,-0.4138,0.3187,0.674
0.216000,-0.6375,-0.5054,0.4827,0.946
0.216000,-0.7663,-0.5394,0.5994,1.112
0.217000,-0.8098,-0.5588,0.6402,1.174
0.217000,-0.8162,-0.5539,0.6194,1.165
0.217000,-0.7900,-0.5029,0.5585,1.090
0.220000,-0.7167,-0.3982,0.4717,0.946
0.225000,-0.3997,-0.2440,0.3734,0.599
0.230000,-0.1903,-0.0733,0.2586,0.329
0.237000,-0.0023,0.0617,0.1296,0.144
0.239000,0.1718,0.1782,0.0340,0.250
0.245000,0.3298,0.2980,-0.0449,0.447
0.250000,0.4597,0.4094,-0.1002,0.624
0.256000,0.5189,0.4456,-0.1127,0.693
0.260000,0.5100,0.4474,-0.1040,0.686
0.265000,0.4430,0.3981,-0.0525,0.598
0.271000,0.3584,0.3191,-0.0036,0.480
0.275000,0.2638,0.2294,0.0190,0.350
0.280000,0.1611,0.1383,0.0128,0.213
0.286000,0.0663,0.0669,-0.0387,0.102
0.305000,-0.0380,0.0078,-0.1359,0.141
0.312000,-0.1598,-0.0271,-0.2380,0.288
0.312000,-0.2759,-0.0527,-0.3188,0.425
0.313000,-0.3605,-0.0523,-0.3569,0.510
0.313000,-0.4141,-0.0385,-0.3476,0.542
0.332000,-0.4248,-0.0185,-0.2860,0.512
0.333000,-0.3877,-0.0117,-0.1935,0.434
0.333000,-0.3003,0.0223,-0.0821,0.312
0.334000,-0.1477,0.0813,-0.0089,0.169
0.337000,0.0517,0.1274,0.0261,0.140
0.340000,0.2336,0.1609,0.0110,0.284
0.346000,0.3654,0.1943,-0.0255,0.415
0.349000,0.4352,0.2326,-0.0308,0.494
0.356000,0.4912,0.2735,-0.0550,0.565
0.360000,0.5288,0.3099,-0.1246,0.625
0.365000,0.5214,0.3181,-0.2086,0.645
0.373000,0.4998,0.3125,-0.3190,0.670
0.376000,0.4782,0.3338,-0.4390,0.730
0.380000,0.4679,0.3652,-0.5664,0.820
0.387000,0.4565,0.3946,-0.7086,0.931
0.390000,0.4456,0.4268,-0.8872,1.081
