time,ax,ay,az,aT
0.006000,-0.1090,0.1971,-0.1454,0.268
0.007000,-0.0567,0.1842,-0.1296,0.232
0.007000,-0.0039,0.1901,-0.1351,0.233
0.008000,0.0424,0.1913,-0.1333,0.237
0.008000,0.0651,0.1687,-0.1220,0.218
0.025000,0.0639,0.1390,-0.1108,0.189
0.026000,0.0557,0.1287,-0.1140,0.181
0.026000,0.0593,0.1163,-0.1197,0.177
0.027000,0.0821,0.1114,-0.1183,0.182
0.035000,0.1002,0.1162,-0.0884,0.177
0.038000,0.1350,0.1043,-0.0393,0.175
0.043000,0.1483,0.0899,0.0193,0.175
0.048000,0.1451,0.0633,0.0660,0.172
0.052000,0.1375,0.0509,0.0912,0.173
0.058000,0.1231,0.0406,0.0617,0.144
0.065000,0.0749,0.0465,-0.0012,0.088
0.068000,0.0202,0.0476,-0.0826,0.097
0.073000,-0.0436,0.0464,-0.1633,0.175
0.077000,-0.1093,0.0549,-0.2173,0.249
0.083000,-0.1700,0.0682,-0.2710,0.327
0.088000,-0.2136,0.0889,-0.3077,0.385
0.092000,-0.2430,0.1144,-0.3277,0.424
0.106000,-0.2509,0.1397,-0.3333,0.440
0.106000,-0.2402,0.1578,-0.3175,0.428
0.108000,-0.2177,0.1590,-0.2995,0.403
0.113000,-0.2000,0.1603,-0.2912,0.388
0.117000,-0.1985,0.1735,-0.2853,0.388
0.123000,-0.2014,0.1843,-0.2936,0.401
0.166000,-0.2110,0.1953,-0.3257,0.434
0.167000,-0.2415,0.2136,-0.3315,0.462
0.168000,-0.2713,0.2296,-0.3208,0.479
0.168000,-0.3174,0.2316,-0.2912,0.489
0.168000,-0.3582,0.2363,-0.2574,0.500
0.169000,-0.3965,0.2366,-0.2429,0.522
0.169000,-0.4113,0.2396,-0.2526,0.539
0.169000,-0.3960,0.2405,-0.2885,0.546
0.170000,-0.3513,0.2373,-0.3055,0.523
0.178000,-0.3059,0.2226,-0.3204,0.496
0.179000,-0.2575,0.2016,-0.3332,0.467
0.191000,-0.2131,0.2004,-0.3557,0.461
0.192000,-0.1773,0.2070,-0.3572,0.449
0.192000,-0.1522,0.2139,-0.3208,0.415
0.204000,-0.1159,0.2092,-0.2898,0.376
0.205000,-0.1231,0.2024,-0.2401,0.337
0.208000,-0.1634,0.2170,-0.2027,0.339
0.221000,-0.1722,0.2670,-0.0895,0.330
0.221000,-0.2087,0.3162,-0.0102,0.379
0.222000,-0.2604,0.3264,0.0450,0.420
0.265000,-0.2985,0.3145,0.0124,0.434
0.265000,-0.3026,0.2881,-0.0554,0.422
0.266000,-0.3190,0.2688,-0.1225,0.435
0.266000,-0.2859,0.2735,-0.2770,0.483
0.266000,-0.2353,0.2812,-0.3974,0.541
0.266000,-0.1986,0.2778,-0.4651,0.577
0.267000,-0.2119,0.2517,-0.4878,0.588
0.267000,-0.2533,0.2340,-0.4800,0.591
0.268000,-0.2962,0.2508,-0.4634,0.604
0.273000,-0.2931,0.2752,-0.4189,0.581
0.278000,-0.3126,0.2880,-0.3751,0.567
0.283000,-0.2853,0.3057,-0.3602,0.552
