time,ax,ay,az,aT
0.004000,-0.4528,0.3146,-0.6692,0.867
0.005000,-0.5767,0.3315,-0.4770,0.819
0.009000,-0.7268,0.3897,-0.2950,0.876
0.011000,-0.8397,0.4578,-0.1660,0.971
0.018000,-0.8494,0.4952,-0.0757,0.986
0.023000,-0.7827,0.4516,0.0239,0.904
0.027000,-0.6607,0.3770,0.1306,0.772
0.031000,-0.4895,0.2566,0.1945,0.586
0.040000,-0.3497,0.1187,0.2327,0.437
0.043000,-0.2304,0.0182,0.2405,0.334
0.047000,-0.1300,-0.0353,0.1581,0.208
0.092000,-0.0499,-0.0466,-0.0312,0.075
0.093000,-0.0567,-0.0032,-0.2869,0.292
0.094000,-0.0615,0.0833,-0.5378,0.548
0.094000,-0.0473,0.1726,-0.7337,0.755
0.095000,-0.0738,0.2051,-0.8653,0.892
0.096000,-0.1626,0.1667,-0.9377,0.966
0.097000,-0.2728,0.0910,-0.9892,1.030
0.097000,-0.3859,0.0450,-1.0077,1.080
0.098000,-0.4453,0.0237,-0.9957,1.091
0.099000,-0.4970,0.0175,-0.9889,1.107
0.103000,-0.5697,-0.0143,-1.0161,1.165
0.112000,-0.6470,-0.0619,-1.0750,1.256
0.113000,-0.6744,-0.0843,-1.1849,1.366
0.117000,-0.6504,-0.0885,-1.2477,1.410
0.124000,-0.6203,-0.1318,-1.2947,1.442
0.127000,-0.5940,-0.1711,-1.3306,1.467
0.132000,-0.5642,-0.2063,-1.3173,1.448
0.148000,-0.5041,-0.2305,-1.2954,1.409
0.148000,-0.4518,-0.2462,-1.3246,1.421
0.149000,-0.4167,-0.2846,-1.3807,1.470
0.154000,-0.3698,-0.3264,-1.4591,1.540
0.157000,-0.3004,-0.3287,-1.4496,1.516
0.164000,-0.2406,-0.2888,-1.3599,1.411
0.167000,-0.2235,-0.2094,-1.1993,1.238
0.194000,-0.2738,-0.1104,-0.9340,0.980
0.195000,-0.3563,-0.0188,-0.6234,0.718
0.195000,-0.4741,0.0645,-0.3197,0.575
0.196000,-0.5992,0.1368,-0.0895,0.621
0.196000,-0.7153,0.1932,0.0386,0.742
0.196000,-0.8349,0.2193,0.0312,0.864
0.206000,-0.9323,0.2229,-0.0758,0.962
0.207000,-1.0097,0.2334,-0.2399,1.064
0.219000,-1.0141,0.2633,-0.4039,1.123
0.219000,-0.9404,0.3443,-0.5179,1.127
0.231000,-0.7958,0.4668,-0.5344,1.066
0.232000,-0.6498,0.6116,-0.4269,0.989
0.232000,-0.5258,0.7279,-0.2336,0.928
0.239000,-0.4377,0.8124,-0.0090,0.923
0.242000,-0.3946,0.8694,0.1681,0.969
0.247000,-0.3697,0.9109,0.2452,1.013
0.264000,-0.3652,0.9271,0.2442,1.026
0.265000,-0.3353,0.9304,0.1816,1.006
0.265000,-0.2728,0.9401,0.0646,0.981
0.267000,-0.1511,0.9541,-0.0473,0.967
0.272000,-0.0250,0.9610,-0.1039,0.967
0.277000,0.0773,0.9631,-0.0625,0.968
0.283000,0.1367,0.9723,0.0340,0.982
0.339000,0.1222,0.9858,0.1689,1.008
0.340000,0.0614,1.0151,0.3353,1.071
0.340000,-0.0008,1.0596,0.5048,1.174
0.340000,-0.0915,1.0951,0.6322,1.268
0.340000,-0.2037,1.1096,0.6935,1.324
0.341000,-0.3116,1.1035,0.6791,1.333
0.342000,-0.4017,1.0864,0.6058,1.307
0.343000,-0.4577,1.0468,0.4901,1.243
0.343000,-0.4655,1.0093,0.3437,1.163
0.344000,-0.4535,0.9360,0.1807,1.056
0.345000,-0.4121,0.8419,0.0080,0.937
0.345000,-0.3365,0.7582,-0.1506,0.843
0.350000,-0.2504,0.6731,-0.2688,0.767
