time,ax,ay,az,aT
0.006000,0.6085,0.1619,-0.9822,1.167
0.007000,0.6293,0.1052,-0.7604,0.993
0.008000,0.5341,0.0319,-0.5007,0.733
0.008000,0.3575,-0.0297,-0.3032,0.470
0.008000,0.1915,-0.0752,-0.1939,0.283
0.009000,0.0773,-0.1119,-0.1704,0.218
0.009000,0.0237,-0.1393,-0.2353,0.274
0.021000,0.0277,-0.1401,-0.3337,0.363
0.022000,0.0479,-0.0993,-0.3871,0.402
0.022000,0.0122,-0.0241,-0.3238,0.325
0.078000,-0.1184,0.0685,-0.1726,0.220
0.079000,-0.2820,0.1778,0.0117,0.334
0.079000,-0.4449,0.2867,0.2103,0.570
0.079000,-0.6213,0.3852,0.4017,0.834
0.079000,-0.7073,0.4372,0.5048,0.973
0.079000,-0.6255,0.4735,0.4770,0.918
0.079000,-0.3718,0.4632,0.4115,0.723
0.080000,-0.0661,0.3896,0.3755,0.545
0.080000,0.2076,0.2718,0.3402,0.482
0.080000,0.3929,0.1457,0.2867,0.508
0.080000,0.4735,0.0470,0.1933,0.514
0.090000,0.4850,0.0073,0.0289,0.486
0.090000,0.4451,0.0008,-0.1972,0.487
0.104000,0.3809,0.0283,-0.4497,0.590
0.105000,0.2906,0.0668,-0.6666,0.730
0.105000,0.1896,0.0808,-0.8125,0.838
0.110000,0.1988,0.0801,-0.8566,0.883
0.113000,-0.0334,0.0480,-0.8036,0.806
0.117000,-0.1289,-0.0017,-0.6726,0.685
0.154000,-0.2142,-0.0406,-0.5065,0.551
0.155000,-0.2626,-0.0790,-0.3481,0.443
0.155000,-0.2569,-0.0791,-0.2091,0.341
0.155000,-0.2060,-0.0529,-0.1060,0.238
0.155000,-0.1453,-0.0055,-0.0388,0.150
0.156000,-0.0888,0.0440,0.0093,0.100
0.156000,-0.0506,0.1004,0.0719,0.133
0.167000,-0.0400,0.1392,0.1707,0.224
0.168000,-0.0714,0.1652,0.2746,0.328
0.168000,-0.1255,0.1877,0.3430,0.411
0.178000,-0.1909,0.1948,0.3738,0.463
0.179000,-0.2486,0.1842,0.3571,0.472
0.184000,-0.2924,0.1608,0.2643,0.426
0.201000,-0.2941,0.1348,0.1407,0.353
0.202000,-0.2513,0.1183,0.0269,0.279
0.202000,-0.1929,0.1381,-0.0512,0.243
0.202000,-0.1472,0.1561,-0.0961,0.235
0.215000,-0.1265,0.1624,-0.1195,0.238
0.216000,-0.1019,0.1667,-0.1240,0.231
0.217000,-0.0806,0.1521,-0.0999,0.199
0.224000,-0.0860,0.1543,-0.0855,0.196
0.230000,-0.1153,0.1278,-0.0735,0.187
0.232000,-0.1398,0.1300,-0.0758,0.205
0.278000,-0.1425,0.1250,-0.0876,0.209
0.279000,-0.1209,0.1177,-0.0780,0.186
0.279000,-0.0726,0.1320,-0.0636,0.163
0.280000,-0.0071,0.1534,-0.0420,0.159
0.280000,0.0589,0.1604,-0.0012,0.171
0.280000,0.1088,0.1385,0.0611,0.186
0.280000,0.1329,0.1211,0.1403,0.228
0.280000,0.1287,0.0962,0.2124,0.266
0.281000,0.1294,0.0923,0.2607,0.305
0.289000,0.1322,0.0998,0.2878,0.332
0.290000,0.1154,0.0949,0.2839,0.321
0.302000,0.0787,0.0851,0.2490,0.275
0.303000,0.0555,0.0701,0.1952,0.215
0.303000,0.0458,0.0432,0.1294,0.144
0.307000,0.0498,0.0165,0.0661,0.084
0.314000,0.0772,0.0018,0.0099,0.078
0.319000,0.1044,-0.0292,-0.0344,0.114
0.335000,0.1006,-0.0505,-0.0548,0.125
0.338000,0.0970,-0.0669,-0.0512,0.129
0.339000,0.0865,-0.0761,-0.0478,0.125
