time,ax,ay,az,aT
0.003000,-0.2101,0.1487,-0.4651,0.532
0.003000,-0.3547,0.1385,-0.4720,0.606
0.008000,-0.5349,0.1946,-0.3821,0.686
0.008000,-0.7204,0.3192,-0.1884,0.810
0.013000,-0.8571,0.4805,-0.0174,0.983
0.022000,-0.8352,0.6110,0.0881,1.039
0.024000,-0.6492,0.6696,0.2122,0.956
0.028000,-0.3642,0.6438,0.4104,0.846
0.033000,-0.0961,0.5639,0.6475,0.864
0.081000,0.1215,0.4698,0.8092,0.944
0.082000,0.3307,0.3948,0.8002,0.952
0.082000,0.4482,0.3704,0.5416,0.795
0.082000,0.4642,0.4072,0.1381,0.633
0.082000,0.4332,0.4755,-0.2697,0.698
0.082000,0.3469,0.5068,-0.5962,0.856
0.082000,0.2306,0.4725,-0.7532,0.919
0.083000,0.1225,0.3920,-0.7171,0.826
0.083000,0.0514,0.3485,-0.5500,0.653
0.083000,0.0049,0.3291,-0.3186,0.458
0.093000,-0.0175,0.3355,-0.0896,0.348
0.094000,-0.0328,0.3361,0.0727,0.345
0.099000,-0.0267,0.3236,0.1303,0.350
0.103000,-0.0018,0.2695,0.0925,0.285
0.109000,0.0371,0.2320,-0.0049,0.235
0.114000,0.1113,0.2088,-0.1212,0.266
0.132000,0.1944,0.1957,-0.2354,0.363
0.133000,0.2480,0.1880,-0.3067,0.437
0.133000,0.2627,0.1884,-0.3091,0.447
0.134000,0.2459,0.2060,-0.2687,0.418
0.138000,0.2191,0.2477,-0.1926,0.383
0.144000,0.1828,0.3033,-0.1068,0.370
0.148000,0.1348,0.3297,-0.0639,0.362
0.201000,0.0493,0.3412,-0.0830,0.355
0.202000,-0.0328,0.3618,-0.1782,0.405
0.202000,-0.0733,0.3870,-0.3067,0.499
0.202000,-0.0795,0.4221,-0.4160,0.598
0.202000,-0.0541,0.4430,-0.4870,0.661
0.202000,-0.0399,0.4403,-0.4934,0.663
0.203000,-0.0607,0.4235,-0.4760,0.640
0.203000,-0.0950,0.4115,-0.4538,0.620
0.203000,-0.1263,0.4189,-0.4316,0.615
0.203000,-0.1452,0.4286,-0.4166,0.615
0.203000,-0.1664,0.4576,-0.4041,0.633
0.215000,-0.1685,0.4866,-0.3820,0.641
0.215000,-0.1396,0.4965,-0.3576,0.628
0.226000,-0.1298,0.4803,-0.3358,0.600
0.226000,-0.1151,0.4546,-0.2996,0.556
0.229000,-0.1125,0.4457,-0.2419,0.519
0.234000,-0.0959,0.4534,-0.1795,0.497
0.248000,-0.0750,0.4679,-0.1289,0.491
0.249000,-0.0688,0.4917,-0.0879,0.504
0.249000,-0.0367,0.4886,-0.0562,0.493
0.254000,-0.0268,0.4946,-0.0531,0.498
0.261000,-0.0173,0.4904,-0.0856,0.498
0.263000,0.0037,0.4905,-0.1417,0.511
0.300000,0.0220,0.4926,-0.2358,0.547
0.301000,0.0569,0.5063,-0.3368,0.611
