time,gFx,gFy,gFz,TgF
0.005000,0.0018,0.6231,0.7594,0.982
0.006000,0.0116,0.6314,0.7806,1.004
0.007000,0.0243,0.6361,0.7972,1.020
0.007000,0.0350,0.6378,0.8116,1.033
0.007000,0.0390,0.6346,0.8314,1.047
0.012000,0.0419,0.6251,0.8556,1.060
0.021000,0.0453,0.6153,0.8800,1.075
0.021000,0.0475,0.6053,0.9033,1.088
0.022000,0.0463,0.5967,0.9169,1.095
0.026000,0.0426,0.5899,0.9191,1.093
0.031000,0.0336,0.5862,0.9121,1.085
0.034000,0.0216,0.5831,0.8920,1.066
0.038000,0.0104,0.5813,0.8590,1.037
0.043000,0.0028,0.5809,0.8248,1.009
0.047000,-0.0040,0.5801,0.7985,0.987
0.052000,-0.0082,0.5796,0.7833,0.974
0.054000,-0.0082,0.5796,0.7794,0.971
0.060000,-0.0053,0.5789,0.7782,0.970
0.062000,-0.0014,0.5801,0.7799,0.972
0.070000,0.0016,0.5828,0.7728,0.968
0.071000,0.0001,0.5855,0.7620,0.961
0.074000,0.0011,0.5884,0.7577,0.959
0.078000,0.0040,0.5921,0.7638,0.966
0.104000,0.0096,0.5945,0.7723,0.975
0.104000,0.0172,0.5962,0.7867,0.987
0.105000,0.0294,0.5975,0.8033,1.002
0.105000,0.0434,0.5997,0.8224,1.019
0.105000,0.0546,0.6014,0.8390,1.034
0.106000,0.0636,0.6011,0.8390,1.034
0.106000,0.0663,0.5975,0.8305,1.025
0.112000,0.0653,0.5916,0.8173,1.011
0.124000,0.0605,0.5867,0.7997,0.994
0.124000,0.0517,0.5831,0.7804,0.976
0.124000,0.0402,0.5816,0.7628,0.960
0.126000,0.0314,0.5799,0.7501,0.949
0.131000,0.0248,0.5782,0.7393,0.939
0.134000,0.0241,0.5750,0.7452,0.942
0.139000,0.0236,0.5718,0.7650,0.955
0.142000,0.0267,0.5706,0.7833,0.969
0.155000,0.0321,0.5667,0.7994,0.980
0.156000,0.0382,0.5613,0.7999,0.978
0.156000,0.0377,0.5569,0.7933,0.970
0.159000,0.0316,0.5496,0.7987,0.970
0.162000,0.0287,0.5442,0.8239,0.988
0.191000,0.0265,0.5393,0.8612,1.017
0.191000,0.0250,0.5383,0.8908,1.041
0.191000,0.0206,0.5398,0.9028,1.052
0.192000,0.0175,0.5423,0.8947,1.046
0.192000,0.0170,0.5464,0.8688,1.026
0.192000,0.0172,0.5508,0.8385,1.003
0.192000,0.0179,0.5550,0.8124,0.984
0.198000,0.0216,0.5596,0.7867,0.966
0.198000,0.0277,0.5652,0.7618,0.949
0.204000,0.0333,0.5728,0.7471,0.942
0.205000,0.0399,0.5801,0.7430,0.943
0.209000,0.0438,0.5835,0.7515,0.953
0.215000,0.0468,0.5831,0.7664,0.964
0.219000,0.0470,0.5806,0.7850,0.978
0.222000,0.0448,0.5747,0.8028,0.988
0.227000,0.0416,0.5716,0.7975,0.982
0.231000,0.0368,0.5708,0.7860,0.972
0.235000,0.0350,0.5696,0.7721,0.960
0.239000,0.0331,0.5672,0.7555,0.945
0.242000,0.0292,0.5652,0.7430,0.934
0.248000,0.0236,0.5652,0.7425,0.933
0.249000,0.0160,0.5667,0.7511,0.941
0.254000,0.0104,0.5672,0.7601,0.948
0.258000,0.0052,0.5672,0.7672,0.954
0.274000,0.0001,0.5664,0.7762,0.961
0.275000,-0.0033,0.5669,0.7777,0.962
0.276000,-0.0021,0.5674,0.7809,0.965
0.277000,0.0043,0.5689,0.7875,0.971
0.316000,0.0126,0.5701,0.7938,0.977
0.318000,0.0226,0.5728,0.7943,0.980
