time,ax,ay,az,aT
0.009000,-0.1407,0.0560,-1.6160,1.623
0.009000,0.0304,0.0817,-1.6547,1.657
0.010000,0.1196,0.0765,-1.7613,1.767
0.010000,0.0007,0.1025,-1.4219,1.426
0.010000,0.0856,0.0701,-1.2891,1.294
0.011000,0.1890,0.0101,-1.4271,1.440
0.011000,0.1833,0.0060,-1.1565,1.171
0.017000,0.1880,0.0520,-0.6213,0.651
0.026000,0.1955,0.0468,-0.3306,0.387
0.027000,0.1283,0.0640,-0.2214,0.264
0.036000,0.0273,0.0603,-0.1070,0.126
0.037000,0.0482,0.0735,-0.0279,0.092
0.041000,0.1700,0.0075,0.0664,0.183
0.048000,0.2785,0.0125,0.1450,0.314
0.051000,0.3338,-0.0312,0.1505,0.368
0.056000,0.2189,-0.0519,0.0426,0.229
0.061000,0.0577,-0.0353,-0.1881,0.200
0.072000,-0.1054,-0.1821,-0.4315,0.480
0.072000,-0.2067,-0.2311,-0.7999,0.858
0.075000,-0.0659,-0.1126,-1.4272,1.433
0.082000,-0.1822,-0.0669,-1.9430,1.953
0.085000,-0.1909,0.0368,-2.9478,2.954
0.090000,-0.4453,0.0345,-2.9168,2.951
0.104000,-0.4727,0.0241,-2.5592,2.603
0.106000,-0.3270,0.0169,-2.7532,2.773
0.106000,-0.3302,0.0937,-2.8650,2.885
0.114000,-0.4363,0.0964,-2.8972,2.931
0.115000,-0.3834,0.1423,-3.0675,3.095
0.120000,-0.2971,0.3630,-2.7759,2.815
0.125000,-0.1189,0.6232,-1.3394,1.482
0.130000,0.1137,0.5172,-0.6759,0.859
0.135000,0.2489,0.4266,-0.2981,0.577
0.140000,0.1457,0.4604,-0.0903,0.491
0.146000,-0.0230,0.2985,0.0359,0.302
0.150000,0.0703,0.0965,-0.1079,0.161
0.155000,0.4460,0.1003,-0.1747,0.489
0.160000,0.6780,0.1063,0.0768,0.691
0.170000,0.4289,0.0743,0.6101,0.749
0.171000,-0.1020,0.0860,1.1136,1.122
0.175000,-0.4120,0.1134,1.4485,1.510
0.180000,-0.3452,0.2237,1.5313,1.586
0.186000,-0.1116,0.2919,1.4223,1.456
0.190000,0.0814,0.3507,1.1678,1.222
0.196000,0.2322,0.3992,0.9355,1.043
0.201000,0.2911,0.4555,0.7355,0.913
0.205000,0.3147,0.5235,0.6397,0.884
0.209000,0.2936,0.5797,0.7935,1.026
0.223000,0.1453,0.5449,0.9121,1.072
0.224000,0.0070,0.4284,1.1152,1.195
0.224000,0.0268,0.3880,1.1995,1.261
0.230000,0.0953,0.4233,1.1127,1.194
0.235000,0.0186,0.3888,0.9959,1.069
0.239000,0.0598,0.3356,0.8610,0.926
0.251000,0.1133,0.2717,0.6623,0.725
0.252000,0.0777,0.3248,0.5239,0.621
0.258000,0.0298,0.4046,0.4622,0.615
0.259000,0.1474,0.5115,0.4625,0.705
0.264000,0.3104,0.4973,0.3957,0.707
0.270000,0.3735,0.4171,0.2905,0.631
0.274000,0.3530,0.2016,0.1543,0.435
0.279000,0.3853,0.0327,-0.0846,0.396
0.284000,0.5344,0.0063,-0.1370,0.552
0.290000,0.4904,0.0119,-0.0246,0.491
0.296000,0.4122,-0.0680,-0.0274,0.419
0.299000,0.4465,-0.0544,-0.0734,0.456
0.304000,0.2980,0.1143,-0.0645,0.326
0.310000,0.0444,0.3541,0.0017,0.357
0.323000,0.1772,0.5691,0.0054,0.596
0.325000,0.3314,0.6760,-0.0008,0.753
0.326000,0.2595,0.6249,0.1077,0.685
0.342000,0.1819,0.5953,0.3138,0.697
0.344000,0.1222,0.5201,0.6008,0.804
0.344000,0.0324,0.4468,0.7942,0.912
0.345000,0.0320,0.4541,0.9801,1.081
0.348000,0.1592,0.4220,1.1660,1.250
0.376000,0.2679,0.3116,1.0701,1.146
0.377000,0.3988,0.3024,0.9103,1.039
0.377000,0.2821,0.2409,0.7058,0.797
0.378000,-0.0708,0.1441,0.3829,0.415
0.379000,-0.3664,0.0079,0.0707,0.373
0.382000,-0.2464,-0.0643,-0.0852,0.268
0.384000,-0.1155,0.0089,-0.1402,0.182
0.388000,-0.1626,0.1675,-0.0466,0.238
0.397000,-0.1948,0.4089,0.3409,0.567
0.398000,-0.2252,0.6182,0.7803,1.021
0.403000,-0.3370,0.7996,1.1593,1.448
0.408000,-0.5775,0.8927,1.4853,1.827
0.414000,-0.7121,0.8829,1.7395,2.077
0.418000,-0.7817,0.8317,1.8291,2.156
0.423000,-0.8179,0.7605,1.6015,1.952
0.438000,-0.7906,0.6622,1.0026,1.438
0.439000,-0.7448,0.5763,0.3554,1.007
0.440000,-0.6417,0.4583,-0.3614,0.867
0.443000,-0.5452,0.2943,-0.9708,1.152
0.448000,-0.4882,0.1190,-1.5042,1.586
0.453000,-0.5528,-0.0554,-1.9449,2.023
0.458000,-0.6604,-0.1996,-2.2647,2.367
0.470000,-0.7410,-0.2337,-2.4497,2.570
0.472000,-0.7594,-0.1965,-2.4068,2.531
0.473000,-0.6736,-0.0661,-2.0960,2.203
0.480000,-0.6286,0.1929,-1.6901,1.813
0.483000,-0.6517,0.4274,-1.2919,1.509
0.488000,-0.7802,0.5606,-0.9853,1.376
0.495000,-0.9748,0.5873,-0.7172,1.345
0.499000,-1.0948,0.6268,-0.4540,1.341
0.502000,-1.0916,0.6472,-0.1763,1.281
0.507000,-1.0464,0.6909,0.0874,1.257
0.513000,-1.0534,0.8792,0.2892,1.402
0.518000,-1.0899,0.9632,0.2929,1.484
0.522000,-1.1087,0.8997,0.2019,1.442
0.529000,-1.1867,0.7370,-0.0077,1.397
0.532000,-1.2715,0.4876,-0.2138,1.378
0.537000,-1.3874,0.2071,-0.5097,1.492
0.542000,-1.5181,-0.0347,-0.8523,1.741
0.556000,-1.6533,-0.1995,-1.0763,1.983
0.557000,-1.7913,-0.3420,-1.2917,2.235
0.558000,-2.0042,-0.4783,-1.5488,2.578
0.562000,-2.1336,-0.5821,-1.8662,2.894
0.569000,-2.2261,-0.7391,-1.9901,3.076
0.572000,-2.1223,-0.8915,-1.8106,2.929
0.589000,-2.0079,-0.9273,-1.5387,2.694
0.592000,-2.0196,-0.9975,-1.3365,2.619
0.594000,-2.0657,-1.0019,-1.0509,2.525
0.596000,-1.9751,-0.8683,-0.8307,2.312
0.597000,-1.7073,-0.6329,-0.5369,1.898
0.602000,-1.4773,-0.3595,-0.1661,1.529
0.607000,-1.1636,-0.0384,0.0751,1.167
0.611000,-0.8819,0.1515,0.2268,0.923
0.616000,-0.7088,0.3372,0.2724,0.831
0.621000,-0.5736,0.7809,0.5679,1.123
0.626000,-0.3721,1.4223,2.0746,2.543
0.631000,-0.0763,2.1286,4.3751,4.866
0.636000,0.4262,2.5685,4.6768,5.353
0.641000,0.6314,2.6936,3.7053,4.624
0.647000,0.9259,2.7105,2.2638,3.651
