time,ax,ay,az,aT
0.004000,-0.4206,0.0035,0.2737,0.502
0.005000,-0.4445,0.0236,0.3045,0.539
0.005000,-0.4417,0.0860,0.2689,0.524
0.005000,-0.3857,0.1238,0.1835,0.445
0.032000,-0.3043,0.1444,0.0531,0.341
0.032000,-0.2377,0.1652,-0.1129,0.311
0.032000,-0.2071,0.1791,-0.2525,0.373
0.033000,-0.1787,0.1676,-0.3443,0.423
0.033000,-0.1464,0.1546,-0.4054,0.458
0.082000,-0.0927,0.1668,-0.4694,0.507
0.083000,-0.0891,0.1732,-0.4959,0.533
0.083000,-0.1174,0.1667,-0.4440,0.489
0.083000,-0.1543,0.1684,-0.3064,0.382
0.083000,-0.1616,0.1680,-0.1430,0.273
0.083000,-0.1563,0.1746,0.0131,0.235
0.083000,-0.1534,0.1783,0.1355,0.271
0.084000,-0.1744,0.1958,0.2148,0.339
0.084000,-0.2556,0.1936,0.3276,0.458
0.084000,-0.3041,0.1646,0.4694,0.583
0.139000,-0.2696,0.1323,0.5944,0.666
0.140000,-0.1946,0.1203,0.6048,0.647
0.140000,-0.1008,0.1264,0.5413,0.565
0.140000,0.0308,0.1654,0.4158,0.448
0.140000,0.1094,0.2160,0.2929,0.380
0.140000,0.1186,0.2283,0.1845,0.317
0.140000,0.0994,0.2195,0.0857,0.256
0.141000,0.0855,0.2089,0.0012,0.226
0.141000,0.0674,0.1989,-0.0715,0.222
0.141000,0.0258,0.2017,-0.0916,0.223
0.141000,0.0200,0.2167,-0.0472,0.223
0.141000,-0.0022,0.2317,0.0354,0.234
0.177000,-0.0215,0.2153,0.1632,0.271
0.177000,-0.0116,0.2033,0.3028,0.365
0.177000,0.0198,0.2338,0.4351,0.494
0.178000,0.0607,0.2417,0.5483,0.602
0.178000,0.0686,0.2411,0.6136,0.663
0.178000,0.0366,0.2251,0.6023,0.644
0.178000,-0.0108,0.1963,0.5335,0.569
0.228000,-0.0930,0.1622,0.4550,0.492
0.229000,-0.1649,0.1135,0.3718,0.422
0.229000,-0.2105,0.0670,0.2673,0.347
0.229000,-0.1924,0.0512,0.1655,0.259
0.229000,-0.1372,0.0348,0.0331,0.145
0.230000,-0.0118,0.0395,-0.1490,0.155
0.230000,0.1146,0.0728,-0.3641,0.389
0.230000,0.1393,0.0803,-0.5620,0.585
0.230000,0.1530,0.0790,-0.6686,0.690
0.230000,0.1756,0.0860,-0.6915,0.719
0.231000,0.1766,0.0751,-0.6021,0.632
0.263000,0.1184,0.0821,-0.4461,0.469
0.264000,0.0395,0.0782,-0.2261,0.242
0.264000,-0.0102,0.0700,0.0677,0.098
0.264000,-0.0588,0.0616,0.3728,0.382
0.264000,-0.0963,0.0454,0.6104,0.620
0.264000,-0.0989,0.0305,0.7543,0.761
0.307000,0.0216,0.0505,0.7856,0.788
0.308000,0.1865,0.0838,0.6971,0.726
0.308000,0.3000,0.0902,0.5416,0.626
0.308000,0.3328,0.0555,0.3622,0.495
0.309000,0.2960,0.0016,0.1904,0.352
0.309000,0.1843,-0.0593,0.0619,0.203
0.309000,0.0521,-0.1106,-0.0158,0.123
0.309000,-0.0483,-0.1738,-0.0931,0.203
0.309000,-0.1550,-0.2393,-0.1533,0.324
0.351000,-0.2443,-0.2878,-0.1580,0.409
0.352000,-0.2972,-0.3099,-0.1265,0.448
0.352000,-0.3066,-0.2960,-0.0803,0.434
0.352000,-0.2696,-0.2656,-0.0290,0.380
0.352000,-0.2337,-0.2642,-0.0110,0.353
0.353000,-0.1819,-0.2583,-0.0598,0.322
0.353000,-0.0903,-0.2477,-0.1419,0.299
0.353000,0.0220,-0.2203,-0.2356,0.323
0.353000,0.1575,-0.1735,-0.2933,0.375
0.402000,0.2883,-0.1360,-0.3415,0.467
0.402000,0.3767,-0.1297,-0.3921,0.559
0.402000,0.3826,-0.1112,-0.4406,0.594
0.402000,0.3373,-0.1186,-0.4918,0.608
0.402000,0.2649,-0.1209,-0.5121,0.589
0.403000,0.2039,-0.1538,-0.5042,0.565
0.403000,0.1422,-0.1862,-0.4393,0.498
0.403000,0.0413,-0.2040,-0.3437,0.402
0.403000,-0.0634,-0.2029,-0.2316,0.314
0.403000,-0.1678,-0.2000,-0.1482,0.300
0.441000,-0.2672,-0.2432,-0.1176,0.380
0.442000,-0.3045,-0.2799,-0.1490,0.440
0.442000,-0.2657,-0.2931,-0.2686,0.478
0.442000,-0.2638,-0.2799,-0.4406,0.585
0.442000,-0.0863,-0.2640,-0.6192,0.679
0.442000,-0.0157,-0.2453,-0.7687,0.807
0.443000,0.0436,-0.2379,-0.8772,0.910
0.443000,0.0847,-0.2465,-0.9710,1.005
0.483000,0.0790,-0.2591,-1.0477,1.082
0.483000,0.0510,-0.2683,-1.1052,1.138
0.483000,0.0224,-0.2715,-1.1364,1.169
0.484000,-0.0158,-0.2663,-1.0792,1.112
0.484000,-0.0748,-0.2552,-0.9674,1.003
0.484000,-0.1520,-0.2408,-0.7723,0.823
0.484000,-0.2393,-0.2162,-0.5540,0.641
0.485000,-0.3147,-0.1964,-0.3652,0.521
0.515000,-0.3467,-0.1934,-0.2106,0.449
0.515000,-0.3332,-0.1903,-0.0758,0.391
0.516000,-0.3029,-0.1945,0.0344,0.362
0.516000,-0.2636,-0.1676,0.1298,0.338
0.516000,-0.2351,-0.1460,0.2105,0.348
0.516000,-0.2182,-0.1228,0.2409,0.347
0.516000,-0.2228,-0.1195,0.2260,0.339
0.569000,-0.2424,-0.1242,0.1731,0.323
0.569000,-0.2652,-0.1413,0.0894,0.314
0.569000,-0.3034,-0.1491,-0.0130,0.338
0.570000,-0.3761,-0.1833,-0.1223,0.436
0.570000,-0.4954,-0.1933,-0.2336,0.581
0.570000,-0.6570,-0.2051,-0.2918,0.748
0.570000,-0.7901,-0.2355,-0.4022,0.917
0.570000,-0.8743,-0.2704,-0.4016,0.999
0.571000,-0.8388,-0.2885,-0.3647,0.959
0.571000,-0.7401,-0.3043,-0.3730,0.883
0.616000,-0.6419,-0.3199,-0.3668,0.806
0.616000,-0.5316,-0.3040,-0.3250,0.693
0.616000,-0.4444,-0.2515,-0.2643,0.575
0.617000,-0.3560,-0.1958,-0.1586,0.436
0.617000,-0.2467,-0.1562,-0.0104,0.292
0.617000,-0.1524,-0.1161,0.1418,0.238
0.618000,-0.0802,-0.0760,0.2768,0.298
0.618000,-0.0400,-0.0599,0.4042,0.411
0.618000,-0.0081,-0.0585,0.5048,0.508
0.618000,-0.0039,-0.0528,0.5645,0.567
0.662000,0.0104,-0.0382,0.5883,0.590
0.662000,0.0298,-0.0146,0.5833,0.584
0.662000,0.0639,-0.0084,0.5354,0.539
0.663000,0.1085,-0.0125,0.4347,0.448
0.663000,0.1757,-0.0315,0.2600,0.315
0.663000,0.0743,0.0048,0.0349,0.082
0.663000,-0.1974,0.1205,-0.0989,0.252
0.663000,-0.5627,0.2533,-0.1483,0.635
0.663000,-0.8792,0.3334,-0.1084,0.947
0.698000,-1.0536,0.3674,0.0424,1.117
0.699000,-1.0734,0.3589,0.2154,1.152
0.699000,-0.9592,0.3244,0.3124,1.060
0.699000,-0.8007,0.2755,0.2973,0.897
0.699000,-0.6853,0.2271,0.2155,0.753
0.699000,-0.6242,0.2157,0.0812,0.665
