time,ax,ay,az,aT
0.003000,-0.5464,-0.0265,-0.4085,0.683
0.003000,-0.3728,-0.0235,0.0735,0.381
0.003000,-0.0871,0.0241,0.4930,0.501
0.008000,0.1955,0.0551,0.8550,0.879
0.013000,0.3147,0.0516,1.0475,1.095
0.018000,0.3256,0.1113,1.0876,1.141
0.022000,0.2785,0.2099,0.9538,1.016
0.028000,0.1446,0.3142,0.6894,0.771
0.033000,0.0170,0.4009,0.3781,0.551
0.040000,-0.0643,0.4519,0.0030,0.456
0.045000,-0.2141,0.4132,-0.2470,0.527
0.048000,-0.3464,0.3642,-0.4632,0.684
0.067000,-0.4519,0.3126,-0.5954,0.810
0.068000,-0.4880,0.2710,-0.6941,0.891
0.068000,-0.5031,0.1581,-0.7545,0.921
0.068000,-0.5141,0.0771,-0.7266,0.893
0.076000,-0.5275,0.0184,-0.6248,0.818
0.078000,-0.5444,-0.0631,-0.4899,0.735
0.083000,-0.5617,-0.1723,-0.3242,0.671
0.087000,-0.5741,-0.2590,-0.2020,0.661
0.094000,-0.6462,-0.2518,-0.1086,0.702
0.098000,-0.6458,-0.3136,-0.0418,0.719
0.103000,-0.6640,-0.3488,-0.0253,0.750
0.108000,-0.5980,-0.3528,-0.0326,0.695
0.113000,-0.4498,-0.3520,-0.0663,0.575
0.117000,-0.2622,-0.3462,-0.0569,0.438
0.122000,-0.1715,-0.3666,-0.1025,0.417
0.127000,-0.1551,-0.3651,-0.0668,0.402
0.132000,-0.1811,-0.3297,-0.0766,0.384
0.139000,-0.1869,-0.2770,-0.1343,0.360
0.142000,-0.2228,-0.2428,-0.2709,0.427
0.147000,-0.3229,-0.1912,-0.3955,0.545
0.167000,-0.4452,-0.1678,-0.4699,0.669
0.168000,-0.5117,-0.1151,-0.5131,0.734
0.168000,-0.5379,-0.0217,-0.5898,0.799
0.169000,-0.5365,0.0501,-0.6378,0.835
0.174000,-0.5150,0.1431,-0.5828,0.791
0.177000,-0.4382,0.2569,-0.5230,0.729
0.183000,-0.3752,0.3482,-0.5062,0.720
0.188000,-0.2763,0.4312,-0.5251,0.733
0.192000,-0.1491,0.5057,-0.5797,0.784
0.197000,-0.0747,0.5171,-0.6532,0.836
0.202000,-0.0744,0.4801,-0.7265,0.874
0.207000,-0.0423,0.4431,-0.7113,0.839
0.212000,-0.0301,0.4472,-0.7368,0.862
0.217000,-0.0830,0.3491,-0.8390,0.912
0.221000,-0.0933,0.2999,-0.8336,0.891
0.227000,-0.1061,0.2519,-0.7327,0.782
0.231000,-0.1527,0.2004,-0.6633,0.710
0.246000,-0.2132,0.1521,-0.4077,0.485
0.247000,-0.1648,0.1140,-0.1070,0.227
0.247000,-0.0866,0.1406,0.1312,0.211
0.251000,0.0166,0.1450,0.2807,0.316
0.256000,0.0507,0.1174,0.3752,0.396
0.261000,0.0773,0.0933,0.4484,0.464
0.266000,0.1531,0.1465,0.5265,0.568
0.277000,0.2254,0.2863,0.5045,0.622
0.278000,0.3082,0.4213,0.4878,0.714
0.281000,0.3490,0.5399,0.3543,0.734
0.287000,0.4436,0.6567,0.1782,0.812
0.291000,0.6020,0.7723,-0.0069,0.979
0.296000,0.7481,0.8537,-0.2204,1.156
0.300000,0.8173,0.9661,-0.4169,1.332
0.306000,0.8434,1.0717,-0.5653,1.476
0.311000,0.9165,1.1254,-0.7233,1.622
0.315000,0.8213,1.1227,-0.7162,1.565
0.322000,0.8217,1.1159,-0.5060,1.475
0.326000,0.9423,1.0644,-0.3106,1.455
0.331000,0.9849,1.0062,-0.1298,1.414
0.337000,0.9137,0.8644,0.0746,1.260
0.342000,0.7937,0.7557,0.1785,1.110
0.346000,0.7041,0.6154,0.1963,0.956
0.351000,0.6256,0.4459,0.1473,0.782
0.355000,0.5555,0.2929,0.0482,0.630
0.361000,0.5008,0.1399,-0.0149,0.520
0.366000,0.4542,0.0443,-0.0635,0.461
