time,ax,ay,az,aT
0.005000,1.3975,0.9903,-0.0749,1.714
0.006000,1.6044,1.0259,0.3689,1.940
0.007000,1.8880,0.9914,0.7486,2.260
0.008000,2.0847,0.9588,0.9623,2.488
0.008000,2.0961,0.9181,0.9808,2.490
0.008000,1.9237,0.8771,0.9262,2.308
0.009000,1.6091,0.8572,0.7681,1.978
0.009000,1.2593,0.7893,0.6142,1.608
0.009000,1.0231,0.7735,0.4429,1.357
0.016000,0.9444,0.7003,0.2090,1.194
0.017000,0.8980,0.5536,-0.0278,1.055
0.058000,0.6721,0.4794,-0.2939,0.876
0.058000,0.3243,0.4225,-0.5416,0.760
0.059000,-0.0890,0.3735,-0.7950,0.883
0.059000,-0.4108,0.3399,-0.9332,1.075
0.059000,-0.6229,0.3928,-1.0472,1.280
0.060000,-0.7964,0.4335,-1.0942,1.421
0.060000,-0.8063,0.4071,-1.0722,1.402
0.060000,-0.7081,0.3780,-1.1150,1.374
0.065000,-0.5818,0.3917,-1.0364,1.251
0.066000,-0.3869,0.3832,-1.0181,1.155
0.077000,-0.3038,0.3431,-1.0499,1.146
0.078000,-0.2434,0.2864,-1.2244,1.281
0.082000,-0.1371,0.3684,-1.3961,1.450
0.096000,-0.0279,0.5148,-1.1653,1.274
0.097000,0.1334,0.6112,-1.0625,1.233
0.097000,0.3821,0.7598,-0.9916,1.306
0.115000,0.6118,0.9413,-0.6289,1.287
0.116000,0.7954,1.0502,-0.2446,1.340
0.116000,0.8577,0.9988,-0.1813,1.329
0.116000,0.9549,0.6424,-0.2347,1.175
0.134000,0.6824,0.5350,0.1502,0.880
0.135000,0.3277,1.0958,0.1408,1.152
0.136000,0.5543,1.2677,-0.8556,1.627
0.137000,0.6839,1.2384,-1.7037,2.214
0.144000,0.7617,1.2073,-1.8195,2.313
0.148000,0.8916,1.0621,-1.6597,2.163
0.158000,0.9756,0.7945,-1.4689,1.934
0.160000,0.9430,0.5405,-1.3040,1.698
0.162000,0.7824,0.3519,-1.1739,1.454
0.165000,0.7780,-0.2258,-1.6526,1.840
0.170000,0.5217,-0.4513,-2.0585,2.171
0.178000,-0.1802,0.0173,-1.7592,1.769
0.179000,-0.8043,0.3350,-1.4250,1.670
0.186000,-1.3026,0.4417,-1.2361,1.849
0.190000,-1.5294,0.4504,-1.1560,1.969
0.195000,-1.6790,0.3446,-1.1028,2.038
0.202000,-1.6406,0.1706,-1.0550,1.958
0.206000,-1.3654,-0.0049,-0.9002,1.635
0.210000,-0.7255,-0.4157,-0.5936,1.025
0.215000,0.4182,-1.4709,-0.0529,1.530
0.221000,-0.3488,-1.6801,0.6442,1.833
0.225000,-1.3320,-1.7808,1.1510,2.504
0.231000,-1.4253,-1.7680,1.2660,2.600
0.244000,-1.1078,-1.4504,1.2962,2.239
0.245000,-0.8282,-1.0977,1.3678,1.940
0.245000,-0.6960,-0.7829,1.3095,1.677
0.254000,-0.6370,-0.4527,1.1384,1.381
0.256000,-0.6781,-0.1634,0.9937,1.214
0.262000,-0.7220,0.0556,0.9186,1.170
0.265000,-0.7682,0.2913,0.7966,1.144
0.273000,-0.7352,0.4869,0.6589,1.101
0.274000,-0.5986,0.6210,0.4826,0.988
0.282000,-0.4726,0.7393,0.2964,0.926
0.286000,-0.3008,0.8800,0.1911,0.949
0.289000,-0.1189,0.9513,0.0829,0.962
0.296000,-0.0036,1.0341,-0.0185,1.034
0.299000,0.0853,1.1847,-0.1274,1.195
0.305000,0.1286,1.3746,-0.2438,1.402
0.310000,0.1573,1.5187,-0.2438,1.546
0.314000,0.1953,1.6918,-0.2066,1.716
0.321000,0.1967,1.8738,-0.2183,1.897
0.324000,0.2423,2.0397,-0.1545,2.060
0.330000,0.3000,2.1734,0.1510,2.199
0.338000,0.3799,2.3403,0.6258,2.452
0.342000,0.5246,2.6222,1.1072,2.894
0.345000,0.8356,2.8418,1.3616,3.260
0.351000,0.5433,2.5250,2.8217,3.825
0.355000,-0.0646,1.6127,7.3972,7.571
0.359000,1.2206,1.0759,3.8128,4.145
0.364000,2.3695,1.0387,-1.4984,2.990
0.370000,1.7684,1.4761,-0.9782,2.503
0.373000,0.0242,1.8792,1.3017,2.286
0.379000,-1.5237,2.0022,2.2295,3.362
0.384000,-2.1382,1.7912,2.2712,3.597
0.389000,-1.7585,1.5768,1.9717,3.077
0.394000,-1.3943,1.1325,0.6821,1.921
0.398000,-1.3023,0.6944,-0.7587,1.659
0.403000,-1.0392,0.3766,-1.8854,2.185
0.409000,-0.6225,0.2249,-2.3776,2.468
0.413000,-0.1549,0.2108,-2.4243,2.438
0.420000,0.1853,0.3592,-2.1515,2.189
0.427000,0.1137,0.4646,-1.8655,1.926
0.428000,-0.1964,0.6639,-1.6331,1.774
0.434000,-0.3354,0.9416,-1.7138,1.984
0.439000,-0.0803,1.1858,-2.2231,2.521
0.443000,0.1269,1.4165,-2.6300,2.990
0.448000,0.2657,1.5460,-2.8776,3.277
0.454000,-0.2475,0.8553,-3.0263,3.155
0.458000,-1.4913,-0.8186,-3.2865,3.701
0.463000,-0.7397,-0.2244,-3.2712,3.361
0.470000,0.0559,0.7893,-2.9075,3.013
0.474000,0.0219,1.5764,-2.1182,2.640
0.478000,0.0331,2.2101,-1.4200,2.627
0.483000,-0.1411,2.4156,-1.8757,3.062
0.488000,-0.5393,2.1195,-3.0514,3.754
0.493000,-0.9656,1.7299,-3.6589,4.161
0.497000,-1.1287,1.3842,-3.7103,4.118
0.503000,-1.1673,1.1472,-3.5154,3.878
0.508000,-1.0777,1.0870,-3.2659,3.607
0.513000,-0.9001,1.1166,-3.2099,3.516
0.519000,-0.6267,1.1402,-3.2584,3.509
0.527000,-0.3925,1.1867,-3.3083,3.537
0.528000,-0.1726,1.2703,-3.2618,3.505
0.532000,0.0099,1.3767,-3.1957,3.480
0.538000,0.1360,1.3987,-3.1790,3.476
0.543000,0.1640,1.3389,-3.0686,3.352
0.547000,0.2073,1.2835,-2.7718,3.062
0.554000,0.2650,1.2392,-2.4876,2.792
0.558000,0.1775,1.0274,-1.9655,2.225
0.562000,-0.0787,-0.2478,1.1522,1.181
0.569000,-0.2462,-0.1687,-2.5513,2.569
0.572000,-2.6510,0.0687,-2.8073,3.862
0.577000,-3.2327,-0.0483,-0.2589,3.243
0.583000,-1.9906,0.0855,1.2120,2.332
0.587000,-0.7058,0.7549,1.9267,2.186
0.592000,-0.4591,1.2264,2.6558,2.961
0.596000,-0.6260,1.0294,3.1520,3.374
0.603000,-0.6632,0.6670,2.7527,2.909
0.610000,-0.6443,0.5403,2.1021,2.264
0.611000,-0.4535,0.5967,1.4822,1.661
0.616000,-0.2123,0.7139,1.0407,1.280
0.621000,-0.0122,0.8385,0.6451,1.058
0.626000,0.0921,1.0220,0.2833,1.064
0.632000,0.1692,1.1957,-0.0359,1.208
0.637000,0.2466,1.3147,-0.2811,1.367
0.646000,0.3790,1.4223,-0.3763,1.519
0.647000,0.6599,1.4675,-0.1597,1.617
0.653000,1.0328,1.5642,0.3654,1.910
0.657000,1.4925,1.6343,0.7564,2.339
0.662000,1.7952,1.4596,0.7300,2.426
0.667000,1.7109,1.0506,0.3805,2.043
0.672000,1.5326,0.6713,-0.0431,1.674
0.677000,1.5413,0.4682,-0.8029,1.800
0.681000,1.4213,0.4702,-1.9039,2.422
0.697000,1.0286,0.4869,-2.7887,3.012
0.699000,0.5568,0.3788,-3.4410,3.506
0.700000,0.1811,0.2098,-3.9694,3.979
0.704000,-0.0638,0.0010,-4.3431,4.344
0.707000,-0.2600,-0.2083,-4.3415,4.354
0.711000,-0.5005,-0.4052,-4.0173,4.069
0.717000,-0.5760,-0.6853,-3.5369,3.648
0.721000,-0.4489,-0.8102,-2.9879,3.128
0.726000,-0.1312,-0.8053,-2.5724,2.699
0.737000,0.2135,-0.7375,-2.2345,2.363
0.738000,0.3686,-0.9545,-1.6518,1.943
0.743000,0.4628,-1.3645,-0.9699,1.737
0.746000,0.6449,-1.6459,-0.3800,1.808
0.753000,0.8119,-1.8494,-0.0224,2.020
0.756000,0.9967,-2.0192,0.0910,2.254
0.763000,1.1578,-2.0485,-0.0400,2.353
0.765000,1.3785,-1.9944,-0.4381,2.464
0.772000,1.6479,-1.9000,-1.0056,2.709
0.776000,2.4219,-1.7781,-2.0316,3.627
0.794000,3.2936,-1.6381,-3.2340,4.898
0.796000,2.6997,-1.5940,-3.1253,4.427
0.797000,2.0694,-1.7549,-3.2081,4.202
0.797000,1.7962,-2.1405,-3.1228,4.190
0.803000,1.8768,-2.5481,-3.0201,4.375
0.809000,2.0373,-2.8410,-2.8898,4.536
0.810000,2.0777,-3.0730,-2.9928,4.766
0.816000,1.9126,-3.3644,-3.2283,5.040
0.820000,1.1746,-3.7917,-3.3760,5.211
0.825000,0.7503,-3.9346,-3.3179,5.201
0.830000,0.8772,-3.8275,-3.2738,5.112
0.836000,0.9652,-3.9268,-3.5255,5.365
0.840000,0.8361,-4.1826,-3.8623,5.754
0.845000,0.6428,-4.4866,-3.4900,5.720
0.850000,0.7777,-4.9607,-1.9486,5.386
0.855000,0.9606,-5.4664,0.0042,5.550
0.860000,0.3000,-5.8043,-0.1343,5.814
0.864000,-0.2793,-5.8320,-1.6295,6.062
0.870000,0.6059,-5.6042,-2.1844,6.045
0.875000,1.9696,-5.3706,-1.8089,6.000
0.880000,2.7861,-5.0608,-1.3170,5.925
0.887000,3.2220,-4.5367,-1.3393,5.723
0.890000,3.8009,-4.0082,-1.6590,5.768
0.896000,4.5616,-3.6184,-1.9123,6.128
0.899000,5.1562,-3.4378,-2.0060,6.514
0.904000,5.4388,-3.3865,-2.0676,6.732
0.909000,5.3373,-3.4933,-2.2513,6.764
0.914000,5.1450,-3.7334,-2.3461,6.776
0.921000,4.8379,-4.0135,-2.5513,6.784
0.925000,4.5366,-4.3165,-2.7300,6.831
0.930000,4.3505,-4.8220,-2.7417,7.049
0.936000,4.1894,-5.2909,-2.6252,7.241
0.939000,4.0542,-5.6783,-2.2404,7.328
0.945000,3.9230,-5.9813,-1.4827,7.305
0.950000,3.8386,-6.2499,-0.5007,7.352
0.955000,3.8612,-6.4678,0.3130,7.539
0.959000,3.8879,-6.6091,1.0426,7.738
0.964000,3.8924,-6.6533,1.6240,7.877
0.969000,3.9076,-6.6693,1.9920,7.982
0.974000,3.7135,-6.6695,2.2724,7.965
0.979000,3.5801,-6.5587,2.5414,7.893
0.986000,3.5854,-6.4084,2.7924,7.856
0.989000,3.5781,-6.1197,3.0623,7.722
0.994000,3.5172,-5.7305,3.3277,7.502
1.002000,3.4885,-5.3635,3.5363,7.310
1.006000,3.5133,-5.0356,3.6659,7.151
1.013000,3.5195,-4.7678,3.7613,7.019
1.014000,3.6572,-4.4227,3.9863,6.988
1.039000,3.7349,-4.0503,4.1749,6.913
1.040000,3.6473,-3.6758,4.4123,6.803
1.041000,3.4881,-3.4033,4.5324,6.655
1.041000,3.5150,-3.1706,4.6441,6.631
1.042000,3.5628,-2.9611,4.7360,6.625
1.043000,3.4375,-2.7491,4.8919,6.581
1.049000,3.1332,-2.5829,5.1634,6.569
1.055000,2.7670,-2.4365,5.5126,6.632
1.058000,2.4781,-2.2174,5.8120,6.696
1.064000,2.3591,-1.9071,6.0097,6.732
1.070000,2.2657,-1.5045,6.0985,6.677
1.074000,2.2480,-1.0620,6.1040,6.591
1.079000,2.2766,-0.6477,5.9727,6.425
1.083000,2.2560,-0.3206,5.8737,6.300
1.088000,2.3627,-0.0024,5.8613,6.320
1.093000,2.4596,0.2752,5.8421,6.345
1.107000,2.4231,0.5729,5.7596,6.275
1.109000,2.4366,0.8036,5.5745,6.137
1.110000,2.5434,1.0280,5.3169,5.983
1.113000,2.6927,1.3006,5.1568,5.961
1.130000,2.7288,1.5581,5.0682,5.963
1.132000,2.6498,1.8224,4.9350,5.890
1.136000,2.6591,2.0655,4.6328,5.727
1.137000,2.7586,2.1556,4.4177,5.637
1.138000,2.7735,2.2193,4.3931,5.650
1.143000,2.7088,2.2804,4.5128,5.736
1.148000,2.6794,2.3227,4.6687,5.863
1.154000,2.6632,2.4035,4.7827,5.979
1.157000,2.6765,2.4791,4.7890,6.020
1.163000,2.6673,2.5986,4.7436,6.031
1.169000,2.7239,2.7017,4.7627,6.116
1.174000,2.7863,2.7954,4.7916,6.208
1.177000,2.8077,2.9332,4.8007,6.288
1.182000,2.8352,3.1239,4.8302,6.413
1.189000,2.8284,3.2478,4.8114,6.457
1.193000,2.7132,3.2623,4.7988,6.406
1.198000,2.6472,3.3036,4.7962,6.397
1.206000,2.6042,3.4152,4.8172,6.454
1.208000,2.6718,3.5937,4.8371,6.592
1.213000,2.8450,3.7174,4.8247,6.722
1.218000,2.9583,3.7665,4.7515,6.746
1.227000,2.9614,3.7625,4.7204,6.724
1.229000,2.7502,3.7898,4.5789,6.549
1.234000,2.6092,3.7862,4.3655,6.340
1.237000,2.7036,3.7522,4.2195,6.260
1.242000,2.9252,3.8169,4.1966,6.383
1.247000,2.9108,3.9316,4.2692,6.493
1.253000,2.7470,4.0319,4.2723,6.485
1.257000,2.5274,4.0367,4.3019,6.418
1.262000,2.3740,3.9635,4.3187,6.324
1.268000,2.2988,3.8606,4.3507,6.254
1.272000,2.1893,3.6470,4.3186,6.062
1.277000,1.9767,3.4381,4.2507,5.813
1.281000,1.7810,3.3207,4.2060,5.647
1.288000,1.6955,3.1611,4.1272,5.468
1.292000,1.6532,3.0048,4.0551,5.311
1.297000,1.6851,2.8518,4.0382,5.223
1.306000,1.7626,2.6042,4.0503,5.128
1.308000,1.8618,2.2983,4.1226,5.074
1.312000,1.9041,1.9801,4.2690,5.076
1.317000,1.8756,1.6810,4.4625,5.124
1.328000,1.9152,1.5066,4.6926,5.288
1.330000,1.9584,1.3850,4.8122,5.377
