time,ax,ay,az,aT
0.005000,0.3466,0.2861,-0.5500,0.710
0.005000,0.3890,0.2254,-0.6759,0.812
0.005000,0.3542,0.1308,-0.6371,0.741
0.013000,0.2133,0.0397,-0.4886,0.535
0.013000,0.0688,-0.0217,-0.4409,0.447
0.020000,-0.0373,-0.0101,-0.5586,0.560
0.023000,-0.1230,0.0289,-0.7029,0.714
0.027000,-0.2102,0.0650,-0.8430,0.871
0.032000,-0.2441,0.0601,-0.8951,0.930
0.044000,-0.2483,0.0477,-0.9240,0.958
0.045000,-0.2321,0.0107,-0.9248,0.954
0.047000,-0.1767,-0.0393,-0.8376,0.857
0.052000,-0.1130,-0.0695,-0.7054,0.718
0.057000,-0.0575,-0.0997,-0.5064,0.519
0.062000,-0.0143,-0.1018,-0.2883,0.306
0.087000,0.0317,-0.0741,-0.1203,0.145
0.087000,0.0668,-0.0384,0.0385,0.086
0.088000,0.0601,0.0005,0.0876,0.106
0.088000,0.0040,0.0381,-0.0279,0.047
0.088000,-0.0377,0.0705,-0.1622,0.181
0.095000,-0.0391,0.0936,-0.2057,0.229
0.098000,-0.0170,0.0910,-0.1775,0.200
0.109000,0.0075,0.0910,-0.1184,0.150
0.110000,0.0462,0.0816,-0.0713,0.118
0.112000,0.0489,0.0745,-0.0339,0.095
0.128000,0.0227,0.0867,0.0130,0.091
0.129000,-0.0157,0.1157,0.0766,0.140
0.129000,-0.0779,0.1541,0.1424,0.224
0.132000,-0.1372,0.1876,0.1963,0.304
0.145000,-0.2055,0.2328,0.2192,0.380
0.145000,-0.3067,0.2588,0.2014,0.449
0.148000,-0.4653,0.2896,0.1047,0.558
0.154000,-0.4567,0.3375,0.1251,0.582
0.168000,-0.3597,0.3760,0.1694,0.547
0.168000,-0.2866,0.3617,0.2185,0.511
0.168000,-0.2378,0.3087,0.2341,0.455
0.203000,-0.2301,0.2528,0.2092,0.401
0.204000,-0.2470,0.2108,0.1629,0.363
0.204000,-0.2309,0.1996,0.1335,0.333
0.205000,-0.2175,0.2096,0.0779,0.312
