time,ax,ay,az,aT
0.005000,0.0522,0.2132,-0.2625,0.342
0.006000,-0.0135,0.3533,-0.0855,0.364
0.006000,-0.0669,0.4814,0.0458,0.488
0.006000,-0.0843,0.5924,0.0908,0.605
0.006000,-0.1099,0.6889,0.0425,0.699
0.007000,-0.2262,0.7831,-0.1493,0.829
0.007000,-0.3225,0.8256,-0.3075,0.938
0.013000,-0.3149,0.7880,-0.3557,0.920
0.014000,-0.2168,0.6630,-0.3467,0.779
0.025000,-0.0823,0.5123,-0.3640,0.634
0.025000,0.0070,0.3241,-0.4053,0.519
0.029000,0.0462,0.1387,-0.4347,0.459
0.034000,0.0394,-0.0055,-0.4641,0.466
0.039000,0.0053,-0.0989,-0.4767,0.487
0.043000,-0.0657,-0.1489,-0.4487,0.477
0.049000,-0.1472,-0.1506,-0.4017,0.454
0.054000,-0.2316,-0.1210,-0.3619,0.446
0.059000,-0.3090,-0.0886,-0.3389,0.467
0.064000,-0.3651,-0.0508,-0.3066,0.479
0.077000,-0.3997,-0.0266,-0.2433,0.469
0.077000,-0.4030,-0.0138,-0.1586,0.433
0.079000,-0.3964,-0.0248,-0.0741,0.404
0.086000,-0.3806,-0.0526,0.0080,0.384
0.090000,-0.3481,-0.0830,0.0900,0.369
0.093000,-0.2985,-0.1135,0.1767,0.365
0.099000,-0.2460,-0.1179,0.2633,0.379
0.126000,-0.1928,-0.1347,0.3452,0.418
0.127000,-0.1535,-0.1425,0.4126,0.463
0.127000,-0.1042,-0.1343,0.4634,0.494
0.127000,-0.0591,-0.0958,0.4975,0.510
0.127000,-0.0302,-0.0702,0.4934,0.499
0.128000,-0.0059,-0.0381,0.4560,0.458
0.138000,0.0066,-0.0163,0.3996,0.400
0.153000,0.0143,-0.0190,0.3386,0.339
0.153000,-0.0068,-0.0197,0.2657,0.267
0.154000,-0.1208,-0.1282,0.2002,0.267
0.154000,-0.1426,-0.1643,0.1035,0.241
0.161000,-0.1258,-0.1567,0.0308,0.203
0.165000,-0.1359,-0.1276,-0.0083,0.187
0.176000,-0.1328,-0.0723,-0.0306,0.154
0.177000,-0.1069,-0.0269,-0.0457,0.119
0.179000,-0.0484,0.0252,-0.0630,0.083
0.188000,0.0285,0.0676,-0.0827,0.111
0.190000,0.0908,0.0931,-0.1215,0.178
0.193000,0.1389,0.1187,-0.1483,0.235
0.198000,0.1491,0.1327,-0.1704,0.262
0.231000,0.1645,0.1494,-0.1805,0.286
0.232000,0.1611,0.1449,-0.1715,0.276
0.232000,0.1389,0.1333,-0.1697,0.257
0.234000,0.1028,0.1075,-0.1727,0.228
0.235000,0.0696,0.0772,-0.1925,0.219
0.235000,0.0272,0.0399,-0.2004,0.206
0.236000,-0.0220,-0.0068,-0.2202,0.221
0.240000,-0.0636,-0.0629,-0.2376,0.254
0.244000,-0.1100,-0.1283,-0.2741,0.322
0.251000,-0.1566,-0.1552,-0.3010,0.373
0.262000,-0.1533,-0.1842,-0.3088,0.391
0.263000,-0.2124,-0.1962,-0.3095,0.424
0.263000,-0.2044,-0.1528,-0.3006,0.394
0.269000,-0.1717,-0.0969,-0.3110,0.368
0.274000,-0.1553,-0.0594,-0.3190,0.360
0.279000,-0.1342,-0.0359,-0.3199,0.349
0.295000,-0.1062,-0.0289,-0.3376,0.355
0.296000,-0.0622,-0.0241,-0.3457,0.352
0.296000,-0.0219,-0.0169,-0.3442,0.345
0.300000,-0.0138,-0.0074,-0.3284,0.329
0.304000,0.0099,0.0040,-0.2981,0.298
0.309000,0.0061,0.0198,-0.2630,0.264
0.313000,0.0060,0.0280,-0.2351,0.237
0.344000,-0.0240,0.0213,-0.1928,0.195
0.345000,-0.0598,-0.0074,-0.1337,0.147
0.345000,-0.0869,-0.0294,-0.0793,0.121
0.345000,-0.1099,-0.0519,-0.0178,0.123
0.346000,-0.1093,-0.0869,0.0389,0.145
0.346000,-0.1278,-0.1269,0.0765,0.196
0.349000,-0.1416,-0.1694,0.0662,0.231
0.355000,-0.1459,-0.2025,0.0847,0.264
0.359000,-0.1713,-0.2070,0.1080,0.290
0.364000,-0.1841,-0.1899,0.1169,0.289
0.369000,-0.1984,-0.1608,0.1114,0.279
0.374000,-0.1930,-0.1291,0.0963,0.251
0.379000,-0.1825,-0.1114,0.0740,0.226
0.393000,-0.1550,-0.0886,0.0637,0.190
0.394000,-0.1082,-0.0846,0.0652,0.152
0.395000,-0.0756,-0.0706,0.0620,0.121
0.400000,-0.0570,-0.0513,0.0778,0.109
0.404000,-0.0666,-0.0533,0.1055,0.136
0.410000,-0.0903,-0.0407,0.1188,0.155
0.415000,-0.1448,-0.0470,0.1345,0.203
0.463000,-0.2063,-0.0534,0.1214,0.245
0.465000,-0.2082,-0.0547,0.0964,0.236
0.465000,-0.3085,-0.0584,0.0977,0.329
0.465000,-0.3207,-0.0597,0.1326,0.352
0.467000,-0.2927,-0.0538,0.1961,0.356
0.467000,-0.2507,-0.0436,0.2763,0.376
0.468000,-0.1992,-0.0171,0.3302,0.386
0.468000,-0.1309,0.0159,0.3817,0.404
0.468000,-0.0790,0.0339,0.4140,0.423
0.469000,-0.0293,0.0558,0.4369,0.441
0.469000,-0.0007,0.0937,0.4215,0.432
0.475000,-0.0032,0.1068,0.3943,0.409
0.479000,-0.0177,0.0975,0.3314,0.346
0.485000,-0.0348,0.0757,0.2495,0.263
0.489000,-0.0334,0.0726,0.1654,0.184
0.495000,-0.0421,0.0764,0.0790,0.118
