time,gFx,gFy,gFz,TgF
0.004000,-0.1172,0.3478,0.8974,0.970
0.005000,-0.1196,0.3512,0.9028,0.976
0.005000,-0.1181,0.3595,0.9111,0.987
0.005000,-0.1137,0.3700,0.9199,0.998
0.005000,-0.1084,0.3798,0.9272,1.008
0.012000,-0.0993,0.3891,0.9304,1.013
0.012000,-0.0891,0.3971,0.9299,1.015
0.015000,-0.0798,0.4045,0.9267,1.014
0.019000,-0.0724,0.4096,0.9199,1.010
0.023000,-0.0685,0.4108,0.9125,1.003
0.027000,-0.0663,0.4120,0.9062,0.998
0.031000,-0.0659,0.4120,0.8954,0.988
0.036000,-0.0715,0.4106,0.8852,0.978
0.040000,-0.0764,0.4064,0.8732,0.966
0.046000,-0.0695,0.4015,0.8693,0.960
0.047000,-0.0629,0.3947,0.8686,0.956
0.053000,-0.0588,0.3886,0.8661,0.951
0.055000,-0.0568,0.3832,0.8605,0.944
0.095000,-0.0602,0.3776,0.8559,0.937
0.096000,-0.0639,0.3754,0.8527,0.934
0.096000,-0.0688,0.3769,0.8498,0.932
0.096000,-0.0761,0.3786,0.8500,0.934
0.097000,-0.0815,0.3788,0.8480,0.932
0.097000,-0.0847,0.3791,0.8458,0.931
0.098000,-0.0866,0.3808,0.8476,0.933
0.098000,-0.0869,0.3839,0.8502,0.937
0.099000,-0.0871,0.3857,0.8527,0.940
0.099000,-0.0874,0.3866,0.8549,0.942
0.100000,-0.0869,0.3866,0.8588,0.946
0.105000,-0.0874,0.3869,0.8632,0.950
0.107000,-0.0886,0.3852,0.8700,0.956
0.120000,-0.0920,0.3825,0.8757,0.960
0.120000,-0.0939,0.3822,0.8820,0.966
0.121000,-0.0969,0.3776,0.8898,0.971
0.124000,-0.0983,0.3729,0.8976,0.977
0.136000,-0.1010,0.3690,0.9106,0.988
0.136000,-0.1032,0.3642,0.9248,0.999
0.137000,-0.1049,0.3617,0.9343,1.007
0.140000,-0.1098,0.3598,0.9419,1.014
0.153000,-0.1091,0.3580,0.9475,1.019
0.154000,-0.1037,0.3566,0.9555,1.025
0.154000,-0.1008,0.3544,0.9575,1.026
0.156000,-0.0996,0.3517,0.9541,1.022
0.160000,-0.1018,0.3495,0.9509,1.018
0.166000,-0.1045,0.3468,0.9487,1.015
0.167000,-0.1042,0.3431,0.9482,1.014
