time,ax,ay,az,aT
0.003000,0.4127,-0.0241,-1.3507,1.413
0.004000,0.5140,0.1522,-1.3031,1.409
0.009000,0.5570,0.3445,-1.2153,1.381
0.012000,0.5513,0.5283,-1.1136,1.350
0.016000,0.4772,0.6389,-0.9883,1.270
0.021000,0.3066,0.6018,-0.9784,1.189
0.026000,0.2531,0.7805,-0.7614,1.119
0.032000,0.2642,0.7933,-0.4444,0.947
0.036000,0.1985,0.7354,-0.2760,0.810
0.047000,0.1058,0.6418,-0.1121,0.660
0.047000,0.0915,0.5720,0.0187,0.580
0.052000,0.1584,0.5116,0.0855,0.542
0.068000,0.1970,0.4751,0.0742,0.520
0.069000,0.2201,0.4531,0.0709,0.509
0.069000,0.2736,0.4102,0.0804,0.500
0.072000,0.3678,0.2773,0.0979,0.471
0.077000,0.4456,0.3419,0.0587,0.565
0.081000,0.5253,0.3365,0.2189,0.661
0.086000,0.6421,0.3429,0.2411,0.767
0.092000,0.6812,0.3306,0.1922,0.781
0.097000,0.6158,0.2930,0.1149,0.692
0.101000,0.4792,0.1873,0.0474,0.517
0.109000,0.6064,0.2461,-0.0705,0.658
0.112000,0.6528,0.3617,-0.2075,0.775
0.117000,0.5285,0.4907,-0.2969,0.780
0.127000,0.2972,0.5489,-0.3675,0.724
0.129000,0.0989,0.5244,-0.4051,0.670
0.133000,0.0081,0.4822,-0.4816,0.682
0.137000,-0.0860,0.5060,-0.5158,0.728
0.142000,-0.0067,0.5401,-0.4740,0.719
0.148000,0.1882,0.5387,-0.4303,0.715
0.152000,0.3704,0.4556,-0.4038,0.713
0.169000,0.4591,0.3545,-0.3967,0.703
0.171000,0.5247,0.2442,-0.3206,0.662
0.172000,0.5889,0.1573,-0.1846,0.637
0.173000,0.6528,0.0935,-0.1247,0.671
0.178000,0.7487,0.0698,-0.0833,0.757
0.185000,0.8831,0.0842,-0.1033,0.893
0.187000,0.9754,0.2230,-0.1389,1.010
0.197000,0.8741,0.1892,-0.1211,0.903
0.198000,0.6920,-0.1552,-0.3702,0.800
0.202000,0.6087,-0.2347,-0.5255,0.838
0.215000,0.4491,-0.1668,-0.6445,0.803
0.216000,0.5566,0.1365,-0.3059,0.650
0.217000,0.8065,0.3062,-0.2558,0.900
0.226000,0.8496,0.2615,-0.3506,0.956
0.226000,0.7720,0.0992,-0.4590,0.904
0.232000,0.7243,-0.0967,-0.5476,0.913
0.236000,0.5221,-0.0607,-0.4299,0.679
0.241000,0.6555,0.0130,-0.3140,0.727
0.247000,0.7876,0.0410,-0.3769,0.874
0.251000,0.7504,0.0000,-0.4633,0.882
0.259000,0.7037,-0.0642,-0.4489,0.837
0.263000,0.7145,-0.1277,-0.3963,0.827
0.266000,0.6858,-0.2258,-0.3270,0.793
0.271000,0.6443,-0.4441,-0.2390,0.818
0.277000,0.4810,-0.4566,-0.1299,0.676
0.282000,0.4209,-0.4999,0.0120,0.654
0.286000,0.4942,-0.4104,0.0001,0.642
0.303000,0.4558,-0.2693,-0.0772,0.535
0.304000,0.3853,-0.0915,-0.0837,0.405
0.304000,0.3448,0.1222,-0.0550,0.370
0.310000,0.3155,0.3253,0.0091,0.453
0.312000,0.2448,0.4999,0.0991,0.565
0.317000,0.2025,0.6143,0.1961,0.676
0.322000,0.1489,0.6942,0.3239,0.780
0.327000,0.1050,0.7151,0.4493,0.851
0.332000,0.0615,0.7245,0.5438,0.908
0.337000,0.0552,0.7152,0.5813,0.923
