time,ax,ay,az,aT
0.003000,-0.5223,0.2305,-1.6028,1.701
0.004000,-0.3985,0.3169,-1.3542,1.447
0.004000,-0.2766,0.4016,-1.0398,1.148
0.005000,-0.1617,0.4547,-0.7143,0.862
0.013000,-0.0566,0.4847,-0.3894,0.624
0.015000,0.0389,0.4743,-0.0913,0.485
0.022000,0.1228,0.4491,0.1637,0.494
0.025000,0.2072,0.4134,0.3732,0.594
0.030000,0.2615,0.3789,0.5159,0.691
0.044000,0.3005,0.3430,0.5944,0.749
0.045000,0.3143,0.3200,0.6063,0.754
0.045000,0.2986,0.3078,0.5278,0.680
0.050000,0.2626,0.2827,0.4114,0.564
0.055000,0.2204,0.2597,0.3025,0.456
0.061000,0.1866,0.2435,0.1986,0.365
0.066000,0.1515,0.2274,0.0471,0.277
0.072000,0.1150,0.2164,-0.1282,0.277
0.076000,0.0818,0.1944,-0.2986,0.366
0.081000,0.0563,0.1855,-0.4381,0.479
0.089000,0.0381,0.1946,-0.5202,0.557
0.090000,0.0244,0.2168,-0.5524,0.594
0.096000,0.0250,0.2449,-0.5394,0.593
0.100000,0.0349,0.2500,-0.4812,0.543
0.105000,0.0448,0.2678,-0.4281,0.507
0.111000,0.0621,0.2860,-0.3727,0.474
0.115000,0.0817,0.2855,-0.2840,0.411
0.121000,0.0702,0.2562,-0.2097,0.338
0.126000,0.0636,0.2030,-0.1451,0.257
0.131000,0.0621,0.1687,-0.1020,0.207
0.135000,0.0390,0.1389,-0.1114,0.182
0.141000,-0.0179,0.1040,-0.0944,0.142
0.146000,-0.0799,0.0591,-0.0821,0.129
0.150000,-0.1398,0.0137,-0.0912,0.168
0.165000,-0.1928,-0.0250,-0.1002,0.219
0.166000,-0.2389,-0.0763,-0.1138,0.275
0.166000,-0.2784,-0.1159,-0.1368,0.331
0.172000,-0.3373,-0.1297,-0.1955,0.411
0.182000,-0.3658,-0.1389,-0.2159,0.447
0.182000,-0.3685,-0.1483,-0.2290,0.458
0.185000,-0.3550,-0.1315,-0.2397,0.448
0.193000,-0.3493,-0.1269,-0.2336,0.439
0.197000,-0.3514,-0.1103,-0.2585,0.450
0.201000,-0.3444,-0.0983,-0.2692,0.448
0.206000,-0.3234,-0.0623,-0.2894,0.438
0.211000,-0.2931,-0.0380,-0.2953,0.418
0.216000,-0.2633,-0.0230,-0.2773,0.383
0.222000,-0.2458,0.0017,-0.2761,0.370
0.226000,-0.2240,0.0122,-0.2630,0.346
0.231000,-0.2148,0.0276,-0.2834,0.357
0.239000,-0.1993,0.0313,-0.3061,0.367
0.240000,-0.2062,0.0159,-0.3456,0.403
0.246000,-0.2284,0.0056,-0.3994,0.460
0.251000,-0.2514,-0.0140,-0.4485,0.514
0.257000,-0.2703,-0.0283,-0.4760,0.548
0.261000,-0.2803,-0.0230,-0.4796,0.556
0.266000,-0.2905,-0.0004,-0.4259,0.516
0.281000,-0.2700,0.0538,-0.3508,0.446
0.283000,-0.2445,0.1083,-0.2519,0.367
0.283000,-0.1972,0.1510,-0.1819,0.308
0.287000,-0.0996,0.2129,-0.1669,0.288
0.291000,-0.0814,0.2387,-0.1160,0.278
0.297000,-0.1514,0.2214,-0.0508,0.273
0.302000,-0.2198,0.2119,-0.1101,0.324
0.314000,-0.1985,0.1939,-0.2484,0.372
0.315000,-0.1535,0.1605,-0.3462,0.411
0.318000,-0.1472,0.1733,-0.3291,0.400
0.323000,-0.1843,0.1987,-0.2955,0.401
0.326000,-0.2191,0.2412,-0.2858,0.433
0.331000,-0.2070,0.3320,-0.3120,0.500
0.337000,-0.2569,0.3797,-0.2353,0.515
0.341000,-0.3417,0.3888,-0.1059,0.528
0.346000,-0.3935,0.3623,-0.0722,0.540
0.351000,-0.3856,0.3169,-0.1055,0.510
0.364000,-0.3094,0.2865,-0.1101,0.436
0.365000,-0.2273,0.3043,-0.0882,0.390
0.366000,-0.1990,0.3413,-0.0257,0.396
0.372000,-0.2263,0.3782,0.0417,0.443
0.380000,-0.3045,0.3891,0.0732,0.499
