time,ax,ay,az,aT
0.002000,-0.4734,-0.0519,-0.4267,0.639
0.003000,-0.3185,0.0862,-0.3584,0.487
0.006000,-0.1209,0.1511,-0.2691,0.331
0.008000,0.0250,0.1258,-0.1180,0.174
0.013000,0.1018,0.0456,0.1071,0.155
0.019000,0.1067,-0.0184,0.3204,0.338
0.023000,0.0839,-0.0286,0.4576,0.466
0.029000,0.0389,-0.0072,0.4904,0.492
0.033000,-0.0301,0.0364,0.4117,0.414
0.050000,-0.1179,0.0809,0.2596,0.296
0.050000,-0.1788,0.1555,0.0746,0.248
0.051000,-0.1940,0.2248,-0.0884,0.310
0.054000,-0.2139,0.2605,-0.1915,0.388
0.059000,-0.2602,0.2674,-0.2372,0.442
0.064000,-0.3045,0.2335,-0.2494,0.458
0.068000,-0.3448,0.1805,-0.2400,0.457
0.119000,-0.3598,0.1202,-0.2282,0.443
0.120000,-0.3523,0.0576,-0.2236,0.421
0.120000,-0.3079,0.0024,-0.2310,0.385
0.120000,-0.2416,-0.0691,-0.2625,0.363
0.120000,-0.1899,-0.1493,-0.2872,0.375
0.120000,-0.2274,-0.3407,-0.1762,0.446
0.120000,-0.1330,-0.3628,-0.2814,0.478
0.121000,0.0877,-0.2733,-0.4543,0.537
0.121000,0.2910,-0.1301,-0.4361,0.540
0.121000,0.4031,-0.0388,-0.1984,0.451
0.130000,0.3997,0.0001,0.1081,0.414
0.131000,0.3009,-0.0278,0.3570,0.468
0.133000,0.1695,-0.0516,0.5342,0.563
0.144000,0.0752,-0.0427,0.5849,0.591
0.145000,0.0259,-0.0134,0.5573,0.558
0.148000,0.0035,0.0483,0.4634,0.466
0.154000,-0.0125,0.0997,0.3221,0.337
0.160000,-0.0473,0.1099,0.1669,0.205
0.163000,-0.0785,0.1010,0.0237,0.130
0.168000,-0.0479,0.1303,-0.1074,0.176
0.214000,-0.0129,0.1763,-0.1930,0.262
0.214000,0.0024,0.1932,-0.2258,0.297
0.215000,0.0075,0.1836,-0.2249,0.290
0.215000,0.0092,0.1807,-0.2357,0.297
0.215000,0.0306,0.1749,-0.2677,0.321
0.215000,0.0989,0.2046,-0.2850,0.365
0.216000,0.1945,0.2244,-0.2757,0.405
0.216000,0.2907,0.2319,-0.2302,0.437
0.216000,0.3396,0.2298,-0.1608,0.440
0.226000,0.3838,0.2226,-0.1437,0.466
0.226000,0.4297,0.2057,-0.1313,0.494
0.238000,0.4209,0.1530,-0.1332,0.467
0.239000,0.3568,0.0126,-0.0050,0.357
0.239000,0.2238,-0.1396,0.6063,0.661
0.252000,0.1385,-0.3795,1.0733,1.147
0.252000,0.1916,-0.4661,1.0700,1.183
0.254000,0.3002,-0.3976,0.6463,0.816
0.260000,0.3197,-0.2730,0.0481,0.423
0.265000,0.2701,-0.1174,-0.5078,0.587
0.270000,0.1794,0.0102,-0.8974,0.915
0.275000,0.0689,0.0506,-1.1332,1.136
0.280000,-0.0662,0.0350,-1.2155,1.218
0.285000,-0.1775,-0.0031,-1.2257,1.238
0.337000,-0.2655,-0.0261,-1.1802,1.210
0.338000,-0.3159,-0.0227,-1.0000,1.049
0.339000,-0.3144,-0.0056,-0.7826,0.843
0.339000,-0.2751,0.0245,-0.5805,0.643
0.339000,-0.2415,0.0692,-0.3716,0.449
0.339000,-0.2209,0.0945,-0.1915,0.307
0.339000,-0.2156,0.1145,-0.0592,0.251
0.340000,-0.2066,0.1310,0.0209,0.246
0.340000,-0.1673,0.1465,0.1684,0.279
0.340000,-0.1186,0.1436,0.3358,0.384
0.340000,-0.0593,0.1247,0.4370,0.458
0.349000,0.0080,0.1018,0.4602,0.471
0.349000,0.0686,0.0631,0.4269,0.437
0.363000,0.1004,0.0349,0.3992,0.413
0.363000,0.1271,0.0055,0.3483,0.371
0.365000,0.1241,-0.0175,0.1999,0.236
0.369000,0.0664,-0.0916,0.0926,0.146
0.383000,0.0399,-0.1041,0.0813,0.138
0.384000,0.0603,-0.0690,0.0583,0.109
