time,ax,ay,az,aT
0.004000,-0.6803,0.0874,-0.2853,0.743
0.004000,-0.5256,0.0253,-0.2715,0.592
0.004000,-0.3458,-0.0361,-0.1908,0.397
0.011000,-0.1948,-0.0994,-0.0744,0.231
0.014000,-0.0884,-0.1505,0.0396,0.179
0.017000,-0.0022,-0.1565,0.0987,0.185
0.091000,0.0496,-0.1341,0.0934,0.171
0.092000,0.0698,-0.0859,0.0597,0.126
0.092000,0.0493,-0.0453,0.0238,0.071
0.092000,-0.0232,-0.0240,-0.0144,0.036
0.092000,-0.1211,-0.0387,-0.0908,0.156
0.093000,-0.2251,-0.0701,-0.1456,0.277
0.093000,-0.3252,-0.0702,-0.2055,0.391
0.093000,-0.3738,-0.0196,-0.2607,0.456
0.093000,-0.3663,0.0503,-0.2899,0.470
0.093000,-0.3394,0.1180,-0.2928,0.463
0.093000,-0.3004,0.1619,-0.2910,0.448
0.094000,-0.2708,0.1461,-0.2870,0.421
0.094000,-0.2604,0.0921,-0.3188,0.422
0.094000,-0.2237,0.0311,-0.3769,0.439
0.094000,-0.1868,-0.0127,-0.4376,0.476
0.106000,-0.1638,-0.0273,-0.4841,0.512
0.107000,-0.1449,0.0015,-0.5068,0.527
0.120000,-0.1371,0.0473,-0.4795,0.501
0.120000,-0.1620,0.0955,-0.4117,0.453
0.120000,-0.1929,0.1361,-0.3366,0.411
0.131000,-0.2282,0.1617,-0.3116,0.419
0.131000,-0.2579,0.1677,-0.3223,0.446
0.133000,-0.2962,0.1494,-0.3854,0.508
0.215000,-0.3450,0.1334,-0.4580,0.589
0.215000,-0.3941,0.1248,-0.5212,0.665
0.216000,-0.4411,0.1550,-0.5488,0.721
0.216000,-0.4625,0.2404,-0.5861,0.784
0.217000,-0.4754,0.3309,-0.6355,0.860
0.217000,-0.4879,0.4073,-0.6875,0.936
0.217000,-0.4983,0.4771,-0.7348,1.008
0.218000,-0.5258,0.5261,-0.7394,1.049
0.219000,-0.5566,0.5590,-0.7179,1.067
0.220000,-0.5714,0.5903,-0.6728,1.062
0.220000,-0.5991,0.6031,-0.6018,1.042
0.220000,-0.6441,0.6021,-0.5238,1.026
0.221000,-0.7185,0.5633,-0.5154,1.048
0.221000,-0.7791,0.5227,-0.5502,1.088
0.221000,-0.7709,0.5449,-0.5757,1.106
0.222000,-0.7176,0.6015,-0.5824,1.103
0.223000,-0.6547,0.6731,-0.5727,1.100
0.223000,-0.5898,0.7236,-0.5177,1.067
0.230000,-0.5058,0.7338,-0.3840,0.970
0.234000,-0.5868,0.5214,-0.2456,0.823
0.241000,-0.5269,0.4977,-0.0759,0.729
0.243000,-0.3570,0.6021,0.0869,0.705
0.248000,-0.1394,0.7266,0.1880,0.763
0.257000,0.0182,0.8040,0.2036,0.830
0.259000,0.0823,0.7990,0.1241,0.813
0.263000,0.0763,0.7260,0.0261,0.731
0.268000,0.0598,0.6478,-0.0715,0.654
0.340000,0.0404,0.5764,-0.1544,0.598
0.341000,0.0256,0.5457,-0.2611,0.605
0.341000,0.0344,0.5512,-0.3701,0.665
0.341000,0.0670,0.5860,-0.4649,0.751
0.341000,0.0918,0.6452,-0.5382,0.845
0.342000,0.0973,0.6904,-0.5758,0.904
0.342000,0.1053,0.7386,-0.5873,0.949
0.342000,0.0872,0.7801,-0.5871,0.980
0.343000,0.0764,0.8246,-0.5871,1.015
0.343000,0.0559,0.8622,-0.5800,1.041
0.343000,0.0141,0.8905,-0.5707,1.058
0.343000,-0.0369,0.9049,-0.5496,1.059
0.344000,-0.1090,0.9076,-0.5239,1.054
0.344000,-0.2023,0.9108,-0.4864,1.052
0.344000,-0.3146,0.9263,-0.4443,1.074
0.349000,-0.4294,0.9419,-0.4023,1.111
0.357000,-0.5541,0.9671,-0.3795,1.177
0.358000,-0.6748,0.9995,-0.3184,1.247
0.364000,-0.7864,1.0077,-0.2357,1.300
0.369000,-0.8550,1.0060,-0.1672,1.331
0.382000,-0.8952,0.9822,-0.1393,1.336
0.383000,-0.8926,0.9531,-0.1302,1.312
0.383000,-0.8494,0.9066,-0.0969,1.246
0.389000,-0.7703,0.8283,-0.0825,1.134
0.394000,-0.6575,0.7709,-0.0964,1.018
0.398000,-0.5204,0.7274,-0.1172,0.902
0.468000,-0.3906,0.7193,-0.1521,0.833
0.469000,-0.2637,0.7467,-0.2034,0.818
0.469000,-0.1664,0.7714,-0.2594,0.831
0.469000,-0.1136,0.7957,-0.3104,0.862
0.469000,-0.0860,0.7839,-0.3684,0.870
