time,gFx,gFy,gFz,TgF
0.005000,0.1000,0.5166,0.6814,0.861
0.006000,0.1142,0.5186,0.7366,0.908
0.006000,0.1237,0.5190,0.8011,0.963
0.006000,0.1296,0.5178,0.8730,1.023
0.006000,0.1328,0.5156,0.9436,1.083
0.007000,0.1335,0.5120,1.0071,1.138
0.012000,0.1281,0.5068,1.0572,1.179
0.013000,0.1281,0.5019,1.0916,1.208
0.021000,0.0947,0.4953,1.1082,1.218
0.021000,0.0700,0.4858,1.1060,1.210
0.025000,0.0436,0.4756,1.0858,1.186
0.036000,0.0209,0.4641,1.0542,1.152
0.037000,0.0018,0.4545,1.0161,1.113
0.037000,0.0018,0.4458,0.9770,1.074
0.040000,-0.0182,0.4409,0.9406,1.039
0.049000,-0.0216,0.4411,0.9081,1.010
0.049000,-0.0216,0.4443,0.8815,0.987
0.057000,-0.0180,0.4484,0.8605,0.971
0.058000,-0.0102,0.4536,0.8414,0.956
0.061000,-0.0001,0.4570,0.8239,0.942
0.065000,0.0099,0.4619,0.8075,0.930
0.068000,0.0216,0.4665,0.7960,0.923
0.072000,0.0324,0.4724,0.7875,0.919
0.076000,0.0416,0.4763,0.7831,0.917
0.081000,0.0485,0.4778,0.7813,0.917
0.088000,0.0517,0.4758,0.7809,0.916
0.088000,0.0539,0.4717,0.7813,0.914
0.092000,0.0563,0.4680,0.7845,0.915
0.097000,0.0597,0.4668,0.7909,0.920
0.100000,0.0631,0.4665,0.8031,0.931
0.104000,0.0673,0.4695,0.8192,0.947
0.108000,0.0717,0.4748,0.8385,0.966
0.113000,0.0773,0.4807,0.8603,0.988
0.117000,0.0859,0.4856,0.8818,1.010
0.120000,0.0947,0.4885,0.9018,1.030
0.124000,0.1034,0.4883,0.9162,1.043
0.140000,0.1074,0.4841,0.9228,1.048
0.140000,0.1074,0.4785,0.9240,1.046
0.141000,0.1025,0.4719,0.9221,1.041
0.141000,0.0929,0.4641,0.9177,1.033
0.147000,0.0815,0.4565,0.9113,1.023
0.149000,0.0692,0.4502,0.9067,1.015
0.159000,0.0595,0.4455,0.9042,1.010
0.160000,0.0526,0.4438,0.9025,1.007
0.160000,0.0465,0.4431,0.9042,1.008
0.173000,0.0419,0.4428,0.9062,1.009
0.174000,0.0363,0.4426,0.9067,1.010
0.174000,0.0316,0.4428,0.9050,1.008
0.177000,0.0258,0.4431,0.9020,1.005
0.182000,0.0201,0.4428,0.8993,1.003
0.184000,0.0162,0.4426,0.8996,1.003
0.188000,0.0153,0.4440,0.9028,1.006
0.192000,0.0165,0.4455,0.9062,1.010
0.198000,0.0175,0.4465,0.9089,1.013
0.201000,0.0182,0.4462,0.9108,1.014
0.204000,0.0182,0.4450,0.9116,1.015
0.208000,0.0187,0.4438,0.9086,1.011
0.214000,0.0179,0.4399,0.9028,1.004
0.216000,0.0177,0.4365,0.8969,0.998
0.221000,0.0167,0.4330,0.8930,0.993
0.224000,0.0148,0.4323,0.8888,0.989
0.230000,0.0128,0.4335,0.8881,0.988
0.233000,0.0118,0.4367,0.8901,0.992
0.236000,0.0126,0.4389,0.8940,0.996
0.241000,0.0148,0.4421,0.8984,1.001
0.247000,0.0197,0.4445,0.9006,1.005
0.249000,0.0236,0.4465,0.9011,1.006
0.252000,0.0265,0.4462,0.8993,1.004
0.257000,0.0282,0.4458,0.8967,1.002
0.261000,0.0299,0.4470,0.8945,1.000
0.272000,0.0319,0.4475,0.8928,0.999
0.272000,0.0346,0.4482,0.8918,0.999
0.273000,0.0368,0.4480,0.8903,0.997
0.276000,0.0392,0.4475,0.8876,0.995
0.280000,0.0424,0.4480,0.8857,0.993
0.284000,0.0421,0.4477,0.8857,0.993
0.290000,0.0426,0.4477,0.8879,0.995
0.292000,0.0434,0.4484,0.8918,0.999
0.301000,0.0431,0.4502,0.8935,1.001
0.302000,0.0434,0.4516,0.8967,1.005
0.304000,0.0458,0.4516,0.8984,1.007
0.308000,0.0490,0.4511,0.8969,1.005
0.313000,0.0497,0.4521,0.8935,1.003
0.317000,0.0460,0.4536,0.8876,0.998
0.322000,0.0436,0.4558,0.8813,0.993
0.324000,0.0404,0.4592,0.8735,0.988
0.330000,0.0377,0.4599,0.8651,0.981
0.334000,0.0365,0.4614,0.8605,0.977
0.335000,0.0368,0.4619,0.8581,0.975
0.340000,0.0380,0.4619,0.8568,0.974
0.346000,0.0404,0.4626,0.8568,0.975
0.349000,0.0434,0.4626,0.8590,0.977
0.353000,0.0473,0.4624,0.8629,0.980
0.356000,0.0509,0.4631,0.8678,0.985
0.360000,0.0541,0.4633,0.8722,0.989
0.374000,0.0573,0.4629,0.8764,0.993
0.375000,0.0590,0.4621,0.8771,0.993
0.376000,0.0578,0.4607,0.8752,0.991
0.378000,0.0548,0.4567,0.8715,0.985
0.381000,0.0526,0.4543,0.8671,0.980
0.385000,0.0497,0.4521,0.8625,0.975
0.388000,0.0490,0.4502,0.8568,0.969
0.392000,0.0487,0.4499,0.8500,0.963
0.410000,0.0509,0.4519,0.8451,0.960
0.411000,0.0543,0.4543,0.8390,0.956
0.411000,0.0587,0.4555,0.8341,0.952
