SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 42.5501, 2820, -0.01626895, -0.98503709, 0.15174852, 0.10729881, -0.92213511, 0.20558931, -30.80970383, 8.53551579, -67.43642426, 98.64017487, -0.69703639, 102.09837341, -0.40618187, 0.47982186, 0.58726442, 0.50981170, 0.00373212, -0.00379210, -0.00319187, 100.31200409, 84.66732025, 33.46999741, 0.00000000
1, 42.5601, 2821, -0.01801620, -0.98597527, 0.15206982, -0.20705971, -1.36384916, 0.35679740, -30.42969894, 7.89242887, -67.34872437, 98.63828278, -0.69855112, 102.08435059, -0.40624434, 0.47989368, 0.58719182, 0.50977790, 0.00545483, -0.00285629, -0.00353260, 100.31200409, 84.66732025, 33.46999741, 0.00000000
1, 42.5701, 2822, -0.02236835, -0.98618269, 0.14998433, -0.09586772, -1.68201709, 0.59316349, -30.51739311, 8.76936531, -67.11487579, 98.63755798, -0.70191860, 102.06683350, -0.40630788, 0.47999567, 0.58710307, 0.50973344, 0.00976383, -0.00264738, -0.00147503, 100.31200409, 84.66732025, 33.46999741, 0.00000000
1, 42.5801, 2823, -0.03043577, -0.98532307, 0.14863078, -0.27059305, -1.92851341, 0.64209062, -30.51739311, 8.76936531, -67.11487579, 98.63495636, -0.73103118, 102.04862213, -0.40624937, 0.48020774, 0.58691013, 0.50980258, 0.01766519, -0.00350851, -0.00017872, 100.31200409, 84.66732025, 33.46999741, 0.00000000
1, 42.5901, 2824, -0.03090406, -0.98695195, 0.14793186, -0.31604603, -1.06319666, 0.85608149, -30.16661835, 8.65244102, -67.49488068, 98.63195801, -0.73792523, 102.03684235, -0.40627867, 0.48028773, 0.58682251, 0.50980461, 0.01770001, -0.00187863, 0.00047985, 100.31200409, 84.66732025, 33.46999741, 0.00000000
1, 42.6001, 2825, -0.03038294, -0.98508894, 0.14778480, -0.31573305, -1.11290777, 0.74973601, -30.83893585, 8.18474102, -67.87489319, 98.62898254, -0.74370575, 102.02471924, -0.40631518, 0.48036462, 0.58673757, 0.50980079, 0.01707000, -0.00375073, 0.00055999, 100.31200409, 84.66732025, 33.46999741, 0.00000000
1, 42.6101, 2826, -0.03143401, -0.98641264, 0.14679010, -0.31369126, -1.27079868, 0.79852492, -30.66354752, 7.45396090, -68.05027771, 98.62604523, -0.74971843, 102.01097107, -0.40635765, 0.48045108, 0.58664519, 0.50979197, 0.01801801, -0.00242933, 0.00151480, 100.31200409, 84.66732025, 33.46999741, 0.00000000
1, 42.6201, 2827, -0.03230000, -0.98771763, 0.14634189, -0.32885537, -1.48064411, 0.82876843, -30.83893585, 8.36012840, -67.49488068, 98.62299347, -0.75572103, 101.99510193, -0.40641004, 0.48054785, 0.58654332, 0.50977612, 0.01878519, -0.00113202, 0.00189507, 100.31200409, 84.66732025, 33.46999741, 0.00000000
1, 42.6301, 2828, -0.03427623, -0.98692417, 0.14782204, -0.36823907, -1.16726410, 0.81921321, -30.02046204, 7.92166042, -68.19643402, 98.61792755, -0.79055667, 101.98516846, -0.40629548, 0.48073369, 0.58635312, 0.50991082, 0.02051710, -0.00193390, 0.00034901, 100.31200409, 84.66732025, 33.46999741, 0.00000000
1, 42.6401, 2829, -0.04160875, -0.98751855, 0.14412893, -0.23984480, -1.51215899, 0.72172761, -30.02046204, 7.92166042, -68.19643402, 98.61575317, -0.79546124, 101.96914673, -0.40635058, 0.48082957, 0.58625847, 0.50988537, 0.02739552, -0.00133710, 0.00395735, 100.31200409, 84.66732025, 33.46999741, 0.00000000
1, 42.6501, 2830, -0.04199212, -0.98762691, 0.14588968, -0.42556459, -0.91573656, 0.47541645, -30.98509216, 8.94475269, -67.11487579, 98.61167145, -0.79882008, 101.95937347, -0.40639389, 0.48087981, 0.58618718, 0.50988555, 0.02770373, -0.00123884, 0.00214158, 100.31200409, 84.66732025, 33.46999741, 0.00000000
1, 42.6601, 2831, -0.03816309, -0.98667860, 0.14850792, -0.38806579, -1.08821309, 0.41824973, -30.22508049, 7.13241720, -67.67027283, 98.60794067, -0.80135107, 101.94798279, -0.40644711, 0.48093593, 0.58611363, 0.50987470, 0.02381925, -0.00220208, -0.00054008, 100.31200409, 84.66732025, 33.46999741, 0.00000000
1, 42.6701, 2832, -0.03610138, -0.98762012, 0.14568815, -0.33435535, -1.12212992, 0.39923149, -30.98509216, 8.27243519, -67.61180878, 98.60476685, -0.80364257, 101.93629456, -0.40650064, 0.48099458, 0.58604223, 0.50985897, 0.02172260, -0.00126408, 0.00222469, 100.31200409, 84.66732025, 33.46999741, 0.00000000
