SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.75291127, -0.55084908, -0.18013655, 21.14394569, 49.20408630, 37.06161880, -69.39491272, 22.30341911, -88.13212585, 79.56148529, -23.81891632, 132.81652832, 0.17993891, -0.39590406, -0.51027983, -0.74195451, 0.35000801, -0.34876823, 0.01162032, 99.92000580, 117.61683655, 30.94999886, 0.00000000
1, 0.0350, 1, -0.38434756, -0.46286768, -0.20251095, 47.90405655, 85.22100067, -7.35745335, -69.59953308, 21.66033363, -88.27828217, 79.61671448, -23.56497383, 135.60473633, 0.16306725, -0.38201749, -0.52101958, -0.74566108, -0.01540010, -0.43814749, 0.03533996, 99.92000580, 117.61683655, 30.94999886, 0.00000000
1, 0.0400, 2, -0.39487866, -0.53140283, -0.07790656, 53.68298340, 74.39724731, -10.03750229, -69.65799713, 19.26337242, -89.00906372, 79.72986603, -23.44765854, 135.99366760, 0.16081561, -0.37974206, -0.52346188, -0.74560183, -0.00331790, -0.37090325, -0.08796545, 99.92000580, 117.61683655, 30.94999886, 0.00000000
1, 0.0450, 3, -0.38906509, -0.55152464, -0.05317527, 58.09309387, 67.47729492, -14.78031540, -69.65799713, 19.26337242, -89.00906372, 79.88239288, -23.31397629, 136.34082031, 0.15880091, -0.37760863, -0.52606905, -0.74528217, -0.00711036, -0.35212260, -0.11058372, 99.92000580, 117.61683655, 30.94999886, 0.00000000
1, 0.0500, 4, -0.34369040, -0.53401864, -0.06567418, 60.80624390, 68.29984283, -20.54380417, -69.80415344, 21.16340256, -89.15522003, 80.04964447, -23.15206718, 136.68685913, 0.15690815, -0.37532881, -0.52885604, -0.74486202, -0.04999503, -0.37110704, -0.09555150, 99.92000580, 117.61683655, 30.94999886, 0.00000000
1, 0.0550, 5, -0.31012282, -0.51827669, -0.10775248, 63.09922791, 71.80479431, -25.01118279, -69.80415344, 21.16340256, -89.15522003, 80.22355652, -22.96603775, 137.04754639, 0.15504016, -0.37284103, -0.53180528, -0.74440265, -0.08057007, -0.38846898, -0.05085318, 99.92000580, 117.61683655, 30.94999886, 0.00000000
1, 0.0600, 6, -0.29508981, -0.50948727, -0.15683241, 65.56760406, 75.51934814, -29.44074631, -69.80415344, 21.16340256, -89.15522003, 80.40472412, -22.75604248, 137.42410278, 0.15318735, -0.37013912, -0.53492117, -0.74390197, -0.09219903, -0.39903212, 0.00088419, 99.92000580, 117.61683655, 30.94999886, 0.00000000
1, 0.0650, 7, -0.30695382, -0.50802970, -0.18889914, 68.33850098, 77.77113342, -33.76881409, -69.21952820, 21.01724625, -89.06752014, 80.59787750, -22.52390480, 137.80889893, 0.15137519, -0.36727336, -0.53820020, -0.74332792, -0.07660513, -0.40244919, 0.03568321, 99.92000580, 117.61683655, 30.94999886, 0.00000000
1, 0.0700, 8, -0.33781374, -0.51455319, -0.19396850, 71.35260773, 77.58402252, -37.98285675, -69.21952820, 21.01724625, -89.06752014, 80.80924225, -22.27235985, 138.18919373, 0.14965287, -0.36432609, -0.54163039, -0.74263519, -0.04175128, -0.39808238, 0.04368569, 99.92000580, 117.61683655, 30.94999886, 0.00000000
1, 0.0750, 9, -0.37888870, -0.52106225, -0.17944363, 74.23954010, 76.20548248, -41.94325638, -69.42414093, 20.78339577, -89.33060455, 81.03884125, -22.00644493, 138.55967712, 0.14802794, -0.36135045, -0.54517668, -0.74181944, 0.00353823, -0.39388853, 0.03237033, 99.92000580, 117.61683655, 30.94999886, 0.00000000
