SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0002, 0, 0.34533691, -0.86376953, 0.15893555, 12.73016167, 6.87804890, 13.99016190, -19.70184135, 6.78164291, -52.99620056, 100.58186340, 33.22192001, -146.50337219, -0.03416668, -0.38732886, 0.65329063, 0.64963090, 0.20283118, 0.04157513, -0.00561251, 100.29300690, 86.26172638, 29.31999969, 0.00000000
1, -0.0001, 0, -0.24909927, -0.93728399, 0.19270396, -13.63287258, -13.43079853, -131.64155579, -27.15580177, 5.55393171, -60.01169205, 100.12307739, -3.88627315, -7.90303946, -0.64186192, 0.76297164, -0.07452282, -0.01827753, 0.17797607, -0.04494707, -0.01922614, 100.41700745, 75.85894775, 30.21999931, 0.00000000
1, 0.0052, 1, 0.34710693, -0.87805176, 0.14904785, 11.75016117, 6.24804926, 15.56516266, -19.70184135, 6.78164291, -52.99620056, 100.65132141, 33.13966751, -146.48381042, -0.03374595, -0.38704461, 0.65389585, 0.64921337, 0.19988155, 0.05528958, 0.00543760, 100.29300690, 86.26172638, 29.31999969, 0.00000000
1, 0.0102, 2, 0.34716797, -0.88861084, 0.14581299, 10.77015972, 5.79304934, 16.93016243, -19.40952873, 6.66471767, -52.32388306, 100.71348572, 33.05111694, -146.46858215, -0.03328297, -0.38670960, 0.65449512, 0.64883292, 0.19854674, 0.06520621, 0.00975024, 100.29300690, 86.26172638, 29.31999969, 0.00000000
1, 0.0152, 3, 0.34783936, -0.89739990, 0.15069580, 9.26515961, 5.44304895, 18.08516121, -19.40952873, 6.66471767, -52.32388306, 100.76623535, 32.95719910, -146.45678711, -0.03277185, -0.38633358, 0.65507025, 0.64850247, 0.19652036, 0.07327975, 0.00582343, 100.29300690, 86.26172638, 29.31999969, 0.00000000
1, 0.0949, 1, -0.09417687, -0.93534327, 0.08495376, -6.21609259, -17.76997185, -104.74407196, -19.23414230, 8.76936531, -60.91785812, 98.98328400, 7.58469629, -7.47742987, -0.64347839, 0.75983304, -0.00659791, -0.09244320, 0.22366726, -0.04416224, 0.06824812, 100.41700745, 75.85894775, 30.21999931, 0.00000000
1, 0.0999, 2, -0.08084061, -0.91599762, 0.08262005, -5.48879671, -18.55217552, -102.35336304, -19.23414230, 8.76936531, -60.91785812, 98.95281982, 8.10457897, -7.49025965, -0.64324409, 0.75961798, -0.00370830, -0.09593704, 0.21937825, -0.06237930, 0.06991838, 100.41700745, 75.85894775, 30.21999931, 0.00000000
1, 0.0202, 4, 0.35186768, -0.90020752, 0.15032959, 7.51515913, 5.51304865, 18.99516296, -20.49108505, 7.07395506, -52.64542389, 100.80983734, 32.85874176, -146.44570923, -0.03220346, -0.38593575, 0.65561068, 0.64822161, 0.19106641, 0.07530518, 0.00701874, 100.29300690, 86.26172638, 29.31999969, 0.00000000
1, 0.0252, 5, 0.35607910, -0.90209961, 0.15179443, 6.15015841, 5.89804888, 19.87016487, -20.49108505, 7.07395506, -52.64542389, 100.84722137, 32.75562286, -146.43345642, -0.03157629, -0.38552529, 0.65612727, 0.64797401, 0.18536049, 0.07635708, 0.00629483, 100.29300690, 86.26172638, 29.31999969, 0.00000000
1, 0.1049, 3, -0.07436231, -0.89929366, 0.08584528, -3.91741419, -18.49636841, -99.74313354, -18.24028015, 7.89242887, -60.68400955, 98.92758179, 8.60232067, -7.50615406, -0.64297748, 0.75942010, -0.00096726, -0.09929893, 0.22162630, -0.07791167, 0.06609194, 100.41700745, 75.85894775, 30.21999931, 0.00000000
1, 0.1099, 4, -0.07343664, -0.89449728, 0.08891378, -2.45438933, -18.20786095, -96.70534515, -18.24028015, 7.89242887, -60.68400955, 98.91165161, 9.09405231, -7.52212477, -0.64264119, 0.75926203, 0.00173230, -0.10261875, 0.22916573, -0.08147819, 0.06251521, 100.41700745, 75.85894775, 30.21999931, 0.00000000
1, 0.1149, 5, -0.07702830, -0.89677918, 0.07150703, -1.12596786, -18.42212486, -93.08192444, -18.24028015, 7.89242887, -60.68400955, 98.90163422, 9.56807041, -7.54210854, -0.64226538, 0.75912732, 0.00430018, -0.10584226, 0.24104622, -0.07787762, 0.07950567, 100.41700745, 75.85894775, 30.21999931, 0.00000000
1, 0.1199, 6, -0.07944278, -0.90506589, 0.07621058, 0.30705351, -18.33550072, -88.89184570, -16.92487526, 8.15550995, -60.80093384, 98.89815521, 10.02132034, -7.56500149, -0.64185059, 0.75902164, 0.00672516, -0.10894383, 0.25134015, -0.06828292, 0.07448518, 100.41700745, 75.85894775, 30.21999931, 0.00000000
1, 0.1249, 7, -0.06943708, -0.91545570, 0.10245719, 1.58300912, -19.48567200, -82.55600739, -16.92487526, 8.15550995, -60.80093384, 98.89907074, 10.44416332, -7.59862375, -0.64141411, 0.75893760, 0.00890228, -0.11190453, 0.24864060, -0.05663509, 0.04804857, 100.41700745, 75.85894775, 30.21999931, 0.00000000
1, 0.1299, 8, -0.05550514, -0.92520154, 0.15840848, 4.02244473, -25.58139420, -75.82706451, -17.12949371, 8.62320995, -60.85939789, 98.90538025, 10.83845997, -7.66816235, -0.64092320, 0.75888520, 0.01067397, -0.11487786, 0.24148574, -0.04569697, -0.00799993, 100.41700745, 75.85894775, 30.21999931, 0.00000000
1, 0.0452, 6, 0.40161133, -0.87677002, 0.13360596, 3.66515756, 8.38304901, 22.88016510, -20.34492874, 6.89856768, -52.87927628, 100.97499847, 32.29812241, -146.35231018, -0.02851153, -0.38387048, 0.65810764, 0.64708966, 0.13315974, 0.04720641, 0.02715459, 100.29300690, 86.26172638, 29.31999969, 0.00000000
1, 0.0502, 7, 0.41400146, -0.86737061, 0.13226318, 4.26015806, 8.17304897, 23.23016357, -20.34492874, 6.89856768, -52.87927628, 101.00762939, 32.17630386, -146.33105469, -0.02769228, -0.38342860, 0.65862679, 0.64685887, 0.11897618, 0.03678539, 0.02917653, 100.29300690, 86.26172638, 29.31999969, 0.00000000
1, 0.0552, 8, 0.42779541, -0.87347412, 0.13488770, 4.40015793, 7.40304899, 23.51016426, -20.34492874, 6.89856768, -52.87927628, 101.03833008, 32.05384445, -146.31469727, -0.02688957, -0.38295636, 0.65915287, 0.64663655, 0.10337527, 0.04186324, 0.02722589, 100.29300690, 86.26172638, 29.31999969, 0.00000000
1, 0.1349, 9, -0.04751826, -0.94011223, 0.18226385, 4.51663780, -26.99532318, -70.39892578, -17.12949371, 8.62320995, -60.85939789, 98.91163635, 11.20703506, -7.74908638, -0.64043576, 0.75883389, 0.01222397, -0.11774474, 0.23986495, -0.02958291, -0.03194397, 100.41700745, 75.85894775, 30.21999931, 0.00000000
1, 0.1399, 10, -0.04212777, -0.95515013, 0.19786379, 4.26544476, -25.68881416, -65.38716888, -17.12949371, 8.62320995, -60.85939789, 98.91669464, 11.54985332, -7.82741308, -0.63997489, 0.75877756, 0.01364593, -0.12042682, 0.24041450, -0.01337712, -0.04764831, 100.41700745, 75.85894775, 30.21999931, 0.00000000
1, 0.1849, 11, 0.03362164, -0.93274772, 0.10122820, -0.17404856, -4.99814081, -23.16044044, -14.82022762, 9.32475853, -60.88862991, 98.85174561, 13.55367756, -8.19758129, -0.63782871, 0.75781482, 0.02264462, -0.13556698, 0.20000571, -0.02810379, 0.04694054, 100.41700745, 75.85894775, 30.21999931, 0.00000000
1, 0.1899, 12, 0.04801038, -0.92931569, 0.08660889, 0.91756463, -2.88733768, -17.79609299, -14.82022762, 9.32475853, -60.88862991, 98.85593414, 13.64383030, -8.19831848, -0.63769728, 0.75780410, 0.02314664, -0.13615946, 0.18730521, -0.03111162, 0.06157962, 100.41700745, 75.85894775, 30.21999931, 0.00000000
1, 0.0602, 9, 0.44464111, -0.86370850, 0.13690186, 4.15515757, 6.80804920, 23.75516319, -20.57877731, 6.60625553, -52.73311996, 101.06575012, 31.93074608, -146.30215454, -0.02609293, -0.38246009, 0.65967470, 0.64643085, 0.08471081, 0.03106118, 0.02583933, 100.29300690, 86.26172638, 29.31999969, 0.00000000
1, 0.0652, 10, 0.46252441, -0.86303711, 0.13983154, 3.77015805, 6.00304937, 24.00016403, -20.57877731, 6.60625553, -52.73311996, 101.08859253, 31.80721474, -146.29461670, -0.02530611, -0.38193411, 0.66018802, 0.64624906, 0.06499816, 0.02934087, 0.02347866, 100.29300690, 86.26172638, 29.31999969, 0.00000000
1, 0.0702, 11, 0.46960449, -0.85675049, 0.14788818, 3.45515776, 4.63804817, 24.59516525, -20.43262100, 6.95702982, -52.87927628, 101.10529327, 31.68206596, -146.29570007, -0.02453653, -0.38135225, 0.66070002, 0.64609897, 0.05606911, 0.02198207, 0.01590662, 100.29300690, 86.26172638, 29.31999969, 0.00000000
1, 0.0752, 12, 0.47094727, -0.84912109, 0.15344238, 2.89515758, 3.44804788, 24.87516403, -20.43262100, 6.95702982, -52.87927628, 101.11542511, 31.55669975, -146.30397034, -0.02378402, -0.38072899, 0.66119885, 0.64598435, 0.05286068, 0.01325718, 0.01074245, 100.29300690, 86.26172638, 29.31999969, 0.00000000
1, 0.0802, 13, 0.47161865, -0.83648682, 0.17138672, 2.47515726, 0.75304705, 25.92516518, -20.43262100, 6.95702982, -52.87927628, 101.11476135, 31.42877769, -146.32896423, -0.02307267, -0.37999946, 0.66169971, 0.64592695, 0.05029730, -0.00050864, -0.00694179, 100.29300690, 86.26172638, 29.31999969, 0.00000000
1, 0.1302, 14, 0.50061035, -0.84033203, 0.21899414, 5.34515858, -15.41695786, 29.25016594, -20.98801422, 6.31394339, -52.85004425, 100.79103851, 30.13606834, -147.10856628, -0.01782841, -0.36956817, 0.66661811, 0.64708716, 0.00193280, -0.00890842, -0.05700445, 100.29300690, 86.26172638, 29.31999969, 0.00000000
1, 0.1352, 15, 0.49993896, -0.85772705, 0.22827148, 6.43015862, -16.67695999, 29.46016693, -20.52031517, 4.79392004, -52.61619186, 100.75982666, 30.00695419, -147.23504639, -0.01758537, -0.36823502, 0.66726106, 0.64719123, 0.00065330, 0.00728578, -0.06654115, 100.29300690, 86.26172638, 29.31999969, 0.00000000
1, 0.1949, 13, 0.06416835, -0.92896330, 0.07684319, 2.72388959, -1.01803315, -12.27133942, -14.73253441, 9.38322163, -60.80093384, 98.87046814, 13.70527744, -8.19386101, -0.63753623, 0.75786048, 0.02350768, -0.13653807, 0.17233527, -0.03113783, 0.07154000, 100.41700745, 75.85894775, 30.21999931, 0.00000000
1, 0.1999, 14, 0.07259611, -0.93609595, 0.07886102, 4.47196817, -0.13318408, -6.38373518, -14.73253441, 9.38322163, -60.80093384, 98.89378357, 13.73698235, -8.18951035, -0.63735080, 0.75797689, 0.02368861, -0.13672529, 0.16456646, -0.02379276, 0.06986411, 100.41700745, 75.85894775, 30.21999931, 0.00000000
1, 0.2049, 15, 0.07807396, -0.93639398, 0.09080405, 5.66863394, -0.62095541, -0.10120115, -14.73253441, 9.61707115, -60.33323669, 98.89189911, 13.65746784, -8.20270538, -0.63743860, 0.75799984, 0.02315229, -0.13628002, 0.15852398, -0.02361080, 0.05815834, 100.41700745, 75.85894775, 30.21999931, 0.00000000
