SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.27624968, -0.53507102, 0.05247691, -15.56410313, 44.00144577, -46.17430496, -35.54516220, 8.47705364, -66.91026306, 99.49224854, -15.20745564, 6.52691603, -0.63370651, 0.76011854, -0.04229964, 0.13728356, 0.01300882, -0.41646445, 0.10570613, 100.00600433, 110.37925720, 32.46999741, 0.00000000
1, 0.0050, 1, -0.27832070, -0.56107044, 0.09765002, -18.21321869, 46.91817093, -52.59076691, -35.42823792, 7.36626720, -66.50102234, 99.32657623, -14.98616886, 6.81073761, -0.63471353, 0.75942391, -0.03936914, 0.13734724, 0.01852593, -0.39193758, 0.05794994, 100.00600433, 110.37925720, 32.46999741, 0.00000000
1, 0.0150, 2, -0.23123771, -0.63626552, 0.08379572, -23.17116737, 51.42900848, -63.88219833, -35.80824280, 7.62934828, -66.99795532, 98.95190430, -14.46115685, 7.42194128, -0.63705641, 0.75780034, -0.03280283, 0.13719246, -0.01988461, -0.31995875, 0.06605000, 100.00600433, 110.37925720, 32.46999741, 0.00000000
1, 0.0200, 3, -0.19238998, -0.66392279, 0.04648998, -26.50214386, 55.08132935, -69.25593567, -35.80824280, 7.62934828, -66.99795532, 98.73567963, -14.16113091, 7.75717163, -0.63842654, 0.75682288, -0.02914357, 0.13704495, -0.05367417, -0.29405028, 0.10007795, 100.00600433, 110.37925720, 32.46999741, 0.00000000
1, 0.0250, 4, -0.13567716, -0.68368924, 0.00745920, -29.36064911, 57.83856964, -74.90238953, -35.80824280, 7.62934828, -66.99795532, 98.50279999, -13.83399391, 8.10908318, -0.63991785, 0.75574285, -0.02523808, 0.13682494, -0.10487252, -0.27614775, 0.13558774, 100.00600433, 110.37925720, 32.46999741, 0.00000000
1, 0.0300, 5, -0.06823172, -0.69826841, -0.05483077, -31.52239799, 55.71264648, -81.48030090, -35.16515732, 8.18474102, -67.17333984, 98.26294708, -13.47140408, 8.45312977, -0.64150530, 0.75460708, -0.02118821, 0.13634595, -0.16617677, -0.26350936, 0.19422626, 100.00600433, 110.37925720, 32.46999741, 0.00000000
1, 0.0350, 6, 0.00291033, -0.71613097, -0.08354457, -31.43310356, 49.65066528, -88.70647430, -35.16515732, 8.18474102, -67.17333984, 98.03205872, -13.06741333, 8.76945305, -0.64311421, 0.75350040, -0.01706986, 0.13546212, -0.23056211, -0.24773814, 0.21938688, 100.00600433, 110.37925720, 32.46999741, 0.00000000
1, 0.0400, 7, 0.07571591, -0.75590158, -0.04168541, -31.68837547, 45.51199722, -96.37313080, -35.10669327, 7.27857351, -67.67027283, 97.80603027, -12.62140942, 9.06790733, -0.64476001, 0.75239909, -0.01281743, 0.13422365, -0.29606673, -0.21025695, 0.17406605, 100.00600433, 110.37925720, 32.46999741, 0.00000000
1, 0.0450, 8, 0.10385986, -0.78207040, 0.01838901, -33.27219772, 44.61043930, -107.34580231, -35.10669327, 7.27857351, -67.67027283, 97.57431030, -12.11929035, 9.36683750, -0.64650548, 0.75124496, -0.00823984, 0.13264216, -0.31599855, -0.18655115, 0.11037529, 100.00600433, 110.37925720, 32.46999741, 0.00000000
1, 0.0500, 9, 0.06776988, -0.78454435, 0.05375257, -39.73533249, 44.32102203, -117.99640656, -35.10669327, 7.27857351, -67.67027283, 97.31092072, -11.55680466, 9.66927147, -0.64852029, 0.74988377, -0.00332005, 0.13070898, -0.27071667, -0.18665212, 0.07087245, 100.00600433, 110.37925720, 32.46999741, 0.00000000
