SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.22628386, -0.65247858, -0.17264761, 33.87582397, -7.79621649, -62.78702927, -53.20081711, 6.34317446, -72.52265167, 81.56292725, -19.44294739, -6.00068045, 0.75108325, -0.63622111, 0.16138317, -0.07107872, -0.10746741, -0.27942336, 0.03188854, 99.95400238, 114.75510406, 28.86999893, 0.00000000
1, 0.0250, 1, -0.20892423, -0.75164902, -0.13919291, 43.95178223, -5.72337437, -89.11997223, -52.00233841, 6.22624969, -71.64571381, 82.72620392, -17.49534607, -6.48192453, 0.74630195, -0.64564371, 0.15088706, -0.05840192, -0.09320845, -0.19347689, 0.01573831, 99.95400238, 114.75510406, 28.86999893, 0.00000000
1, 0.0300, 2, -0.21709488, -0.75558770, -0.14319246, 45.67840958, -5.29782391, -93.19786835, -51.56386948, 4.79392004, -71.09032440, 82.97986603, -17.03585434, -6.57102108, 0.74521595, -0.64774507, 0.14831875, -0.05550874, -0.07745855, -0.19240814, 0.02357346, 99.95400238, 114.75510406, 28.86999893, 0.00000000
1, 0.0350, 3, -0.23035690, -0.76105905, -0.14884572, 47.97132111, -4.56226873, -96.92504883, -51.56386948, 4.79392004, -71.09032440, 83.24317169, -16.55700874, -6.65628910, 0.74406302, -0.64992934, 0.14561248, -0.05252834, -0.05626775, -0.18984404, 0.03321798, 99.95400238, 114.75510406, 28.86999893, 0.00000000
1, 0.0400, 4, -0.24222615, -0.77105832, -0.15513995, 50.18881607, -3.44695091, -100.53707123, -51.56386948, 4.79392004, -71.09032440, 83.51510620, -16.05917549, -6.73544836, 0.74284554, -0.65219069, 0.14275919, -0.04947472, -0.03612762, -0.18277800, 0.04366784, 99.95400238, 114.75510406, 28.86999893, 0.00000000
1, 0.0450, 5, -0.24268354, -0.78012741, -0.14991163, 52.29857254, -2.22982502, -104.07518768, -50.77462769, 5.58316278, -71.58725739, 83.79500580, -15.54268456, -6.80768013, 0.74156493, -0.65452343, 0.13975750, -0.04635253, -0.02709245, -0.17667508, 0.04278579, 99.95400238, 114.75510406, 28.86999893, 0.00000000
1, 0.0500, 6, -0.23198953, -0.79154980, -0.13322490, 54.23574448, -1.62249267, -108.39678192, -50.77462769, 5.58316278, -71.58725739, 84.08292389, -15.00402641, -6.87634659, 0.74022186, -0.65692586, 0.13660516, -0.04311798, -0.02887563, -0.16824649, 0.03062594, 99.95400238, 114.75510406, 28.86999893, 0.00000000
1, 0.0550, 7, -0.22552744, -0.79562402, -0.12792048, 56.03361511, -1.00830805, -111.59478760, -49.45922089, 4.15083313, -70.97339630, 84.37802124, -14.44879723, -6.94054794, 0.73881578, -0.65938514, 0.13333410, -0.03980676, -0.02605044, -0.16713864, 0.02998545, 99.95400238, 114.75510406, 28.86999893, 0.00000000
1, 0.0600, 8, -0.21642891, -0.80749261, -0.12581642, 58.84813309, 0.70747918, -115.34029388, -49.45922089, 4.15083313, -70.97339630, 84.68407440, -13.87375450, -6.99465179, 0.73732269, -0.66193342, 0.12989098, -0.03643883, -0.02549685, -0.15822148, 0.03277031, 99.95400238, 114.75510406, 28.86999893, 0.00000000
1, 0.0650, 9, -0.21079424, -0.82619035, -0.12924257, 60.62831497, 2.94183183, -117.83346558, -49.45922089, 4.15083313, -70.97339630, 84.99526978, -13.28497314, -7.03515339, 0.73577088, -0.66452783, 0.12629670, -0.03306375, -0.02119581, -0.14241236, 0.04119265, 99.95400238, 114.75510406, 28.86999893, 0.00000000
