SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.25176600, -0.93694258, 0.29076385, 17.74103546, -2.89513445, 6.73585653, -29.20198822, 13.12481689, -56.94241333, 104.64357758, -13.76298714, -58.92908859, -0.57498193, 0.64810205, -0.45026317, -0.21592309, 0.01325777, -0.00340321, -0.04775390, 100.00700378, 110.29517365, 30.92000008, 0.00000000
1, 0.0050, 1, -0.22587045, -0.93274045, 0.30400434, 17.79740143, -1.67535794, 6.72916031, -29.20198822, 13.12481689, -56.94241333, 104.74381256, -13.79107189, -58.94821548, -0.57445800, 0.64843619, -0.45067799, -0.21544838, -0.01316061, -0.00709523, -0.05936569, 100.00700378, 110.29517365, 30.92000008, 0.00000000
1, 0.0100, 2, -0.22082435, -0.93778515, 0.30370554, 17.69144440, -1.74509168, 6.69379520, -29.28968048, 12.89096737, -57.14703369, 104.83650208, -13.82102489, -58.96561050, -0.57398516, 0.64873260, -0.45107609, -0.21498244, -0.01869857, -0.00151697, -0.05751465, 100.00700378, 110.29517365, 30.92000008, 0.00000000
1, 0.0150, 3, -0.22181275, -0.94701862, 0.30061018, 17.33466721, -1.61319351, 6.87674189, -29.28968048, 12.89096737, -57.14703369, 104.92732239, -13.85200214, -58.98261642, -0.57352650, 0.64901739, -0.45147234, -0.21451500, -0.01821972, 0.00824197, -0.05297171, 100.00700378, 110.29517365, 30.92000008, 0.00000000
1, 0.0200, 4, -0.21847855, -0.95489097, 0.31313923, 17.08280182, -1.27733099, 7.30857992, -29.26045036, 13.06635475, -57.43934631, 105.01665497, -13.88547325, -58.99858093, -0.57308507, 0.64929008, -0.45186970, -0.21403201, -0.02213982, 0.01661809, -0.06407247, 100.00700378, 110.29517365, 30.92000008, 0.00000000
1, 0.0250, 5, -0.21188745, -0.96215832, 0.34437937, 16.72372246, -0.87530303, 7.84851551, -29.26045036, 13.06635475, -57.43934631, 105.10391235, -13.92204762, -59.01333237, -0.57266641, 0.64954656, -0.45226872, -0.21353106, -0.02941809, 0.02436589, -0.09390995, 100.00700378, 110.29517365, 30.92000008, 0.00000000
1, 0.0750, 6, -0.10388494, -0.99631333, 0.47899312, 10.67224503, -2.80290604, 10.54356956, -29.43583679, 13.62174797, -56.91318130, 105.80849457, -14.39987278, -58.98502350, -0.57006896, 0.65158182, -0.45538232, -0.20758021, -0.14582004, 0.06347655, -0.21720703, 100.00700378, 110.29517365, 30.92000008, 0.00000000
1, 0.0800, 7, -0.19103083, -0.93808270, 0.25482222, 5.41763449, -12.11009884, 11.86080933, -29.43583679, 13.62174797, -56.91318130, 105.85485077, -14.44045925, -59.06177902, -0.56978118, 0.65137190, -0.45606962, -0.20752048, -0.05880156, 0.00599405, 0.00754003, 100.00700378, 110.29517365, 30.92000008, 0.00000000
1, 0.0850, 8, -0.24032044, -0.94442189, 0.25649941, 9.55882549, -1.46624434, 12.51747227, -29.55276108, 11.31248188, -56.44548416, 105.90898895, -14.49857903, -59.08662033, -0.56959289, 0.65134829, -0.45654744, -0.20706005, -0.01040419, 0.01280124, 0.00654865, 100.00700378, 110.29517365, 30.92000008, 0.00000000
1, 0.0900, 9, -0.18303926, -0.93905282, 0.34413430, 10.66333008, 13.13255882, 12.74622631, -29.55276108, 11.31248188, -56.44548416, 105.95057678, -14.57768822, -59.03929520, -0.56966543, 0.65147960, -0.45667788, -0.20615748, -0.06917878, 0.00780984, -0.08031107, 100.00700378, 110.29517365, 30.92000008, 0.00000000
