SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0001, 0, -0.01799973, -0.99078190, 0.12770648, -0.13436975, 0.00438458, -0.14113215, -32.44665146, 8.79859638, -69.45337677, 97.47107697, -1.23440337, 106.69309235, 0.38720685, -0.45440286, -0.59876162, -0.53392261, -0.00387590, -0.00070860, 0.00062432, 100.31000519, 84.83507538, 33.43999863, 0.00000000
1, 0.0101, 1, -0.02011424, -0.99049544, 0.12504628, -0.02574399, -0.13598585, -0.05823027, -32.15433884, 7.83396673, -68.69336700, 97.47084808, -1.23365164, 106.69182587, 0.38721770, -0.45440531, -0.59875822, -0.53391671, -0.00173712, -0.00099116, 0.00327874, 100.31000519, 84.83507538, 33.43999863, 0.00000000
1, 0.0201, 2, -0.02030739, -0.98924577, 0.12604362, 0.04737082, -0.29282629, -0.02784717, -32.76819611, 8.71090317, -69.10260010, 97.47138214, -1.23299754, 106.68894958, 0.38723242, -0.45441914, -0.59875154, -0.53390163, -0.00152972, -0.00224367, 0.00227718, 100.31000519, 84.83507538, 33.43999863, 0.00000000
1, 0.0301, 3, -0.02205586, -0.98992038, 0.12676497, -0.02658142, -0.06636820, -0.05656023, -32.50511551, 8.79859638, -68.60566711, 97.47182465, -1.23337173, 106.68949127, 0.38722616, -0.45441952, -0.59875447, -0.53390259, 0.00021779, -0.00156842, 0.00156396, 100.31000519, 84.83507538, 33.43999863, 0.00000000
1, 0.0401, 4, -0.02122682, -0.99012160, 0.12788205, 0.13481158, -0.18593992, -0.09651696, -32.50511551, 8.79859638, -68.60566711, 97.47319794, -1.23216581, 106.68776703, 0.38723513, -0.45442763, -0.59875822, -0.53388494, -0.00060436, -0.00136657, 0.00046932, 100.31000519, 84.83507538, 33.43999863, 0.00000000
1, 0.0501, 5, -0.01836652, -0.99000025, 0.12912032, -0.02286551, -0.37923068, -0.08159085, -33.08974075, 8.65244102, -68.22566223, 97.47304535, -1.23087811, 106.68410492, 0.38725960, -0.45444033, -0.59874749, -0.53386837, -0.00344771, -0.00149053, -0.00076347, 100.31000519, 84.83507538, 33.43999863, 0.00000000
1, 0.0601, 6, -0.02041742, -0.99079812, 0.12977950, 0.10218120, -0.39844593, 0.03904201, -32.62203979, 8.85705948, -68.31335449, 97.47415924, -1.23075676, 106.68011475, 0.38727444, -0.45446447, -0.59873730, -0.53384858, -0.00138737, -0.00069058, -0.00140267, 100.31000519, 84.83507538, 33.43999863, 0.00000000
1, 0.0701, 7, -0.02312504, -0.98841155, 0.12919785, -0.00147252, -0.67536438, -0.07139555, -33.06050873, 8.62320995, -68.22566223, 97.47429657, -1.22918022, 106.67351532, 0.38731301, -0.45449218, -0.59871727, -0.53381950, 0.00134129, -0.00307747, -0.00083065, 100.31000519, 84.83507538, 33.43999863, 0.00000000
1, 0.0801, 8, -0.02439329, -0.98951757, 0.12790446, -0.05655508, -0.18345439, -0.00159880, -32.53434753, 9.03244686, -68.83952332, 97.47312164, -1.23890030, 106.67137909, 0.38727611, -0.45454383, -0.59866935, -0.53385597, 0.00257604, -0.00196822, 0.00046108, 100.31000519, 84.83507538, 33.43999863, 0.00000000
1, 0.0901, 9, -0.02251702, -0.99068785, 0.12933300, 0.11895572, -0.39224982, -0.10068478, -32.53434753, 9.03244686, -68.83952332, 97.47438812, -1.23738027, 106.66761017, 0.38729665, -0.45456076, -0.59866560, -0.53383076, 0.00058708, -0.00079921, -0.00097492, 100.31000519, 84.83507538, 33.43999863, 0.00000000
1, 0.1001, 10, -0.02008145, -0.98903978, 0.12887165, -0.22140373, -0.20214167, -0.16192512, -32.53434753, 6.46009922, -68.78105927, 97.47219849, -1.23552012, 106.66580963, 0.38732362, -0.45455435, -0.59865481, -0.53382891, -0.00181926, -0.00244870, -0.00051696, 100.31000519, 84.83507538, 33.43999863, 0.00000000
1, 0.1101, 11, -0.02106041, -0.98922157, 0.12720075, -0.13181475, -0.22250769, -0.00581620, -31.97895241, 8.44782257, -68.69336700, 97.47094727, -1.23517859, 106.66361237, 0.38734066, -0.45456004, -0.59864140, -0.53382671, -0.00081554, -0.00226774, 0.00112739, 100.31000519, 84.83507538, 33.43999863, 0.00000000
1, 0.1201, 12, -0.02345739, -0.98965740, 0.12659256, -0.12946002, -0.43010956, -0.06337273, -32.68050385, 8.71090317, -68.02104950, 97.46972656, -1.23399138, 106.65943146, 0.38737127, -0.45457235, -0.59862334, -0.53381437, 0.00159716, -0.00183479, 0.00170125, 100.31000519, 84.83507538, 33.43999863, 0.00000000
1, 0.1301, 13, -0.02324872, -0.99004138, 0.12500487, -0.13144857, -0.25689948, -0.02416670, -33.03127670, 8.91552162, -67.90412140, 97.44676971, -1.23280096, 106.62621307, 0.38762337, -0.45466274, -0.59838879, -0.53381735, 0.00140632, -0.00146247, 0.00318216, 100.31000519, 84.83507538, 33.43999863, 0.00000000
1, 0.1401, 14, -0.02135422, -0.99047196, 0.12602279, -0.17088550, 0.04116113, -0.12171683, -31.97895241, 7.71704149, -68.02104950, 97.44505310, -1.23165679, 106.62679291, 0.38763356, -0.45464867, -0.59838706, -0.53382385, -0.00046491, -0.00107553, 0.00185230, 100.31000519, 84.83507538, 33.43999863, 0.00000000
1, 0.1501, 15, -0.02250850, -0.98987949, 0.12737474, -0.13689326, 0.16414283, -0.15427037, -31.97895241, 7.71704149, -68.02104950, 97.44363403, -1.23033500, 106.62860107, 0.38763773, -0.45462841, -0.59839225, -0.53383219, 0.00070601, -0.00167338, 0.00047783, 100.31000519, 84.83507538, 33.43999863, 0.00000000
1, 0.1601, 16, -0.02566227, -0.98816824, 0.12687232, -0.00729390, -0.25328889, -0.13081764, -33.08974075, 4.82315111, -68.22566223, 97.44362640, -1.22870910, 106.62625885, 0.38765728, -0.45463312, -0.59838855, -0.53381807, 0.00389062, -0.00338571, 0.00096511, 100.31000519, 84.83507538, 33.43999863, 0.00000000
