SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.08815493, -1.06264770, -0.06119104, 10.63688564, -10.89774418, 44.83256912, -35.66208649, 5.99239969, -70.91493988, 93.28259277, -19.39029121, 4.03822708, -0.67202401, 0.72031409, -0.09029868, 0.14621085, -0.24279404, 0.12068086, 0.11295091, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.0050, 1, -0.06288546, -1.08462107, -0.05891518, 9.44959259, -9.94917202, 44.06409073, -35.66208649, 5.99239969, -70.91493988, 93.35236359, -19.60734367, 3.97240019, -0.67140228, 0.72048235, -0.09191180, 0.14722960, -0.27165607, 0.14398213, 0.11180423, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.0100, 2, -0.03343685, -1.09259391, -0.05813748, 8.27381706, -9.91063499, 43.48408890, -35.98363113, 5.84624386, -71.06109619, 93.41645813, -19.82145500, 3.90659976, -0.67081863, 0.72061527, -0.09351286, 0.14822735, -0.30463737, 0.15327612, 0.11208552, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.0150, 3, -0.00846552, -1.09859538, -0.06034330, 7.60010910, -10.18428040, 43.03046036, -35.98363113, 5.84624386, -71.06109619, 93.47798920, -20.03316689, 3.83915067, -0.67025554, 0.72072935, -0.09511177, 0.14919995, -0.33308756, 0.16059926, 0.11528206, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.0200, 4, 0.01586115, -1.11115611, -0.06304134, 7.03675079, -10.80089188, 42.39199829, -35.98363113, 5.84624386, -71.06109619, 93.53810120, -20.24144745, 3.76829648, -0.66970909, 0.72083086, -0.09671205, 0.15013164, -0.36083698, 0.17447653, 0.11893427, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.0250, 5, 0.03435458, -1.11573946, -0.06884249, 6.19224167, -11.66703606, 41.89137268, -35.57439423, 5.90470600, -71.09032440, 93.59587097, -20.44690323, 3.69266534, -0.66918647, 0.72091269, -0.09832722, 0.15101732, -0.38268977, 0.18037364, 0.12564880, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.0300, 6, 0.04037173, -1.11130691, -0.06853157, 5.71466637, -13.43838024, 41.50470734, -35.57439423, 5.90470600, -71.09032440, 93.65489960, -20.64981461, 3.60739946, -0.66867131, 0.72099131, -0.09998487, 0.15183355, -0.39203575, 0.17724264, 0.12623826, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.0350, 7, 0.02879202, -1.10417593, -0.06938485, 5.51688623, -14.76051331, 41.37055588, -35.57439423, 5.90470600, -71.09032440, 93.71582031, -20.85157013, 3.51477814, -0.66815495, 0.72107077, -0.10167794, 0.15260290, -0.38374954, 0.17141901, 0.12798095, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.0400, 8, 0.01613732, -1.10602057, -0.06658533, 5.57190847, -16.61484909, 40.27408600, -36.53902435, 5.93393755, -70.56416321, 93.77135468, -21.02081299, 3.41487026, -0.66772336, 0.72113943, -0.10323086, 0.15312409, -0.37410483, 0.17446542, 0.12603295, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.0700, 9, 0.02658264, -1.08371973, -0.07905635, 7.96840525, -17.11305809, 29.89131546, -37.18210983, 6.72318029, -70.97339630, 94.19067383, -22.02583694, 2.78978872, -0.66463929, 0.72195071, -0.11250857, 0.15615290, -0.40084943, 0.15906003, 0.14478281, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.0750, 10, 0.04841409, -1.09040439, -0.07956444, 8.39356422, -17.53736115, 27.38708496, -37.26980209, 6.48933077, -70.38877106, 94.27247620, -22.15599632, 2.68474889, -0.66409951, 0.72217995, -0.11382109, 0.15643775, -0.42483729, 0.16671398, 0.14657941, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.0800, 11, 0.06003455, -1.08557534, -0.07568013, 8.32492161, -18.37629890, 24.56378937, -37.26980209, 6.48933077, -70.38877106, 94.35552216, -22.27161026, 2.57601857, -0.66357577, 0.72242540, -0.11506931, 0.15661350, -0.43839759, 0.16276349, 0.14400673, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.0850, 12, 0.06052705, -1.07513630, -0.08221786, 8.36369991, -19.31453896, 21.56149673, -37.18210983, 6.19701815, -71.06109619, 94.44046783, -22.37176514, 2.46317625, -0.66306567, 0.72269195, -0.11624993, 0.15667251, -0.44055298, 0.15312564, 0.15186861, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.0900, 13, 0.06297743, -1.05105674, -0.08648730, 8.57494450, -20.01982880, 17.61615181, -37.18210983, 6.19701815, -71.06109619, 94.50902557, -22.40496635, 2.35357189, -0.66274035, 0.72293979, -0.11704148, 0.15631610, -0.44400465, 0.12956508, 0.15739223, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.0950, 14, 0.06396136, -1.04452562, -0.07980063, 9.18764019, -21.46429443, 14.13881016, -37.18210983, 6.19701815, -71.06109619, 94.60158539, -22.46698380, 2.23187184, -0.66224289, 0.72327995, -0.11804491, 0.15609595, -0.44570819, 0.12341621, 0.15200210, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.1000, 15, 0.06640966, -1.03946364, -0.06470415, 9.83965778, -23.50497437, 9.38487625, -37.26980209, 6.25548077, -70.88570404, 94.70094299, -22.50430870, 2.10105944, -0.66174608, 0.72367603, -0.11895299, 0.15567696, -0.44887525, 0.11873841, 0.13848105, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.1050, 16, 0.07658786, -1.03479075, -0.04775774, 9.62948513, -24.66574097, 5.39898777, -37.26980209, 6.25548077, -70.88570404, 94.80101013, -22.52107048, 1.96563351, -0.66127646, 0.72409338, -0.11977035, 0.15510465, -0.45945060, 0.11431745, 0.12316439, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.1100, 17, 0.08370868, -1.02820611, -0.04060427, 9.20363331, -25.65269470, 1.34988272, -37.53288651, 6.43086815, -70.53492737, 94.90027618, -22.51705742, 1.82666540, -0.66084164, 0.72452497, -0.12049136, 0.15438181, -0.46660596, 0.10786302, 0.11763707, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.1150, 18, 0.08984695, -1.01886654, -0.03958911, 8.81585884, -26.81671715, -2.56371856, -37.53288651, 6.43086815, -70.53492737, 94.99922180, -22.49281502, 1.68324351, -0.66043884, 0.72497249, -0.12112483, 0.15350680, -0.47243840, 0.09853148, 0.11825453, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.1350, 19, 0.09815928, -0.98663759, -0.01941803, 8.00904846, -31.60349274, -19.77301025, -36.36363602, 5.90470600, -70.94416809, 95.39891052, -22.17751503, 1.06860375, -0.65909958, 0.72699153, -0.12266745, 0.14840417, -0.47607177, 0.06491443, 0.10475367, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.1400, 20, 0.09884613, -0.97772336, -0.00600111, 7.08426619, -32.61800766, -24.30714989, -36.36363602, 5.90470600, -70.94416809, 95.48711395, -22.00480270, 0.90764827, -0.65895057, 0.72753167, -0.12257850, 0.14648011, -0.47438890, 0.05514845, 0.09295012, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.1450, 21, 0.10571092, -0.96497643, 0.00255091, 5.65604162, -33.52981186, -30.40978050, -36.36363602, 5.90470600, -70.94416809, 95.57637024, -21.83748245, 0.74329978, -0.65878659, 0.72806770, -0.12254396, 0.14457062, -0.47842270, 0.04137729, 0.08594930, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.1500, 22, 0.10915907, -0.95467246, 0.00274358, 4.76577282, -34.50420380, -35.15372086, -36.42210007, 6.63548660, -70.35954285, 95.66149902, -21.64585304, 0.57665604, -0.65867305, 0.72860628, -0.12239225, 0.14248812, -0.47886366, 0.03001267, 0.08728869, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.1550, 23, 0.10943577, -0.94687569, -0.00518217, 3.66179967, -35.76124191, -41.26871109, -36.42210007, 6.63548660, -70.35954285, 95.74158478, -21.42297554, 0.40703458, -0.65862286, 0.72914946, -0.12208903, 0.14018303, -0.47560751, 0.02097591, 0.09667438, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.1600, 24, 0.10385042, -0.94249904, -0.00513783, 2.77027225, -36.69415665, -46.29205704, -36.18824768, 6.46009922, -69.89184570, 95.81708527, -21.17444611, 0.23570187, -0.65862322, 0.72969460, -0.12165797, 0.13769811, -0.46608639, 0.01519322, 0.09802003, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.1650, 25, 0.09912623, -0.94704759, -0.00266099, 1.95458114, -38.01016235, -51.29045486, -36.18824768, 6.46009922, -69.89184570, 95.88906860, -20.90019798, 0.06068244, -0.65866792, 0.73024523, -0.12111005, 0.13502213, -0.45700753, 0.01818376, 0.09687142, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.1700, 26, 0.09270485, -0.94984663, 0.00453355, 1.06996441, -39.47021103, -56.11614227, -36.18824768, 6.46009922, -69.89184570, 95.95729065, -20.60100555, -0.11879100, -0.65875661, 0.73079789, -0.12045497, 0.13215485, -0.44582438, 0.01927931, 0.09097068, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.1750, 27, 0.08519791, -0.95446992, 0.00884048, -0.03043760, -40.75560379, -61.04008102, -35.25284958, 6.60625553, -70.15492249, 96.02025604, -20.27649307, -0.30165753, -0.65889579, 0.73134500, -0.11968547, 0.12909789, -0.43312860, 0.02206949, 0.08788293, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.1800, 28, 0.08138753, -0.96174121, 0.01612009, -1.31388938, -41.65468979, -66.16279602, -35.25284958, 6.60625553, -70.15492249, 96.07610321, -19.92587471, -0.48569459, -0.65909344, 0.73187864, -0.11878473, 0.12585667, -0.42369920, 0.02736740, 0.08174315, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.2150, 29, 0.09189714, -1.01124597, 0.06108997, -10.01216793, -47.54742813, -99.73745728, -32.85588837, 6.75241137, -70.09646606, 96.26320648, -16.77669716, -1.79988587, -0.66190696, 0.73509294, -0.10892378, 0.09825119, -0.38289249, 0.06008498, 0.04184921, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.2200, 30, 0.09132648, -1.01456356, 0.05981123, -11.26224422, -48.05100632, -103.90475464, -32.85588837, 6.75241137, -70.09646606, 96.25984955, -16.23450661, -1.99081635, -0.66248387, 0.73545104, -0.10703522, 0.09365076, -0.37334046, 0.06073480, 0.04339062, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.2250, 31, 0.08200464, -1.02055693, 0.06221388, -12.01088333, -48.79882050, -107.87394714, -31.92049026, 5.84624386, -69.51184082, 96.25125885, -15.67220879, -2.18291497, -0.66308057, 0.73578960, -0.10504143, 0.08890551, -0.35467732, 0.06403047, 0.04112539, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.2300, 32, 0.06922391, -1.02753878, 0.07359880, -12.82541084, -49.93516541, -111.64125061, -31.92049026, 5.84624386, -69.51184082, 96.23758698, -15.09062862, -2.37836146, -0.66369462, 0.73610556, -0.10296024, 0.08400849, -0.33222467, 0.06829205, 0.02978055, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.2350, 33, 0.05006393, -1.03603590, 0.09189980, -13.73814392, -51.70652390, -115.10695648, -30.54662323, 4.09237051, -70.12569427, 96.21910858, -14.49093437, -2.58063173, -0.66432321, 0.73639488, -0.10081968, 0.07894748, -0.30307347, 0.07406589, 0.01142288, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.2400, 34, 0.02552680, -1.04116023, 0.10178086, -14.80579376, -52.40258789, -118.43991089, -30.54662323, 4.09237051, -70.12569427, 96.19329834, -13.86720657, -2.78443313, -0.66497922, 0.73665226, -0.09855245, 0.07371301, -0.26814568, 0.07648524, 0.00135990, 99.96300507, 113.99741364, 32.32999802, 0.00000000
1, 0.2450, 35, 0.00077760, -1.05261993, 0.10230375, -15.81435490, -52.08939362, -121.71451569, -30.54662323, 4.09237051, -70.12569427, 96.15959930, -13.23465919, -2.98451948, -0.66565222, 0.73686326, -0.09621161, 0.06843387, -0.23267716, 0.08528587, 0.00050436, 99.96300507, 113.99741364, 32.32999802, 0.00000000
