SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.24313536, -0.88151014, 0.10042187, 34.48772812, -23.95171738, -157.01405334, -37.12364578, 6.22624969, -69.92107391, 92.69728088, -20.09351730, -117.01358795, -0.46269777, 0.26950541, -0.67042077, -0.51362795, -0.10392758, -0.05558376, -0.05915377, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.0250, 1, -0.25805217, -0.96958911, 0.12375429, 38.55706024, -14.43668938, -174.78576660, -33.90821457, 5.52470016, -69.39491272, 93.68018341, -15.84967995, -117.23355865, -0.43867555, 0.29572558, -0.66589755, -0.52601397, -0.01906501, 0.01039582, -0.06512895, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.0300, 2, -0.27359274, -0.98350000, 0.11429664, 39.48749924, -12.58615971, -177.55767822, -33.90821457, 5.52470016, -69.39491272, 93.87699890, -14.95919037, -117.23951721, -0.43370661, 0.30132917, -0.66472709, -0.52842897, 0.01140924, 0.02037590, -0.05216149, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.0350, 3, -0.28404871, -0.99539065, 0.10644165, 40.79980469, -9.96552086, -180.35113525, -32.73896408, 6.48933077, -68.98567963, 94.07582855, -14.05564213, -117.22775269, -0.42870408, 0.30707967, -0.66345769, -0.53079069, 0.03708041, 0.02852240, -0.04074129, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.0400, 4, -0.28868258, -1.00281811, 0.10740326, 42.35321045, -6.68212938, -183.09683228, -32.73896408, 6.48933077, -68.98567963, 94.27762604, -13.13958454, -117.19493866, -0.42368346, 0.31299445, -0.66208196, -0.53308010, 0.05718577, 0.03239575, -0.03805103, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.0450, 5, -0.27893209, -1.00844502, 0.11053998, 43.43131256, -2.32378387, -185.81085205, -32.73896408, 6.48933077, -68.98567963, 94.47950745, -12.21173954, -117.13564301, -0.41868159, 0.31908759, -0.66056830, -0.53529280, 0.06316242, 0.03468169, -0.03747255, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.0500, 6, -0.25491041, -1.02211547, 0.11571796, 44.30389023, 1.37212837, -188.57308960, -31.97895241, 7.04472351, -69.39491272, 94.68191528, -11.27176666, -117.05326843, -0.41368017, 0.32534015, -0.65892214, -0.53744233, 0.05512142, 0.04523415, -0.03890829, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.0550, 7, -0.21911493, -1.01457179, 0.12589392, 44.62966537, 3.34399652, -190.80863953, -31.97895241, 7.04472351, -69.39491272, 94.88464355, -10.32174778, -116.95685577, -0.40864825, 0.33168548, -0.65716857, -0.53955626, 0.03553779, 0.03480516, -0.04526190, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.0600, 8, -0.19534712, -1.01065075, 0.12747259, 45.64829636, 3.95766401, -192.80493164, -31.97895241, 7.04472351, -69.39491272, 95.09279633, -9.36236858, -116.85330963, -0.40354186, 0.33809608, -0.65535039, -0.54162812, 0.02822059, 0.02827306, -0.04298253, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.0650, 9, -0.17982657, -1.01795864, 0.10522584, 46.73398209, 5.04510975, -194.19493103, -30.75124168, 6.43086815, -68.92721558, 95.30664063, -8.39691830, -116.74038696, -0.39838696, 0.34456572, -0.65346879, -0.54363668, 0.02936238, 0.03329034, -0.01682887, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.0700, 10, -0.17934281, -1.02949464, 0.07790300, 48.13732910, 6.43784142, -195.12599182, -30.75124168, 6.43086815, -68.92721558, 95.52752686, -7.42845249, -116.61654663, -0.39320233, 0.35108927, -0.65153188, -0.54555887, 0.04566858, 0.04283907, 0.01446749, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.0950, 11, -0.16029988, -1.06784379, 0.10065032, 59.59199142, 9.88050175, -192.21032715, -27.74042702, 7.57088566, -67.64103699, 96.82732391, -2.62765551, -115.86242676, -0.36684877, 0.38411683, -0.64173996, -0.55321431, 0.11006890, 0.07586895, 0.01467393, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.1000, 12, -0.13665953, -1.08169854, 0.11311544, 61.01725006, 9.93442726, -191.03540039, -26.27886581, 7.74627304, -67.81642914, 97.12387848, -1.68457305, -115.69845581, -0.36147410, 0.39065719, -0.63981825, -0.55439699, 0.10287078, 0.08963691, 0.00742406, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.1050, 13, -0.10992141, -1.09557950, 0.12550910, 62.02484512, 9.28253937, -189.62663269, -26.27886581, 7.74627304, -67.81642914, 97.42815399, -0.74892098, -115.53375244, -0.35607049, 0.39712864, -0.63790637, -0.55549824, 0.09246182, 0.10374743, 0.00035904, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.1100, 14, -0.08777697, -1.11889184, 0.14125441, 62.54451752, 7.91752911, -187.70286560, -25.08038521, 7.68781042, -67.78719330, 97.73773193, 0.17719421, -115.37208557, -0.35063976, 0.40349177, -0.63601351, -0.55653661, 0.08648348, 0.12759203, -0.01001065, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.1150, 15, -0.06270496, -1.13603508, 0.15213104, 62.49928284, 6.48344994, -184.54670715, -25.08038521, 7.68781042, -67.78719330, 98.04965973, 1.08776140, -115.21463776, -0.34522101, 0.40970236, -0.63415045, -0.55751204, 0.07733405, 0.14556730, -0.01548487, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.1200, 16, -0.04907492, -1.14982748, 0.14549537, 60.88941956, 2.26437044, -180.56072998, -25.08038521, 7.68781042, -67.78719330, 98.35527802, 1.97968411, -115.07594299, -0.33979377, 0.41564107, -0.63234031, -0.55850559, 0.07938410, 0.16048285, -0.00357684, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.1250, 17, -0.05027897, -1.16024733, 0.13375123, 60.58208847, -0.95583349, -177.09330750, -24.08652496, 8.91552162, -67.26103210, 98.66123962, 2.85706472, -114.95086670, -0.33433819, 0.42137867, -0.63058877, -0.55947816, 0.09598025, 0.17228669, 0.01333361, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.1300, 18, -0.05329062, -1.16141665, 0.13549964, 60.30916595, -4.07212687, -173.58877563, -24.08652496, 8.91552162, -67.26103210, 98.96703339, 3.71879458, -114.83912659, -0.32886562, 0.42691228, -0.62889957, -0.56042725, 0.11407214, 0.17506295, 0.01672377, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.1650, 19, -0.08397491, -1.09034264, 0.16082077, 50.02193832, -17.90456581, -146.44685364, -20.78339577, 10.05553913, -66.06255341, 100.91355133, 9.28491879, -114.38249207, -0.29137594, 0.45977354, -0.61808711, -0.56716561, 0.24176486, 0.12032691, 0.02305184, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.1700, 20, -0.10811751, -1.07975841, 0.13784419, 48.08248138, -17.98999214, -140.64057922, -20.78339577, 10.05553913, -66.06255341, 101.15872955, 9.98845291, -114.33675385, -0.28646874, 0.46369135, -0.61667436, -0.56801307, 0.27826366, 0.11260554, 0.04979362, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.1750, 21, -0.12953548, -1.07727361, 0.12648299, 47.37189484, -17.02568245, -136.05177307, -19.81876564, 10.40631390, -66.15024567, 101.40275574, 10.67287064, -114.28739166, -0.28167307, 0.46750554, -0.61528897, -0.56878680, 0.31153333, 0.11303052, 0.06479143, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.1800, 22, -0.15700759, -1.06801653, 0.12378033, 47.17194748, -13.92349434, -130.36694336, -19.81876564, 10.40631390, -66.15024567, 101.64888000, 11.32613945, -114.22518158, -0.27709493, 0.47122425, -0.61395282, -0.56941026, 0.35032094, 0.10673494, 0.07113443, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.1850, 23, -0.16504785, -1.04482496, 0.13125192, 46.89342880, -10.41652489, -125.61785889, -19.43876076, 9.67553329, -65.39023590, 101.89750671, 11.95233250, -114.14732361, -0.27272436, 0.47488314, -0.61264318, -0.56989098, 0.36917043, 0.08654536, 0.06738794, 99.97400665, 113.07157135, 30.21999931, 0.00000000
1, 0.1900, 24, -0.16529912, -1.02517557, 0.13291752, 46.82086182, -6.15604019, -120.25755310, -19.43876076, 9.67553329, -65.39023590, 102.15060425, 12.54755878, -114.05083466, -0.26859319, 0.47848868, -0.61137205, -0.57020217, 0.37971207, 0.06994251, 0.06950134, 99.97400665, 113.07157135, 30.21999931, 0.00000000
