SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0002, 0, -0.22216809, -0.97171390, 0.27661353, 2.39191079, 16.81655884, 6.74823666, 1.05232382, 8.79859638, -126.51271057, 108.08338165, -11.00971317, 147.49580383, -0.08903060, 0.27956897, 0.75774980, 0.58286363, 0.03074873, 0.03810555, 0.02595166, 100.44400787, 73.59517670, 32.18999863, 0.00000000
1, 0.0002, 0, -0.09344482, -1.02703857, 0.26806641, -2.17492270, 24.69031906, 0.43367282, -3.18620276, 19.46799088, -103.97544098, 88.00804138, 6.56391573, 33.30399704, -0.69939303, 0.65268284, 0.23819998, 0.16767661, 0.20775026, 0.03419364, -0.30261025, 100.36500549, 80.22028351, 31.37999916, 0.00000000
1, 0.0048, 1, -0.20577413, -0.98027742, 0.26618454, 2.45853281, 17.13630867, 6.50964499, 1.14001751, 6.54779291, -126.51271057, 108.08182526, -11.06709862, 147.56858826, -0.08826878, 0.27935651, 0.75780010, 0.58301586, 0.01339433, 0.04686032, 0.03632139, 100.44400787, 73.59517670, 32.18999863, 0.00000000
1, 0.0098, 2, -0.18975876, -0.97451580, 0.27602595, 2.68967366, 18.53921700, 6.18961954, 1.14001751, 6.54779291, -126.51271057, 108.07991028, -11.12512684, 147.64869690, -0.08746596, 0.27909836, 0.75786507, 0.58317614, -0.00363203, 0.04125731, 0.02644190, 100.44400787, 73.59517670, 32.18999863, 0.00000000
1, 0.0052, 1, -0.08123779, -1.02221680, 0.26782227, -2.62992287, 24.86531830, 0.71367294, -3.18620276, 19.46799088, -103.97544098, 88.00920105, 6.56467056, 33.42919540, -0.69920379, 0.65242767, 0.23891906, 0.16843376, 0.19556190, 0.02937296, -0.30233541, 100.36500549, 80.22028351, 31.37999916, 0.00000000
1, 0.0102, 2, -0.07690430, -1.02050781, 0.26440430, -3.78492332, 25.74032021, 1.27367306, -3.18620276, 19.46799088, -103.97544098, 88.00510406, 6.56277800, 33.55888748, -0.69903338, 0.65213591, 0.23964012, 0.16924472, 0.19120429, 0.02766300, -0.29896852, 100.36500549, 80.22028351, 31.37999916, 0.00000000
1, 0.0302, 3, -0.06323242, -1.02136230, 0.29772949, -2.90992284, 32.95032501, 0.74867290, -2.51388478, 19.17568016, -103.47851563, 88.00919342, 6.56145334, 34.16558075, -0.69810241, 0.65088582, 0.24308778, 0.17294243, 0.17749161, 0.02851171, -0.33226293, 100.36500549, 80.22028351, 31.37999916, 0.00000000
1, 0.0352, 4, -0.04333496, -1.02484131, 0.30688477, -2.62992287, 33.23032379, 0.46867281, -2.51388478, 19.17568016, -103.47851563, 88.01516724, 6.56487131, 34.33280945, -0.69782037, 0.65055925, 0.24406655, 0.17392817, 0.15764751, 0.03199345, -0.34132037, 100.36500549, 80.22028351, 31.37999916, 0.00000000
1, 0.0498, 3, -0.17159711, -0.95456266, 0.29051504, 2.49424839, 23.02161789, 6.57936478, 1.28617358, 9.61707115, -125.46038818, 108.02080536, -11.60666752, 148.32539368, -0.08084061, 0.27684689, 0.75820428, 0.58476228, -0.03003504, 0.02254038, 0.01058087, 100.44400787, 73.59517670, 32.18999863, 0.00000000
1, 0.0548, 4, -0.17471026, -0.96236587, 0.28028691, 2.33119869, 21.89530945, 7.01027250, 1.28617358, 9.44168377, -125.28500366, 108.01330566, -11.67367744, 148.42074585, -0.07990965, 0.27652660, 0.75825691, 0.58497351, -0.02804344, 0.03054491, 0.02059342, 100.44400787, 73.59517670, 32.18999863, 0.00000000
