SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.60686499, -1.08897114, 0.20278615, 18.86954880, -59.75553513, 179.23652649, -1.90002918, 6.72318029, -109.64630127, 96.12577057, -33.80398560, -96.90843964, -0.58595580, 0.32662168, -0.66155404, -0.33514240, 0.05310784, 0.26024410, -0.11851878, 100.42400360, 75.27233124, 28.95999908, 0.00000000
1, 0.0050, 1, -0.77536494, -0.98704159, 0.13052095, 28.70694160, -61.98425674, 176.91999817, -1.90002918, 6.72318029, -109.64630127, 96.54647827, -34.64930725, -97.39727783, -0.58632737, 0.32134593, -0.66605651, -0.33064449, 0.20951471, 0.16729933, -0.04161563, 100.42400360, 75.27233124, 28.95999908, 0.00000000
1, 0.0100, 2, -0.93441200, -0.89238489, 0.33660182, 38.33445358, -67.20145416, 175.69163513, -1.90002918, 6.72318029, -109.64630127, 97.04653168, -35.48207474, -97.93012238, -0.58635354, 0.31625530, -0.67076784, -0.32594883, 0.35607088, 0.08138984, -0.24208522, 100.42400360, 75.27233124, 28.95999908, 0.00000000
1, 0.0150, 3, -1.06520414, -0.82503557, 0.55547369, 43.32955170, -80.94806671, 172.60136414, -3.82928967, 6.81087399, -109.88014984, 97.63460541, -36.28660202, -98.55995178, -0.58582234, 0.31116432, -0.67581177, -0.32135242, 0.47479588, 0.02289666, -0.45424682, 100.42400360, 75.27233124, 28.95999908, 0.00000000
1, 0.0500, 4, -0.68353689, -0.36349297, 0.29072598, 23.31480789, -79.39193726, 104.47137451, -9.76322746, 7.98012257, -111.28324890, 101.68672943, -40.52716446, -103.06920624, -0.57875192, 0.28125930, -0.70560324, -0.29675499, 0.03439779, -0.38284767, -0.14056727, 100.42400360, 75.27233124, 28.95999908, 0.00000000
1, 0.0550, 5, -0.68545192, -0.31986913, 0.25867173, 20.79082680, -84.61636353, 94.77468872, -9.76322746, 7.98012257, -111.28324890, 102.23202515, -40.90365601, -103.74392700, -0.57711262, 0.27777189, -0.70916140, -0.29474384, 0.03121126, -0.42059457, -0.10230903, 100.42400360, 75.27233124, 28.95999908, 0.00000000
1, 0.0001, 0, -0.06457520, -1.84069824, 0.41870117, -49.76454544, -115.73464203, -173.35452271, -11.02016926, 30.28354263, -113.53404999, 129.61967468, 37.37425232, 28.09548759, 0.46150345, -0.79845917, -0.34035912, 0.18339372, 0.66798711, 1.22682500, 0.09025155, 100.34500122, 81.89849854, 29.01000023, 0.00000000
1, 0.0051, 1, -0.06585693, -1.80010986, 0.41699219, -53.99954987, -127.07464600, -176.60951233, -11.02016926, 30.28354263, -113.53404999, 129.40544128, 38.45974731, 28.18632126, 0.46383685, -0.79369396, -0.34436899, 0.19056620, 0.68407220, 1.19328320, 0.08255553, 100.34500122, 81.89849854, 29.01000023, 0.00000000
1, 0.0600, 6, -0.68015862, -0.26789072, 0.22123125, 17.39334297, -88.33578491, 84.45899200, -9.76322746, 7.98012257, -111.28324890, 102.77490234, -41.22095490, -104.43632507, -0.57524920, 0.27446061, -0.71262336, -0.29313433, 0.02163334, -0.46726304, -0.05858730, 100.42400360, 75.27233124, 28.95999908, 0.00000000
1, 0.0101, 2, -0.12591553, -1.70672607, 0.43347168, -55.99454880, -134.98464966, -176.50453186, -11.02016926, 30.28354263, -113.53404999, 129.15483093, 39.57014847, 28.23303986, 0.46631363, -0.78874642, -0.34819794, 0.19796182, 0.75917023, 1.10714293, 0.05587895, 100.34500122, 81.89849854, 29.01000023, 0.00000000
1, 0.0151, 3, -0.19036865, -1.58935547, 0.47283936, -56.23954773, -142.64967346, -175.97952271, -10.49400711, 30.54662323, -114.20636749, 128.87335205, 40.70279312, 28.23264694, 0.46887246, -0.78365546, -0.35181949, 0.20558673, 0.83872187, 0.99724305, 0.00571629, 100.34500122, 81.89849854, 29.01000023, 0.00000000
1, 0.0650, 7, -0.66877544, -0.21533841, 0.15583882, 13.59513664, -91.35334015, 73.77954102, -11.57556248, 7.57088566, -111.19555664, 103.30829620, -41.47795868, -105.13936615, -0.57318485, 0.27133840, -0.71596503, -0.29193965, 0.00684573, -0.51508427, 0.01307919, 100.42400360, 75.27233124, 28.95999908, 0.00000000
