SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0002, 0, 0.20654525, -0.95458257, 0.52976185, 18.65118790, -99.11934662, 71.26811981, -49.28383636, 8.82782841, -67.72873688, 100.31040192, 3.86345053, -8.60886860, -0.63659763, 0.76680291, -0.03605733, -0.07386960, -0.13933820, -0.02787627, -0.35252729, 100.35100555, 81.39475250, 32.05999756, 0.00000000
1, 0.0052, 1, 0.19385080, -1.02885056, 0.48471725, 23.79372406, -95.21578217, 70.10391998, -49.28383636, 8.82782841, -67.72873688, 100.39562225, 3.60359931, -9.14083672, -0.63586348, 0.76704115, -0.04112451, -0.07506269, -0.13108411, 0.04641429, -0.30623108, 100.35100555, 81.39475250, 32.05999756, 0.00000000
1, 0.0102, 2, 0.23623888, -1.07545805, 0.50242513, 22.35012817, -82.47001648, 66.78067017, -49.28383636, 8.82782841, -67.72873688, 100.47989655, 3.34944224, -9.60724926, -0.63517410, 0.76726747, -0.04572052, -0.07592299, -0.17795834, 0.09299615, -0.32237163, 100.35100555, 81.39475250, 32.05999756, 0.00000000
1, 0.0152, 3, 0.29654226, -1.05673420, 0.53309160, 17.20074844, -71.11573029, 67.88802338, -49.63460922, 11.51710033, -67.29026794, 100.54363251, 3.08011317, -10.01896286, -0.63467026, 0.76737058, -0.05002071, -0.07638130, -0.24293377, 0.07418075, -0.35163379, 100.35100555, 81.39475250, 32.05999756, 0.00000000
1, -0.0001, 0, 0.73999023, -0.96569824, 0.36743164, -4.19343901, 6.89172077, 33.93470001, -49.89768982, 0.55539316, -63.75328827, 100.00782776, 27.56928253, 80.29612732, 0.59483886, -0.46997386, -0.59678257, -0.26294878, -0.27649605, 0.09309508, -0.21336548, 100.27300262, 87.94092560, 31.50000000, 0.00000000
1, 0.0049, 1, 0.73303223, -0.94433594, 0.39886475, -0.90343785, -2.41828227, 36.06969833, -49.89768982, 0.55539316, -63.75328827, 99.98085022, 27.39376831, 80.24743652, 0.59450567, -0.47091684, -0.59596908, -0.26385853, -0.27224749, 0.07027603, -0.24492976, 100.27300262, 87.94092560, 31.50000000, 0.00000000
1, 0.0099, 2, 0.72283936, -0.92376709, 0.43414307, 3.12156367, -12.84828568, 38.06470108, -49.89768982, 0.55539316, -63.75328827, 99.94680786, 27.21743774, 80.13917542, 0.59433645, -0.47213483, -0.59488875, -0.26450029, -0.26478672, 0.04822746, -0.28046352, 100.27300262, 87.94092560, 31.50000000, 0.00000000
1, 0.0149, 3, 0.74218750, -0.90954590, 0.47149658, 7.91656494, -22.64829063, 39.95470047, -51.18386459, 1.22771120, -63.95790482, 99.91159821, 27.04017830, 79.97513580, 0.59429884, -0.47363767, -0.59356844, -0.26486382, -0.28688174, 0.03252346, -0.31811005, 100.27300262, 87.94092560, 31.50000000, 0.00000000
1, 0.0199, 4, 0.72180176, -0.93237305, 0.50866699, 14.56656837, -33.98828888, 42.82469940, -51.18386459, 1.22771120, -63.95790482, 99.88061523, 26.85844612, 79.74605560, 0.59438121, -0.47551590, -0.59196866, -0.26489380, -0.26929450, 0.05385796, -0.35554034, 100.27300262, 87.94092560, 31.50000000, 0.00000000
1, 0.0202, 4, 0.29379845, -1.08327246, 0.53342557, 16.48447037, -71.93160248, 75.55410767, -49.63460922, 11.51710033, -67.29026794, 100.60540009, 2.77426958, -10.44184780, -0.63420057, 0.76741976, -0.05459660, -0.07665400, -0.24535030, 0.10064687, -0.35092714, 100.35100555, 81.39475250, 32.05999756, 0.00000000
1, 0.0252, 5, 0.16125393, -1.17320216, 0.48281667, 18.42229271, -80.48871613, 83.07200623, -49.45922089, 11.31248188, -67.11487579, 100.67707062, 2.43981361, -10.91396904, -0.63365519, 0.76745832, -0.05966626, -0.07699804, -0.11843112, 0.19061756, -0.29955384, 100.35100555, 81.39475250, 32.05999756, 0.00000000
1, 0.0302, 6, -0.01888501, -1.18890870, 0.42861032, 29.60135460, -103.18207550, 90.76627350, -49.45922089, 11.31248188, -67.11487579, 100.80284882, 2.08944607, -11.50520802, -0.63268149, 0.76768595, -0.06565659, -0.07785673, 0.05578580, 0.20652427, -0.24389724, 100.35100555, 81.39475250, 32.05999756, 0.00000000
1, 0.0249, 5, 0.79266357, -0.95684814, 0.50543213, 20.83156967, -43.29829407, 46.39470291, -50.62847137, 1.57848585, -63.40251160, 99.85717010, 26.66700363, 79.46265411, 0.59452856, -0.47775301, -0.59012139, -0.26465946, -0.34310681, 0.07679904, -0.35242403, 100.27300262, 87.94092560, 31.50000000, 0.00000000
1, 0.0299, 6, 0.84228516, -0.97625732, 0.47332764, 24.01657104, -52.08329773, 49.22970581, -50.62847137, 1.57848585, -63.40251160, 99.82791138, 26.46899605, 79.12873840, 0.59479725, -0.48024258, -0.58801830, -0.26423094, -0.39579484, 0.09462158, -0.32047492, 100.27300262, 87.94092560, 31.50000000, 0.00000000
1, 0.0349, 7, 0.90783691, -0.99853516, 0.42010498, 27.20157242, -62.16329956, 51.50470352, -50.62847137, 1.57848585, -63.40251160, 99.79035187, 26.26819611, 78.73793030, 0.59522420, -0.48298332, -0.58563524, -0.26356518, -0.46447691, 0.11527218, -0.26753557, 100.27300262, 87.94092560, 31.50000000, 0.00000000
1, 0.0352, 7, -0.11770690, -1.19799089, 0.45111093, 37.43828201, -102.30414581, 85.99044800, -49.45922089, 11.31248188, -66.35486603, 100.97151947, 1.76331484, -12.08840942, -0.63140839, 0.76811779, -0.07148646, -0.07879331, 0.14873926, 0.21588963, -0.26390457, 100.35100555, 81.39475250, 32.05999756, 0.00000000
1, 0.0402, 8, -0.10624077, -1.23069513, 0.46846712, 40.97576904, -85.03136444, 77.20848846, -49.22537231, 12.59865570, -66.35486603, 101.16573334, 1.46458709, -12.57963848, -0.63000637, 0.76871949, -0.07656481, -0.07937337, 0.13191254, 0.24904153, -0.27802020, 100.35100555, 81.39475250, 32.05999756, 0.00000000
1, 0.0399, 8, 0.92266846, -1.02032471, 0.40161133, 30.31657410, -72.73329926, 53.56970596, -51.18386459, 1.49079216, -63.25635529, 99.74352264, 26.06593704, 78.28798676, 0.59582269, -0.48597184, -0.58296102, -0.26264668, -0.48247075, 0.13540921, -0.24946161, 100.27300262, 87.94092560, 31.50000000, 0.00000000
1, 0.0449, 9, 0.89141846, -1.04156494, 0.38885498, 32.48657227, -81.20330811, 54.61970520, -51.18386459, 1.49079216, -63.25635529, 99.68862152, 25.86526871, 77.79159546, 0.59656733, -0.48913142, -0.58005810, -0.26151574, -0.45437720, 0.15499026, -0.23726565, 100.27300262, 87.94092560, 31.50000000, 0.00000000
1, 0.0699, 10, 0.77612305, -1.22674561, 0.52435303, 47.08157730, -85.01830292, 37.15469742, -51.47617722, 0.67231804, -61.73633194, 99.59272766, 25.07792854, 75.15909576, 0.60049057, -0.50537765, -0.56573886, -0.25287157, -0.35185325, 0.33385390, -0.37355736, 100.27300262, 87.94092560, 31.50000000, 0.00000000
1, 0.0749, 11, 0.84417725, -1.24884033, 0.51379395, 44.10657501, -78.96330261, 31.20470047, -51.21309662, 2.98158431, -60.91785812, 99.61932373, 24.98997498, 74.70072174, 0.60111755, -0.50817049, -0.56346363, -0.25085694, -0.42139381, 0.35533464, -0.36246124, 100.27300262, 87.94092560, 31.50000000, 0.00000000
1, 0.0602, 9, 0.77507269, -1.56104922, 0.23280032, 6.42050743, -28.99538994, 57.81249619, -49.75153351, 13.56328583, -65.50716400, 101.65773010, 0.40055940, -13.56140041, -0.62689716, 0.77009588, -0.08934180, -0.07726783, -0.76758111, 0.58130944, -0.03145299, 100.35100555, 81.39475250, 32.05999756, 0.00000000
1, 0.0652, 10, 0.79444802, -1.56632221, -0.01496948, 1.70367026, -44.94255829, 57.31716919, -49.75153351, 13.56328583, -65.50716400, 101.66561127, 0.16487890, -13.83901501, -0.62685049, 0.76976776, -0.09250262, -0.07719750, -0.79051757, 0.58700109, 0.21653858, 100.35100555, 81.39475250, 32.05999756, 0.00000000
1, 0.0799, 12, 0.86816406, -1.25250244, 0.45434570, 40.04657364, -73.53830719, 25.11469650, -51.21309662, 2.98158431, -60.91785812, 99.64106750, 24.92768478, 74.27770233, 0.60175830, -0.51063961, -0.56141227, -0.24889866, -0.44647345, 0.35855609, -0.30256784, 100.27300262, 87.94092560, 31.50000000, 0.00000000
1, 0.0849, 13, 0.92639160, -1.24108887, 0.37103271, 35.67157364, -69.47830963, 18.60469437, -51.21309662, 2.98158431, -60.91785812, 99.65315247, 24.89419365, 73.88290405, 0.60245961, -0.51278341, -0.55955744, -0.24696366, -0.50534362, 0.34688723, -0.21897355, 100.27300262, 87.94092560, 31.50000000, 0.00000000
1, 0.0899, 14, 0.95544434, -1.22576904, 0.25183105, 31.64657211, -68.07830048, 12.30469227, -51.27155685, 2.86465931, -60.68400955, 99.65087891, 24.89063263, 73.50160217, 0.60327780, -0.51464647, -0.55783063, -0.24498981, -0.53457224, 0.33149156, -0.09973103, 100.27300262, 87.94092560, 31.50000000, 0.00000000
1, 0.0702, 11, 0.77702594, -1.53963399, -0.11109146, 4.52622938, -45.68272018, 58.70073700, -49.75153351, 13.56328583, -65.50716400, 101.68872833, -0.07673080, -14.12169361, -0.62670439, 0.76950067, -0.09573843, -0.07710207, -0.77702135, 0.56052673, 0.31297085, 100.35100555, 81.39475250, 32.05999756, 0.00000000
